CIA - The World Factbook --  Freshwater withdrawal (domestic/industrial/agricultural)   

This entry provides the annual quantity of water in cubic kilometers removed from available sources for use in any purpose. Water drawn-off is not necessarily entirely consumed and some portion may be returned for further use downstream. Domestic sector use refers to water supplied by public distribution systems. Note that some of this total may be used for small industrial and/or limited agricultural purposes. Industrial sector use is the quantity of water used by self-supplied industries not connected to a public distribution system. Agricultural sector use includes water used for irrigation and livestock watering, and does not account for agriculture directly dependent on rainfall. Included are figures for total annual water withdrawal and per capita water withdrawal.

| Rank | country | () | Date of Information |
| 98 | Belarus | 286.00 | 2000 |
| 99 | Ireland | 284.00 | 1994 |
| 100 | South Africa | 264.00 | 2000 |
| 101 | Tunisia | 261.00 | 2000 |
| 102 | Panama | 254.00 | 2000 |
| 103 | Cyprus | 250.00 | 2000 |
| 104 | Brunei | 243.00 | 1994 |
| 105 | Trinidad and Tobago | 237.00 | 2000 |
| 106 | Nicaragua | 237.00 | 2000 |
| 107 | Colombia | 235.00 | 2000 |
| 108 | Equatorial Guinea | 220.00 | 2000 |
| 109 | Dominica | 213.00 | 1996 |
| 110 | Bhutan | 199.00 | 2000 |
| 111 | United Kingdom | 197.00 | 1994 |
| 112 | Slovakia | 193.00 | 2003 |
| 113 | Senegal | 190.00 | 2002 |
| 114 | Czech Republic | 187.00 | 2002 |
| 115 | El Salvador | 186.00 | 2000 |
| 116 | Algeria | 185.00 | 2000 |
| 117 | Jordan | 177.00 | 2000 |
| 118 | Pakistan | 169.39 | 2000 |
| 119 | Mongolia | 166.00 | 2000 |
| 120 | Kuwait | 164.00 | 2000 |
| 121 | Guinea | 161.00 | 2000 |
| 122 | Guatemala | 160.00 | 2000 |
| 123 | Bolivia | 157.00 | 2000 |
| 124 | Niger | 156.00 | 2000 |
| 125 | Jamaica | 155.00 | 2000 |
| 126 | Zambia | 149.00 | 2000 |
| 127 | Namibia | 148.00 | 2000 |
| 128 | Tanzania | 135.00 | 2000 |
| 129 | Denmark | 123.00 | 2002 |
| 130 | Luxembourg | 121.00 | 1999 |
| 131 | Honduras | 119.00 | 2000 |
| 132 | Haiti | 116.00 | 2000 |
| 133 | Guinea-Bissau | 113.00 | 2000 |
| 134 | Latvia | 108.00 | 2003 |
| 135 | Botswana | 107.00 | 2000 |
| 136 | Japan | 88.43 | 2000 |
| 137 | Gabon | 87.00 | 2000 |
| 138 | Saint Vincent and the Grenadines | 83.00 | 1995 |
| 139 | Indonesia | 82.78 | 2000 |
| 140 | Thailand | 82.75 | 2000 |
| 141 | Fiji | 82.00 | 2000 |
| 142 | Saint Lucia | 81.00 | 1997 |
| 143 | Paraguay | 80.00 | 2000 |
| 144 | Bangladesh | 79.40 | 2000 |
| 145 | Mexico | 78.22 | 2000 |
| 146 | Malawi | 78.00 | 2000 |
| 147 | Russia | 76.68 | 2000 |
| 148 | Iran | 72.88 | 2000 |
| 149 | Ethiopia | 72.00 | 2002 |
| 150 | Vietnam | 71.39 | 2000 |
| 151 | Sierra Leone | 69.00 | 2000 |
| 152 | Egypt | 68.30 | 2000 |
| 153 | Eritrea | 68.00 | 2000 |
| 154 | Antigua and Barbuda | 63.00 | 1990 |
| 155 | Cameroon | 61.00 | 2000 |
| 156 | Nigeria | 61.00 | 2000 |
| 157 | Burkina Faso | 60.00 | 2000 |
| 158 | Brazil | 59.30 | 2000 |
| 159 | Uzbekistan | 58.34 | 2000 |
| 160 | Cote d'Ivoire | 51.00 | 2000 |
| 161 | Malta | 50.00 | 2000 |
| 162 | Kenya | 46.00 | 2000 |
| 163 | Canada | 44.72 | 1996 |
| 164 | Ghana | 44.00 | 2000 |
| 165 | Singapore | 44.00 | 1975 |
| 166 | Iraq | 42.70 | 2000 |
| 167 | Italy | 41.98 | 1998 |
| 168 | Turkey | 39.78 | 2001 |
| 169 | Cape Verde | 39.00 | 2000 |
| 170 | Germany | 38.01 | 2001 |
| 171 | Burundi | 38.00 | 2000 |
| 172 | Ukraine | 37.53 | 2000 |
| 173 | Sudan | 37.32 | 2000 |
| 174 | Spain | 37.22 | 2002 |
| 175 | Kazakhstan | 35.00 | 2000 |
| 176 | Liberia | 34.00 | 2000 |
| 177 | Burma | 33.23 | 2000 |
| 178 | France | 33.16 | 2000 |
| 179 | Mozambique | 32.00 | 2000 |
| 180 | Argentina | 29.19 | 2000 |
| 181 | Philippines | 28.52 | 2000 |
| 182 | Togo | 28.00 | 2000 |
| 183 | Lesotho | 28.00 | 2000 |
| 184 | Djibouti | 25.00 | 2000 |
| 185 | Turkmenistan | 24.65 | 2000 |
| 186 | Australia | 24.06 | 2000 |
| 187 | Chad | 24.00 | 2000 |
| 188 | Afghanistan | 23.26 | 2000 |
| 189 | Angola | 22.00 | 2000 |
| 190 | Hungary | 21.03 | 2001 |
| 191 | Peru | 20.13 | 2000 |
| 192 | Gambia, The | 20.00 | 2000 |
| 193 | Syria | 19.95 | 2000 |
| 194 | Korea, South | 18.59 | 2000 |
| 195 | Saudi Arabia | 17.32 | 2000 |
| 196 | Azerbaijan | 17.25 | 2000 |
| 197 | Papua New Guinea | 17.00 | 1987 |
| 198 | Rwanda | 17.00 | 2000 |
| 199 | Ecuador | 16.98 | 2000 |
| 200 | Benin | 15.00 | 2001 |
| 201 | Madagascar | 14.96 | 2000 |
| 202 | Comoros | 13.00 | 1999 |
| 203 | Sri Lanka | 12.61 | 2000 |
| 204 | Morocco | 12.60 | 2000 |
| 205 | Chile | 12.55 | 2000 |
| 206 | South Africa | 12.50 | 2000 |
| 207 | Tajikistan | 11.96 | 2000 |
| 208 | United Kingdom | 11.75 | 1994 |
| 209 | Poland | 11.73 | 2002 |
| 210 | Portugal | 11.09 | 1998 |
| 211 | Colombia | 10.71 | 2000 |
| 212 | Nepal | 10.18 | 2000 |
| 213 | Kyrgyzstan | 10.08 | 2000 |
| 214 | Uganda | 10.00 | 2002 |
| 215 | Korea, North | 9.02 | 2000 |
| 216 | Malaysia | 9.02 | 2000 |
| 217 | Maldives | 9.00 | 1987 |
| 218 | Netherlands | 8.86 | 2001 |
| 219 | Greece | 8.70 | 1997 |
| 220 | Venezuela | 8.37 | 2000 |
| 221 | Cuba | 8.20 | 2000 |
| 222 | Nigeria | 8.01 | 2000 |
| 223 | Congo, Republic of the | 8.00 | 2000 |
| 224 | Belgium | 7.44 | 1998 |
| 225 | Central African Republic | 7.00 | 2000 |
| 226 | Bulgaria | 6.92 | 2003 |
| 227 | Yemen | 6.63 | 2000 |
| 228 | Mali | 6.55 | 2000 |
| 229 | Romania | 6.50 | 2003 |
| 230 | Algeria | 6.07 | 2000 |
| 231 | Congo, Democratic Republic of the | 6.00 | 2000 |
| 232 | Ethiopia | 5.56 | 2002 |
| 233 | Tanzania | 5.18 | 2000 |
| 234 | Libya | 4.27 | 2000 |
| 235 | Zimbabwe | 4.21 | 2002 |
| 236 | Cambodia | 4.08 | 2000 |
| 237 | Austria | 3.67 | 1999 |
| 238 | Georgia | 3.61 | 2000 |
| 239 | Dominican Republic | 3.39 | 2000 |
| 240 | Lithuania | 3.33 | 2003 |
| 241 | Somalia | 3.29 | 2000 |
| 242 | Uruguay | 3.15 | 2000 |
| 243 | Laos | 3.00 | 2000 |
| 244 | Armenia | 2.95 | 2000 |
| 245 | Belarus | 2.79 | 2000 |
| 246 | Costa Rica | 2.68 | 2000 |
| 247 | Sweden | 2.68 | 2002 |
| 248 | Tunisia | 2.64 | 2000 |
| 249 | Switzerland | 2.52 | 2002 |
| 250 | Norway | 2.40 | 1996 |
| 251 | Finland | 2.33 | 1999 |
| 252 | Moldova | 2.31 | 2000 |
| 253 | United Arab Emirates | 2.30 | 2000 |
| 254 | Macedonia | 2.27 | 2000 |
| 255 | Senegal | 2.22 | 2002 |
| 256 | Niger | 2.18 | 2000 |
| 257 | New Zealand | 2.11 | 2000 |
| 258 | Israel | 2.05 | 2000 |
| 259 | Guatemala | 2.01 | 2000 |
| 260 | Czech Republic | 1.91 | 2002 |
| 261 | Zambia | 1.74 | 2000 |
| 262 | Albania | 1.71 | 2000 |
| 263 | Mauritania | 1.70 | 2000 |
| 264 | Guyana | 1.64 | 2000 |
| 265 | Kenya | 1.58 | 2000 |
| 266 | Guinea | 1.51 | 2000 |
| 267 | Bolivia | 1.44 | 2000 |
| 268 | Estonia | 1.41 | 2002 |
| 269 | Lebanon | 1.38 | 2000 |
| 270 | Oman | 1.36 | 2000 |
| 271 | Nicaragua | 1.30 | 2000 |
| 272 | El Salvador | 1.28 | 2000 |
| 273 | Ireland | 1.18 | 1994 |
| 274 | Swaziland | 1.04 | 2000 |
| 275 | Slovakia | 1.04 | 2003 |
| 276 | Malawi | 1.01 | 2000 |
| 277 | Jordan | 1.01 | 2000 |
| 278 | Haiti | 0.99 | 2000 |
| 279 | Cameroon | 0.99 | 2000 |
| 280 | Ghana | 0.98 | 2000 |
| 281 | Cote d'Ivoire | 0.93 | 2000 |
| 282 | Slovenia | 0.90 | 2002 |
| 283 | Honduras | 0.86 | 2000 |
| 284 | Panama | 0.82 | 2000 |
| 285 | Burkina Faso | 0.80 | 2000 |
| 286 | Suriname | 0.67 | 2000 |
| 287 | Denmark | 0.67 | 2002 |
| 288 | Mozambique | 0.63 | 2000 |
| 289 | Mauritius | 0.61 | 2000 |
| 290 | Paraguay | 0.49 | 2000 |
| 291 | Mongolia | 0.44 | 2000 |
| 292 | Kuwait | 0.44 | 2000 |
| 293 | Bhutan | 0.43 | 2000 |
| 294 | Jamaica | 0.41 | 2000 |
| 295 | Sierra Leone | 0.38 | 2000 |
| 296 | Congo, Democratic Republic of the | 0.36 | 2000 |
| 297 | Angola | 0.35 | 2000 |
| 298 | Trinidad and Tobago | 0.31 | 2000 |
| 299 | Uganda | 0.30 | 2002 |
| 300 | Bahrain | 0.30 | 2000 |
| 301 | Namibia | 0.30 | 2000 |
| 302 | Eritrea | 0.30 | 2000 |
| 303 | Burundi | 0.29 | 2000 |
| 304 | Qatar | 0.29 | 2000 |
| 305 | Latvia | 0.25 | 2003 |
| 306 | Chad | 0.23 | 2000 |
| 307 | Cyprus | 0.21 | 2000 |
| 308 | Botswana | 0.19 | 2000 |
| 309 | Singapore | 0.19 | 1975 |
| 310 | Guinea-Bissau | 0.18 | 2000 |
| 311 | Togo | 0.17 | 2000 |
| 312 | Iceland | 0.17 | 2003 |
| 313 | Belize | 0.15 | 2000 |
| 314 | Rwanda | 0.15 | 2000 |
| 315 | Benin | 0.13 | 2001 |
| 316 | Gabon | 0.12 | 2000 |
| 317 | Equatorial Guinea | 0.11 | 2000 |
| 318 | Liberia | 0.11 | 2000 |
| 319 | Papua New Guinea | 0.10 | 1987 |
| 320 | Barbados | 0.09 | 2000 |
| 321 | Brunei | 0.09 | 1994 |
| 322 | Fiji | 0.07 | 2000 |
| 323 | Luxembourg | 0.06 | 1999 |
| 324 | Lesotho | 0.05 | 2000 |
| 325 | Central African Republic | 0.03 | 2000 |
| 326 | Congo, Republic of the | 0.03 | 2000 |
| 327 | Gambia, The | 0.03 | 2000 |
| 328 | Cape Verde | 0.02 | 2000 |
| 329 | Malta | 0.02 | 2000 |
| 330 | Djibouti | 0.02 | 2000 |
| 331 | Dominica | 0.02 | 1996 |
| 332 | Saint Lucia | 0.01 | 1997 |
| 333 | Comoros | 0.01 | 1999 |
| 334 | Saint Vincent and the Grenadines | 0.01 | 1995 |
| 335 | Antigua and Barbuda | 0.01 | 1990 |
| 336 | Maldives | 0.00 | 1987 |
