CIA - The World Factbook 2000 -- GDP - real growth rate

| Country | GDP - real growth rate |
| **Korea, North** | 1% (1999 est.) |
| **Korea, South** | 10% (1999 est.) |
| **Kuwait** | 1.1% (1999 est.) |
| **Kyrgyzstan** | 3.4% (1999 est.) |
| **Laos** | 5.2% (1999 est.) |
| **Latvia** | 0% (1999 est.) |
| **Lebanon** | 1% (1999 est.) |
| **Lesotho** | -10% (1998 est.) |
| **Liberia** | 0.5% (1999 est.) |
| **Libya** | 2% (1999 est.) |
| **Liechtenstein** | NA% |
| **Lithuania** | -3% (1999 est.) |
| **Luxembourg** | 4.2% (1999 est.) |
| **Macau** | -4% (1998 est.) |
| **Macedonia, The Former Yugoslav Republic of** | 2.5% (1999 est.) |
| **Madagascar** | 4.5% (1999 est.) |
| **Malawi** | 4.2% (1999 est.) |
| **Malaysia** | 5% (1999 est.) |
| **Maldives** | 7% (1999 est.) |
| **Mali** | 5% (1999 est.) |
| **Malta** | 4% (1999 est.) |
| **Man, Isle of** | NA% |
| **Marshall Islands** | -5% (1998 est.) |
| **Martinique** | NA% |
| **Mauritania** | 3.7% (1999 est.) |
| **Mauritius** | 4% (1999 est.) |
| **Mayotte** | NA% |
| **Mexico** | 3.7% (1999 est.) |
| **Micronesia, Federated States of** | 3% (1997 est.) |
| **Moldova** | -4.4% (1999 est.) |
| **Monaco** | NA% |
| **Mongolia** | 3.5% (1999 est.) |
| **Montserrat** | -16% (1998 est.) |
| **Morocco** | 0% (1999 est.) |
| **Mozambique** | 10% (1999 est.) |
| **Namibia** | 3% (1999 est.) |
| **Nauru** | NA% |
| **Nepal** | 3.4% (1999 est.) |
| **Netherlands** | 3.4% (1999 est.) |
| **Netherlands Antilles** | -0.3% (1998 est.) |
| **New Caledonia** | 3.5% (1998 est.) |
| **New Zealand** | 3.1% (1999 est.) |
| **Nicaragua** | 6.3% (1999 est.) |
| **Niger** | 2% (1999 est.) |
| **Nigeria** | 2.7% (1999 est.) |
| **Niue** | NA% |
| **Norfolk Island** | NA% |
| **Northern Mariana Islands** | NA% |
| **Norway** | 0.8% (1999 est.) |
| **Oman** | 4% (1999 est.) |
| **Pakistan** | 3.1% (1999 est.) |
| **Palau** | 10% (1997 est.) |
| **Panama** | 4.4% (1999 est.) |
| **Papua New Guinea** | 3.6% (1999 est.) |
| **Paraguay** | -1% (1999 est.) |
| **Peru** | 2.4% (1999 est.) |
| **Philippines** | 2.9% (1999 est.) |
| **Pitcairn Islands** | NA% |
| **Poland** | 3.8% (1999 est.) |
| **Portugal** | 3.2% (1999 est.) |
| **Puerto Rico** | 4.2% (1999 est.) |
| **Qatar** | 1.5% (1999 est.) |
| **Reunion** | 3.8% (1998 est.) |
| **Romania** | -4.8% (1999 est.) |
| **Russia** | 3.2% (1999 est.) |
| **Rwanda** | 5.3% (1999 est.) |
| **Saint Helena** | NA% |
| **Saint Kitts and Nevis** | 1.6% (1998 est.) |
| **Saint Lucia** | 2.9% (1998 est.) |
| **Saint Pierre and Miquelon** | NA% |
| **Saint Vincent and the Grenadines** | 4% (1999 est.) |
| **Samoa** | 1.8% (1998 est.) |
| **San Marino** | NA% |
| **Sao Tome and Principe** | 1.5% (1999 est.) |
| **Saudi Arabia** | 1.6% (1999 est.) |
| **Senegal** | 5% (1999 est.) |
| **Serbia and Montenegro** | -20% (1999 est.) |
| **Seychelles** | 1.8% (1999 est.) |
| **Sierra Leone** | -10% (1999 est.) |
| **Singapore** | 5.5% (1999 est.) |
| **Slovakia** | 1.9% (1999 est.) |
| **Slovenia** | 3.5% (1999 est.) |
| **Solomon Islands** | 3.5% (1999 est.) |
| **Somalia** | NA% |
| **South Africa** | 0.6% (1999 est.) |
| **Spain** | 3.6% (1999 est.) |
| **Sri Lanka** | 3.7% (1999 est.) |
| **Sudan** | 3% (1999 est.) |
| **Suriname** | -1% (1999 est.) |
| **Svalbard** | NA% |
| **Swaziland** | 3.1% (1999 est.) |
| **Sweden** | 3.8% (1999 est.) |
| **Switzerland** | 1.4% (1999 est.) |
| **Syria** | 0% (1999 est.) |
| **Tajikistan** | 2% (1999 est.) |
| **Tanzania** | 4% (1999 est.) |
| **Thailand** | 4% (1999 est.) |
| **Togo** | 4% (1999 est.) |
| **Tokelau** | NA% |
| **Tonga** | -0.3% (1998 est.) |
| **Trinidad and Tobago** | 5% (1999 est.) |
| **Tunisia** | 6% (1999 est.) |
| **Turkey** | -5% (1999 est.) |
| **Turkmenistan** | 9% (1999 est.) |
| **Turks and Caicos Islands** | 4% (1997 est.) |
| **Tuvalu** | 8.7% (1995 est.) |
| **Uganda** | 5.5% (1999 est.) |
| **Ukraine** | -0.4% (1999 est.) |
| **United Arab Emirates** | 2.5% (1999 est.) |
| **United Kingdom** | 1.9% (1999 est.) |
| **United States** | 4.1% (1999 est.) |
| **Uruguay** | -2.5% (1999 est.) |
| **Uzbekistan** | -1% (1999 est.) |
| **Vanuatu** | NA% |
| **Venezuela** | -7.2% (1999 est.) |
| **Vietnam** | 4.8% (1999 est.) |
| **Virgin Islands** | NA% |
| **Wallis and Futuna** | NA% |
| **West Bank** | 4.6% (1999 est.) |
| **Western Sahara** | NA% |
| **World** | 3% (1999 est.) |
| **Yemen** | 4% (1999 est.) |
| **Zambia** | 1.5% (1999 est.) |
| **Zimbabwe** | 0% (1999 est.) |
| **Taiwan: | 5.5% (1999 est.)** | 



