CIA - The World Factbook -- Field Listing - GDP - real growth rate

| Country | GDP - real growth rate (%) |
| **Jersey** | NA% |
| **Jordan** | 4.9% (2002 est.) |
| **Kazakhstan** | 9.5% (2002 est.) |
| **Kenya** | 1.1% (2002 est.) |
| **Kiribati** | 1.5% (2001 est.) |
| **Korea, North** | 1% (2002 est.) |
| **Korea, South** | 6.3% (2002 est.) |
| **Kuwait** | -2% (2002 est.) |
| **Kyrgyzstan** | 5.3% (2002 est.) |
| **Laos** | 5.7% (2002 est.) |
| **Latvia** | 6.1% (2002 est.) |
| **Lebanon** | 2% (2002 est.) |
| **Lesotho** | 4% (2002 est.) |
| **Liberia** | 2% (2002 est.) |
| **Libya** | 1.2% (2002 est.) |
| **Liechtenstein** | 11% (1999 est.) |
| **Lithuania** | 6.7% (2002 est.) |
| **Luxembourg** | 0.4% (2002 est.) |
| **Macau** | 9.5% (2002 est.) |
| **Macedonia, The Former Yugoslav Republic of** | 0.7% (2002 est.) |
| **Madagascar** | -11.9% (2002 est.) |
| **Malawi** | 1.7% (2002 est.) |
| **Malaysia** | 4.1% (2002 est.) |
| **Maldives** | 2.3% (2002 est.) |
| **Mali** | 4.5% (2002 est.) |
| **Malta** | 1.2% (2002 est.) |
| **Man, Isle of** | 13.5% |
| **Marshall Islands** | 1% (2001 est.) |
| **Martinique** | NA% |
| **Mauritania** | 3.3% (2002 est.) |
| **Mauritius** | 2.3% (2002 est.) |
| **Mayotte** | NA% |
| **Mexico** | 0.7% (2002 est.) |
| **Micronesia, Federated States of** | 1% (2002 est.) |
| **Moldova** | 6.5% (2002 est.) |
| **Monaco** | NA% |
| **Mongolia** | 3.9% (2002 est.) |
| **Montserrat** | -1% (2002 est.) |
| **Morocco** | 4.6% (2002 est.) |
| **Mozambique** | 7.7% (2002 est.) |
| **Namibia** | 2.3% (2002 est.) |
| **Nauru** | NA% |
| **Nepal** | -0.6% (2002 est.) |
| **Netherlands** | 0.2% (2002 est.) |
| **Netherlands Antilles** | 0% (2002 est.) |
| **New Caledonia** | NA |
| **New Zealand** | 3.3% (2002 est.) |
| **Nicaragua** | 1.1% (2002 est.) |
| **Niger** | 2.9% (2002 est.) |
| **Nigeria** | 3.2% (2002 est.) |
| **Niue** | -0.3% (2000 est.) |
| **Norfolk Island** | NA% |
| **Northern Mariana Islands** | NA% |
| **Norway** | 1% (2002 est.) |
| **Oman** | 2.2% (2002 est.) |
| **Pakistan** | 4.4% (FY01/02 est.) |
| **Palau** | 1% (2001 est.) |
| **Panama** | 0.7% (2002 est.) |
| **Papua New Guinea** | -3.1% (2002 est.) |
| **Paraguay** | -2.7% (2002 est.) |
| **Peru** | 5.3% (2002 est.) |
| **Philippines** | 4.4% (2002 est.) |
| **Pitcairn Islands** | NA% |
| **Poland** | 1.4% (2002 est.) |
| **Portugal** | 0.4% (2002 est.) |
| **Puerto Rico** | -0.2% (2002 est.) |
| **Qatar** | 4.6% (2002 est.) |
| **Reunion** | 2.5% (2002 est.) |
| **Romania** | 4.9% (2002 est.) |
| **Russia** | 4.3% (2002 est.) |
| **Rwanda** | 9.7% (2002 est.) |
| **Saint Helena** | NA% |
| **Saint Kitts and Nevis** | -1.9% (2002 est.) |
| **Saint Lucia** | 3.3% (2002 est.) |
| **Saint Pierre and Miquelon** | NA% |
| **Saint Vincent and the Grenadines** | -0.5% (2002 est.) |
| **Samoa** | 5% (2002 est.) |
| **San Marino** | 7.5% (2001 est.) |
| **Sao Tome and Principe** | 4% (2002 est.) |
| **Saudi Arabia** | 1% (2002 est.) |
| **Senegal** | 2.4% (2002 est.) |
| **Serbia and Montenegro** | 4% (2002 est.) |
| **Seychelles** | 1.5% (2002 est.) |
| **Sierra Leone** | 6.6% (2002 est.) |
| **Singapore** | 2.2% (2002 est.) |
| **Slovakia** | 4.4% (2002 est.) |
| **Slovenia** | 3.2% (2002 est.) |
| **Solomon Islands** | -10% (2001 est.) |
| **Somalia** | 3.5% (2002 est.) |
| **South Africa** | 3% (2002 est.) |
| **Spain** | 2% (2002 est.) |
| **Sri Lanka** | 3.2% (2002 est.) |
| **Sudan** | 5.1% (2002 est.) |
| **Suriname** | 1.2% (2002 est.) |
| **Svalbard** | NA% |
| **Swaziland** | 1.6% (2002 est.) |
| **Sweden** | 1.9% (2002 est.) |
| **Switzerland** | 0.1% (2002 est.) |
| **Syria** | 3.6% (2002 est.) |
| **Taiwan** | 3.5% (2002 est.) |
| **Tajikistan** | 9.1% (2002 est.) |
| **Tanzania** | 6.1% (2002 est.) |
| **Thailand** | 5.3% (2002 est.) |
| **Togo** | 2.9% (2002 est.) |
| **Tokelau** | NA% |
| **Tonga** | 3% (2001 est.) |
| **Trinidad and Tobago** | 3.2% (2002 est.) |
| **Tunisia** | 4.8% (2002 est.) |
| **Turkey** | 7.8% (2002 est.) |
| **Turkmenistan** | 21.1% (2002 est.) |
| **Turks and Caicos Islands** | 4.9% (2000 est.) |
| **Tuvalu** | 3% (2000 est.) |
| **Uganda** | 5.5% (2002 est.) |
| **Ukraine** | 4.8% (2002 est.) |
| **United Arab Emirates** | 1.8% (2002 est.) |
| **United Kingdom** | 1.8% (2002 est.) |
| **United States** | 2.4% (2002 est.) |
| **Uruguay** | -10.8% (2002 est.) |
| **Uzbekistan** | 4.2% (2002 est.) |
| **Vanuatu** | -0.3% (2002 est.) |
| **Venezuela** | -8.9% (2002 est.) |
| **Vietnam** | 7% (2002 est.) |
| **Virgin Islands** | 2% (2001 est.) |
| **Wallis and Futuna** | NA% |
| **West Bank** | -22% (2002 est.) |
| **Western Sahara** | NA% |
| **World** | 2.7% (2001 est.) |
| **Yemen** | 4.1% (2002 est.) |
| **Zambia** | 2.3% (2002 est.) |
| **Zimbabwe** | -13% (2002 est.) |

This page was last updated on 18 December, 2003
 
