CIA - The World Factbook --  Internet hosts   

This entry lists the number of Internet hosts available within a country. An Internet host is a computer connected directly to the Internet; normally an Internet Service Provider's (ISP) computer is a host. Internet users may use either a hard-wired terminal, at an institution with a mainframe computer connected directly to the Internet, or may connect remotely by way of a modem via telephone line, cable, or satellite to the Internet Service Provider's host computer. The number of hosts is one indicator of the extent of Internet connectivity.

| Rank | country | Internet hosts | Date of Information |
| 144 | Swaziland | 2,609 | 2009 |
| 145 | Christmas Island | 2,598 | 2009 |
| 146 | Cambodia | 2,480 | 2009 |
| 147 | Cook Islands | 2,480 | 2009 |
| 148 | Kuwait | 2,305 | 2009 |
| 149 | Gibraltar | 1,955 | 2009 |
| 150 | Burkina Faso | 1,951 | 2009 |
| 151 | Maldives | 1,732 | 2009 |
| 152 | Laos | 1,661 | 2009 |
| 153 | American Samoa | 1,606 | 2009 |
| 154 | Wallis and Futuna | 1,480 | 2009 |
| 155 | Sao Tome and Principe | 1,345 | 2009 |
| 156 | Eritrea | 1,307 | 2009 |
| 157 | Benin | 1,155 | 2009 |
| 158 | Nigeria | 1,098 | 2009 |
| 159 | Micronesia, Federated States of | 1,050 | 2009 |
| 160 | Vanuatu | 1,023 | 2009 |
| 161 | Tajikistan | 987 | 2009 |
| 162 | Gambia, The | 895 | 2009 |
| 163 | Togo | 784 | 2009 |
| 164 | Turkmenistan | 755 | 2009 |
| 165 | Malawi | 741 | 2009 |
| 166 | Qatar | 722 | 2009 |
| 167 | Puerto Rico | 700 | 2009 |
| 168 | Montserrat | 688 | 2009 |
| 169 | British Virgin Islands | 581 | 2009 |
| 170 | Mongolia | 524 | 2009 |
| 171 | Mali | 519 | 2009 |
| 172 | Algeria | 510 | 2009 |
| 173 | Dominica | 485 | 2009 |
| 174 | Isle of Man | 478 | 2009 |
| 175 | Tunisia | 406 | 2009 |
| 176 | South Georgia and South Sandwich Islands | 363 | 2009 |
| 177 | Tokelau | 360 | 2009 |
| 178 | Saint Helena | 343 | 2009 |
| 179 | Seychelles | 324 | 2009 |
| 180 | Sierra Leone | 273 | 2009 |
| 181 | Anguilla | 258 | 2009 |
| 182 | Niger | 253 | 2009 |
| 183 | Macau | 244 | 2009 |
| 184 | Yemen | 242 | 2009 |
| 185 | Barbados | 235 | 2009 |
| 186 | Senegal | 227 | 2009 |
| 187 | Jersey | 219 | 2009 |
| 188 | Djibouti | 199 | 2009 |
| 189 | Burundi | 191 | 2009 |
| 190 | Saint Vincent and the Grenadines | 181 | 2009 |
| 191 | Guernsey | 174 | 2009 |
| 192 | Timor-Leste | 169 | 2009 |
| 193 | Suriname | 162 | 2009 |
| 194 | British Indian Ocean Territory | 160 | 2009 |
| 195 | Ethiopia | 136 | 2009 |
| 196 | Burma | 128 | 2009 |
| 197 | Lesotho | 127 | 2009 |
| 198 | Saint Lucia | 103 | 2009 |
| 199 | Gabon | 91 | 2009 |
| 200 | Falkland Islands (Islas Malvinas) | 90 | 2009 |
| 201 | Norfolk Island | 89 | 2009 |
| 202 | Guinea-Bissau | 82 | 2009 |
| 203 | Rwanda | 81 | 2009 |
| 204 | Cameroon | 70 | 2009 |
| 205 | Holy See (Vatican City) | 63 | 2009 |
| 206 | Saint Kitts and Nevis | 53 | 2009 |
| 207 | Sudan | 48 | 2009 |
| 208 | Afghanistan | 47 | 2009 |
| 209 | Nauru | 47 | 2009 |
| 210 | French Southern and Antarctic Lands | 44 | 2009 |
| 211 | Grenada | 42 | 2009 |
| 212 | Kiribati | 41 | 2009 |
| 213 | Pitcairn Islands | 26 | 2009 |
| 214 | Cape Verde | 24 | 2009 |
| 215 | Central African Republic | 21 | 2009 |
| 216 | Congo, Republic of the | 18 | 2009 |
| 217 | Mauritania | 15 | 2009 |
| 218 | Guinea | 14 | 2009 |
| 219 | Iraq | 11 | 2009 |
| 220 | Northern Mariana Islands | 9 | 2009 |
| 221 | Equatorial Guinea | 9 | 2009 |
| 222 | Haiti | 9 | 2009 |
| 223 | Comoros | 7 | 2009 |
| 224 | Marshall Islands | 6 | 2009 |
| 225 | Chad | 5 | 2009 |
| 226 | Liberia | 5 | 2009 |
| 227 | Korea, North | 3 | 2009 |
| 228 | Palau | 2 | 2009 |
| 229 | Mayotte | 1 | 2009 |
| 230 | Bouvet Island | 0 | 2009 |
| 231 | Saint Pierre and Miquelon | 0 | 2009 |
| 232 | Somalia | 0 | 2009 |
