CIA - The World Factbook -- Field Listing - Administrative divisions

| Country | Administrative divisions |
| **Azerbaijan** | 59 rayons (rayonlar; rayon - singular), 11 cities* (saharlar; sahar - singular), 1 autonomous republic** (muxtar respublika); Abseron Rayonu, Agcabadi Rayonu, Agdam Rayonu, Agdas Rayonu, Agstafa Rayonu, Agsu Rayonu, Ali Bayramli Sahari*, Astara Rayonu, Baki Sahari*, Balakan Rayonu, Barda Rayonu, Beylaqan Rayonu, Bilasuvar Rayonu, Cabrayil Rayonu, Calilabad Rayonu, Daskasan Rayonu, Davaci Rayonu, Fuzuli Rayonu, Gadabay Rayonu, Ganca Sahari*, Goranboy Rayonu, Goycay Rayonu, Haciqabul Rayonu, Imisli Rayonu, Ismayilli Rayonu, Kalbacar Rayonu, Kurdamir Rayonu, Lacin Rayonu, Lankaran Rayonu, Lankaran Sahari*, Lerik Rayonu, Masalli Rayonu, Mingacevir Sahari*, Naftalan Sahari*, Naxcivan Muxtar Respublikasi**, Neftcala Rayonu, Oguz Rayonu, Qabala Rayonu, Qax Rayonu, Qazax Rayonu, Qobustan Rayonu, Quba Rayonu, Qubadli Rayonu, Qusar Rayonu, Saatli Rayonu, Sabirabad Rayonu, Saki Rayonu, Saki Sahari*, Salyan Rayonu, Samaxi Rayonu, Samkir Rayonu, Samux Rayonu, Siyazan Rayonu, Sumqayit Sahari*, Susa Rayonu, Susa Sahari*, Tartar Rayonu, Tovuz Rayonu, Ucar Rayonu, Xacmaz Rayonu, Xankandi Sahari*, Xanlar Rayonu, Xizi Rayonu, Xocali Rayonu, Xocavand Rayonu, Yardimli Rayonu, Yevlax Rayonu, Yevlax Sahari*, Zangilan Rayonu, Zaqatala Rayonu, Zardab Rayonu |
| **Bahamas, The** | 21 districts; Acklins and Crooked Islands, Bimini, Cat Island, Exuma, Freeport, Fresh Creek, Governor's Harbour, Green Turtle Cay, Harbour Island, High Rock, Inagua, Kemps Bay, Long Island, Marsh Harbour, Mayaguana, New Providence, Nichollstown and Berry Islands, Ragged Island, Rock Sound, Sandy Point, San Salvador and Rum Cay |
| **Bahrain** | 12 municipalities (manatiq, singular - mintaqah); Al Hadd, Al Manamah, Al Mintaqah al Gharbiyah, Al Mintaqah al Wusta, Al Mintaqah ash Shamaliyah, Al Muharraq, Ar Rifa' wa al Mintaqah al Janubiyah, Jidd Hafs, Madinat Hamad, Madinat 'Isa, Juzur Hawar, Sitrah |
| | *note:* all municipalities administered from Manama |
| **Bangladesh** | 5 divisions; Barisal, Chittagong, Dhaka, Khulna, Rajshahi; note - there may be one additional division named Sylhet |
| **Barbados** | 11 parishes; Christ Church, Saint Andrew, Saint George, Saint James, Saint John, Saint Joseph, Saint Lucy, Saint Michael, Saint Peter, Saint Philip, Saint Thomas; note - the city of Bridgetown may be given parish status |
| **Belarus** | 6 voblastsi (singular - voblasts') and one municipality* (harady, singular - horad); Brestskaya (Brest), Homyel'skaya (Homyel'), Horad Minsk*, Hrodzyenskaya (Hrodna), Mahilyowskaya (Mahilyow), Minskaya, Vitsyebskaya (Vitsyebsk); note - when using a place name with the adjectival ending 'skaya,' the word voblasts' should be added to the place name |
| | *note:* voblasti have the administrative center name following in parentheses |
| **Belgium** | 10 provinces (French: provinces, singular - province; Dutch: provincies, singular - provincie) and 3 regions* (French: regions; Dutch: gewesten); Antwerpen, Brabant Wallon, Brussels* (Bruxelles), Flanders*, Hainaut, Liege, Limburg, Luxembourg, Namur, Oost-Vlaanderen, Vlaams-Brabant, Wallonia*, West-Vlaanderen |
| **Belize** | 6 districts; Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo |
| **Benin** | 12 departments; Alibori, Atakora, Atlantique, Borgou, Collines, Kouffo, Donga, Littoral, Mono, Oueme, Plateau, Zou |
| **Bermuda** | 9 parishes and 2 municipalities*; Devonshire, Hamilton, Hamilton*, Paget, Pembroke, Saint George*, Saint George's, Sandys, Smith's, Southampton, Warwick |
| **Bhutan** | 18 districts (dzongkhag, singular and plural); Bumthang, Chhukha, Chirang, Dagana, Geylegphug, Ha, Lhuntshi, Mongar, Paro, Pemagatsel, Punakha, Samchi, Samdrup Jongkhar, Shemgang, Tashigang, Thimphu, Tongsa, Wangdi Phodrang |
| | *note:* there may be two new districts named Gasa and Yangtse |
| **Bolivia** | 9 departments (departamentos, singular - departamento); Chuquisaca, Cochabamba, Beni, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija |
| **Bosnia and Herzegovina** | there are two first-order administrative divisions and one internationally supervised district* - Brcko district (Brcko Distrikt)*, the Bosniak/Croat Federation of Bosnia and Herzegovina (Federacija Bosna i Hercegovina) and the Bosnian Serb-led Republika Srpska; note - Brcko district is in northeastern Bosnia and is an administrative unit under the sovereignty of Bosnia and Herzegovina; the district remains under international supervision |
| **Botswana** | 9 districts and four town councils*; Central, Francistown*, Gaborone*, Ghanzi, Kgalagadi, Kgatleng, Kweneng, Lobatse*, Northwest, Northeast, Selebi-Pikwe*, Southeast, Southern |
| **Brazil** | 26 states (estados, singular - estado) and 1 federal district* (distrito federal); Acre, Alagoas, Amapa, Amazonas, Bahia, Ceara, Distrito Federal*, Espirito Santo, Goias, Maranhao, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Para, Paraiba, Parana, Pernambuco, Piaui, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondonia, Roraima, Santa Catarina, Sao Paulo, Sergipe, Tocantins |
| **British Virgin Islands** | none (overseas territory of the UK) |
| **Brunei** | 4 districts (daerah-daerah, singular - daerah); Belait, Brunei and Muara, Temburong, Tutong |
| **Bulgaria** | 28 provinces (oblasti, singular - oblast); Blagoevgrad, Burgas, Dobrich, Gabrovo, Khaskovo, Kurdzhali, Kyustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smolyan, Sofiya, Sofiya-Grad, Stara Zagora, Turgovishte, Varna, Veliko Turnovo, Vidin, Vratsa, Yambol |
| **Burkina Faso** | 45 provinces; Bale, Bam, Banwa, Bazega, Bougouriba, Boulgou, Boulkiemde, Comoe, Ganzourgou, Gnagna, Gourma, Houet, Ioba, Kadiogo, Kenedougou, Komondjari, Kompienga, Kossi, Koulpelogo, Kouritenga, Kourweogo, Leraba, Loroum, Mouhoun, Namentenga, Nahouri, Nayala, Noumbiel, Oubritenga, Oudalan, Passore, Poni, Sanguie, Sanmatenga, Seno, Sissili, Soum, Sourou, Tapoa, Tuy, Yagha, Yatenga, Ziro, Zondoma, Zoundweogo |
| **Burma** | 7 divisions* (taing-myar, singular - taing) and 7 states (pyi ne-myar, singular - pyi ne); Chin State, Ayeyarwady*, Bago*, Kachin State, Kayin State, Kayah State, Magway*, Mandalay*, Mon State, Rakhine State, Sagaing*, Shan State, Tanintharyi*, Yangon* |
| **Burundi** | 16 provinces; Bubanza, Bujumbura, Bururi, Cankuzo, Cibitoke, Gitega, Karuzi, Kayanza, Kirundo, Makamba, Muramvya, Muyinga, Mwaro, Ngozi, Rutana, Ruyigi |
| **Cambodia** | 20 provinces (khett, singular and plural) and 4 municipalities* (krong, singular and plural); Banteay Mean Cheay, Batdambang, Kampong Cham, Kampong Chhnang, Kampong Spoe, Kampong Thum, Kampot, Kandal, Kaoh Kong, Keb*, Kracheh, Mondol Kiri, Otdar Mean Cheay, Pailin*, Phnum Penh*, Pouthisat, Preah Seihanu*, Preah Vihear, Prey Veng, Rotanah Kiri, Siem Reab, Stoeng Treng, Svay Rieng, Takev |
| **Cameroon** | 10 provinces; Adamaoua, Centre, Est, Extreme-Nord, Littoral, Nord, Nord-Ouest, Ouest, Sud, Sud-Ouest |
| **Canada** | 10 provinces and 3 territories*; Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories*, Nova Scotia, Nunavut*, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon Territory* |
| **Cape Verde** | 17 municipalities (concelhos, singular - concelho); Boa Vista, Brava, Maio, Mosteiros, Paul, Praia, Porto Novo, Ribeira Grande, Sal, Santa Catarina, Santa Cruz, Sao Domingos, Sao Filipe, Sao Miguel, Sao Nicolau, Sao Vicente, Tarrafal |
| **Cayman Islands** | 8 districts; Creek, Eastern, Midland, South Town, Spot Bay, Stake Bay, West End, Western |
| **Central African Republic** | 14 prefectures (prefectures, singular - prefecture), 2 economic prefectures* (prefectures economiques, singular - prefecture economique), and 1 commune**; Bamingui-Bangoran, Bangui**, Basse-Kotto, Haute-Kotto, Haut-Mbomou, Kemo, Lobaye, Mambere-Kadei, Mbomou, Nana-Grebizi*, Nana-Mambere, Ombella-Mpoko, Ouaka, Ouham, Ouham-Pende, Sangha-Mbaere*, Vakaga |
| **Chad** | 14 prefectures (prefectures, singular - prefecture); Batha, Biltine, Borkou-Ennedi-Tibesti, Chari-Baguirmi, Guera, Kanem, Lac, Logone Occidental, Logone Oriental, Mayo-Kebbi, Moyen-Chari, Ouaddai, Salamat, Tandjile |
| | *note:* instead of 14 prefectures, there may be a new administrative structure of 28 departments (departments, singular - department), and 1 city*; Assongha, Baguirmi, Bahr El Gazal, Bahr Koh, Batha Oriental, Batha Occidental, Biltine, Borkou, Dababa, Ennedi, Guera, Hadjer Lamis, Kabia, Kanem, Lac, Lac Iro, Logone Occidental, Logone Oriental, Mandoul, Mayo-Boneye, Mayo-Dallah, Monts de Lam, N'Djamena*, Ouaddai, Salamat, Sila, Tandjile Oriental, Tandjile Occidental, Tibesti |
| **Chile** | 13 regions (regiones, singular - region); Aisen del General Carlos Ibanez del Campo, Antofagasta, Araucania, Atacama, Bio-Bio, Coquimbo, Libertador General Bernardo O'Higgins, Los Lagos, Magallanes y de la Antartica Chilena, Maule, Region Metropolitana (Santiago), Tarapaca, Valparaiso |
| | *note:* the US does not recognize claims to Antarctica |
| **China** | 23 provinces (sheng, singular and plural), 5 autonomous regions* (zizhiqu, singular and plural), and 4 municipalities** (shi, singular and plural); Anhui, Beijing**, Chongqing**, Fujian, Gansu, Guangdong, Guangxi*, Guizhou, Hainan, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol*, Ningxia*, Qinghai, Shaanxi, Shandong, Shanghai**, Shanxi, Sichuan, Tianjin**, Xinjiang*, Xizang* (Tibet), Yunnan, Zhejiang; note - China considers Taiwan its 23rd province; see separate entries for the special administrative regions of Hong Kong and Macau |
| **Christmas Island** | none (territory of Australia) |
| **Cocos (Keeling) Islands** | none (territory of Australia) |
| **Colombia** | 32 departments (departamentos, singular - departamento) and 1 capital district* (distrito capital); Amazonas, Antioquia, Arauca, Atlantico, Distrito Capital de Bogota*, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Choco, Cordoba, Cundinamarca, Guainia, Guaviare, Huila, La Guajira, Magdalena, Meta, Narino, Norte de Santander, Putumayo, Quindio, Risaralda, San Andres y Providencia, Santander, Sucre, Tolima, Valle del Cauca, Vaupes, Vichada |
| **Comoros** | 3 islands; Grande Comore (Njazidja), Anjouan (Nzwani), and Moheli (Mwali); note - there are also four municipalities named Domoni, Fomboni, Moroni, and Moutsamoudou |
| **Congo, Democratic Republic of the** | 10 provinces (provinces, singular - province) and one city* (ville); Bandundu, Bas-Congo, Equateur, Kasai-Occidental, Kasai-Oriental, Katanga, Kinshasa*, Maniema, Nord-Kivu, Orientale, Sud-Kivu |
| **Congo, Republic of the** | 9 regions (regions, singular - region) and 1 commune*; Bouenza, Brazzaville*, Cuvette, Kouilou, Lekoumou, Likouala, Niari, Plateaux, Pool, Sangha |
| **Cook Islands** | none |
| **Costa Rica** | 7 provinces (provincias, singular - provincia); Alajuela, Cartago, Guanacaste, Heredia, Limon, Puntarenas, San Jose |
| **Cote d'Ivoire** | 58 departments (departements, singular - departement); Abengourou, Abidjan, Aboisso, Adiake, Adzope, Agboville, Agnibilekrou, Alepe, Bocanda, Bangolo, Beoumi, Biankouma, Bondoukou, Bongouanou, Bouafle, Bouake, Bouna, Boundiali, Dabakala, Dabou, Daloa, Danane, Daoukro, Dimbokro, Divo, Duekoue, Ferkessedougou, Gagnoa, Grand-Bassam, Grand-Lahou, Guiglo, Issia, Jacqueville, Katiola, Korhogo, Lakota, Man, Mankono, Mbahiakro, Odienne, Oume, Sakassou, San-Pedro, Sassandra, Seguela, Sinfra, Soubre, Tabou, Tanda, Tiebissou, Tingrela, Tiassale, Touba, Toulepleu, Toumodi, Vavoua, Yamoussoukro, Zuenoula |
| **Croatia** | 20 counties (zupanije, zupanija - singular) and 1 city* (grad - singular); Bjelovarsko-Bilogorska Zupanija, Brodsko-Posavska Zupanija, Dubrovacko-Neretvanska Zupanija, Istarska Zupanija, Karlovacka Zupanija, Koprivnicko-Krizevacka Zupanija, Krapinsko-Zagorska Zupanija, Licko-Senjska Zupanija, Medimurska Zupanija, Osjecko-Baranjska Zupanija, Pozesko-Slavonska Zupanija, Primorsko-Goranska Zupanija, Sibensko-Kninska Zupanija, Sisacko-Moslavacka Zupanija, Splitsko-Dalmatinska Zupanija, Varazdinska Zupanija, Viroviticko-Podravska Zupanija, Vukovarsko-Srijemska Zupanija, Zadarska Zupanija, Zagreb*, Zagrebacka Zupanija |
| **Cuba** | 14 provinces (provincias, singular - provincia) and 1 special municipality* (municipio especial); Camaguey, Ciego de Avila, Cienfuegos, Ciudad de La Habana, Granma, Guantanamo, Holguin, Isla de la Juventud*, La Habana, Las Tunas, Matanzas, Pinar del Rio, Sancti Spiritus, Santiago de Cuba, Villa Clara |
| **Cyprus** | 6 districts; Famagusta, Kyrenia, Larnaca, Limassol, Nicosia, Paphos; note - Turkish Cypriot area's administrative divisions include Kyrenia, all but a small part of Famagusta, and small parts of Lefkosa (Nicosia) and Larnaca |
| **Czech Republic** | 13 regions (kraje, singular - kraj) and 1 capital city* (hlavni mesto); Jihocesky Kraj, Jihomoravsky Kraj, Karlovarsky Kraj, Kralovehradecky Kraj, Liberecky Kraj, Moravskoslezsky Kraj, Olomoucky Kraj, Pardubicky Kraj, Plzensky Kraj, Praha*, Stredocesky Kraj, Ustecky Kraj, Vysocina, Zlinsky Kraj |
| **Denmark** | metropolitan Denmark - 14 counties (amter, singular - amt) and 2 boroughs* (amtskommuner, singular - amtskomunes); Arhus, Bornholm, Fredericksberg*, Frederiksborg, Fyn, Kobenhavn, Kobenhavns*, Nordjylland, Ribe, Ringkobing, Roskilde, Sonderjylland, Storstrom, Vejle, Vestsjalland, Viborg |
| | *note:* see separate entries for the Faroe Islands and Greenland, which are part of the Kingdom of Denmark and are self-governing overseas administrative divisions |
| **Djibouti** | 5 districts (cercles, singular - cercle); 'Ali Sabih, Dikhil, Djibouti, Obock, Tadjoura |
| **Dominica** | 10 parishes; Saint Andrew, Saint David, Saint George, Saint John, Saint Joseph, Saint Luke, Saint Mark, Saint Patrick, Saint Paul, Saint Peter |
| **Dominican Republic** | 29 provinces (provincias, singular - provincia) and 1 district* (distrito); Azua, Baoruco, Barahona, Dajabon, Distrito Nacional*, Duarte, Elias Pina, El Seibo, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanchez, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, Sanchez Ramirez, San Cristobal, San Juan, San Pedro de Macoris, Santiago, Santiago Rodriguez, Valverde |
| **East Timor** | 13 administrative districts; Aileu, Ainaro, Baucau, Bobonaro (Maliana), Cova-Lima (Suai), Dili, Ermera, Lautem (Los Palos), Liquica, Manatuto, Manufahi (Same), Oecussi (Ambeno), Viqueque |
| **Ecuador** | 22 provinces (provincias, singular - provincia); Azuay, Bolivar, Canar, Carchi, Chimborazo, Cotopaxi, El Oro, Esmeraldas, Galapagos, Guayas, Imbabura, Loja, Los Rios, Manabi, Morona-Santiago, Napo, Orellana, Pastaza, Pichincha, Sucumbios, Tungurahua, Zamora-Chinchipe |
| **Egypt** | 26 governorates (muhafazat, singular - muhafazah); Ad Daqahliyah, Al Bahr al Ahmar, Al Buhayrah, Al Fayyum, Al Gharbiyah, Al Iskandariyah, Al Isma'iliyah, Al Jizah, Al Minufiyah, Al Minya, Al Qahirah, Al Qalyubiyah, Al Wadi al Jadid, Ash Sharqiyah, As Suways, Aswan, Asyut, Bani Suwayf, Bur Sa'id, Dumyat, Janub Sina', Kafr ash Shaykh, Matruh, Qina, Shamal Sina', Suhaj |
| **El Salvador** | 14 departments (departamentos, singular - departamento); Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, Santa Ana, San Vicente, Sonsonate, Usulutan |
| **Equatorial Guinea** | 7 provinces (provincias, singular - provincia); Annobon, Bioko Norte, Bioko Sur, Centro Sur, Kie-Ntem, Litoral, Wele-Nzas |
| **Eritrea** | 6 regions (regions, singular - region); Central, Anelba, Southern Red Sea, Northern Red Sea, Southern, Gash-Barka |
| **Estonia** | *15 counties (maakonnad, singular - maakond):* Harjumaa (Tallinn), Hiiumaa (Kardla), Ida-Virumaa (Johvi), Jarvamaa (Paide), Jogevamaa (Jogeva), Laanemaa (Haapsalu), Laane-Virumaa (Rakvere), Parnumaa (Parnu), Polvamaa (Polva), Raplamaa (Rapla), Saaremaa (Kuressaare), Tartumaa (Tartu), Valgamaa (Valga), Viljandimaa (Viljandi), Vorumaa (Voru) |
| | *note:* counties have the administrative center name following in parentheses |
| **Ethiopia** | 9 ethnically-based states (kililoch, singular - kilil) and 2 self-governing administrations* (astedaderoch, singular - astedader); Adis Abeba* (Addis Ababa), Afar, Amara (Amhara), Binshangul Gumuz, Dire Dawa*, Gambela Hizboch (Gambela Peoples), Hareri Hizb (Harari People), Oromiya (Oromia), Sumale (Somali), Tigray, Ye Debub Biheroch Bihereseboch na Hizboch (Southern Nations, Nationalities and Peoples) |
| **Falkland Islands (Islas Malvinas)** | none (overseas territory of the UK; also claimed by Argentina) |
| **Faroe Islands** | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark); there are no first-order administrative divisions as defined by the US Government, but there are 49 municipalities |
| **Fiji** | 4 divisions and 1 dependency*; Central, Eastern, Northern, Rotuma*, Western |
| **Finland** | 6 provinces (laanit, singular - laani); Aland, Etela-Suomen Laani, Ita-Suomen Laani, Lansi-Suomen Laani, Lappi, Oulun Laani |
| **France** | 22 regions (regions, singular - region); Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Roussillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays de la Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote d'Azur, Rhone-Alpes |
| | *note:* metropolitan France is divided into 22 regions (including the "territorial collectivity" of Corse or Corsica) and is subdivided into 96 departments; see separate entries for the overseas departments (French Guiana, Guadeloupe, Martinique, Reunion) and the overseas territorial collectivities (Mayotte, Saint Pierre and Miquelon) |
| **French Guiana** | none (overseas department of France) |
| **French Polynesia** | none (overseas territory of France); there are no first-order administrative divisions as defined by the US Government, but there are 5 archipelagic divisions named Archipel des Marquises, Archipel des Tuamotu, Archipel des Tubuai, Iles du Vent, and Iles Sous-le-Vent |
| | *note:* Clipperton Island is administered by France from French Polynesia |
| **French Southern and Antarctic Lands** | none (overseas territory of France); there are no first-order administrative divisions as defined by the US Government, but there are 3 districts named Ile Crozet, Iles Kerguelen, and Iles Saint-Paul et Amsterdam; excludes "Adelie Land" claim in Antarctica that is not recognized by the US |
| **Gabon** | 9 provinces; Estuaire, Haut-Ogooue, Moyen-Ogooue, Ngounie, Nyanga, Ogooue-Ivindo, Ogooue-Lolo, Ogooue-Maritime, Woleu-Ntem |
| **Gambia, The** | 5 divisions and 1 city*; Banjul*, Central River, Lower River, North Bank, Upper River, Western |
| **Georgia** | 9 regions, (mkharebi, singular - mkhare), 9 cities* (k'alak'ebi, singular - k'alak'i), and 2 autonomous republics** (avtomnoy respubliki, singular - avtom respublika); Abkhazia or Ap'khazet'is Avtonomiuri Respublika** (Sokhumi), Ajaria or Acharis Avtonomiuri Respublika** (Bat'umi), Chiat'ura*, Gori*, Guria, Imereti, Kakheti, K'ut'aisi*, Kvemo Kartli, Mtskheta-Mtianeti, P'ot'i*, Racha-Lechkhumi and Kvemo Svaneti, Rust'avi*, Samegrelo and Zemo Svaneti, Samtskhe-Javakheti, Shida Kartli, T'bilisi*, Tqibuli*, Tsqaltubo*, Zugdidi* |
| | *note:* the administrative centers of the 2 autonomous republics are shown in parentheses |
| **Germany** | 16 states (Laender, singular - Land); Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen |
| **Ghana** | 10 regions; Ashanti, Brong-Ahafo, Central, Eastern, Greater Accra, Northern, Upper East, Upper West, Volta, Western |
| **Gibraltar** | none (overseas territory of the UK) |
| **Greece** | 51 prefectures (nomoi, singular - nomos)and 1 autonomous region*; Agion Oros* (Mt. Athos), Achaia, Aitolia kai Akarmania, Argolis, Arkadia, Arta, Attiki, Chalkidiki, Chanion, Chios, Dodekanisos, Drama, Evros, Evrytania, Evvoia, Florina, Fokidos, Fthiotis, Grevena, Ileia, Imathia, Ioannina, Irakleion, Karditsa, Kastoria, Kavala, Kefallinia, Kerkyra, Kilkis, Korinthia, Kozani, Kyklades, Lakonia, Larisa, Lasithi, Lefkas, Lesvos, Magnisia, Messinia, Pella, Pieria, Preveza, Rethynnis, Rodopi, Samos, Serrai, Thesprotia, Thessaloniki, Trikala, Voiotia, Xanthi, Zakynthos |
| **Greenland** | 3 districts (landsdele); Avannaa (Nordgronland), Tunu (Ostgronland), Kitaa (Vestgronland) |
| | *note:* there are 18 municipalities in Greenland |
| **Grenada** | 6 parishes and 1 dependency*; Carriacou and Petit Martinique*, Saint Andrew, Saint David, Saint George, Saint John, Saint Mark, Saint Patrick |
| **Guadeloupe** | none (overseas department of France) |
| **Guam** | none (territory of the US) |
| **Guatemala** | 22 departments (departamentos, singular - departamento); Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Peten, Quetzaltenango, Quiche, Retalhuleu, Sacatepequez, San Marcos, Santa Rosa, Solola, Suchitepequez, Totonicapan, Zacapa |
| **Guernsey** | none (British crown dependency); there are no first-order administrative divisions as defined by the US Government, but there are 10 parishes including Saint Peter Port, Saint Sampson, Vale, Castel, Saint Saviour, Saint Pierre du Bois, Torteval, Forest, Saint Martin, Saint Andrew |
| **Guinea** | 33 prefectures and 1 special zone (zone special)*; Beyla, Boffa, Boke, Conakry*, Coyah, Dabola, Dalaba, Dinguiraye, Dubreka, Faranah, Forecariah, Fria, Gaoual, Gueckedou, Kankan, Kerouane, Kindia, Kissidougou, Koubia, Koundara, Kouroussa, Labe, Lelouma, Lola, Macenta, Mali, Mamou, Mandiana, Nzerekore, Pita, Siguiri, Telimele, Tougue, Yomou |
| **Guinea-Bissau** | 9 regions (regioes, singular - regiao); Bafata, Biombo, Bissau, Bolama, Cacheu, Gabu, Oio, Quinara, Tombali; note - Bolama may have been renamed Bolama/Bijagos |
| **Guyana** | 10 regions; Barima-Waini, Cuyuni-Mazaruni, Demerara-Mahaica, East Berbice-Corentyne, Essequibo Islands-West Demerara, Mahaica-Berbice, Pomeroon-Supenaam, Potaro-Siparuni, Upper Demerara-Berbice, Upper Takutu-Upper Essequibo |
| **Haiti** | 9 departments (departements, singular - departement); Artibonite, Centre, Grand 'Anse, Nord, Nord-Est, Nord-Ouest, Ouest, Sud, Sud-Est |
| **Holy See (Vatican City)** | none |
| **Honduras** | 18 departments (departamentos, singular - departamento); Atlantida, Choluteca, Colon, Comayagua, Copan, Cortes, El Paraiso, Francisco Morazan, Gracias a Dios, Intibuca, Islas de la Bahia, La Paz, Lempira, Ocotepeque, Olancho, Santa Barbara, Valle, Yoro |
| **Hong Kong** | none (special administrative region of China) |
