CIA - The World Factbook --  Reserves of foreign exchange and gold   

This entry gives the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified. This category includes not only foreign currency and gold, but also a country's holdings of Special Drawing Rights in the International Monetary Fund, and its reserve position in the Fund.

| Rank | country | Reserves of foreign exchange and gold | Date of Information |
| 98 | Albania | $ 1,992,000,000 | 31 December 2010 est. |
| 99 | Mozambique | $ 1,982,000,000 | 31 December 2010 est. |
| 100 | Namibia | $ 1,961,000,000 | 31 December 2010 est. |
| 101 | Ethiopia | $ 1,880,000,000 | 31 December 2010 est. |
| 102 | Jamaica | $ 1,850,000,000 | 31 December 2010 est. |
| 103 | Kyrgyzstan | $ 1,615,000,000 | 31 December 2010 est. |
| 104 | Moldova | $ 1,600,000,000 | 31 December 2010 est. |
| 105 | Burkina Faso | $ 1,588,000,000 | 31 December 2010 est. |
| 106 | Nicaragua | $ 1,580,000,000 | 31 December 2010 est. |
| 107 | Benin | $ 1,254,000,000 | 31 December 2010 est. |
| 108 | Madagascar | $ 1,038,000,000 | 31 December 2010 est. |
| 109 | Haiti | $ 1,021,000,000 | 31 December 2010 est. |
| 110 | Congo, Democratic Republic of the | $ 1,010,000,000 | March 2010 est. |
| 111 | Lesotho | $ 893,000,000 | 31 December 2010 est. |
| 112 | Chad | $ 868,000,000 | 31 December 2010 est. |
| 113 | Rwanda | $ 816,000,000 | 31 December 2010 est. |
| 114 | Laos | $ 756,000,000 | 31 December 2010 est. |
| 115 | Swaziland | $ 708,000,000 | 31 December 2010 est. |
| 116 | Togo | $ 686,000,000 | 31 December 2010 est. |
| 117 | Barbados | $ 620,000,000 | 2007 |
| 118 | Malta | $ 522,000,000 | 31 December 2010 est. |
| 119 | Guyana | $ 506,000,000 | 31 December 2010 est. |
| 120 | Zimbabwe | $ 376,000,000 | 31 December 2010 est. |
| 121 | Burundi | $ 320,000,000 | 31 December 2010 est. |
| 122 | Tajikistan | $ 303,000,000 | 31 December 2010 est. |
| 123 | Malawi | $ 301,000,000 | 31 December 2010 est. |
| 124 | Cape Verde | $ 296,000,000 | 31 December 2010 est. |
| 125 | Suriname | $ 263,300,000 | 2006 |
| 126 | Belize | $ 219,000,000 | 31 December 2010 est. |
| 127 | Gambia, The | $ 203,000,000 | 31 December 2010 est. |
| 128 | Seychelles | $ 193,000,000 | 31 December 2010 est. |
| 129 | Eritrea | $ 104,000,000 | 31 December 2010 est. |
| 130 | Samoa | $ 70,150,000 | FY03/04 |
| 131 | Sao Tome and Principe | $ 46,000,000 | 31 December 2010 est. |
| 132 | Tonga | $ 40,830,000 | FY04/05 |
| 133 | Vanuatu | $ 40,540,000 | 2003 |
