CIA - The World Factbook --  RESERVES OF FOREIGN EXCHANGE AND GOLD

Reserves of foreign exchange and gold compares the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified.

| Rank | Country | RESERVES OF FOREIGN EXCHANGE AND GOLD | Date of Information |
| 74 | Finland | $11,400,000,000 | 31 December 2014 est. |
| 75 | Trinidad and Tobago | $10,990,000,000 | 31 December 2014 est. |
| 76 | Cuba | $10,400,000,000 | 31 December 2014 est. |
| 77 | Kenya | $9,259,000,000 | 31 December 2014 est. |
| 78 | Botswana | $8,885,000,000 | 31 December 2014 est. |
| 79 | Burma | $8,727,000,000 | 31 December 2014 est. |
| 80 | Lithuania | $8,524,000,000 | 31 December 2014 est. |
| 81 | Sri Lanka | $8,314,000,000 | 31 December 2014 est. |
| 82 | Guatemala | $7,546,000,000 | 31 December 2014 est. |
| 83 | Latvia | $7,507,000,000 | 31 December 2014 est. |
| 84 | Paraguay | $7,241,000,000 | 31 December 2014 est. |
| 85 | Tunisia | $7,198,000,000 | 31 December 2014 est. |
| 86 | Costa Rica | $7,067,000,000 | 31 December 2014 est. |
| 87 | Ecuador | $6,811,000,000 | 31 December 2014 est. |
| 88 | Afghanistan | $6,442,000,000 | 31 December 2013 est. |
| 89 | Bahrain | $6,011,000,000 | 31 December 2014 est. |
| 90 | Cambodia | $5,801,000,000 | 31 December 2014 est. |
| 91 | Greece | $5,752,000,000 | 31 December 2013 est. |
| 92 | Iceland | $5,692,000,000 | 31 December 2014 est. |
| 93 | Ghana | $5,482,000,000 | 31 December 2014 est. |
| 94 | Nepal | $5,439,000,000 | 31 December 2013 est. |
| 95 | Congo, Republic of the | $5,200,000,000 | 31 December 2014 est. |
| 96 | Tanzania | $4,758,000,000 | 31 December 2014 est. |
| 97 | Cote d'Ivoire | $4,752,000,000 | 31 December 2014 est. |
| 98 | Bosnia and Herzegovina | $4,750,000,000 | 31 December 2014 est. |
| 99 | Yemen | $4,688,000,000 | 31 December 2014 est. |
| 100 | Dominican Republic | $4,503,000,000 | 31 December 2014 est. |
| 101 | Mauritius | $4,018,000,000 | 31 December 2014 est. |
| 102 | Ethiopia | $3,785,000,000 | 31 December 2014 est. |
| 103 | Uganda | $3,711,000,000 | 31 December 2014 est. |
| 104 | Papua New Guinea | $3,647,000,000 | 31 December 2014 est. |
| 105 | Cameroon | $3,503,000,000 | 31 December 2014 est. |
| 106 | Belarus | $3,483,000,000 | 31 December 2014 est. |
| 107 | Mozambique | $3,334,000,000 | 31 December 2014 est. |
| 108 | Georgia | $3,283,000,000 | 31 December 2014 est. |
| 109 | Panama | $3,048,000,000 | 31 December 2014 est. |
| 110 | Zambia | $3,000,000,000 | 31 December 2014 est. |
| 111 | Honduras | $2,934,000,000 | 31 December 2014 est. |
| 112 | Macedonia | $2,869,000,000 | 31 December 2014 est. |
| 113 | Albania | $2,825,000,000 | 31 December 2014 est. |
| 114 | El Salvador | $2,773,000,000 | 31 December 2014 est. |
| 115 | Equatorial Guinea | $2,763,000,000 | 31 December 2014 est. |
| 116 | Moldova | $2,700,000,000 | 31 December 2014 est. |
| 117 | Gabon | $2,397,000,000 | 31 December 2014 est. |
| 118 | Slovakia | $2,379,000,000 | 31 December 2014 est. |
| 119 | Kyrgyzstan | $2,184,000,000 | 31 December 2014 est. |
| 120 | Jamaica | $2,100,000,000 | 31 December 2014 est. |
| 121 | Nicaragua | $2,080,000,000 | 31 December 2014 est. |
| 122 | Armenia | $1,977,000,000 | 31 December 2014 est. |
| 123 | Senegal | $1,950,000,000 | 31 December 2014 est. |
| 124 | Congo, Democratic Republic of the | $1,872,000,000 | 31 December 2014 est. |
| 125 | Syria | $1,725,000,000 | 31 December 2014 est. |
| 126 | Namibia | $1,651,000,000 | 31 December 2014 est. |
| 127 | Ireland | $1,635,000,000 | 31 December 2013 est. |
| 128 | Chad | $1,389,000,000 | 31 December 2014 est. |
| 129 | Haiti | $1,355,000,000 | 31 December 2014 est. |
| 130 | Sudan | $1,197,000,000 | 31 December 2014 est. |
| 131 | Rwanda | $1,128,000,000 | 31 December 2014 est. |
| 132 | Lesotho | $1,101,000,000 | 31 December 2014 est. |
| 133 | Bahamas, The | $1,025,000,000 | 31 December 2014 est. |
| 134 | Cyprus | $1,011,000,000 | 31 December 2014 est. |
| 135 | Madagascar | $1,005,000,000 | 31 December 2014 est. |
| 136 | Fiji | $981,600,000 | 31 December 2014 est. |
| 137 | Benin | $972,600,000 | 31 December 2014 est. |
| 138 | Luxembourg | $963,000,000 | 31 December 2013 est. |
| 139 | Slovenia | $921,000,000 | 31 December 2014 est. |
| 140 | Laos | $845,800,000 | 31 December 2014 est. |
| 141 | Swaziland | $780,900,000 | 31 December 2014 est. |
| 142 | Guyana | $779,200,000 | 31 December 2014 est. |
| 143 | Suriname | $775,400,000 | 31 December 2013 est. |
| 144 | Barbados | $667,600,000 | 31 December 2014 est. |
| 145 | Tajikistan | $651,800,000 | 31 December 2014 est. |
| 146 | Malta | $617,400,000 | 31 December 2014 est. |
| 147 | Togo | $546,000,000 | 31 December 2014 est. |
| 148 | Seychelles | $496,600,000 | 31 December 2014 est. |
| 149 | Burkina Faso | $493,600,000 | 31 December 2014 est. |
| 150 | Cabo Verde | $491,100,000 | 31 December 2014 est. |
| 151 | Malawi | $469,700,000 | 31 December 2014 est. |
| 152 | Zimbabwe | $448,000,000 | 31 December 2014 est. |
| 153 | Belize | $426,300,000 | 31 December 2014 est. |
| 154 | Montenegro | $400,000,000 | 31 December 2011 |
| 155 | Maldives | $368,300,000 | 31 December 2013 est. |
| 156 | Estonia | $366,000,000 | 31 December 2014 est. |
| 157 | Burundi | $321,400,000 | 31 December 2014 est. |
| 158 | San Marino | $308,600,000 | 2012 est. |
| 159 | Gambia, The | $227,900,000 | 31 December 2014 est. |
| 160 | Eritrea | $220,400,000 | 31 December 2014 est. |
| 161 | Vanuatu | $207,000,000 | 31 December 2014 est. |
| 162 | Guinea | $185,300,000 | 31 December 2014 est. |
| 163 | Samoa | $170,900,000 | 31 December 2013 est. |
| 164 | Tonga | $159,200,000 | 31 December 2014 est. |
| 165 | Saint Vincent and the Grenadines | $120,000,000 | 31 December 2014 est. |
| 166 | Dominica | $90,000,000 | 31 December 2014 est. |
| 167 | Micronesia, Federated States of | $75,060,000 | 31 December 2011 est. |
| 168 | Sao Tome and Principe | $68,600,000 | 31 December 2014 est. |
| 169 | Montserrat | $32,080,000 | 31 December 2012 est. |


