CIA - The World Factbook --  RESERVES OF FOREIGN EXCHANGE AND GOLD

Reserves of foreign exchange and gold compares the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified.

| Rank | Country | RESERVES OF FOREIGN EXCHANGE AND GOLD | Date of Information |
| 33 | Peru | $61,590,000,000 | 31 December 2015 est. |
| 34 | Sweden | $58,110,000,000 | 31 December 2015 est. |
| 35 | Norway | $57,460,000,000 | 31 December 2015 est. |
| 36 | Iraq | $54,060,000,000 | 31 December 2015 est. |
| 37 | Spain | $53,970,000,000 | 31 December 2015 est. |
| 38 | Australia | $49,270,000,000 | 31 December 2015 est. |
| 39 | Lebanon | $48,600,000,000 | 31 December 2015 est. |
| 40 | Colombia | $46,220,000,000 | 31 December 2015 est. |
| 41 | South Africa | $45,910,000,000 | 31 December 2015 est. |
| 42 | Romania | $38,710,000,000 | 31 December 2015 est. |
| 43 | Chile | $38,640,000,000 | 31 December 2015 est. |
| 44 | Netherlands | $38,210,000,000 | 31 December 2015 est. |
| 45 | Qatar | $37,260,000,000 | 31 December 2015 est. |
| 46 | Hungary | $33,130,000,000 | 31 December 2015 est. |
| 47 | Nigeria | $29,070,000,000 | 31 December 2015 est. |
| 48 | Vietnam | $28,620,000,000 | 31 December 2015 est. |
| 49 | Kuwait | $28,370,000,000 | 31 December 2015 est. |
| 50 | Kazakhstan | $28,070,000,000 | 31 December 2015 est. |
| 51 | Bangladesh | $27,490,000,000 | 31 December 2015 est. |
| 52 | Argentina | $25,520,000,000 | 31 December 2015 est. |
| 53 | Belgium | $24,100,000,000 | 31 December 2015 est. |
| 54 | Angola | $24,080,000,000 | 31 December 2015 est. |
| 55 | Morocco | $23,010,000,000 | 31 December 2015 est. |
| 56 | Austria | $22,240,000,000 | 31 December 2015 est. |
| 57 | Bulgaria | $22,090,000,000 | 31 December 2015 est. |
| 58 | Pakistan | $20,050,000,000 | 31 December 2015 est. |
| 59 | Portugal | $19,400,000,000 | 31 December 2015 est. |
| 60 | Macau | $18,890,000,000 | 31 December 2015 est. |
| 61 | Oman | $17,540,000,000 | 31 December 2015 est. |
| 62 | Jordan | $16,570,000,000 | 31 December 2015 est. |
| 63 | Venezuela | $16,370,000,000 | 31 December 2015 est. |
| 64 | Uruguay | $15,630,000,000 | 31 December 2015 est. |
| 65 | Egypt | $15,490,000,000 | 31 December 2015 est. |
| 66 | Uzbekistan | $15,000,000,000 | 31 December 2015 est. |
| 67 | Croatia | $14,970,000,000 | 31 December 2015 est. |
| 68 | New Zealand | $14,700,000,000 | 31 December 2015 est. |
| 69 | Turkmenistan | $13,620,000,000 | 31 December 2015 est. |
| 70 | Trinidad and Tobago | $13,590,000,000 | 31 December 2015 est. |
| 71 | Ukraine | $13,300,000,000 | 31 December 2015 est. |
| 72 | Bolivia | $13,060,000,000 | 31 December 2015 est. |
| 73 | Cuba | $12,100,000,000 | 31 December 2015 est. |
| 74 | Serbia | $11,350,000,000 | 31 December 2015 est. |
| 75 | Finland | $10,020,000,000 | 31 December 2015 est. |
| 76 | Burma | $8,463,000,000 | 31 December 2015 est. |
| 77 | Nepal | $7,945,000,000 | 31 December 2015 est. |
| 78 | Azerbaijan | $7,910,000,000 | 31 December 2015 est. |
| 79 | Costa Rica | $7,834,000,000 | 31 December 2015 est. |
| 80 | Guatemala | $7,746,000,000 | 31 December 2015 est. |
| 81 | Kenya | $7,548,000,000 | 31 December 2015 est. |
| 82 | Botswana | $7,546,000,000 | 31 December 2015 est. |
| 83 | Latvia | $7,507,000,000 | 31 December 2014 est. |
| 84 | Cambodia | $7,376,000,000 | 31 December 2015 est. |
| 85 | Sri Lanka | $7,303,000,000 | 31 December 2015 est. |
| 86 | Tunisia | $7,059,000,000 | 31 December 2015 est. |
| 87 | Afghanistan | $6,232,000,000 | 31 December 2015 est. |
| 88 | Greece | $6,026,000,000 | 31 December 2015 est. |
| 89 | Paraguay | $5,939,000,000 | 31 December 2015 est. |
| 90 | Ghana | $5,885,000,000 | 31 December 2015 est. |
| 91 | Dominican Republic | $5,266,000,000 | 31 December 2015 est. |
| 92 | Iceland | $5,041,000,000 | 31 December 2015 est. |
| 93 | Bosnia and Herzegovina | $4,791,000,000 | 31 December 2015 est. |
| 94 | Cote d'Ivoire | $4,716,000,000 | 31 December 2015 est. |
| 95 | Bahrain | $4,657,000,000 | 31 December 2015 est. |
| 96 | Mauritius | $4,260,000,000 | 31 December 2015 est. |
| 97 | Belarus | $4,176,000,000 | 31 December 2015 est. |
| 98 | Tanzania | $4,073,000,000 | 31 December 2015 est. |
| 99 | Honduras | $3,755,000,000 | 31 December 2015 est. |
| 100 | Panama | $3,378,000,000 | 31 December 2015 est. |
| 101 | Albania | $3,139,000,000 | 31 December 2015 est. |
| 102 | Ethiopia | $3,113,000,000 | 31 December 2015 est. |
| 103 | Zambia | $2,968,000,000 | 31 December 2015 est. |
| 104 | Jamaica | $2,914,000,000 | 31 December 2015 est. |
| 105 | Uganda | $2,909,000,000 | 31 December 2015 est. |
| 106 | Slovakia | $2,892,000,000 | 31 December 2015 est. |
| 107 | El Salvador | $2,787,000,000 | 31 December 2015 est. |
| 108 | Cameroon | $2,714,000,000 | 31 December 2015 est. |
| 109 | Mozambique | $2,582,000,000 | 31 December 2015 est. |
| 110 | Georgia | $2,521,000,000 | 31 December 2015 est. |
| 111 | Ecuador | $2,496,000,000 | 31 December 2015 est. |
| 112 | Nicaragua | $2,492,000,000 | 31 December 2015 est. |
| 113 | Macedonia | $2,471,000,000 | 31 December 2015 est. |
| 114 | Congo, Republic of the | $2,244,000,000 | 31 December 2015 est. |
| 115 | Senegal | $2,012,000,000 | 31 December 2015 est. |
| 116 | Yemen | $1,978,000,000 | 31 December 2015 est. |
| 117 | Haiti | $1,919,000,000 | 31 December 2015 est. |
| 118 | Gabon | $1,878,000,000 | 31 December 2015 est. |
| 119 | Kyrgyzstan | $1,778,000,000 | 31 December 2015 est. |
| 120 | Armenia | $1,775,000,000 | 31 December 2015 est. |
| 121 | Moldova | $1,757,000,000 | 31 December 2015 est. |
| 122 | Ireland | $1,748,000,000 | 31 December 2014 est. |
| 123 | Papua New Guinea | $1,738,000,000 | 31 December 2015 est. |
| 124 | Lithuania | $1,697,000,000 | 31 December 2015 est. |
| 125 | Namibia | $1,690,000,000 | 31 December 2015 est. |
| 126 | Congo, Democratic Republic of the | $1,216,000,000 | 31 December 2015 est. |
| 127 | Equatorial Guinea | $1,205,000,000 | 31 December 2015 est. |
| 128 | Laos | $1,058,000,000 | 31 December 2015 est. |
| 129 | Rwanda | $1,030,000,000 | 31 December 2015 est. |
| 130 | Fiji | $918,800,000 | 31 December 2015 est. |
| 131 | Lesotho | $904,200,000 | 31 December 2015 est. |
| 132 | Bahamas, The | $895,500,000 | 31 December 2015 est. |
| 133 | Slovenia | $856,200,000 | 31 December 2015 est. |
| 134 | Madagascar | $832,000,000 | 31 December 2015 est. |
| 135 | Cyprus | $807,600,000 | 31 December 2015 est. |
| 136 | Syria | $772,900,000 | 31 December 2015 est. |
| 137 | Luxembourg | $771,000,000 | 31 December 2015 est. |
| 138 | Benin | $731,600,000 | 31 December 2015 est. |
| 139 | Malawi | $693,100,000 | 31 December 2015 est. |
| 140 | Barbados | $657,500,000 | 31 December 2015 est. |
| 141 | Maldives | $627,400,000 | 31 December 2014 est. |
| 142 | Guyana | $600,900,000 | 31 December 2015 est. |
| 143 | Montenegro | $599,600,000 | 31 December 2014 est. |
| 144 | Togo | $574,000,000 | 31 December 2015 est. |
| 145 | Malta | $571,700,000 | 31 December 2015 est. |
| 146 | Swaziland | $548,000,000 | 31 December 2015 est. |
| 147 | Seychelles | $536,200,000 | 31 December 2015 est. |
| 148 | Cabo Verde | $494,500,000 | 31 December 2015 est. |
| 149 | Tajikistan | $494,300,000 | 31 December 2015 est. |
| 150 | Belize | $437,200,000 | 31 December 2015 est. |
| 151 | Estonia | $414,800,000 | 31 December 2015 est. |
| 152 | San Marino | $392,000,000 | 2014 est. |
| 153 | Chad | $382,900,000 | 31 December 2015 est. |
| 154 | Zimbabwe | $339,100,000 | 31 December 2015 est. |
| 155 | Suriname | $330,200,000 | 31 December 2015 est. |
| 156 | Vanuatu | $269,200,000 | 31 December 2015 est. |
| 157 | Burkina Faso | $259,600,000 | 31 December 2015 est. |
| 158 | Guinea | $233,500,000 | 31 December 2015 est. |
| 159 | Eritrea | $209,500,000 | 31 December 2015 est. |
| 160 | Sudan | $173,500,000 | 31 December 2015 est. |
| 161 | Saint Vincent and the Grenadines | $166,000,000 | 31 December 2015 est. |
| 162 | Tonga | $156,100,000 | 31 December 2015 est. |
| 163 | Samoa | $139,400,000 | 31 December 2015 est. |
| 164 | Burundi | $136,200,000 | 31 December 2015 est. |
| 165 | Dominica | $126,200,000 | 31 December 2015 est. |
| 166 | Gambia, The | $83,800,000 | 31 December 2015 est. |
| 167 | Micronesia, Federated States of | $75,060,000 | 31 December 2011 est. |
| 168 | Sao Tome and Principe | $72,860,000 | 31 December 2015 est. |
| 169 | Montserrat | $51,470,000 | 31 December 2015 est. |
| 170 | Somalia | $30,450,000 | 2014 est. |


