CIA - The World Factbook --  Reserves of foreign exchange and gold   

This entry gives the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified. This category includes not only foreign currency and gold, but also a country's holdings of Special Drawing Rights in the International Monetary Fund, and its reserve position in the Fund.

| Rank | country | Reserves of foreign exchange and gold | Date of Information |
| 48 | Macau | $ 34,030,000,000 | 31 December 2011 est. |
| 49 | Kazakhstan | $ 32,820,000,000 | 31 December 2012 est. |
| 50 | Belgium | $ 29,430,000,000 | 31 December 2011 est. |
| 51 | Kuwait | $ 29,260,000,000 | 31 December 2012 est. |
| 52 | Ukraine | $ 27,150,000,000 | 31 December 2012 est. |
| 53 | Qatar | $ 25,970,000,000 | 31 December 2012 est. |
| 54 | Venezuela | $ 25,230,000,000 | 31 December 2012 est. |
| 55 | Austria | $ 25,160,000,000 | 31 December 2011 est. |
| 56 | Portugal | $ 21,340,000,000 | 31 December 2011 est. |
| 57 | Vietnam | $ 20,900,000,000 | 31 December 2012 est. |
| 58 | Turkmenistan | $ 20,680,000,000 | 31 December 2012 est. |
| 59 | New Zealand | $ 18,330,000,000 | 31 December 2012 est. |
| 60 | Bulgaria | $ 17,930,000,000 | 31 December 2012 est. |
| 61 | Morocco | $ 17,750,000,000 | 31 December 2012 est. |
| 62 | Serbia | $ 16,200,000,000 | 31 December 2012 est. |
| 63 | Uzbekistan | $ 16,000,000,000 | 31 December 2012 est. |
| 64 | Oman | $ 15,870,000,000 | 31 December 2012 est. |
| 65 | Egypt | $ 15,260,000,000 | 31 December 2012 est. |
| 66 | Croatia | $ 14,980,000,000 | 31 December 2012 est. |
| 67 | Bolivia | $ 13,620,000,000 | 31 December 2012 est. |
| 68 | Pakistan | $ 13,500,000,000 | 30 November 2012 est. |
| 69 | Uruguay | $ 12,230,000,000 | 31 December 2012 est. |
| 70 | Jordan | $ 10,700,000,000 | 31 December 2012 est. |
| 71 | Trinidad and Tobago | $ 10,650,000,000 | 31 December 2012 est. |
| 72 | Bangladesh | $ 10,190,000,000 | 31 December 2012 est. |
| 73 | Finland | $ 9,900,000,000 | 31 December 2012 est. |
| 74 | Azerbaijan | $ 9,870,000,000 | 31 December 2012 est. |
| 75 | Iceland | $ 9,095,000,000 | 31 December 2012 est. |
| 76 | Lithuania | $ 8,821,000,000 | 31 December 2012 est. |
| 77 | Botswana | $ 8,648,000,000 | 31 December 2012 est. |
| 78 | Tunisia | $ 7,424,000,000 | 31 December 2012 est. |
| 79 | Sri Lanka | $ 7,400,000,000 | 31 December 2012 est. |
| 80 | Latvia | $ 6,925,000,000 | 31 December 2012 est. |
| 81 | Greece | $ 6,900,000,000 | 31 December 2011 est. |
| 82 | Guatemala | $ 6,311,000,000 | 31 December 2012 est. |
| 83 | Congo, Republic of the | $ 6,033,000,000 | 31 December 2012 est. |
| 84 | Ghana | $ 5,888,000,000 | 31 December 2012 est. |
| 85 | Belarus | $ 5,624,000,000 | 31 December 2012 est. |
| 86 | Costa Rica | $ 5,461,000,000 | 31 December 2012 est. |
| 87 | Kenya | $ 5,396,000,000 | 31 December 2012 est. |
| 88 | Paraguay | $ 5,326,000,000 | 31 December 2012 est. |
| 89 | Afghanistan | $ 5,268,000,000 | 31 December 2011 est. |
| 90 | Cuba | $ 5,232,000,000 | 31 December 2012 est. |
| 91 | Papua New Guinea | $ 5,207,000,000 | 31 December 2012 est. |
| 92 | Bahrain | $ 4,853,000,000 | 31 December 2012 est. |
| 93 | Syria | $ 4,774,000,000 | 31 December 2012 est. |
| 94 | Yemen | $ 4,700,000,000 | 31 December 2012 est. |
| 95 | Cote d'Ivoire | $ 4,515,000,000 | 31 December 2012 est. |
| 96 | Dominican Republic | $ 4,317,000,000 | 31 December 2012 est. |
| 97 | Burma | $ 4,107,000,000 | 31 December 2012 est. |
| 98 | Bosnia and Herzegovina | $ 3,900,000,000 | 31 December 2012 est. |
| 99 | Cameroon | $ 3,851,000,000 | 31 December 2012 est. |
| 100 | Equatorial Guinea | $ 3,825,000,000 | 31 December 2012 est. |
| 101 | Tanzania | $ 3,787,000,000 | 31 December 2012 est. |
| 102 | Cambodia | $ 3,732,000,000 | 31 December 2012 est. |
| 103 | Nepal | $ 3,631,000,000 | 31 December 2011 est. |
| 104 | Georgia | $ 3,586,000,000 | 31 December 2012 est. |
| 105 | Panama | $ 3,314,000,000 | 31 December 2012 est. |
| 106 | Ecuador | $ 3,248,000,000 | 31 December 2012 est. |
| 107 | Honduras | $ 3,150,000,000 | 31 December 2012 est. |
| 108 | Ethiopia | $ 3,024,000,000 | 31 December 2012 est. |
| 109 | Mauritius | $ 2,848,000,000 | 31 December 2012 est. |
| 110 | Uganda | $ 2,705,000,000 | 31 December 2012 est. |
| 111 | Macedonia | $ 2,698,000,000 | 31 December 2012 est. |
| 112 | Slovakia | $ 2,676,000,000 | 31 December 2012 est. |
| 113 | Mozambique | $ 2,626,000,000 | 31 December 2012 est. |
| 114 | El Salvador | $ 2,623,000,000 | 31 December 2012 est. |
| 115 | Zambia | $ 2,616,000,000 | 31 December 2012 est. |
| 116 | Gabon | $ 2,430,000,000 | 31 December 2012 est. |
| 117 | Albania | $ 2,350,000,000 | 31 December 2012 est. |
| 118 | Senegal | $ 2,250,000,000 | 31 December 2012 est. |
| 119 | Moldova | $ 2,200,000,000 | 31 December 2012 est. |
| 120 | Kyrgyzstan | $ 2,164,000,000 | 31 December 2012 est. |
| 121 | Armenia | $ 2,016,000,000 | 31 December 2012 est. |
| 122 | Jamaica | $ 1,900,000,000 | 31 December 2012 est. |
| 123 | Nicaragua | $ 1,900,000,000 | 31 December 2012 est. |
| 124 | Namibia | $ 1,840,000,000 | 31 December 2012 est. |
| 125 | Ireland | $ 1,703,000,000 | 31 December 2011 est. |
| 126 | Burkina Faso | $ 1,433,000,000 | 31 December 2012 est. |
| 127 | Haiti | $ 1,307,000,000 | 31 December 2012 est. |
| 128 | Madagascar | $ 1,294,000,000 | 31 December 2012 est. |
| 129 | Cyprus | $ 1,207,000,000 | 2011 est. |
| 130 | Rwanda | $ 1,198,000,000 | 31 December 2012 est. |
| 131 | Slovenia | $ 1,154,000,000 | 31 December 2012 est. |
| 132 | Bahamas, The | $ 1,095,000,000 | 31 December 2012 est. |
| 133 | Lesotho | $ 1,089,000,000 | 31 December 2012 est. |
| 134 | Suriname | $ 1,048,000,000 | 31 December 2011 est. |
| 135 | Luxembourg | $ 1,014,000,000 | 31 December 2011 est. |
| 136 | Fiji | $ 1,007,000,000 | 31 December 2012 est. |
| 137 | Guyana | $ 1,002,000,000 | 31 December 2012 est. |
| 138 | Benin | $ 977,000,000 | 31 December 2012 est. |
| 139 | Barbados | $ 855,300,000 | 31 December 2012 est. |
| 140 | Laos | $ 821,700,000 | 31 December 2012 est. |
| 141 | Congo, Democratic Republic of the | $ 810,200,000 | 31 December 2012 est. |
| 142 | Chad | $ 799,700,000 | 31 December 2012 est. |
| 143 | Swaziland | $ 752,300,000 | 31 December 2012 est. |
| 144 | Togo | $ 678,000,000 | 31 December 2012 est. |
| 145 | Tajikistan | $ 596,500,000 | 31 December 2012 est. |
| 146 | Guinea | $ 535,500,000 | 31 December 2012 est. |
| 147 | Malta | $ 498,400,000 | 31 December 2012 est. |
| 148 | Zimbabwe | $ 422,000,000 | 31 December 2012 est. |
| 149 | Montenegro | $ 400,000,000 | 31 December 2011 |
| 150 | Cape Verde | $ 393,500,000 | 31 December 2012 est. |
| 151 | Burundi | $ 335,800,000 | 31 December 2012 est. |
| 152 | Malawi | $ 315,300,000 | 31 December 2012 est. |
| 153 | Sudan | $ 297,900,000 | 31 December 2012 est. |
| 154 | Seychelles | $ 272,800,000 | 31 December 2012 est. |
| 155 | Belize | $ 238,900,000 | 31 December 2012 est. |
| 156 | Gambia, The | $ 225,300,000 | 31 December 2012 est. |
| 157 | Estonia | $ 217,000,000 | 31 December 2012 est. |
| 158 | Vanuatu | $ 173,800,000 | 31 December 2011 est. |
| 159 | Eritrea | $ 171,200,000 | 31 December 2012 est. |
| 160 | Samoa | $ 166,800,000 | 31 December 2011 est. |
| 161 | Tonga | $ 118,300,000 | 31 December 2012 est. |
| 162 | Dominica | $ 85,000,000 | 31 December 2012 est. |
| 163 | Micronesia, Federated States of | $ 75,060,000 | 31 December 2011 est. |
| 164 | Sao Tome and Principe | $ 44,700,000 | 31 December 2012 est. |
| 165 | Kiribati | $ 8,370,000 | 2010 est. |
