CIA - The World Factbook --  Reserves of foreign exchange and gold   

This entry gives the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified. This category includes not only foreign currency and gold, but also a country's holdings of Special Drawing Rights in the International Monetary Fund, and its reserve position in the Fund.

| Rank | country | Reserves of foreign exchange and gold | Date of Information |
| 101 | El Salvador | $ 2,545,000,000 | 31 December 2008 est. |
| 102 | Iceland | $ 2,500,000,000 | 31 December 2008 est. |
| 103 | Honduras | $ 2,492,000,000 | 31 December 2008 est. |
| 104 | Albania | $ 2,364,000,000 | 31 December 2008 est. |
| 105 | Uganda | $ 2,301,000,000 | 31 December 2008 est. |
| 106 | Dominican Republic | $ 2,288,000,000 | 31 December 2008 est. |
| 107 | Cote d'Ivoire | $ 2,252,000,000 | 31 December 2008 est. |
| 108 | Macedonia | $ 2,109,000,000 | 31 December 2008 est. |
| 109 | Ghana | $ 2,028,000,000 | 31 December 2008 est. |
| 110 | Papua New Guinea | $ 1,987,000,000 | 31 December 2008 est. |
| 111 | Gabon | $ 1,925,000,000 | 31 December 2008 est. |
| 112 | Mauritius | $ 1,785,000,000 | 31 December 2008 est. |
| 113 | Jamaica | $ 1,767,000,000 | 31 December 2008 est. |
| 114 | Moldova | $ 1,672,000,000 | 31 December 2008 est. |
| 115 | Senegal | $ 1,601,000,000 | 31 December 2008 est. |
| 116 | Mozambique | $ 1,578,000,000 | 31 December 2008 est. |
| 117 | Georgia | $ 1,480,000,000 | 31 December 2008 est. |
| 118 | Armenia | $ 1,407,000,000 | 31 December 2008 est. |
| 119 | Sudan | $ 1,399,000,000 | 31 December 2008 est. |
| 120 | Chad | $ 1,347,000,000 | 31 December 2008 est. |
| 121 | Namibia | $ 1,293,000,000 | 31 December 2008 est. |
| 122 | Benin | $ 1,261,000,000 | 31 December 2008 est. |
| 123 | Kyrgyzstan | $ 1,225,000,000 | 31 December 2008 est. |
| 124 | Nicaragua | $ 1,141,000,000 | 31 December 2008 est. |
| 125 | Zambia | $ 1,096,000,000 | 31 December 2008 est. |
| 126 | Ireland | $ 1,023,000,000 | 31 December 2008 est. |
| 127 | Cyprus | $ 1,003,000,000 | 31 December 2008 est. |
| 128 | Lesotho | $ 993,000,000 | 31 December 2008 est. |
| 129 | Madagascar | $ 982,300,000 | 31 December 2008 est. |
| 130 | Burkina Faso | $ 926,300,000 | 31 December 2008 est. |
| 131 | Ethiopia | $ 870,500,000 | 31 December 2008 est. |
| 132 | Laos | $ 803,000,000 | 31 December 2008 est. |
| 133 | Swaziland | $ 752,000,000 | 31 December 2008 est. |
| 134 | Haiti | $ 708,000,000 | 31 December 2008 est. |
| 135 | Barbados | $ 620,000,000 | 2007 |
| 136 | Rwanda | $ 596,000,000 | 31 December 2008 est. |
| 137 | Togo | $ 580,000,000 | 31 December 2008 est. |
| 138 | Luxembourg | $ 397,800,000 | 31 December 2008 est. |
| 139 | Malta | $ 373,400,000 | 31 December 2008 est. |
| 140 | Guyana | $ 355,900,000 | 31 December 2008 est. |
| 141 | Burundi | $ 266,700,000 | 31 December 2008 est. |
| 142 | Suriname | $ 263,300,000 | 2006 |
| 143 | Cape Verde | $ 258,000,000 | 31 December 2008 est. |
| 144 | Tajikistan | $ 195,000,000 | 31 December 2008 est. |
| 145 | Malawi | $ 185,000,000 | 31 December 2008 est. |
| 146 | Belize | $ 166,200,000 | 31 December 2008 est. |
| 147 | Gambia, The | $ 140,000,000 | 31 December 2008 est. |
| 148 | Zimbabwe | $ 96,000,000 | 31 December 2008 est. |
| 149 | Guinea | $ 93,000,000 | 31 December 2008 est. |
| 150 | Samoa | $ 70,150,000 | FY03/04 |
| 151 | Seychelles | $ 64,000,000 | 31 December 2008 est. |
| 152 | Sao Tome and Principe | $ 43,000,000 | 31 December 2008 est. |
| 153 | Tonga | $ 40,830,000 | yearend, FY04/05 |
| 154 | Vanuatu | $ 40,540,000 | 2003 |
| 155 | Eritrea | $ 24,000,000 | 31 December 2008 est. |
