CIA - The World Factbook --  Reserves of foreign exchange and gold   

Reserves of foreign exchange and gold compares the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified.

| Rank | country | Reserves of foreign exchange and gold | Date of Information |
| 136 | Fiji | $ 963,700,000 | 31 December 2013 est. |
| 137 | Slovenia | $ 889,000,000 | 31. December 2013 est. |
| 138 | Lesotho | $ 857,900,000 | 31 December 2013 est. |
| 139 | Guyana | $ 854,700,000 | 31 December 2013 est. |
| 140 | Cyprus | $ 853,000,000 | 31 December 2013 est. |
| 141 | Laos | $ 845,400,000 | 31 December 2013 est. |
| 142 | Bahamas, The | $ 830,000,000 | 31 December 2013 est. |
| 143 | Swaziland | $ 801,400,000 | 31 December 2013 est. |
| 144 | Benin | $ 720,300,000 | 31 December 2013 est. |
| 145 | Barbados | $ 712,600,000 | 31 December 2013 est. |
| 146 | Togo | $ 531,400,000 | 31 December 2013 est. |
| 147 | Zimbabwe | $ 437,000,000 | 31 December 2013 est. |
| 148 | Cabo Verde | $ 426,200,000 | 31 December 2013 est. |
| 149 | Montenegro | $ 400,000,000 | 31 December 2011 |
| 150 | Malta | $ 377,000,000 | 31 December 2013 est. |
| 151 | Estonia | $ 372,300,000 | 31 December 2013 est. |
| 152 | Malawi | $ 364,200,000 | 31 December 2013 est. |
| 153 | Seychelles | $ 362,400,000 | 31 December 2013 est. |
| 154 | Maldives | $ 356,000,000 | 30 November 2012 est. |
| 155 | Burundi | $ 314,600,000 | 31 December 2013 est. |
| 156 | San Marino | $ 308,600,000 | 2012 est. |
| 157 | Belize | $ 273,000,000 | 31 December 2013 est. |
| 158 | Gambia, The | $ 251,200,000 | 31 December 2013 est. |
| 159 | Sudan | $ 202,200,000 | 31 December 2013 est. |
| 160 | Eritrea | $ 192,900,000 | 31 December 2013 est. |
| 161 | Guinea | $ 183,100,000 | 31 December 2013 est. |
| 162 | Vanuatu | $ 174,200,000 | 31 December 2013 est. |
| 163 | Samoa | $ 168,700,000 | 31 December 2012 est. |
| 164 | Tonga | $ 147,100,000 | 31 December 2013 est. |
| 165 | Saint Vincent and the Grenadines | $ 115,000,000 | 31 December 2013 est. |
| 166 | Dominica | $ 90,000,000 | 31 December 2013 est. |
| 167 | Micronesia, Federated States of | $ 75,060,000 | 31 December 2011 est. |
| 168 | Sao Tome and Principe | $ 46,600,000 | 31 December 2013 est. |
| 169 | Montserrat | $ 32,080,000 | 31 December 2012 est. |


