CIA - The World Factbook --  Reserves of foreign exchange and gold   

This entry gives the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified. This category includes not only foreign currency and gold, but also a country's holdings of Special Drawing Rights in the International Monetary Fund, and its reserve position in the Fund.

| Rank | country | Reserves of foreign exchange and gold | Date of Information |
| 62 | Macau | $ 16,600,000,000 | 31 December 2012 est. |
| 63 | Uzbekistan | $ 16,000,000,000 | 31 December 2012 est. |
| 64 | Egypt | $ 14,930,000,000 | 31 December 2012 est. |
| 65 | Croatia | $ 14,810,000,000 | 31 December 2012 est. |
| 66 | Oman | $ 14,400,000,000 | 31 December 2012 est. |
| 67 | Serbia | $ 14,400,000,000 | 31 December 2012 est. |
| 68 | Bolivia | $ 13,930,000,000 | 31 December 2012 est. |
| 69 | Pakistan | $ 13,800,000,000 | 31 December 2012 est. |
| 70 | Uruguay | $ 13,600,000,000 | 31 December 2012 est. |
| 71 | Bangladesh | $ 12,750,000,000 | 31 December 2012 est. |
| 72 | Azerbaijan | $ 11,280,000,000 | 31 December 2012 est. |
| 73 | Finland | $ 11,080,000,000 | 31 December 2012 est. |
| 74 | Trinidad and Tobago | $ 9,897,000,000 | 31 December 2012 est. |
| 75 | Jordan | $ 8,829,000,000 | 31 December 2012 est. |
| 76 | Lithuania | $ 8,529,000,000 | 31 December 2012 est. |
| 77 | Tunisia | $ 8,360,000,000 | 31 December 2012 est. |
| 78 | Botswana | $ 7,628,000,000 | 31 December 2012 est. |
| 79 | Latvia | $ 7,523,000,000 | 31 December 2012 est. |
| 80 | Greece | $ 7,255,000,000 | 31 December 2012 est. |
| 81 | Sri Lanka | $ 7,105,000,000 | 31 December 2012 est. |
| 82 | Burma | $ 6,977,000,000 | 31 December 2012 est. |
| 83 | Costa Rica | $ 6,857,000,000 | 31 December 2012 est. |
| 84 | Guatemala | $ 6,694,000,000 | 31 December 2012 est. |
| 85 | Yemen | $ 6,158,000,000 | 31 December 2012 est. |
| 86 | Afghanistan | $ 5,983,000,000 | 31 December 2012 est. |
| 87 | Belarus | $ 5,809,000,000 | 31 December 2012 est. |
| 88 | Kenya | $ 5,712,000,000 | 31 December 2012 est. |
| 89 | Ghana | $ 5,705,000,000 | 31 December 2012 est. |
| 90 | Congo, Republic of the | $ 5,568,000,000 | 31 December 2012 est. |
| 91 | Bahrain | $ 5,211,000,000 | 31 December 2012 est. |
| 92 | Paraguay | $ 4,994,000,000 | 31 December 2012 est. |
| 93 | Cambodia | $ 4,938,000,000 | 31 December 2012 est. |
| 94 | Syria | $ 4,793,000,000 | 31 December 2012 est. |
| 95 | Cuba | $ 4,693,000,000 | 31 December 2012 est. |
| 96 | Equatorial Guinea | $ 4,397,000,000 | 31 December 2012 est. |
| 97 | Nepal | $ 4,339,000,000 | 31 December 2012 est. |
| 98 | Bosnia and Herzegovina | $ 4,283,000,000 | 31 December 2012 est. |
| 99 | Iceland | $ 4,192,000,000 | 31 December 2012 est. |
| 100 | Tanzania | $ 4,053,000,000 | 31 December 2012 est. |
| 101 | Papua New Guinea | $ 4,001,000,000 | 31 December 2012 est. |
| 102 | Cote d'Ivoire | $ 3,928,000,000 | 31 December 2012 est. |
| 103 | Dominican Republic | $ 3,579,000,000 | 31 December 2012 est. |
| 104 | Cameroon | $ 3,431,000,000 | 31 December 2012 est. |
| 105 | Ethiopia | $ 3,272,000,000 | 31 December 2012 est. |
| 106 | El Salvador | $ 3,176,000,000 | 31 December 2012 est. |
| 107 | Uganda | $ 3,167,000,000 | 31 December 2012 est. |
| 108 | Mauritius | $ 3,046,000,000 | 31 December 2012 est. |
| 109 | Zambia | $ 3,042,000,000 | 31 December 2012 est. |
| 110 | Macedonia | $ 2,891,000,000 | 31 December 2012 est. |
| 111 | Georgia | $ 2,873,000,000 | 31 December 2012 est. |
| 112 | Mozambique | $ 2,770,000,000 | 31 December 2012 est. |
| 113 | Albania | $ 2,600,000,000 | 31 December 2012 est. |
| 114 | Honduras | $ 2,533,000,000 | 31 December 2012 est. |
| 115 | Slovakia | $ 2,519,000,000 | 31 December 2012 est. |
| 116 | Moldova | $ 2,515,000,000 | 31 December 2012 est. |
| 117 | Ecuador | $ 2,483,000,000 | 31 December 2012 est. |
| 118 | Panama | $ 2,466,000,000 | 31 December 2012 est. |
| 119 | Gabon | $ 2,373,000,000 | 31 December 2012 est. |
| 120 | Senegal | $ 2,082,000,000 | 31 December 2012 est. |
| 121 | Kyrgyzstan | $ 2,066,000,000 | 31 December 2012 est. |
| 122 | Jamaica | $ 1,981,000,000 | 31 December 2012 est. |
| 123 | Nicaragua | $ 1,887,000,000 | 31 December 2012 est. |
| 124 | Armenia | $ 1,799,000,000 | 31 December 2012 est. |
| 125 | Namibia | $ 1,738,000,000 | 31 December 2012 est. |
| 126 | Ireland | $ 1,707,000,000 | 31 December 2012 est. |
| 127 | Congo, Democratic Republic of the | $ 1,633,000,000 | 31 December 2012 est. |
| 128 | Haiti | $ 1,287,000,000 | 31 December 2012 est. |
| 129 | Cyprus | $ 1,191,000,000 | 31 December 2012 est. |
| 130 | Madagascar | $ 1,191,000,000 | 31 December 2012 est. |
| 131 | Chad | $ 1,174,000,000 | 31 December 2012 est. |
| 132 | Burkina Faso | $ 1,025,000,000 | 31 December 2012 est. |
| 133 | Suriname | $ 1,008,000,000 | 31 December 2012 est. |
| 134 | Luxembourg | $ 991,000,000 | 31 December 2012 est. |
| 135 | Slovenia | $ 951,900,000 | 31 December 2012 est. |
| 136 | Fiji | $ 921,400,000 | 31 December 2012 est. |
| 137 | Guyana | $ 864,000,000 | 31 December 2012 est. |
| 138 | Rwanda | $ 847,800,000 | 31 December 2012 est. |
| 139 | Bahamas, The | $ 846,900,000 | 31 December 2012 est. |
| 140 | Barbados | $ 839,700,000 | 31 December 2012 est. |
| 141 | Laos | $ 796,900,000 | 31 December 2012 est. |
| 142 | Lesotho | $ 749,400,000 | 31 December 2012 est. |
| 143 | Swaziland | $ 741,000,000 | 31 December 2012 est. |
| 144 | Benin | $ 712,800,000 | 31 December 2012 est. |
| 145 | Malta | $ 704,900,000 | 31 December 2012 est. |
| 146 | Tajikistan | $ 628,500,000 | 31 December 2012 est. |
| 147 | Zimbabwe | $ 575,600,000 | 31 December 2012 est. |
| 148 | Togo | $ 441,600,000 | 31 December 2012 est. |
| 149 | Montenegro | $ 400,000,000 | 31 December 2011 |
| 150 | Cabo Verde | $ 376,000,000 | 31 December 2012 est. |
| 151 | Maldives | $ 356,000,000 | 30 November 2012 est. |
| 152 | Seychelles | $ 318,700,000 | 31 December 2012 est. |
| 153 | Burundi | $ 308,800,000 | 31 December 2012 est. |
| 154 | Estonia | $ 300,700,000 | 31 December 2012 est. |
| 155 | Belize | $ 288,900,000 | 31 December 2012 est. |
| 156 | Malawi | $ 246,000,000 | 31 December 2012 est. |
| 157 | Gambia, The | $ 236,200,000 | 31 December 2012 est. |
| 158 | Sudan | $ 192,600,000 | 31 December 2012 est. |
| 159 | Vanuatu | $ 187,300,000 | 31 December 2012 est. |
| 160 | Eritrea | $ 174,400,000 | 31 December 2012 est. |
| 161 | Guinea | $ 174,300,000 | 31 December 2012 est. |
| 162 | Samoa | $ 168,700,000 | 31 December 2012 est. |
| 163 | Tonga | $ 152,400,000 | 31 December 2012 est. |
| 164 | Saint Vincent and the Grenadines | $ 111,000,000 | 31 December 2012 est. |
| 165 | Dominica | $ 94,560,000 | 31 December 2012 est. |
| 166 | Micronesia, Federated States of | $ 75,060,000 | 31 December 2011 est. |
| 167 | Sao Tome and Principe | $ 51,590,000 | 31 December 2012 est. |
| 168 | Montserrat | $ 32,080,000 | 31 December 2012 est. |


