CIA - The World Factbook --  Hospital bed density   

This entry provides the number of hospital beds per 1,000 people; it serves as a general measure of inpatient service availability. Hospital beds include inpatient beds available in public, private, general, and specialized hospitals and rehabilitation centers. In most cases, beds for both acute and chronic care are included. Because the level of inpatient services required for individual countries depends on several factors - such as demographic issues and the burden of disease - there is no global target for the number of hospital beds per country. So, while 2 beds per 1,000 in one country may be sufficient, 2 beds per 1,000 in another may be woefully inadequate because of the amount of people hospitalized by disease.

| Rank | country | (beds/1,000 population) | Date of Information |
| 71 | Sri Lanka | 3.10 | 2004 |
| 72 | Bahamas, The | 3.10 | 2008 |
| 73 | United States | 3.10 | 2008 |
| 74 | Bosnia and Herzegovina | 3.04 | 2005 |
| 75 | Saint Vincent and the Grenadines | 3.00 | 2007 |
| 76 | Zimbabwe | 3.00 | 2006 |
| 77 | World | 2.94 | 2005 |
| 78 | Albania | 2.92 | 2007 |
| 79 | Uruguay | 2.90 | 2007 |
| 80 | Vietnam | 2.87 | 2008 |
| 81 | South Africa | 2.84 | 2005 |
| 82 | Brunei | 2.71 | 2008 |
| 83 | Marshall Islands | 2.70 | 2009 |
| 84 | Namibia | 2.67 | 2009 |
| 85 | Andorra | 2.62 | 2007 |
| 86 | Maldives | 2.60 | 2005 |
| 87 | Trinidad and Tobago | 2.50 | 2008 |
| 88 | Tonga | 2.44 | 2008 |
| 89 | Turkey | 2.41 | 2008 |
| 90 | Grenada | 2.40 | 2009 |
| 91 | Brazil | 2.40 | 2009 |
| 92 | Antigua and Barbuda | 2.20 | 2009 |
| 93 | Comoros | 2.20 | 2006 |
| 94 | Panama | 2.20 | 2009 |
| 95 | Saudi Arabia | 2.20 | 2008 |
| 96 | Thailand | 2.20 | 2002 |
| 97 | Chile | 2.10 | 2009 |
| 98 | Swaziland | 2.10 | 2006 |
| 99 | Tunisia | 2.10 | 2009 |
| 100 | Fiji | 2.08 | 2008 |
| 101 | Cape Verde | 2.07 | 2009 |
| 102 | Equatorial Guinea | 1.92 | 2009 |
| 103 | Oman | 1.90 | 2008 |
| 104 | United Arab Emirates | 1.90 | 2008 |
| 105 | Bahrain | 1.90 | 2008 |
| 106 | Zambia | 1.90 | 2008 |
| 107 | Guyana | 1.90 | 2007 |
| 108 | Malaysia | 1.82 | 2009 |
| 109 | Botswana | 1.81 | 2008 |
| 110 | Jordan | 1.80 | 2009 |
| 111 | Kiribati | 1.80 | 2008 |
| 112 | Bhutan | 1.70 | 2006 |
| 113 | Algeria | 1.70 | 2004 |
| 114 | Jamaica | 1.70 | 2009 |
| 115 | Egypt | 1.70 | 2009 |
| 116 | Vanuatu | 1.69 | 2008 |
| 117 | Rwanda | 1.60 | 2007 |
| 118 | Mexico | 1.60 | 2008 |
| 119 | Congo, Republic of the | 1.60 | 2005 |
| 120 | Cameroon | 1.50 | 2006 |
| 121 | Syria | 1.50 | 2009 |
| 122 | Peru | 1.50 | 2009 |
| 123 | Ecuador | 1.50 | 2008 |
| 124 | Saint Lucia | 1.40 | 2009 |
| 125 | Kenya | 1.40 | 2006 |
| 126 | Solomon Islands | 1.40 | 2005 |
| 127 | Qatar | 1.40 | 2008 |
| 128 | Iran | 1.38 | 2006 |
| 129 | Lesotho | 1.33 | 2006 |
| 130 | Iraq | 1.30 | 2009 |
| 131 | Haiti | 1.30 | 2007 |
| 132 | Venezuela | 1.30 | 2007 |
| 133 | Paraguay | 1.30 | 2009 |
| 134 | Gabon | 1.25 | 2008 |
| 135 | Costa Rica | 1.20 | 2008 |
| 136 | Central African Republic | 1.20 | 2006 |
| 137 | Laos | 1.20 | 2005 |
| 138 | Eritrea | 1.15 | 2006 |
| 139 | Gambia, The | 1.13 | 2009 |
| 140 | Tanzania | 1.10 | 2006 |
| 141 | Bolivia | 1.10 | 2009 |
| 142 | Morocco | 1.10 | 2009 |
| 143 | Malawi | 1.10 | 2007 |
| 144 | Belize | 1.10 | 2009 |
| 145 | El Salvador | 1.10 | 2009 |
| 146 | Colombia | 1.00 | 2007 |
| 147 | Dominican Republic | 1.00 | 2009 |
| 148 | Samoa | 0.97 | 2005 |
| 149 | Guinea-Bissau | 0.96 | 2009 |
| 150 | Ghana | 0.93 | 2009 |
| 151 | Burkina Faso | 0.90 | 2006 |
| 152 | Nicaragua | 0.90 | 2008 |
| 153 | India | 0.90 | 2005 |
| 154 | Togo | 0.85 | 2005 |
| 155 | Angola | 0.80 | 2005 |
| 156 | Mozambique | 0.80 | 2006 |
| 157 | Honduras | 0.80 | 2009 |
| 158 | Congo, Democratic Republic of the | 0.80 | 2006 |
| 159 | Burundi | 0.73 | 2006 |
| 160 | Liberia | 0.70 | 2009 |
| 161 | Yemen | 0.70 | 2009 |
| 162 | Sudan | 0.70 | 2008 |
| 163 | Guatemala | 0.60 | 2009 |
| 164 | Indonesia | 0.60 | 2002 |
| 165 | Burma | 0.60 | 2006 |
| 166 | Pakistan | 0.60 | 2009 |
| 167 | Mali | 0.57 | 2008 |
| 168 | Nigeria | 0.53 | 2004 |
| 169 | Philippines | 0.50 | 2006 |
| 170 | Benin | 0.50 | 2005 |
| 171 | Chad | 0.43 | 2005 |
| 172 | Bangladesh | 0.40 | 2005 |
| 173 | Sierra Leone | 0.40 | 2006 |
| 174 | Cote d'Ivoire | 0.40 | 2006 |
| 175 | Mauritania | 0.40 | 2006 |
| 176 | Afghanistan | 0.40 | 2009 |
| 177 | Uganda | 0.39 | 2009 |
| 178 | Senegal | 0.34 | 2008 |
| 179 | Niger | 0.31 | 2005 |
| 180 | Guinea | 0.31 | 2005 |
| 181 | Madagascar | 0.30 | 2005 |
| 182 | Ethiopia | 0.18 | 2008 |
| 183 | Cambodia | 0.10 | 2004 |
