CIA - The World Factbook --  GDP (official exchange rate)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at official exchange rates (OER) is the home-currency-denominated annual GDP figure divided by the bilateral average US exchange rate with that country in that year. The measure is simple to compute and gives a precise measure of the value of output. Many economists prefer this measure when gauging the economic power an economy maintains vis-à-vis its neighbors, judging that an exchange rate captures the purchasing power a nation enjoys in the international marketplace. Official exchange rates, however, can be artificially fixed and/or subject to manipulation - resulting in claims of the country having an under- or over-valued currency - and are not necessarily the equivalent of a market-determined exchange rate. Moreover, even if the official exchange rate is market-determined, market exchange rates are frequently established by a relatively small set of goods and services (the ones the country trades) and may not capture the value of the larger set of goods the country produces. Furthermore, OER-converted GDP is not well suited to comparing domestic GDP over time, since appreciation/depreciation from one year to the next will make the OER GDP value rise/fall regardless of whether home-currency-denominated GDP changed.

| Rank | country | GDP (official exchange rate) | Date of Information |
| 103 | Bahrain | $ 21,730,000,000 | 2010 est. |
| 104 | Trinidad and Tobago | $ 21,200,000,000 | 2010 est. |
| 105 | Estonia | $ 19,220,000,000 | 2010 est. |
| 106 | Bolivia | $ 19,180,000,000 | 2010 est. |
| 107 | Ghana | $ 18,060,000,000 | 2010 est. |
| 108 | Paraguay | $ 17,170,000,000 | 2010 est. |
| 109 | Uganda | $ 17,120,000,000 | 2010 est. |
| 110 | Afghanistan | $ 16,630,000,000 | 2010 est. |
| 111 | Bosnia and Herzegovina | $ 16,200,000,000 | 2010 est. |
| 112 | Zambia | $ 15,690,000,000 | 2010 est. |
| 113 | Honduras | $ 15,340,000,000 | 2010 est. |
| 114 | Nepal | $ 15,110,000,000 | 2010 est. |
| 115 | Equatorial Guinea | $ 14,550,000,000 | 2010 est. |
| 116 | Jamaica | $ 13,740,000,000 | 2010 est. |
| 117 | Iceland | $ 12,770,000,000 | 2010 est. |
| 118 | Senegal | $ 12,660,000,000 | 2010 est. |
| 119 | Congo, Democratic Republic of the | $ 12,600,000,000 | 2010 est. |
| 120 | Gabon | $ 12,560,000,000 | 2010 est. |
| 121 | Botswana | $ 12,500,000,000 | 2010 est. |
| 122 | Brunei | $ 11,960,000,000 | 2010 est. |
| 123 | Congo, Republic of the | $ 11,880,000,000 | 2010 est. |
| 124 | Albania | $ 11,580,000,000 | 2010 est. |
| 125 | Namibia | $ 11,450,000,000 | 2010 est. |
| 126 | Cambodia | $ 11,360,000,000 | 2010 est. |
| 127 | Georgia | $ 11,230,000,000 | 2010 est. |
| 128 | Mozambique | $ 10,210,000,000 | 2010 est. |
| 129 | Macedonia | $ 9,580,000,000 | 2010 est. |
| 130 | Mauritius | $ 9,427,000,000 | 2010 est. |
| 131 | Mali | $ 9,077,000,000 | 2010 est. |
| 132 | Armenia | $ 8,830,000,000 | 2010 est. |
| 133 | Papua New Guinea | $ 8,809,000,000 | 2010 est. |
| 134 | Burkina Faso | $ 8,672,000,000 | 2010 est. |
| 135 | Madagascar | $ 8,330,000,000 | 2010 est. |
| 136 | Malta | $ 7,801,000,000 | 2010 est. |
| 137 | Chad | $ 7,592,000,000 | 2010 est. |
| 138 | Bahamas, The | $ 7,538,000,000 | 2010 est. |
| 139 | West Bank | $ 6,641,000,000 | 2008 est. |
| 140 | Haiti | $ 6,495,000,000 | 2010 est. |
| 141 | Benin | $ 6,494,000,000 | 2010 est. |
| 142 | Nicaragua | $ 6,375,000,000 | 2010 est. |
| 143 | Laos | $ 6,341,000,000 | 2010 est. |
| 144 | French Polynesia | $ 6,100,000,000 | 2004 |
| 145 | Mongolia | $ 5,807,000,000 | 2010 est. |
| 146 | Rwanda | $ 5,693,000,000 | 2010 est. |
| 147 | Niger | $ 5,603,000,000 | 2010 est. |
| 148 | Tajikistan | $ 5,578,000,000 | 2010 est. |
| 149 | Zimbabwe | $ 5,574,000,000 | 2010 est. |
| 150 | Moldova | $ 5,357,000,000 | 2010 est. |
| 151 | Jersey | $ 5,100,000,000 | 2005 est. |
| 152 | Curacao | $ 5,080,000,000 | 2008 est. |
| 153 | Malawi | $ 5,035,000,000 | 2010 est. |
| 154 | Liechtenstein | $ 4,603,000,000 | 2007 |
| 155 | Kyrgyzstan | $ 4,444,000,000 | 2010 est. |
| 156 | Guinea | $ 4,344,000,000 | 2010 est. |
| 157 | Barbados | $ 3,963,000,000 | 2010 est. |
| 158 | Montenegro | $ 3,884,000,000 | 2010 est. |
| 159 | Mauritania | $ 3,486,000,000 | 2010 est. |
| 160 | New Caledonia | $ 3,300,000,000 | 2003 est. |
| 161 | Suriname | $ 3,297,000,000 | 2010 est. |
| 162 | Kosovo | $ 3,237,000,000 | 2007 est. |
| 163 | Swaziland | $ 3,165,000,000 | 2010 est. |
| 164 | Fiji | $ 3,154,000,000 | 2010 est. |
| 165 | Togo | $ 3,074,000,000 | 2010 est. |
| 166 | Guernsey | $ 2,742,000,000 | 2005 |
| 167 | Isle of Man | $ 2,719,000,000 | 2005 est. |
| 168 | Faroe Islands | $ 2,450,000,000 | 2008 est. |
| 169 | Somalia | $ 2,372,000,000 | 2010 est. |
| 170 | Aruba | $ 2,258,000,000 | 2005 est. |
| 171 | Eritrea | $ 2,254,000,000 | 2010 est. |
| 172 | Cayman Islands | $ 2,250,000,000 | 2008 est. |
| 173 | Guyana | $ 2,197,000,000 | 2010 est. |
| 174 | Central African Republic | $ 2,113,000,000 | 2010 est. |
| 175 | Greenland | $ 2,030,000,000 | 2008 |
| 176 | Sierra Leone | $ 1,901,000,000 | 2010 est. |
| 177 | Lesotho | $ 1,799,000,000 | 2010 est. |
| 178 | Cape Verde | $ 1,573,000,000 | 2010 est. |
| 179 | Burundi | $ 1,469,000,000 | 2010 est. |
| 180 | Maldives | $ 1,433,000,000 | 2010 est. |
| 181 | Belize | $ 1,431,000,000 | 2010 est. |
| 182 | Bhutan | $ 1,397,000,000 | 2010 est. |
| 183 | Djibouti | $ 1,139,000,000 | 2010 est. |
| 184 | Gibraltar | $ 1,106,000,000 | 2006 est. |
| 185 | Antigua and Barbuda | $ 1,099,000,000 | 2010 est. |
| 186 | British Virgin Islands | $ 1,095,000,000 | 2008 |
| 187 | San Marino | $ 1,048,000,000 | 2004 |
| 188 | Gambia, The | $ 1,040,000,000 | 2010 est. |
| 189 | Saint Lucia | $ 1,000,000,000 | 2010 est. |
| 190 | Liberia | $ 977,000,000 | 2010 est. |
| 191 | Seychelles | $ 919,000,000 | 2010 est. |
| 192 | Guinea-Bissau | $ 825,000,000 | 2010 est. |
| 193 | Sint Maarten | $ 794,700,000 | 2008 |
| 194 | Vanuatu | $ 721,000,000 | 2010 est. |
| 195 | Solomon Islands | $ 674,000,000 | 2010 est. |
| 196 | Grenada | $ 645,000,000 | 2010 est. |
| 197 | Northern Mariana Islands | $ 633,400,000 | 2000 |
| 198 | Timor-Leste | $ 616,000,000 | 2010 est. |
| 199 | Saint Vincent and the Grenadines | $ 583,000,000 | 2010 est. |
| 200 | Saint Kitts and Nevis | $ 562,000,000 | 2010 est. |
| 201 | Comoros | $ 557,000,000 | 2010 est. |
| 202 | Samoa | $ 550,000,000 | 2010 est. |
| 203 | American Samoa | $ 462,200,000 | 2005 |
| 204 | Dominica | $ 375,000,000 | 2010 est. |
| 205 | Tonga | $ 301,000,000 | 2010 est. |
| 206 | Micronesia, Federated States of | $ 238,100,000 | 2008 |
| 207 | Sao Tome and Principe | $ 187,000,000 | 2010 est. |
| 208 | Cook Islands | $ 183,200,000 | 2005 est. |
| 209 | Anguilla | $ 175,400,000 | 2009 est. |
| 210 | Palau | $ 164,000,000 | 2008 |
| 211 | Marshall Islands | $ 161,700,000 | 2008 est. |
| 212 | Kiribati | $ 152,000,000 | 2010 est. |
| 213 | Falkland Islands (Islas Malvinas) | $ 105,100,000 | 2002 est. |
| 214 | Tuvalu | $ 14,940,000 | 2002 |
| 215 | Niue | $ 10,010,000 | 2003 |
