CIA - The World Factbook --  GDP (official exchange rate)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at official exchange rates (OER) is the home-currency-denominated annual GDP figure divided by the bilateral average US exchange rate with that country in that year. The measure is simple to compute and gives a precise measure of the value of output. Many economists prefer this measure when gauging the economic power an economy maintains vis-Ã -vis its neighbors, judging that an exchange rate captures the purchasing power a nation enjoys in the international marketplace. Official exchange rates, however, can be artificially fixed and/or subject to manipulation - resulting in claims of the country having an under- or over-valued currency - and are not necessarily the equivalent of a market-determined exchange rate. Moreover, even if the official exchange rate is market-determined, market exchange rates are frequently established by a relatively small set of goods and services (the ones the country trades) and may not capture the value of the larger set of goods the country produces. Furthermore, OER-converted GDP is not well suited to comparing domestic GDP over time, since appreciation/depreciation from one year to the next will make the OER GDP value rise/fall regardless of whether home-currency-denominated GDP changed.

| Rank | country | GDP (official exchange rate) | Date of Information |
| 88 | Lebanon | $ 41,770,000,000 | 2012 est. |
| 89 | Lithuania | $ 41,220,000,000 | 2012 est. |
| 90 | Ghana | $ 40,120,000,000 | 2012 est. |
| 91 | Serbia | $ 37,200,000,000 | 2012 est. |
| 92 | Macau | $ 36,430,000,000 | 2011 est. |
| 93 | Yemen | $ 36,370,000,000 | 2012 est. |
| 94 | Panama | $ 34,820,000,000 | 2012 est. |
| 95 | Turkmenistan | $ 33,470,000,000 | 2012 est. |
| 96 | Jordan | $ 31,350,000,000 | 2012 est. |
| 97 | Korea, North | $ 28,000,000,000 | 2009 est. |
| 98 | Tanzania | $ 27,980,000,000 | 2012 est. |
| 99 | Latvia | $ 27,190,000,000 | 2012 est. |
| 100 | Bolivia | $ 26,750,000,000 | 2012 est. |
| 101 | Bahrain | $ 26,510,000,000 | 2012 est. |
| 102 | Paraguay | $ 26,090,000,000 | 2012 est. |
| 103 | Cameroon | $ 24,510,000,000 | 2012 est. |
| 104 | Cote d'Ivoire | $ 24,270,000,000 | 2012 est. |
| 105 | El Salvador | $ 23,990,000,000 | 2012 est. |
| 106 | Trinidad and Tobago | $ 23,840,000,000 | 2012 est. |
| 107 | Cyprus | $ 22,450,000,000 | 2012 est. |
| 108 | Estonia | $ 21,420,000,000 | 2012 est. |
| 109 | Zambia | $ 20,680,000,000 | 2012 est. |
| 110 | Equatorial Guinea | $ 20,650,000,000 | 2012 est. |
| 111 | Uganda | $ 20,460,000,000 | 2012 est. |
| 112 | Afghanistan | $ 19,850,000,000 | 2012 est. |
| 113 | Nepal | $ 19,420,000,000 | 2012 est. |
| 114 | Honduras | $ 18,180,000,000 | 2012 est. |
| 115 | Congo, Democratic Republic of the | $ 17,700,000,000 | 2012 est. |
| 116 | Botswana | $ 17,640,000,000 | 2012 est. |
| 117 | Brunei | $ 16,850,000,000 | 2012 est. |
| 118 | Gabon | $ 16,800,000,000 | 2012 est. |
| 119 | Bosnia and Herzegovina | $ 16,550,000,000 | 2012 est. |
| 120 | Georgia | $ 15,800,000,000 | 2012 est. |
| 121 | Papua New Guinea | $ 15,390,000,000 | 2012 est. |
| 122 | Jamaica | $ 15,260,000,000 | 2012 est. |
| 123 | Mozambique | $ 14,640,000,000 | 2012 est. |
| 124 | Cambodia | $ 14,250,000,000 | 2012 est. |
| 125 | Senegal | $ 13,950,000,000 | 2012 est. |
| 126 | Congo, Republic of the | $ 13,740,000,000 | 2012 est. |
| 127 | Iceland | $ 13,550,000,000 | 2012 est. |
| 128 | Albania | $ 12,390,000,000 | 2012 est. |
| 129 | Namibia | $ 12,150,000,000 | 2012 est. |
| 130 | Mauritius | $ 11,930,000,000 | 2012 est. |
| 131 | South Sudan | $ 11,450,000,000 | 2012 est. |
| 132 | Zimbabwe | $ 10,800,000,000 | 2012 est. |
| 133 | Armenia | $ 10,550,000,000 | 2012 est. |
| 134 | Burkina Faso | $ 10,270,000,000 | 2012 est. |
| 135 | Macedonia | $ 10,200,000,000 | 2012 est. |
| 136 | Madagascar | $ 10,050,000,000 | 2012 est. |
| 137 | Mongolia | $ 9,923,000,000 | 2012 est. |
| 138 | Chad | $ 9,723,000,000 | 2012 est. |
| 139 | Mali | $ 9,603,000,000 | 2012 est. |
| 140 | Laos | $ 9,269,000,000 | 2012 est. |
| 141 | Malta | $ 8,415,000,000 | 2012 est. |
| 142 | Bahamas, The | $ 8,249,000,000 | 2012 est. |
| 143 | Haiti | $ 7,895,000,000 | 2012 est. |
| 144 | Nicaragua | $ 7,828,000,000 | 2012 est. |
| 145 | Moldova | $ 7,589,000,000 | 2012 est. |
| 146 | Benin | $ 7,541,000,000 | 2012 est. |
| 147 | Tajikistan | $ 7,263,000,000 | 2012 est. |
| 148 | Rwanda | $ 6,950,000,000 | 2012 est. |
| 149 | West Bank | $ 6,641,000,000 | 2008 est. |
| 150 | Niger | $ 6,556,000,000 | 2012 est. |
| 151 | Kosovo | $ 6,300,000,000 | 2012 est. |
| 152 | Kyrgyzstan | $ 6,197,000,000 | 2012 est. |
| 153 | French Polynesia | $ 6,100,000,000 | 2004 |
| 154 | Guinea | $ 5,744,000,000 | 2012 est. |
| 155 | Monaco | $ 5,470,000,000 | 2010 est. |
| 156 | Jersey | $ 5,100,000,000 | 2005 est. |
| 157 | Suriname | $ 5,094,000,000 | 2012 est. |
| 158 | Curacao | $ 5,080,000,000 | 2008 est. |
| 159 | Liechtenstein | $ 4,662,000,000 | 2010 |
| 160 | Barbados | $ 4,533,000,000 | 2012 est. |
| 161 | Malawi | $ 4,490,000,000 | 2012 est. |
| 162 | Montenegro | $ 4,332,000,000 | 2012 est. |
| 163 | Timor-Leste | $ 4,214,000,000 | 2012 est. |
| 164 | Mauritania | $ 4,096,000,000 | 2012 est. |
| 165 | Fiji | $ 3,946,000,000 | 2012 est. |
| 166 | Sierra Leone | $ 3,824,000,000 | 2012 est. |
| 167 | Swaziland | $ 3,651,000,000 | 2012 est. |
| 168 | Togo | $ 3,624,000,000 | 2012 est. |
| 169 | New Caledonia | $ 3,300,000,000 | 2003 est. |
| 170 | Eritrea | $ 3,108,000,000 | 2012 est. |
| 171 | Guyana | $ 2,788,000,000 | 2012 est. |
| 172 | Guam | $ 2,773,000,000 | 2001 |
| 173 | Guernsey | $ 2,742,000,000 | 2005 |
| 174 | Isle of Man | $ 2,719,000,000 | 2005 est. |
| 175 | Lesotho | $ 2,620,000,000 | 2012 est. |
| 176 | Burundi | $ 2,530,000,000 | 2012 est. |
| 177 | Somalia | $ 2,372,000,000 | 2010 est. |
| 178 | Faroe Islands | $ 2,320,000,000 | 2010 est. |
| 179 | Aruba | $ 2,258,000,000 | 2005 est. |
| 180 | Cayman Islands | $ 2,250,000,000 | 2008 est. |
| 181 | Central African Republic | $ 2,168,000,000 | 2012 est. |
| 182 | Greenland | $ 2,160,000,000 | 2011 est. |
| 183 | Cape Verde | $ 1,857,000,000 | 2012 est. |
| 184 | San Marino | $ 1,850,000,000 | 2012 est. |
| 185 | Liberia | $ 1,767,000,000 | 2012 est. |
| 186 | Belize | $ 1,520,000,000 | 2012 est. |
| 187 | Maldives | $ 1,424,000,000 | 2012 est. |
| 188 | Djibouti | $ 1,360,000,000 | 2012 est. |
| 189 | Saint Lucia | $ 1,259,000,000 | 2012 est. |
| 190 | Bhutan | $ 1,214,000,000 | 2012 est. |
| 191 | Antigua and Barbuda | $ 1,174,000,000 | 2012 est. |
| 192 | Gibraltar | $ 1,106,000,000 | 2006 est. |
| 193 | British Virgin Islands | $ 1,095,000,000 | 2008 |
| 194 | Solomon Islands | $ 1,039,000,000 | 2012 est. |
| 195 | Seychelles | $ 971,000,000 | 2012 est. |
| 196 | Gambia, The | $ 940,000,000 | 2012 est. |
| 197 | Guinea-Bissau | $ 884,000,000 | 2012 est. |
| 198 | Grenada | $ 851,000,000 | 2012 est. |
| 199 | Sint Maarten | $ 794,700,000 | 2008 |
| 200 | Vanuatu | $ 761,000,000 | 2012 est. |
| 201 | Saint Kitts and Nevis | $ 738,000,000 | 2012 est. |
| 202 | Saint Vincent and the Grenadines | $ 717,000,000 | 2012 est. |
| 203 | Samoa | $ 712,000,000 | 2012 est. |
| 204 | Northern Mariana Islands | $ 633,400,000 | 2000 |
| 205 | Comoros | $ 595,000,000 | 2012 est. |
| 206 | Dominica | $ 497,000,000 | 2012 est. |
| 207 | Tonga | $ 476,000,000 | 2012 est. |
| 208 | American Samoa | $ 462,200,000 | 2005 |
| 209 | Sao Tome and Principe | $ 261,000,000 | 2012 est. |
| 210 | Micronesia, Federated States of | $ 238,100,000 | 2008 |
| 211 | Cook Islands | $ 183,200,000 | 2005 est. |
| 212 | Anguilla | $ 175,400,000 | 2009 est. |
| 213 | Kiribati | $ 174,000,000 | 2012 est. |
| 214 | Falkland Islands (Islas Malvinas) | $ 164,500,000 | 2007 est. |
| 215 | Palau | $ 164,000,000 | 2008 |
| 216 | Marshall Islands | $ 161,700,000 | 2008 est. |
| 217 | Tuvalu | $ 36,000,000 | 2012 est. |
| 218 | Niue | $ 10,010,000 | 2003 |
