CIA - The World Factbook --  GDP (official exchange rate)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at official exchange rates (OER) is the home-currency-denominated annual GDP figure divided by the bilateral average US exchange rate with that country in that year. The measure is simple to compute and gives a precise measure of the value of output. Many economists prefer this measure when gauging the economic power an economy maintains vis-Ã -vis its neighbors, judging that an exchange rate captures the purchasing power a nation enjoys in the international marketplace. Official exchange rates, however, can be artificially fixed and/or subject to manipulation - resulting in claims of the country having an under- or over-valued currency - and are not necessarily the equivalent of a market-determined exchange rate. Moreover, even if the official exchange rate is market-determined, market exchange rates are frequently established by a relatively small set of goods and services (the ones the country trades) and may not capture the value of the larger set of goods the country produces. Furthermore, OER-converted GDP is not well suited to comparing domestic GDP over time, since appreciation/depreciation from one year to the next will make the OER GDP value rise/fall regardless of whether home-currency-denominated GDP changed.

| Rank | country | GDP (official exchange rate) | Date of Information |
| 173 | Swaziland | $ 3,700,000,000 | 2012 est. |
| 174 | Eritrea | $ 3,050,000,000 | 2012 est. |
| 175 | Guyana | $ 2,790,000,000 | 2012 est. |
| 176 | Guernsey | $ 2,742,000,000 | 2005 |
| 177 | Aruba | $ 2,516,000,000 | 2009 est. |
| 178 | Burundi | $ 2,439,000,000 | 2012 est. |
| 179 | Lesotho | $ 2,428,000,000 | 2012 est. |
| 180 | Somalia | $ 2,372,000,000 | 2010 est. |
| 181 | Faroe Islands | $ 2,320,000,000 | 2010 est. |
| 182 | Cayman Islands | $ 2,250,000,000 | 2008 est. |
| 183 | Greenland | $ 2,160,000,000 | 2011 est. |
| 184 | Central African Republic | $ 2,143,000,000 | 2012 est. |
| 185 | Bhutan | $ 2,137,000,000 | 2012 est. |
| 186 | Maldives | $ 2,077,000,000 | 2012 est. |
| 187 | San Marino | $ 1,830,000,000 | 2012 est. |
| 188 | Cabo Verde | $ 1,798,000,000 | 2012 est. |
| 189 | Liberia | $ 1,711,000,000 | 2012 est. |
| 190 | Belize | $ 1,558,000,000 | 2012 est. |
| 191 | Djibouti | $ 1,336,000,000 | 2012 est. |
| 192 | Saint Lucia | $ 1,300,000,000 | 2012 est. |
| 193 | Antigua and Barbuda | $ 1,160,000,000 | 2012 est. |
| 194 | Gibraltar | $ 1,106,000,000 | 2006 est. |
| 195 | British Virgin Islands | $ 1,095,000,000 | 2008 |
| 196 | Seychelles | $ 1,018,000,000 | 2012 est. |
| 197 | Solomon Islands | $ 983,500,000 | 2012 est. |
| 198 | Gambia, The | $ 895,700,000 | 2012 est. |
| 199 | Guinea-Bissau | $ 811,900,000 | 2012 est. |
| 200 | Sint Maarten | $ 794,700,000 | 2008 |
| 201 | Grenada | $ 779,300,000 | 2012 est. |
| 202 | Vanuatu | $ 776,400,000 | 2012 est. |
| 203 | Northern Mariana Islands | $ 733,000,000 | 2010 est. |
| 204 | Saint Kitts and Nevis | $ 724,100,000 | 2012 est. |
| 205 | Saint Vincent and the Grenadines | $ 703,400,000 | 2012 est. |
| 206 | Samoa | $ 680,700,000 | 2012 est. |
| 207 | Comoros | $ 587,900,000 | 2012 est. |
| 208 | Saint Martin | $ 561,500,000 | NA |
| 209 | Dominica | $ 473,500,000 | 2012 est. |
| 210 | Tonga | $ 464,600,000 | 2012 est. |
| 211 | American Samoa | $ 462,200,000 | 2005 |
| 212 | Micronesia, Federated States of | $ 321,600,000 | 2012 est. |
| 213 | Sao Tome and Principe | $ 259,400,000 | 2012 est. |
| 214 | Palau | $ 221,000,000 | 2011 est. |
| 215 | Saint Pierre and Miquelon | $ 215,300,000 | 2006 est. |
| 216 | Cook Islands | $ 183,200,000 | 2005 est. |
| 217 | Marshall Islands | $ 179,500,000 | 2012 est. |
| 218 | Anguilla | $ 175,400,000 | 2009 est. |
| 219 | Kiribati | $ 172,600,000 | 2012 est. |
| 220 | Falkland Islands (Islas Malvinas) | $ 164,500,000 | 2007 est. |
| 221 | Tuvalu | $ 39,460,000 | 2012 est. |
| 222 | Niue | $ 10,010,000 | 2003 |


