CIA - The World Factbook --  GDP (official exchange rate)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at official exchange rates (OER) is the home-currency-denominated annual GDP figure divided by the bilateral average US exchange rate with that country in that year. The measure is simple to compute and gives a precise measure of the value of output. Many economists prefer this measure when gauging the economic power an economy maintains vis-?-vis its neighbors, judging that an exchange rate captures the purchasing power a nation enjoys in the international marketplace. Official exchange rates, however, can be artificially fixed and/or subject to manipulation - resulting in claims of the country having an under- or over-valued currency - and are not necessarily the equivalent of a market-determined exchange rate. Moreover, even if the official exchange rate is market-determined, market exchange rates are frequently established by a relatively small set of goods and services (the ones the country trades) and may not capture the value of the larger set of goods the country produces. Furthermore, OER-converted GDP is not well suited to comparing domestic GDP over time, since appreciation/depreciation from one year to the next will make the OER GDP value rise/fall regardless of whether home-currency-denominated GDP changed.

| Rank | country | GDP (official exchange rate) | Date of Information |
| 63 | Slovakia | $ 87,450,000,000 | 2010 est. |
| 64 | Angola | $ 85,310,000,000 | 2010 est. |
| 65 | Iraq | $ 82,150,000,000 | 2010 est. |
| 66 | Libya | $ 74,230,000,000 | 2010 est. |
| 67 | Sudan | $ 68,440,000,000 | 2010 est. |
| 68 | Croatia | $ 60,590,000,000 | 2010 est. |
| 69 | Syria | $ 59,330,000,000 | 2010 est. |
| 70 | Ecuador | $ 58,910,000,000 | 2010 est. |
| 71 | Cuba | $ 57,490,000,000 | 2010 est. |
| 72 | Oman | $ 55,620,000,000 | 2010 est. |
| 73 | Luxembourg | $ 54,950,000,000 | 2010 est. |
| 74 | Belarus | $ 54,710,000,000 | 2010 est. |
| 75 | Azerbaijan | $ 54,370,000,000 | 2010 est. |
| 76 | Dominican Republic | $ 51,630,000,000 | 2010 est. |
| 77 | Sri Lanka | $ 49,680,000,000 | 2010 est. |
| 78 | Slovenia | $ 47,850,000,000 | 2010 est. |
| 79 | Bulgaria | $ 47,700,000,000 | 2010 est. |
| 80 | Tunisia | $ 44,290,000,000 | 2010 est. |
| 81 | Burma | $ 42,950,000,000 | 2010 est. |
| 82 | Guatemala | $ 41,470,000,000 | 2010 est. |
| 83 | Uruguay | $ 40,270,000,000 | 2010 est. |
| 84 | Lebanon | $ 39,250,000,000 | 2010 est. |
| 85 | Uzbekistan | $ 38,990,000,000 | 2010 est. |
| 86 | Serbia | $ 38,710,000,000 | 2010 est. |
| 87 | Lithuania | $ 36,360,000,000 | 2010 est. |
| 88 | Costa Rica | $ 35,780,000,000 | 2010 est. |
| 89 | Kenya | $ 32,160,000,000 | 2010 est. |
| 90 | Yemen | $ 31,270,000,000 | 2010 est. |
| 91 | Ghana | $ 31,080,000,000 | 2010 est. |
| 92 | Ethiopia | $ 29,720,000,000 | 2010 est. |
| 93 | Korea, North | $ 28,000,000,000 | 2009 est. |
| 94 | Turkmenistan | $ 27,960,000,000 | 2010 est. |
| 95 | Jordan | $ 27,530,000,000 | 2010 est. |
| 96 | Panama | $ 26,780,000,000 | 2010 est. |
| 97 | Latvia | $ 24,050,000,000 | 2010 est. |
| 98 | Cyprus | $ 23,170,000,000 | 2010 est. |
| 99 | Cote d'Ivoire | $ 22,820,000,000 | 2010 est. |
| 100 | Tanzania | $ 22,670,000,000 | 2010 est. |
| 101 | Bahrain | $ 22,660,000,000 | 2010 est. |
| 102 | Cameroon | $ 22,480,000,000 | 2010 est. |
| 103 | Macau | $ 22,100,000,000 | 2009 est. |
| 104 | El Salvador | $ 21,700,000,000 | 2010 est. |
| 105 | Trinidad and Tobago | $ 20,590,000,000 | 2010 est. |
| 106 | Estonia | $ 19,780,000,000 | 2010 est. |
| 107 | Bolivia | $ 19,370,000,000 | 2010 est. |
| 108 | Paraguay | $ 18,480,000,000 | 2010 est. |
| 109 | Uganda | $ 17,010,000,000 | 2010 est. |
| 110 | Bosnia and Herzegovina | $ 16,830,000,000 | 2010 est. |
| 111 | Zambia | $ 16,190,000,000 | 2010 est. |
| 112 | Nepal | $ 15,840,000,000 | 2010 est. |
| 113 | Afghanistan | $ 15,610,000,000 | 2010 est. |
| 114 | Honduras | $ 15,350,000,000 | 2010 est. |
| 115 | Equatorial Guinea | $ 14,490,000,000 | 2010 est. |
| 116 | Botswana | $ 14,030,000,000 | 2010 est. |
| 117 | Jamaica | $ 13,690,000,000 | 2010 est. |
| 118 | Congo, Democratic Republic of the | $ 13,130,000,000 | 2010 est. |
| 119 | Gabon | $ 13,060,000,000 | 2010 est. |
| 120 | Brunei | $ 13,020,000,000 | 2010 est. |
| 121 | Senegal | $ 12,880,000,000 | 2010 est. |
| 122 | Iceland | $ 12,590,000,000 | 2010 est. |
| 123 | Namibia | $ 11,870,000,000 | 2010 est. |
| 124 | Albania | $ 11,770,000,000 | 2010 est. |
| 125 | Georgia | $ 11,670,000,000 | 2010 est. |
| 126 | Cambodia | $ 11,630,000,000 | 2010 est. |
| 127 | Congo, Republic of the | $ 11,530,000,000 | 2010 est. |
| 128 | Mozambique | $ 9,893,000,000 | 2010 est. |
| 129 | Mauritius | $ 9,729,000,000 | 2010 est. |
| 130 | Papua New Guinea | $ 9,668,000,000 | 2010 est. |
| 131 | Armenia | $ 9,389,000,000 | 2010 est. |
| 132 | Mali | $ 9,268,000,000 | 2010 est. |
| 133 | Macedonia | $ 9,108,000,000 | 2010 est. |
| 134 | Burkina Faso | $ 8,781,000,000 | 2010 est. |
| 135 | Madagascar | $ 8,345,000,000 | 2010 est. |
| 136 | Malta | $ 8,288,000,000 | 2010 est. |
| 137 | Chad | $ 7,848,000,000 | 2010 est. |
| 138 | Bahamas, The | $ 7,538,000,000 | 2010 est. |
| 139 | Zimbabwe | $ 7,474,000,000 | 2010 est. |
| 140 | Benin | $ 6,649,000,000 | 2010 est. |
| 141 | West Bank | $ 6,641,000,000 | 2008 est. |
| 142 | Haiti | $ 6,632,000,000 | 2010 est. |
| 143 | Nicaragua | $ 6,551,000,000 | 2010 est. |
| 144 | Laos | $ 6,341,000,000 | 2010 est. |
| 145 | Mongolia | $ 6,125,000,000 | 2010 est. |
| 146 | French Polynesia | $ 6,100,000,000 | 2004 |
| 147 | Moldova | $ 5,810,000,000 | 2010 est. |
| 148 | Tajikistan | $ 5,642,000,000 | 2010 est. |
| 149 | Rwanda | $ 5,622,000,000 | 2010 est. |
| 150 | Kosovo | $ 5,601,000,000 | 2010 est. |
| 151 | Niger | $ 5,577,000,000 | 2010 est. |
| 152 | Jersey | $ 5,100,000,000 | 2005 est. |
| 153 | Curacao | $ 5,080,000,000 | 2008 est. |
| 154 | Liechtenstein | $ 5,080,000,000 | 2008 |
| 155 | Malawi | $ 5,053,000,000 | 2010 est. |
| 156 | Guinea | $ 4,633,000,000 | 2010 est. |
| 157 | Kyrgyzstan | $ 4,615,000,000 | 2010 est. |
| 158 | Montenegro | $ 4,017,000,000 | 2010 est. |
| 159 | Barbados | $ 3,963,000,000 | 2010 est. |
| 160 | Mauritania | $ 3,799,000,000 | 2010 est. |
| 161 | Suriname | $ 3,682,000,000 | 2010 est. |
| 162 | Swaziland | $ 3,553,000,000 | 2010 est. |
| 163 | New Caledonia | $ 3,300,000,000 | 2003 est. |
| 164 | Togo | $ 3,194,000,000 | 2010 est. |
| 165 | Fiji | $ 3,131,000,000 | 2010 est. |
| 166 | Guernsey | $ 2,742,000,000 | 2005 |
| 167 | Isle of Man | $ 2,719,000,000 | 2005 est. |
| 168 | Faroe Islands | $ 2,450,000,000 | 2008 est. |
| 169 | Somalia | $ 2,372,000,000 | 2010 est. |
| 170 | Aruba | $ 2,258,000,000 | 2005 est. |
| 171 | Cayman Islands | $ 2,250,000,000 | 2008 est. |
| 172 | Guyana | $ 2,215,000,000 | 2010 est. |
| 173 | Lesotho | $ 2,127,000,000 | 2010 est. |
| 174 | Eritrea | $ 2,117,000,000 | 2010 est. |
| 175 | Greenland | $ 2,030,000,000 | 2008 |
| 176 | Central African Republic | $ 2,018,000,000 | 2010 est. |
| 177 | Sierra Leone | $ 1,905,000,000 | 2010 est. |
| 178 | Maldives | $ 1,870,000,000 | 2010 est. |
| 179 | Cape Verde | $ 1,651,000,000 | 2010 est. |
| 180 | San Marino | $ 1,535,000,000 | 2009 |
| 181 | Burundi | $ 1,489,000,000 | 2010 est. |
| 182 | Bhutan | $ 1,412,000,000 | 2010 est. |
| 183 | Belize | $ 1,396,000,000 | 2010 est. |
| 184 | Djibouti | $ 1,140,000,000 | 2010 est. |
| 185 | Gibraltar | $ 1,106,000,000 | 2006 est. |
| 186 | Antigua and Barbuda | $ 1,105,000,000 | 2010 est. |
| 187 | British Virgin Islands | $ 1,095,000,000 | 2008 |
| 188 | Gambia, The | $ 1,067,000,000 | 2010 est. |
| 189 | Saint Lucia | $ 985,000,000 | 2010 est. |
| 190 | Liberia | $ 974,000,000 | 2010 est. |
| 191 | Seychelles | $ 936,000,000 | 2010 est. |
| 192 | Guinea-Bissau | $ 837,000,000 | 2010 est. |
| 193 | Sint Maarten | $ 794,700,000 | 2008 |
| 194 | Solomon Islands | $ 712,000,000 | 2010 est. |
| 195 | Vanuatu | $ 693,000,000 | 2010 est. |
| 196 | Grenada | $ 674,000,000 | 2010 est. |
| 197 | Northern Mariana Islands | $ 633,400,000 | 2000 |
| 198 | Timor-Leste | $ 628,000,000 | 2010 est. |
| 199 | Saint Vincent and the Grenadines | $ 561,000,000 | 2010 est. |
| 200 | Samoa | $ 556,000,000 | 2010 est. |
| 201 | Comoros | $ 534,000,000 | 2010 est. |
| 202 | Saint Kitts and Nevis | $ 531,000,000 | 2010 est. |
| 203 | American Samoa | $ 462,200,000 | 2005 |
| 204 | Dominica | $ 376,000,000 | 2010 est. |
| 205 | Tonga | $ 363,000,000 | 2010 est. |
| 206 | Micronesia, Federated States of | $ 238,100,000 | 2008 |
| 207 | Sao Tome and Principe | $ 196,000,000 | 2010 est. |
| 208 | Cook Islands | $ 183,200,000 | 2005 est. |
| 209 | Anguilla | $ 175,400,000 | 2009 est. |
| 210 | Palau | $ 164,000,000 | 2008 |
| 211 | Marshall Islands | $ 161,700,000 | 2008 est. |
| 212 | Kiribati | $ 147,000,000 | 2010 est. |
| 213 | Falkland Islands (Islas Malvinas) | $ 105,100,000 | 2002 est. |
| 214 | Tuvalu | $ 32,000,000 | 2010 est. |
| 215 | Niue | $ 10,010,000 | 2003 |
