CIA - The World Factbook -- Field Listing - Central bank discount rate

| Country | Central bank discount rate (%) |
| **Romania** | NA |
| **Russia** | 10% (31 December 2007) |
| **Rwanda** | 12.5% (31 December 2007) |
| **Saint Kitts and Nevis** | 6.5% (31 December 2007) |
| **Saint Lucia** | 6.5% (31 December 2007) |
| **Saint Vincent and the Grenadines** | 6.5% (31 December 2007) |
| **Sao Tome and Principe** | 28% (31 December 2007) |
| **Saudi Arabia** | NA |
| **Senegal** | 4.25% (31 December 2007) |
| **Serbia** | 9.57% (31 December 2007) |
| **Seychelles** | 5.13% (31 December 2007) |
| **Sierra Leone** | NA (31 December 2007) |
| **Slovakia** | 4.25% (31 December 2007) |
| **Slovenia** | NA (31 December 2007) |
| **South Africa** | 11% (31 December 2007) |
| **Spain** | NA |
| **Sri Lanka** | 15% (31 December 2007) |
| **Swaziland** | 11% (31 December 2007) |
| **Sweden** | 3.5% (31 December 2007) |
| **Switzerland** | 2.05% (31 December 2007) |
| **Taiwan** | NA |
| **Tajikistan** | 15% (31 December 2007) |
| **Tanzania** | 16.4% (31 December 2007) |
| **Thailand** | 3.75% (31 December 2007) |
| **Togo** | 4.25% (31 December 2007) |
| **Trinidad and Tobago** | 10% (31 December 2007) |
| **Turkey** | 25% (31 December 2007) |
| **Uganda** | 14.68% (31 December 2007) |
| **Ukraine** | 8% (31 December 2007) |
| **United Arab Emirates** | NA |
| **United Kingdom** | NA |
| **United States** | 4.83% (31 December 2007) |
| **Uruguay** | 10% (31 December 2007) |
| **Vanuatu** | 6% (31 December 2007) |
| **Venezuela** | 28.5% (31 December 2007) |
| **Vietnam** | 6.5% (31 December 2007) |
| **Yemen** | NA |
| **Zambia** | 11.73% (31 December 2007) |
| **Zimbabwe** | 975% (31 December 2007) |

This page was last updated on 18 December 2008
 
