CIA - The World Factbook -- Field Listing :: Central bank discount rate   

This entry provides the annualized interest rate a country's central bank charges commercial, depository banks for loans to meet temporary shortages of funds.

| Country | Central bank discount rate(%) |
| **Uruguay** | 10% (31 December 2008) |
| | 10% (31 December 2007) |
| **Vanuatu** | 6% (31 December 2008) |
| | 6% (31 December 2007) |
| **Venezuela** | 33.5% (31 December 2008) |
| | 28.5% (31 December 2007) |
| **Vietnam** | 10.25% (31 December 2008) |
| | 6.5% (31 December 2007) |
| **Yemen** | NA% |
| **Zambia** | 14.49% (31 December 2008) |
| | 11.73% (31 December 2007) |
| **Zimbabwe** | NA% (31 December 2008) |
| | 975% (31 December 2007) |
