Field Listing :: Terrorist group(s) :: The World Factbook

This entry provides a list of US State Department designated Foreign Terrorist Organizations (FTO) that are assessed to maintain a presence in each country.  This includes cases where sympathizers, supporters, or associates of designated FTOs have carried out attacks or been arrested by security forces for terrorist-type activities in the country. See Appendix T for details on each FTO.

| Country | Terrorist group(s) |
| **Djibouti** | *Terrorist group(s):* al-Shabaab (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Egypt** | *Terrorist group(s):* Army of Islam; Islamic State of Iraq and ash-Sham â€“ Sinai Province; Mujahidin Shura Council in the Environs of Jerusalem; al-Qaâ€™ida (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Ethiopia** | *Terrorist group(s):* al-Shabaab (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **European Union** | *Terrorist group(s):* Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham (ISIS); al-Qa'ida (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **France** | *Terrorist group(s):* Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham; al-Qa'ida (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Gaza Strip** | *Terrorist group(s):* Army of Islam; Abdallah Azzam Brigades; al-Aqsa Martyrs Brigade; HAMAS; Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham (ISIS)-Sinai Province; Mujahidin Shura Council in the Environs of Jerusalem; Palestine Islamic Jihad; Palestine Liberation Front; PFLP-General Command; Popular Front for the Liberation of Palestine (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Germany** | *Terrorist group(s):* Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Greece** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS); Revolutionary Struggle (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **India** | *Terrorist group(s):* Harakat ul-Mujahidin; Harakat ul-Jihad-i-Islami; Hizbul Mujahideen; Indian Mujahedeen; Islamic State of Iraq and ash-Sham â€“ India; Jaish-e-Mohammed; Lashkar-e Tayyiba; al-Qaâ€™ida; al-Qaâ€™ida in the Indian Subcontinent (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Indonesia** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (aka Jemaah Anshorut Daulah); Jemaah Islamiyah (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Iran** | *Terrorist group(s):* Islamic Revolutionary Guard Corps/Qods Force; Jaysh al Adl (Jundallah); Kurdistan Workers' Party; al-Qaâ€™ida (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Iraq** | *Terrorist group(s):* Ansar al-Islam; Asa'ib Ahl al-Haq; Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham; Jaysh Rijal al-Tariq al-Naqshabandi; Kata'ib Hizballah; Kurdistan Workers' Party (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Ireland** | *Terrorist group(s):* Continuity Irish Republican Army; New Irish Republican Army (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Israel** | *Terrorist group(s):* Kahane Chai; Popular Front for the Liberation of Palestine; Palestinian Islamic Jihad (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Italy** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (2020) |
| **Japan** | *Terrorist group(s):* Aum Shinrikyo (AUM/Aleph) (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Kenya** | *Terrorist group(s):* al-Shabaab; Islamic Revolutionary Guard Corps/Qods Force (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Lebanon** | *Terrorist group(s):* Abdallah Azzam Brigades; al-Aqsa Martyrs Brigade; Asbat al-Ansar; Islamic Revolutionary Guard Corps/Qods Force; Hizballah; al-Nusrah Front (Hay'at Tahrir al-Sham); Palestine Liberation Front; PFLP-General Command; Popular Front for the Liberation of Palestine (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Libya** | *Terrorist group(s):* Ansar al-Sharia groups; Islamic State of Iraq and ash-Sham â€“ Libya; al-Mulathamun Battalion (al-Mourabitoun); al-Qa'ida in the Islamic Maghreb (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Malaysia** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS); Jemaah Islamiyah (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Maldives** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS) (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Mali** | *Terrorist group(s):* Ansar al-Dine; Islamic State of Iraq and ash-Sham in the Greater Sahara; Jama'at Nusrat al-Islam wal-Muslimin; al-Mulathamun Battalion (al-Mourabitoun) (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Morocco** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS) (2020) |
| **Mozambique** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham - Central Africa/Mozambique (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Nepal** | *Terrorist group(s):* Indian Mujahedeen (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Netherlands** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS) (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Niger** | *Terrorist group(s):* Boko Haram; Islamic State of Iraq and ash-Sham in the Greater Sahara; Islamic State of Iraq and ash-Sham â€“ West Africa; Jama'at Nusrat al-Islam wal-Muslimin; al-Mulathamun Battalion (al-Mourabitoun) (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Nigeria** | *Terrorist group(s):* Boko Haram; Islamic State of Iraq and ash-Sham â€“ West Africa; Jamaâ€™atu Ansarul Muslimina Fi Biladis-Sudan (Ansaru) (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Pakistan** | *Terrorist group(s):* Haqqani Network; Harakat ul-Jihad-i-Islami; Harakat ul-Mujahidin; Hizbul Mujahideen; Indian Mujahedeen; Islamic State of Iraq and ash-Sham-Khorasan; Islamic State of ash-Sham â€“ India; Islamic State of ash-Sham â€“ Pakistan; Islamic Movement of Uzbekistan; Jaish-e-Mohammed; Jaysh al Adl (Jundallah); Lashkar i Jhangvi; Lashkar-e Tayyiba; Tehrik-e-Taliban Pakistan; al-Qaâ€™ida; al-Qaâ€™ida in the Indian Subcontinent (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Peru** | *Terrorist group(s):* Shining Path (Sendero Luminoso) (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Philippines** | *Terrorist group(s):* Abu Sayyaf Group; Communist Party of the Philippines/New People's Army; Islamic State of Iraq and ash-Sham â€“ East Asia (ISIS-EA) in the Philippines (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Portugal** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS) (2019) |
| **Russia** | *Terrorist group(s):* Aum Shimrikyo (AUM/Aleph); Islamic State of Iraq and ash-Sham; Islamic State of Iraq and ash-Sham â€“ Caucasus Province (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Saudi Arabia** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham; al-Qaâ€™ida; al-Qaâ€™ida in the Arabian Peninsula (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Somalia** | *Terrorist group(s):* al-Shabaab; Islamic State of Iraq and ash-Sham â€“ Somalia (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Spain** | *Terrorist group(s):* Basque Fatherland and Liberty (disbanded); Islamic State of Iraq and ash-Sham (ISIS); al-Qaâ€™ida (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Sri Lanka** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham; Liberation Tigers of Tamil Eelam (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Sweden** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS) (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Switzerland** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS) (2019) |
| **Syria** | *Terrorist group(s):* Abdallah Azzam Brigades; Ansar al-Islam; Asaâ€™ib Ahl Al-Haq; Hizballah; Hurras al-Din; Islamic Jihad Union; Islamic Revolutionary Guard Corps -- Qods Force; Islamic State of Iraq and ash-Sham; Kata'ib Hizballah; Kurdistan Workers' Party; Mujahidin Shura Council in the Environs of Jerusalem; al-Nusrah Front (Hay'at Tahrir al-Sham); al-Qa'ida; Palestine Liberation Front; PFLP-General Command; Popular Front for the Liberation of Palestine (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Tajikistan** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS) (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Tanzania** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham - Central Africa (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Tunisia** | *Terrorist group(s):* Ansar al-Sharia in Tunisia; Islamic State of Iraq and ash-Sham (ISIS) network in Tunisia; al-Qa'ida in the Islamic Maghreb (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Turkey** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham â€“ Turkey; Islamic Movement of Uzbekistan; Islamic Revolutionary Guard Corps/Qods Force; Kurdistan Workers' Party; al-Qa'ida; Revolutionary People's Liberation Party/Front (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Uganda** | *Terrorist group(s):* al-Shabaab; Islamic State of Iraq and ash-Sham - Central Africa (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **United Kingdom** | *Terrorist group(s):* Continuity Irish Republican Army; Islamic State of Iraq and ash-Sham; New Irish Republican Army (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **United States** | *Terrorist group(s):* Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham; al-Qa'ida (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Uzbekistan** | *Terrorist group(s):* Islamic Jihad Union; Islamic Movement of Uzbekistan (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Venezuela** | *Terrorist group(s):* National Liberation Army; Revolutionary Armed Forces of Colombia (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **West Bank** | *Terrorist group(s):* Al-Aqsa Martyrs Brigade; HAMAS; Islamic Revolutionary Guard Corps/Qods Force; Kahane Chai; Palestine Islamic Jihad; Palestine Liberation Front; Popular Front for the Liberation of Palestine (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Yemen** | *Terrorist group(s):* Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham - Yemen; al-Qa'ida in the Arabian Peninsula (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |

