CIA - The World Factbook --     

| Rank | country | | Date of Information |
| 84 | Macedonia | 230,300,000.00 | NA |
| 85 | Kazakhstan | 229,200,000.00 | NA |
| 86 | Azerbaijan | 223,400,000.00 | NA |
| 87 | Syria | 213,000,000.00 | NA |
| 88 | Ecuador | 209,500,000.00 | NA |
| 89 | Mayotte | 201,300,000.00 | NA |
| 90 | Solomon Islands | 198,200,000.00 | NA |
| 91 | Brazil | 191,900,000.00 | NA |
| 92 | Moldova | 191,800,000.00 | NA |
| 93 | Mauritania | 190,400,000.00 | NA |
| 94 | Mexico | 189,400,000.00 | NA |
| 95 | Timor-Leste | 184,700,000.00 | NA |
| 96 | Guinea | 182,100,000.00 | NA |
| 97 | Armenia | 180,000,000.00 | NA |
| 98 | Uzbekistan | 172,300,000.00 | NA |
| 99 | Thailand | 171,100,000.00 | NA |
| 100 | Latvia | 162,000,000.00 | NA |
| 101 | Cape Verde | 160,600,000.00 | NA |
| 102 | Mongolia | 159,500,000.00 | NA |
| 103 | Burma | 144,700,000.00 | NA |
| 104 | Guyana | 136,800,000.00 | NA |
| 105 | Estonia | 135,500,000.00 | NA |
| 106 | Croatia | 125,400,000.00 | NA |
| 107 | Namibia | 123,400,000.00 | NA |
| 108 | Micronesia, Federated States of | 106,400,000.00 | NA |
| 109 | Faroe Islands | 105,000,000.00 | NA |
| 110 | Iran | 104,000,000.00 | NA |
| 111 | Bahrain | 103,900,000.00 | NA |
| 112 | Argentina | 99,660,000.00 | NA |
| 113 | Central African Republic | 95,290,000.00 | NA |
| 114 | Cuba | 87,800,000.00 | NA |
| 115 | Togo | 86,710,000.00 | NA |
| 116 | Guinea-Bissau | 79,120,000.00 | NA |
| 117 | Djibouti | 78,600,000.00 | NA |
| 118 | Dominican Republic | 76,990,000.00 | NA |
| 119 | Botswana | 70,890,000.00 | NA |
| 120 | Lesotho | 68,820,000.00 | NA |
| 121 | Korea, South | 68,070,000.00 | NA |
| 122 | Maldives | 66,830,000.00 | NA |
| 123 | Fiji | 63,960,000.00 | NA |
| 124 | Cote d'Ivoire | 60,000,000.00 | NA |
| 125 | Gambia, The | 58,150,000.00 | NA |
| 126 | Marshall Islands | 56,560,000.00 | NA |
| 127 | Gabon | 53,870,000.00 | NA |
| 128 | Belarus | 53,760,000.00 | NA |
| 129 | Paraguay | 51,090,000.00 | NA |
| 130 | Venezuela | 48,660,000.00 | NA |
| 131 | Swaziland | 46,030,000.00 | NA |
| 132 | Grenada | 44,870,000.00 | NA |
| 133 | Suriname | 43,970,000.00 | NA |
| 134 | Samoa | 43,950,000.00 | NA |
| 135 | Vanuatu | 39,480,000.00 | NA |
| 136 | Equatorial Guinea | 39,000,000.00 | NA |
| 137 | Jamaica | 35,740,000.00 | NA |
| 138 | Mauritius | 31,930,000.00 | NA |
| 139 | Sao Tome and Principe | 31,900,000.00 | NA |
| 140 | Tonga | 31,750,000.00 | NA |
| 141 | Malaysia | 31,600,000.00 | NA |
| 142 | Oman | 30,680,000.00 | NA |
| 143 | Costa Rica | 29,510,000.00 | NA |
| 144 | Turkmenistan | 28,250,000.00 | NA |
| 145 | Kiribati | 27,840,000.00 | NA |
| 146 | Saudi Arabia | 26,290,000.00 | NA |
| 147 | Comoros | 25,230,000.00 | NA |
| 148 | Libya | 24,440,000.00 | NA |
| 149 | Palau | 23,460,000.00 | NA |
| 150 | Saint Helena, Ascension, and Tristan da Cunha | 22,730,000.00 | NA |
| 151 | Nauru | 20,000,000.00 | NA |
| 152 | Panama | 19,540,000.00 | NA |
| 153 | Seychelles | 18,810,000.00 | NA |
| 154 | Dominica | 15,170,000.00 | NA |
| 155 | Cyprus | 15,000,000.00 | NA |
| 156 | Uruguay | 14,620,000.00 | NA |
| 157 | Macau | 13,700,000.00 | NA |
| 158 | Cook Islands | 13,100,000.00 | NA |
| 159 | Belize | 12,910,000.00 | NA |
| 160 | Aruba | 11,300,000.00 | NA |
| 161 | Saint Lucia | 11,060,000.00 | NA |
| 162 | Tuvalu | 10,490,000.00 | NA |
| 163 | Anguilla | 9,000,000.00 | NA |
| 164 | Svalbard | 8,200,000.00 | NA |
| 165 | Antigua and Barbuda | 7,230,000.00 | NA |
| 166 | Hong Kong | 6,950,000.00 | NA |
| 167 | Malta | 6,190,000.00 | NA |
| 168 | United Arab Emirates | 5,360,000.00 | NA |
| 169 | Saint Vincent and the Grenadines | 4,890,000.00 | NA |
| 170 | Bahamas, The | 4,780,000.00 | NA |
| 171 | Turks and Caicos Islands | 4,100,000.00 | NA |
| 172 | Saint Kitts and Nevis | 3,520,000.00 | NA |
| 173 | Pitcairn Islands | 3,465,000.00 | NA |
| 174 | Kuwait | 2,600,000.00 | NA |
| 175 | Niue | 2,600,000.00 | NA |
| 176 | Qatar | 2,180,000.00 | NA |
| 177 | Barbados | 2,070,000.00 | NA |
| 178 | Brunei | 770,000.00 | NA |
| 179 | Cayman Islands | 390,000.00 | NA |
| 180 | Trinidad and Tobago | 200,000.00 | NA |
| 181 | Bermuda | 90,000.00 | NA |
| 182 | Chile | 0.00 | NA |
| 183 | Singapore | 0.00 | NA |
