CIA - The World Factbook 2002 -- Field Listing - International organization participation

| Country | International organization participation |
| **Barbados** | ACP, C, Caricom, CCC, CDB, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAES, NAM, OAS, OPANAL, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WTrO |
| **Belarus** | CCC, CEI, CIS, EAPC, EBRD, ECE, IAEA, IBRD, ICAO, ICRM, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM (observer), ISO, ITU, NAM, NSG, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WTrO (observer) |
| **Belgium** | ACCT, AfDB, AsDB, Australia Group, Benelux, BIS, CCC, CE, CERN, EAPC, EBRD, ECE, EIB, EMU, ESA, EU, FAO, G- 9, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIK, UNMOGIP, UNMOP, UNRWA, UNTSO, UPU, WADB (nonregional), WCL, WEU, WHO, WIPO, WMO, WTrO, ZC |
| **Belize** | ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, LAES, NAM, OAS, OPANAL, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WTrO |
| **Benin** | ACP, AfDB, CCC, ECA, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, MIPONUH, MONUC, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIK, UPU, WADB (regional), WAEMU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Bermuda** | Caricom (observer), CCC, ICFTU, Interpol (subbureau), IOC |
| **Bhutan** | AsDB, CP, ESCAP, FAO, G-77, IBRD, ICAO, IDA, IFAD, IMF, IOC, IOM (observer), ITU, NAM, OPCW (signatory), SAARC, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WTrO (observer) |
| **Bolivia** | CCC, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA, Mercosur (associate), MONUC, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNTAET, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Bosnia and Herzegovina** | BIS, CE (guest), CEI, EBRD, ECE, FAO, G-77, IAEA, IBRD, ICAO, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, NAM (guest), OAS (observer), OIC (observer), OPCW, OSCE, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UPU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Botswana** | ACP, AfDB, C, CCC, ECA, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ISO, ITU, NAM, OAU, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Brazil** | AfDB, BIS, CCC, ECLAC, FAO, G-15, G-19, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, LAES, LAIA, Mercosur, NAM (observer), NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMOP, UNMOVIC, UNTAET, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **British Virgin Islands** | Caricom (associate), CDB, ECLAC (associate), Interpol (subbureau), IOC, OECS (associate), UNESCO (associate) |
| **Brunei** | APEC, ARF, ASEAN, C, CCC, ESCAP, G-77, IBRD, ICAO, ICRM, IDB, IFRCS, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, NAM, OIC, OPCW, UN, UNCTAD, UPU, WHO, WIPO, WMO, WTrO |
| **Bulgaria** | ACCT, Australia Group, BIS, BSEC, CCC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, G- 9, IAEA, IBRD, ICAO, ICFTU, ICRM, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NSG, OAS (observer), OPCW, OSCE, PCA, PFP, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNMEE, UNMIBH, UNMIK, UNMOP, UPU, WCL, WEU (associate partner), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Burkina Faso** | ACCT, ACP, AfDB, CCC, ECA, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO (subscriber), ITU, MONUC, NAM, OAU, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WADB (regional), WAEMU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Burma** | ARF, AsDB, ASEAN, CCC, CP, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Burundi** | ACCT, ACP, AfDB, CCC, CEEAC, CEPGL, ECA, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Cambodia** | ACCT, ARF, AsDB, ASEAN, CCC, CP, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO (subscriber), ITU, NAM, OPCW (signatory), PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Cameroon** | ACCT, ACP, AfDB, BDEAC, C, CCC, CEEAC, CEMAC, ECA, FAO, FZ, G-19, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, MONUC, NAM, OAU, OIC, OPCW, PCA, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNITAR, UNMIK, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Canada** | ACCT, AfDB, APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), Australia Group, BIS, C, CCC, CDB, CE (observer), EAPC, EBRD, ECE, ECLAC, ESA (cooperating state), FAO, G- 7, G- 8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURCA, MIPONUH, MONUC, NAM (guest), NATO, NEA, NSG, OAS, OECD, OPCW, OSCE, PCA, UN, UNAMSIL, UNCTAD, UNDOF, UNESCO, UNFICYP, UNHCR, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOVIC, UNTSO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Cape Verde** | ACCT, ACP, AfDB, CCC, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IOM (observer), ITU, NAM, OAU, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WTrO (observer) |
| **Cayman Islands** | Caricom (observer), CDB, Interpol (subbureau), IOC, UNESCO (associate) |
| **Central African Republic** | ACCT, ACP, AfDB, BDEAC, CCC, CEEAC, CEMAC, ECA, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, NAM, OAU, OIC (observer), OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| **Chad** | ACCT, ACP, AfDB, BDEAC, CEEAC, CEMAC, ECA, FAO, FZ, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| **Chile** | APEC, CCC, ECLAC, FAO, G-15, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur (associate), NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMIBH, UNMOGIP, UNTAET, UNTSO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **China** | AfDB, APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), BIS, CCC, CDB, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, LAIA (observer), MINURSO, MONUC, NAM (observer), OPCW, PCA, UN, UN Security Council, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNITAR, UNMEE, UNMIBH, UNMOVIC, UNTSO, UNU, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | BCIE, CAN, Caricom (observer), CCC, CDB, ECLAC, FAO, G-3, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Comoros** | ACCT, ACP, AfDB, AFESD, AL, CCC, ECA, FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS (associate), ILO, IMF, IMO, InOC, Interpol, IOC, ISO (subscriber), ITU, NAM, OAU, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WMO, WTrO (applicant) |
| **Congo, Democratic Republic of the** | ACCT, ACP, AfDB, CCC, CEEAC, CEPGL, ECA, FAO, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, NAM, OAU, OPCW (signatory), PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Congo, Republic of the** | ACCT, ACP, AfDB, BDEAC, CCC, CEEAC, CEMAC, ECA, FAO, FZ, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, NAM, OAU, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Cook Islands** | ACP, AsDB, ESCAP (associate), FAO, ICAO, ICFTU, IFAD, IFRCS (associate), IOC, OPCW, Sparteca, SPC, SPF, UNESCO, WHO, WMO |
| **Costa Rica** | BCIE, CACM, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA (observer), NAM (observer), OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Cote d'Ivoire** | ACP, AfDB, CCC, ECA, ECOWAS, Entente, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WADB (regional), WAEMU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Croatia** | BIS, CCC, CE, CEI, EAPC, EBRD, ECE, FAO, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM (observer), OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMEE, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Cuba** | CCC, ECLAC, FAO, G-77, IAEA, ICAO, ICC, ICRM, IFAD, IFRCS, IHO, ILO, IMO, Interpol, IOC, IOM (observer), ISO, ITU, LAES, LAIA, NAM, OAS (excluded from formal participation since 1962), OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Cyprus** | Australia Group, C, CCC, CE, EBRD, ECE, EU (applicant), FAO, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, IDA, IFAD, IFC, IFRCS (associate), IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM, NSG, OAS (observer), OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Czech Republic** | ACCT (observer), Australia Group, BIS, CCC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNOMIG, UPU, WCL, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Denmark** | AfDB, AsDB, Australia Group, BIS, CBSS, CCC, CE, CERN, EAPC, EBRD, ECE, EIB, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOGIP, UNMOP, UNMOT, UNOMIG, UNTAET, UNTSO, UPU, WEU (observer), WHO, WIPO, WMO, WTrO, ZC |
| **Djibouti** | ACCT, ACP, AfDB, AFESD, AL, AMF, ECA, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WMO, WToO, WTrO |
| **Dominica** | ACCT, ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IBRD, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, NAM (observer), OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WTrO |
| **Dominican Republic** | ACP, Caricom (observer), ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, LAES, LAIA (observer), NAM (observer), OAS, OPANAL, OPCW (signatory), PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **East Timor** | IBRD, IMF |
| | *note:* UN membership is expected in September |
| **Ecuador** | CAN, CCC, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Egypt** | ABEDA, ACC, ACCT, AfDB, AFESD, AL, AMF, BSEC (observer), CAEU, CCC, EBRD, ECA, ESCWA, FAO, G-15, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM, OAPEC, OAS (observer), OAU, OIC, OSCE (partner), PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNITAR, UNMIBH, UNMIK, UNMOP, UNOMIG, UNRWA, UNTAET, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **El Salvador** | BCIE, CACM, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA (observer), MINURSO, NAM (observer), OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Equatorial Guinea** | ACCT, ACP, AfDB, BDEAC, CEEAC, CEMAC, ECA, FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OAS (observer), OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WToO, WTrO (applicant) |
| **Eritrea** | ACP, AfDB, CCC, ECA, FAO, IBRD, ICAO, ICFTU, IDA, IFAD, IFC, IFRCS (associate), IGAD, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OAU, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO |
| **Estonia** | BIS, CBSS, CCC, CE, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICFTU, ICRM, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNMIBH, UNMIK, UNTSO, UPU, WEU (associate partner), WHO, WIPO, WMO, WTrO |
| **Ethiopia** | ACP, AfDB, CCC, ECA, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNU, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Falkland Islands (Islas Malvinas)** | ICFTU |
| **Faroe Islands** | NC, NIB |
| **Fiji** | ACP, AsDB, C, CCC, CP, ESCAP, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, OPCW, PCA, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNIKOM, UNMIBH, UNMIK, UNTAET, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
