CIA - The World Factbook -- Field Listing - International organization participation

| Country | International organization participation |
| **Australia** | ANZUS, APEC, ARF, AsDB, ASEAN (dialogue partner), Australia Group, BIS, C, CP, EBRD, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, NAM (guest), NEA, NSG, OECD, OPCW, Paris Club, PCA, PIF, Sparteca, UN, UNCTAD, UNESCO, UNHCR, UNMEE, UNMISET, UNTSO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, WToO, ZC |
| **Austria** | AfDB, AsDB, Australia Group, BIS, BSEC (observer), CE, CEI, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MINURSO, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, UN, UNCTAD, UNDOF, UNESCO, UNFICYP, UNHCR, UNIDO, UNITAR, UNMEE, UNMIK, UNOMIG, UNTSO, UPU, WCL, WCO, WEU (observer), WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| **Azerbaijan** | AsDB, BSEC, CE, CIS, EAPC, EBRD, ECO, FAO, GUUAM, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, OAS (observer), OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Bahamas, The** | ACP, C, Caricom, CDB, FAO, G-77, IADB, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOM, IOC, ITU, LAES, MIGA, NAM, OAS, OPANAL, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| **Bahrain** | ABEDA, AFESD, AMF, ESCWA, FAO, G-77, GCC, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDB, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Bangladesh** | AsDB, C, CP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MINURSO, MONUC, NAM, OIC, ONUB, OPCW, SAARC, SACEP, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIK, UNMIL, UNMISET, UNOCI, UNOMIG, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Barbados** | ACP, C, Caricom, CDB, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAES, MIGA, NAM, OAS, OPANAL, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Belarus** | CEI, CIS, EAPC, EBRD, IAEA, IBRD, ICAO, ICFTU, ICRM, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM (observer), ISO, ITU, MIGA, NAM, NSG, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTrO (observer) |
| **Belgium** | ACCT, AfDB, AsDB, Australia Group, Benelux, BIS, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G- 9, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MONUC, NATO, NEA, NSG, OAS (observer), OECD, ONUB, OPCW, OSCE, Paris Club, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIK, UNMOGIP, UNRWA, UNTSO, UPU, WADB (nonregional), WCL, WCO, WEU, WHO, WIPO, WMO, WTO, ZC |
| **Belize** | ACP, C, Caricom, CDB, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, LAES, MIGA, NAM, OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WTO |
| **Benin** | ACCT, ACP, AfDB, AU, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, MINUSTAH, MONUC, NAM, OIC, ONUB, OPCW, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Bermuda** | Caricom (associate), ICFTU, Interpol (subbureau), IOC, UPU, WCO, Egmont Group, Caribbean Financial Action Task Force |
| **Bhutan** | AsDB, CP, FAO, G-77, IBRD, ICAO, IDA, IFAD, IFC, IMF, IOC, IOM (observer), ITU, NAM, OPCW (signatory), SAARC, SACEP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Bolivia** | CAN, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA, Mercosur (associate), MIGA, MINUSTAH, MONUC, NAM, OAS, ONUB, OPANAL, OPCW, PCA, RG, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMIK, UNMIL, UNMISET, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Bosnia and Herzegovina** | BIS, CE, CEI, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICCt, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, MIGA, MONUC, NAM (guest), OAS (observer), OIC (observer), OPCW, OSCE, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UPU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Botswana** | ACP, AfDB, AU, C, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ISO, ITU, MIGA, NAM, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Brazil** | AfDB, BIS, FAO, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur, MIGA, MINUSTAH, NAM (observer), NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMIK, UNMIL, UNMISET, UNMOVIC, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **British Virgin Islands** | Caricom (associate), CDB, Interpol (subbureau), IOC, OECS (associate), UNESCO (associate), UPU |
| **Brunei** | APEC, ARF, ASEAN, C, G-77, IBRD, ICAO, ICRM, IDB, IFRCS, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, NAM, OIC, OPCW, UN, UNCTAD, UPU, WCO, WHO, WIPO, WMO, WTO |
| **Bulgaria** | ACCT, Australia Group, BIS, BSEC, CE, CEI, CERN, EAPC, EBRD, EU (applicant), FAO, G- 9, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, NAM (guest), NATO, NSG, OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIK, UNMIL, UPU, WCL, WCO, WEU (associate affiliate), WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| **Burkina Faso** | ACCT, ACP, AfDB, AU, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ITU, MIGA, MONUC, NAM, OIC, ONUB, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNOCI, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Burma** | ARF, AsDB, ASEAN, CP, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO |
| **Burundi** | ACCT, ACP, AfDB, AU, CEPGL, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM (observer), ISO (subscriber), ITU, MIGA, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTO |
| **Cambodia** | ACCT, ARF, AsDB, ASEAN, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, MIGA, NAM, OPCW (signatory), PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Cameroon** | ABEDA, ACCT, ACP, AfDB, AU, BDEAC, C, CEMAC, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, MIGA, MONUC, NAM, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Canada** | ACCT, AfDB, APEC, ARF, AsDB, ASEAN (dialogue partner), Australia Group, BIS, C, CDB, CE (observer), EAPC, EBRD, ESA (cooperating state), FAO, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MINUSTAH, MONUC, NAM (guest), NATO, NEA, NSG, OAS, OECD, OPCW, OSCE, Paris Club, PCA, UN, UNAMSIL, UNCTAD, UNDOF, UNESCO, UNFICYP, UNHCR, UNMOVIC, UNTSO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| **Cape Verde** | ACCT, ACP, AfDB, AU, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, MIGA, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Cayman Islands** | Caricom (associate), CDB, Interpol (subbureau), IOC, UNESCO (associate), UPU |
| **Central African Republic** | ACCT, ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, MIGA, NAM, OIC (observer), OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO |
| **Chad** | ACCT, ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, MIGA, NAM, OIC, ONUB, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNOCI, UPU, WCL, WHO, WIPO, WMO, WToO, WTO |
| **Chile** | APEC, BIS, FAO, G-15, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur (associate), MIGA, MINUSTAH, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIK, UNMOGIP, UNTSO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **China** | AfDB, APEC, ARF, AsDB, ASEAN (dialogue partner), BIS, CDB, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, LAIA (observer), MIGA, MONUC, NAM (observer), NSG, OAS (observer), ONUB, OPCW, PCA, SCO, UN, UN Security Council, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMEE, UNMIL, UNMOVIC, UNOCI, UNTSO, UPU, WCO, WHO, WIPO, WMO, WToO, WTO, ZC |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | BCIE, CAN, CDB, FAO, G-3, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur (associate), MIGA, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Comoros** | ACCT, ACP, AfDB, AMF, AU, FAO, FZ, G-77, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS (observer), ILO, IMF, IMO, InOC, Interpol, IOC, ITU, LAS, NAM, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WMO |
| **Congo, Democratic Republic of the** | ACCT, ACP, AfDB, AU, CEPGL, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, NAM, OPCW (signatory), PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Congo, Republic of the** | ACCT, ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, MIGA, NAM, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Cook Islands** | ACP, AsDB, FAO, ICAO, ICFTU, IFAD, IFRCS, IOC, OPCW, PIF, Sparteca, UNESCO, UPU, WHO, WMO |
| **Costa Rica** | BCIE, CACM, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA (observer), MIGA, NAM (observer), OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Cote d'Ivoire** | ACCT, ACP, AfDB, AU, ECOWAS, Entente, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, MIGA, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Croatia** | ABEDA, BIS, CE, CEI, EAPC, EBRD, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MINURSO, MINUSTAH, NAM (observer), OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNFICYP, UNIDO, UNMEE, UNMIL, UNMOGIP, UNOCI, UPU, WCO, WHO, WIPO, WMO, WToO, WTO |
| **Cuba** | ACP, FAO, G-77, IAEA, ICAO, ICC, ICRM, IFAD, IFRCS, IHO, ILO, IMO, Interpol, IOC, IOM (observer), ISO, ITU, LAES, LAIA, NAM, OAS (excluded from formal participation since 1962), OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Cyprus** | Australia Group, C, CE, EBRD, EIB, EU (new member), FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, IDA, IFAD, IFC, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, NAM, NSG, OAS (observer), OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WEU (observer affiliate), WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Czech Republic** | ACCT (observer), Australia Group, BIS, CE, CEI, CERN, EAPC, EBRD, EIB, EU (new member), FAO, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNITAR, UNMEE, UNMIK, UNMIL, UNOMIG, UPU, WCL, WCO, WEU (member affiliate), WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| **Denmark** | AfDB, AsDB, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EIB, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MONUC, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, UN, UN Security Council (temporary), UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIK, UNMIL, UNMISET, UNMOGIP, UNOMIG, UNTSO, UPU, WCO, WEU (observer), WHO, WIPO, WMO, WTO, ZC |
| **Djibouti** | ACCT, ACP, AfDB, AFESD, AMF, AU, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, ITU, LAS, NAM, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Dominica** | ACCT, ACP, C, Caricom, CDB, FAO, G-77, IBRD, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, MIGA, NAM (observer), OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WTO |
| **Dominican Republic** | ACP, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, LAES, LAIA (observer), MIGA, NAM, OAS, OPANAL, OPCW (signatory), PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **East Timor** | ACP, AsDB, FAO, G-77, IBRD, ICCt, IDA, IFAD, IFC, IFRCS (observer), ILO, IMF, Interpol, IOC, MIGA, OPCW, PIF (observer), UN, UNESCO, UNIDO, UPU, WCO, WHO |
| **Ecuador** | CAN, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur (associate), MIGA, MINUSTAH, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Egypt** | ABEDA, ACCT, AfDB, AFESD, AMF, AU, BSEC (observer), CAEU, EBRD, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAS, MIGA, MINURSO, MONUC, NAM, OAPEC, OAS (observer), OIC, ONUB, OSCE (partner), PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMIK, UNMIL, UNOMIG, UNRWA, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **El Salvador** | BCIE, CACM, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, MINURSO, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Equatorial Guinea** | ACCT, ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, MIGA, NAM, OAS (observer), OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WToO, WTrO (observer) |
| **Eritrea** | ACP, AfDB, AU, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, IDA, IFAD, IFC, IFRCS (observer), IGAD, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, MIGA, NAM, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO |
| **Estonia** | Australia Group, BIS, CBSS, CE, EAPC, EBRD, EIB, EU (new member), FAO, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, NIB, NSG, OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNTSO, UPU, WCO, WEU (member affiliate), WHO, WIPO, WMO, WTO |
