CIA - The World Factbook -- Field Listing - International organization participation

| Country | International organization participation |
| **Armenia** | BSEC, CE, CIS, COE, EAPC, EBRD, ECE, ESCAP, FAO, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO, ITU, NAM (observer), OAS (observer), OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Aruba** | Caricom (observer), ECLAC (associate), Interpol, IOC, UNESCO (associate), WCL, WToO (associate) |
| **Australia** | ANZUS, APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), Australia Group, BIS, C, CP, EBRD, ESCAP, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NEA, NSG, OECD, OPCW, PCA, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, UNHCR, UNMEE, UNTSO, UNU, UPU, WCO, WFTU, WHO, WIPO, WMO, WTrO, ZC |
| **Austria** | AfDB, AsDB, Australia Group, BIS, BSEC (observer), CE, CEI, CERN, EAPC, EBRD, ECE, EIB, EMU, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNDOF, UNESCO, UNFICYP, UNHCR, UNIDO, UNIKOM, UNITAR, UNMIBH, UNMIK, UNMISET, UNMOGIP, UNMOT, UNOMIG, UNTSO, UPU, WCL, WCO, WEU (observer), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Azerbaijan** | AsDB, BSEC, CE, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, GUUAM, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, OAS (observer), OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Bahamas, The** | ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, LAES, NAM, OAS, OPANAL, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTrO (observer) |
| **Bahrain** | ABEDA, AFESD, AL, AMF, ESCWA, FAO, G-77, GCC, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDB, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, NAM, OAPEC, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Bangladesh** | AsDB, C, CP, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM, OIC, OPCW, SAARC, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMISET, UNMOP, UNMOT, UNOMIG, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Barbados** | ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAES, NAM, OAS, OPANAL, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTrO |
| **Belarus** | CEI, CIS, EAPC, EBRD, ECE, IAEA, IBRD, ICAO, ICRM, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM (observer), ISO, ITU, NAM, NAM (observer), NSG, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTrO (observer) |
| **Belgium** | ACCT, AfDB, AsDB, Australia Group, Benelux, BIS, CE, CERN, EAPC, EBRD, ECE, EIB, EMU, ESA, EU, FAO, G- 9, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIK, UNMOGIP, UNMOP, UNRWA, UNTSO, UPU, WADB (nonregional), WCL, WCO, WEU, WHO, WIPO, WMO, WTrO, ZC |
| **Belize** | ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, LAES, NAM, OAS, OPANAL, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WTrO |
| **Benin** | ACP, AfDB, ECA, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, MIPONUH, MONUC, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Bermuda** | Caricom (observer), ICFTU, Interpol (subbureau), IOC, WCO |
| **Bhutan** | AsDB, CP, ESCAP, FAO, G-77, IBRD, ICAO, IDA, IFAD, IMF, IOC, IOM (observer), ITU, NAM, OPCW (signatory), SAARC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WTrO (observer) |
| **Bolivia** | ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA, Mercosur (associate), MONUC, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMIK, UNMISET, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Bosnia and Herzegovina** | BIS, CE, CEI, EBRD, ECE, FAO, G-77, IAEA, IBRD, ICAO, ICCt, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, NAM (guest), OAS (observer), OIC (observer), OPCW, OSCE, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UPU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Botswana** | ACP, AfDB, C, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ISO, ITU, NAM, OAU, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Brazil** | AfDB, BIS, ECLAC, FAO, G-15, G-19, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, LAES, LAIA, Mercosur, NAM (observer), NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMISET, UNMOP, UNMOVIC, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **British Virgin Islands** | Caricom (associate), CDB, ECLAC (associate), Interpol (subbureau), IOC, OECS (associate), UNESCO (associate) |
| **Brunei** | APEC, ARF, ASEAN, C, ESCAP, G-77, IBRD, ICAO, ICRM, IDB, IFRCS, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, NAM, OIC, OPCW, UN, UNCTAD, UPU, WCO, WHO, WIPO, WMO, WTrO |
| **Bulgaria** | ACCT, Australia Group, BIS, BSEC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, G- 9, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NSG, OAS (observer), OPCW, OSCE, PCA, PFP, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNMEE, UNMIBH, UNMIK, UNMOP, UPU, WCL, WCO, WEU (associate partner), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Burkina Faso** | ACCT, ACP, AfDB, ECA, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ITU, MONUC, NAM, OAU, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Burma** | ARF, AsDB, ASEAN, CP, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO |
| **Burundi** | ACCT, ACP, AfDB, CEEAC, CEPGL, ECA, FAO, G-77, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM (observer), ISO (subscriber), ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO |
| **Cambodia** | ACCT, ARF, AsDB, ASEAN, CP, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, NAM, OPCW (signatory), PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Cameroon** | ACCT, ACP, AfDB, BDEAC, C, CEEAC, CEMAC, ECA, FAO, FZ, G-19, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, MONUC, NAM, OAU, OIC, OPCW, PCA, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Canada** | ACCT, AfDB, APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), Australia Group, BIS, C, CDB, CE (observer), EAPC, EBRD, ECE, ECLAC, ESA (cooperating state), FAO, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURCA, MIPONUH, MONUC, NAM (guest), NATO, NEA, NSG, OAS, OECD, OPCW, OSCE, PCA, UN, UNAMSIL, UNCTAD, UNDOF, UNESCO, UNFICYP, UNHCR, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOVIC, UNTSO, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Cape Verde** | ACCT, ACP, AfDB, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IOM (observer), ITU, NAM, OAU, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Cayman Islands** | Caricom (associate), CDB, Interpol (subbureau), IOC, UNESCO (associate) |
| **Central African Republic** | ACCT, ACP, AfDB, BDEAC, CEEAC, CEMAC, ECA, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, NAM, OAU, OIC (observer), OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTrO |
| **Chad** | ACCT, ACP, AfDB, BDEAC, CEEAC, CEMAC, ECA, FAO, FZ, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| **Chile** | APEC, ECLAC, FAO, G-15, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur (associate), NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNMIBH, UNMIK, UNMOGIP, UNTSO, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **China** | APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), BIS, CDB, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, LAIA (observer), MINURSO, MONUC, NAM (observer), OPCW, PCA, SCO, UN, UN Security Council, UNAMSIL, UNCTAD, UNESCO, IFC, UNHCR, UNIDO, AfDB, UNIKOM, UNITAR, UNMEE, UNMIBH, UNMOVIC, UNTSO, UNU, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | BCIE, CAN, Caricom (observer), CDB, ECLAC, FAO, G-15, G-3, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Comoros** | ACCT, ACP, AfDB, AFESD, AL, AMF, ECA, FAO, FZ, G-77, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS (associate), ILO, IMF, IMO, InOC, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WMO, WTrO (applicant) |
| **Congo, Democratic Republic of the** | ACCT, ACP, AfDB, CEEAC, CEPGL, ECA, FAO, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, NAM, OAU, OPCW (signatory), PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Congo, Republic of the** | ACCT, ACP, AfDB, BDEAC, CEEAC, CEMAC, ECA, FAO, FZ, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, NAM, OAU, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Cook Islands** | ACP, AsDB, ESCAP (associate), FAO, ICAO, ICFTU, IFAD, IFRCS (associate), IOC, OPCW, Sparteca, SPC, SPF, UNESCO, WHO, WMO |
| **Costa Rica** | BCIE, CACM, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA (observer), NAM (observer), OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Cote d'Ivoire** | ACP, AfDB, ECA, ECOWAS, Entente, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Croatia** | BIS, CE, CEI, EAPC, EBRD, ECE, FAO, IADB, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM (observer), OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMEE, UNMOGIP, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO |
| **Cuba** | ECLAC, FAO, G-77, IAEA, ICAO, ICC, ICRM, IFAD, IFRCS, IHO, ILO, IMO, Interpol, IOC, IOM (observer), ISO, ITU, LAES, LAIA, NAM, OAS (excluded from formal participation since 1962), OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Cyprus** | Australia Group, C, CE, EBRD, ECE, EU (applicant), FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, IDA, IFAD, IFC, IFRCS (associate), IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM, NSG, OAS (observer), OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Czech Republic** | ACCT (observer), Australia Group, BIS, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNITAR, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNOMIG, UPU, WCL, WCO, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Denmark** | AfDB, AsDB, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, ECE, EIB, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMISET, UNMOGIP, UNMOP, UNMOT, UNOMIG, UNTSO, UPU, WCO, WEU (observer), WHO, WIPO, WMO, WTrO, ZC |
| **Djibouti** | ACCT, ACP, AfDB, AFESD, AL, AMF, ECA, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Dominica** | ACCT, ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IBRD, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, NAM, OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WTrO |
| **Dominican Republic** | ACP, Caricom (observer), ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, LAES, LAIA (observer), NAM (observer), OAS, OPANAL, OPCW (signatory), PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **East Timor** | AsDB, IBRD, ICCt, IDA, IMF, Interpol, UN, WHO |
| **Ecuador** | CAN, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Egypt** | ABEDA, ACC, ACCT, AfDB, AFESD, AL, AMF, BSEC (observer), CAEU, EBRD, ECA, ESCWA, FAO, G-15, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM, OAPEC, OAS (observer), OAU, OIC, OSCE (partner), PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNITAR, UNMIBH, UNMIK, UNMISET, UNMOP, UNOMIG, UNRWA, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **El Salvador** | BCIE, CACM, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, LAES, LAIA (observer), MINURSO, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Equatorial Guinea** | ACCT, ACP, AfDB, BDEAC, CEEAC, CEMAC, ECA, FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OAS (observer), OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WToO, WTrO (observer) |
| **Eritrea** | ACP, AfDB, ECA, FAO, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, IDA, IFAD, IFC, IFRCS (associate), IGAD, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, NAM, OAU, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO |
| **Estonia** | BIS, CBSS, CE, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, OAS (observer), OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNMIBH, UNTSO, UPU, WCO, WEU (associate partner), WHO, WIPO, WMO, WTrO |
