Field Listing :: Citizenship :: The World Factbook - Central Intelligence Agency

This entry provides information related to the acquisition and exercise of citizenship; it includes four subfields:
citizenship by birth describes the acquisition of citizenship based on place of birth, known as Jus soli, regardless of the citizenship of parents.
citizenship by descent only describes the acquisition of citizenship based on the principle of Jus sanguinis, or by descent, where at least one parent is a citizen of the state and being born within the territorial limits of the state is not required. The majority of countries adhere to this practice. In some cases, citizenship is conferred through the father or mother exclusively.
dual citizenship recognized indicates whether a state permits a citizen to simultaneously hold citizenship in another state. Many states do not permit dual citizenship and the voluntary acquisition of citizenship in another country is grounds for revocation of citizenship. Holding dual citizenship makes an individual legally obligated to more than one state and can negate the normal consular protections afforded to citizens outside their original country of citizenship.
residency requirement for naturalization lists the length of time an applicant is required to live in a state before applying for naturalization. In most countries citizenship can be acquired through the legal process of naturalization. The requirements for naturalization vary by state but generally include no criminal record, good health, economic wherewithal, and a period of authorized residency in the state. This time period can vary enormously among states and is often used to make the acquisition of citizenship difficult or impossible.

| Country | Citizenship |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Belarus** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Belarus |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 7 years |
| **Belgium** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Belgium |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Belize** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Benin** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Benin |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 10 years |
| **Bermuda** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the UK |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 10 years |
| **Bhutan** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Bhutan |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Bolivia** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 3 years |
| **Bosnia and Herzegovina** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Bosnia and Herzegovina |
| | *dual citizenship recognized:* yes, provided there is a bilateral agreement with the other state |
| | *residency requirement for naturalization:* 8 years |
| **Botswana** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Botswana |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Brazil** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 4 years |
| **British Virgin Islands** | see United Kingdom |
| **Brunei** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Brunei |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 12 years |
| **Bulgaria** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Bulgaria |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Burkina Faso** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Burkina Faso |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 10 years |
| **Burma** | *citizenship by birth:* no |
| | *citizenship by descent only:* both parents must be citizens of Burma |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* none |
| | *note:* an applicant for naturalization must be the child or spouse of a citizen |
| **Burundi** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Burundi |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Cabo Verde** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Cabo Verde |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Cambodia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Cambodia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 7 years |
| **Cameroon** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Cameroon |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Canada** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* minimum of 3 of last 5 years resident in Canada |
| **Cayman Islands** | see United Kingdom |
| **Central African Republic** | *citizenship by birth:* no |
| | *citizenship by descent only:* least one parent must be a citizen of the Central African Republic |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 35 years |
| **Chad** | *citizenship by birth:* no |
| | *citizenship by descent only:* both parents must be citizens of Chad |
| | *dual citizenship recognized:* Chadian law does not address dual citizenship |
| | *residency requirement for naturalization:* 15 years |
| **Chile** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **China** | *citizenship by birth:* no |
| | *citizenship by descent only:* least one parent must be a citizen of China |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* while naturalization is theoretically possible, in practical terms it is extremely difficult; residency is required but not specified |
| **Christmas Island** | see Australia |
| **Cocos (Keeling) Islands** | see Australia |
| **Colombia** | *citizenship by birth:* no |
| | *citizenship by descent only:* least one parent must be a citizen or permanent resident of Colombia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Comoros** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the Comoros |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Congo, Democratic Republic of the** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the Democratic Republic of the Congo |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Congo, Republic of the** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the Republic of the Congo |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Coral Sea Islands** | see Australia |
| **Costa Rica** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 7 years |
| **Cote d'Ivoire** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Cote d'Ivoire |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Croatia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Croatia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Cuba** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* unknown |
| **Curacao** | see the Netherlands |
| **Cyprus** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Cyprus |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 7 years |
| **Czechia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Czechia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Denmark** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Denmark |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 7 years |
| **Djibouti** | *citizenship by birth:* no |
| | *citizenship by descent only:* the mother must be a citizen of Djibouti |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Dominica** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Dominican Republic** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the Dominican Republic |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 2 years |
| **Ecuador** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 3 years |
| **Egypt** | *citizenship by birth:* no |
| | *citizenship by descent only:* if the father was born in Egypt |
| | *dual citizenship recognized:* only with prior permission from the government |
| | *residency requirement for naturalization:* 10 years |
| **El Salvador** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Equatorial Guinea** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Equatorial Guinea |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Eritrea** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Eritrea |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 20 years |
| **Estonia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Estonia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Eswatini** | *citizenship by birth:* no |
| | *citizenship by descent only:* both parents must be citizens of Eswatini |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Ethiopia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Ethiopia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 4 years |
| **Falkland Islands (Islas Malvinas)** | see United Kingdom |
| **Faroe Islands** | see Denmark |
| **Fiji** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Fiji |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* at least 5 years residency out of the 10 years preceding application |
| **Finland** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Finland |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 6 years |
| **France** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of France |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **French Polynesia** | see France |
| **French Southern and Antarctic Lands** | see France |
| **Gabon** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Gabon |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Gambia, The** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Georgia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Georgia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Germany** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a German citizen or a resident alien who has lived in Germany at least 8 years |
| | *dual citizenship recognized:* yes, but requires prior permission from government |
| | *residency requirement for naturalization:* 8 years |
| **Ghana** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent or grandparent must be a citizen of Ghana |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Gibraltar** | see United Kingdom |
| **Greece** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Greece |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 10 years |
| **Greenland** | see Denmark |
| **Grenada** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 7 years for persons from a non-Caribbean state and 4 years for a person from a Caribbean state |
| **Guam** | see United States |
| **Guatemala** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years with no absences of six consecutive months or longer or absences totaling more than a year |
| **Guernsey** | see United Kingdom |
| **Guinea** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Guinea |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* na |
| **Guinea-Bissau** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Guyana** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* na |
| **Haiti** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a native-born citizen of Haiti |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Holy See (Vatican City)** | *citizenship by birth:* no |
| | *citizenship by descent only:* no |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* not applicable |
| | *note:* in the Holy See, citizenship is acquired by law, ex iure, or by adminstrative decision; in the first instance, citizenship is a function of holding office within the Holy See as in the case of cardinals resident in Vatican City or diplomats of the Holy See; in the second instance, citizenship may be requested in a limited set of circumstances for those who reside within Vatican City under papal authorization, as a function of their office or service, or as the spouses and children of current citizens; citizenship is lost once an individual no longer permanently resides in Vatican City, normally reverting to the citizenship previously held |
| **Honduras** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 1 to 3 years |
| **Hong Kong** | see China |
| **Hungary** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Hungary |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 8 years |
| **Iceland** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Iceland |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 3 to 7 years |
| **India** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of India |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Indonesia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Indonesia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 continuous years |
| **Iran** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Iran |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Iraq** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Iraq |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 10 years |
| **Ireland** | *citizenship by birth:* no, unless a parent of a child born in Ireland has been legally resident in Ireland for at least three of the four years prior to the birth of the child |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 4 of the previous 8 years |
| **Isle of Man** | see United Kingdom |
| **Israel** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Israel |
| | *dual citizenship recognized:* yes, but naturalized citizens are not allowed to maintain dual citizenship |
| | *residency requirement for naturalization:* 3 out of the 5 years preceding the application for naturalization |
| | *note:* Israeli law (Law of Return, 5 July 1950) provides for the granting of citizenship to any Jew - defined as a person being born to a Jewish mother or having converted to Judaism while renouncing any other religion - who immigrates to and expresses a desire to settle in Israel on the basis of the Right of aliyah; the 1970 amendment of this act extended the right to family members including the spouse of a Jew, any child or grandchild, and the spouses of children and grandchildren |
| **Italy** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Italy |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 4 years for EU nationals, 5 years for refugees and specified exceptions, 10 years for all others |
| **Jamaica** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 4 out of the previous 5 years |
| **Japan** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Japan |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Jersey** | see United Kingdom |
| **Jordan** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Jordan |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 15 years |
| **Kazakhstan** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Kazakhstan |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Kenya** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Kenya |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 4 out of the previous 7 years |
| **Kiribati** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a native-born citizen of Kiribati |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 7 years |
| **Korea, North** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of North Korea |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* unknown |
| **Korea, South** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of South Korea |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Kosovo** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Kosovo |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Kuwait** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Kuwait |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* not specified |
| **Kyrgyzstan** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Kyrgyzstan |
| | *dual citizenship recognized:* yes, but only if a mutual treaty on dual citizenship is in force |
| | *residency requirement for naturalization:* 5 years |
| **Laos** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Laos |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Latvia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Latvia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Lebanon** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Lebanon |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* unknown |
| **Lesotho** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Liberia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Liberia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 2 years |
| **Libya** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent or grandparent must be a citizen of Libya |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* varies from 3 to 5 years |
| **Liechtenstein** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Liechtenstein; in the case of a child born out of wedlock, the mother must be a citizen |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Lithuania** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Lithuania |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Luxembourg** | *citizenship by birth:* limited to situations where the parents are either unknown, stateless, or when the nationality law of the parents' state of origin does not permit acquisition of citizenship by descent when the birth occurs outside of national territory |
| | *citizenship by descent only:* at least one parent must be a citizen of Luxembourg |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 7 years |
| **Macau** | see China |
| **Madagascar** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Madagascar; in the case of a child born out of wedlock, the mother must be a citizen |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* unknown |
| **Malawi** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Malawi |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 7 years |
| **Malaysia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Malaysia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 out 12 years preceding application |
| **Maldives** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Maldives |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* unknown |
| **Mali** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Mali |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Malta** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Malta |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Marshall Islands** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the Marshall Islands |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Mauritania** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Mauritania |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Mauritius** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 out of the previous 7 years including the last 12 months |
| **Mexico** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* not specified |
| | *residency requirement for naturalization:* 5 years |
| **Micronesia, Federated States of** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of FSM |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Midway Islands** | see United States |
| **Moldova** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Moldova |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Monaco** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Monaco; in the case of a child born out of wedlock, the mother must be a citizen and father unknown |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Mongolia** | *citizenship by birth:* no |
| | *citizenship by descent only:* both parents must be citizens of Mongolia; one parent if born within Mongolia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Montenegro** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Montenegro |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Montserrat** | see United Kingdom |
| **Morocco** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Morocco; if the father is unknown or stateless, the mother must be a citizen |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Mozambique** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Mozambique |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Namibia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Namibia |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Nepal** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 15 years |
| **Netherlands** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of the Netherlands |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **New Caledonia** | see France |
| **New Zealand** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of New Zealand |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 3 years |
| **Nicaragua** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no, except in cases where bilateral agreements exist |
| | *residency requirement for naturalization:* 4 years |
| **Niger** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Niger |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* unknown |
| **Nigeria** | *citizenship by birth:* no |
