CIA -- The World Factbook -- Electricity - production by source

| Country | Electricity - production by source |
| **Comoros** | *fossil fuel:*  88.24% |
| | *hydro:*  11.76% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Congo, Democratic Republic of the** | *fossil fuel:*  2.05% |
| | *hydro:*  97.95% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Congo, Republic of the** | *fossil fuel:*  0.66% |
| | *hydro:*  99.34% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Cook Islands** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Costa Rica** | *fossil fuel:*  2.41% |
| | *hydro:*  83.32% |
| | *nuclear:*  0% |
| | *other:*  14.27% (1999) |
| **Cote d'Ivoire** | *fossil fuel:*  75.37% |
| | *hydro:*  24.63% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Croatia** | *fossil fuel:*  40.89% |
| | *hydro:*  59% |
| | *nuclear:*  0% |
| | *other:*  0.11% (1999) |
| **Cuba** | *fossil fuel:*  94.2% |
| | *hydro:*  0.7% |
| | *nuclear:*  0% |
| | *other:*  5.1% (1999) |
| **Cyprus** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Czech Republic** | *fossil fuel:*  77.8% |
| | *hydro:*  3.43% |
| | *nuclear:*  18.77% |
| | *other:*  0% (2000) |
| **Denmark** | *fossil fuel:*  88.4% |
| | *hydro:*  0.07% |
| | *nuclear:*  0% |
| | *other:*  11.53% (1999) |
| **Djibouti** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Dominica** | *fossil fuel:*  48.39% |
| | *hydro:*  51.61% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Dominican Republic** | *fossil fuel:*  87.19% |
| | *hydro:*  12.4% |
| | *nuclear:*  0% |
| | *other:*  0.41% (1999) |
| **Ecuador** | *fossil fuel:*  29.51% |
| | *hydro:*  70.49% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Egypt** | *fossil fuel:*  76.59% |
| | *hydro:*  23.41% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **El Salvador** | *fossil fuel:*  45.65% |
| | *hydro:*  41.01% |
| | *nuclear:*  0% |
| | *other:*  13.34% (1999) |
| **Equatorial Guinea** | *fossil fuel:*  85.71% |
| | *hydro:*  14.29% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Eritrea** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Estonia** | *fossil fuel:*  99.72% |
| | *hydro:*  0.09% |
| | *nuclear:*  0% |
| | *other:*  0.19% (1999) |
| **Ethiopia** | *fossil fuel:*  3.08% |
| | *hydro:*  96.92% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Falkland Islands (Islas Malvinas)** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Faroe Islands** | *fossil fuel:*  58.82% |
| | *hydro:*  41.18% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Fiji** | *fossil fuel:*  17.65% |
| | *hydro:*  82.35% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Finland** | *fossil fuel:*  41.88% |
| | *hydro:*  16.77% |
| | *nuclear:*  28.82% |
| | *other:*  12.53% (1999) |
| **France** | *fossil fuel:*  9.69% |
| | *hydro:*  14.39% |
| | *nuclear:*  75.43% |
| | *other:*  0.49% (1999) |
| **French Guiana** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **French Polynesia** | *fossil fuel:*  51.16% |
| | *hydro:*  48.84% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Gabon** | *fossil fuel:*  29.9% |
| | *hydro:*  70.1% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Gambia, The** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Georgia** | *fossil fuel:*  20.38% |
| | *hydro:*  79.62% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Germany** | *fossil fuel:*  63.29% |
| | *hydro:*  3.59% |
| | *nuclear:*  30.3% |
| | *other:*  2.82% (1999) |
| **Ghana** | *fossil fuel:*  26.82% |
| | *hydro:*  73.18% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Gibraltar** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Greece** | *fossil fuel:*  89.6% |
| | *hydro:*  9.72% |
| | *nuclear:*  0% |
| | *other:*  0.68% (1999) |
| **Greenland** | *fossil fuel:*  41% |
| | *hydro:*  59% |
| | *nuclear:*  0% |
| | *other:*  0% |
| | *note:*  Greenland is shifting its electricity production from fossil fuel to hydroelectric power production (1999) |
| **Grenada** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Guadeloupe** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Guam** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Guatemala** | *fossil fuel:*  38.31% |
| | *hydro:*  61.69% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Guernsey** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Guinea** | *fossil fuel:*  46.67% |
| | *hydro:*  53.33% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Guinea-Bissau** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Guyana** | *fossil fuel:*  98.9% |
| | *hydro:*  1.1% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Haiti** | *fossil fuel:*  52.83% |
| | *hydro:*  47.17% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Holy See (Vatican City)** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Honduras** | *fossil fuel:*  44.71% |
| | *hydro:*  55.29% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Hong Kong** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Hungary** | *fossil fuel:*  61.09% |
| | *hydro:*  0.51% |
| | *nuclear:*  38.4% |
| | *other:*  0% (1999) |
| **Iceland** | *fossil fuel:*  0.07% |
| | *hydro:*  84.64% |
| | *nuclear:*  0% |
| | *other:*  15.29% (1999) |
| **India** | *fossil fuel:*  79.41% |
| | *hydro:*  17.77% |
| | *nuclear:*  2.52% |
| | *other:*  0.3% (1999) |
| **Indonesia** | *fossil fuel:*  80.36% |
| | *hydro:*  14.63% |
| | *nuclear:*  0% |
| | *other:*  5.01% (1999) |
| **Iran** | *fossil fuel:*  93.16% |
| | *hydro:*  6.84% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Iraq** | *fossil fuel:*  97.96% |
| | *hydro:*  2.04% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Ireland** | *fossil fuel:*  94.42% |
| | *hydro:*  4.23% |
| | *nuclear:*  0% |
| | *other:*  1.35% (1999) |
| **Israel** | *fossil fuel:*  99.89% |
| | *hydro:*  0.11% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Italy** | *fossil fuel:*  79.09% |
| | *hydro:*  18.08% |
| | *nuclear:*  0% |
| | *other:*  2.83% (1999) |
| **Jamaica** | *fossil fuel:*  92.28% |
| | *hydro:*  1.36% |
| | *nuclear:*  0% |
| | *other:*  6.36% (1999) |
| **Japan** | *fossil fuel:*  58.91% |
| | *hydro:*  8.35% |
| | *nuclear:*  30.31% |
| | *other:*  2.43% (1999) |
| **Jordan** | *fossil fuel:*  99.79% |
| | *hydro:*  0.21% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Kazakhstan** | *fossil fuel:*  87.12% |
| | *hydro:*  12.65% |
| | *nuclear:*  0.23% |
| | *other:*  0% (1999) |
| **Kenya** | *fossil fuel:*  31% |
| | *hydro:*  67% |
| | *nuclear:*  0% |
| | *other:*  2% (1999 est.) |
| **Kiribati** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Korea, North** | *fossil fuel:*  34.62% |
| | *hydro:*  65.38% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Korea, South** | *fossil fuel:*  59.22% |
| | *hydro:*  1.64% |
| | *nuclear:*  39.12% |
| | *other:*  0.02% (1999) |
| **Kuwait** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Kyrgyzstan** | *fossil fuel:*  6.67% |
| | *hydro:*  93.33% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Laos** | *fossil fuel:*  2.78% |
| | *hydro:*  97.22% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Latvia** | *fossil fuel:*  31.78% |
| | *hydro:*  68.22% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Lebanon** | *fossil fuel:*  91.29% |
| | *hydro:*  8.71% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Lesotho** | *fossil fuel:*  0% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Liberia** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Libya** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Liechtenstein** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Lithuania** | *fossil fuel:*  23.89% |
| | *hydro:*  3.43% |
| | *nuclear:*  72.68% |
| | *other:*  0% (1999) |
| **Luxembourg** | *fossil fuel:*  36.88% |
| | *hydro:*  53.09% |
| | *nuclear:*  0% |
| | *other:*  10.03% (1999) |
| **Macau** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Macedonia, The Former Yugoslav Republic of** | *fossil fuel:*  82.25% |
| | *hydro:*  17.75% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Madagascar** | *fossil fuel:*  37.04% |
| | *hydro:*  62.96% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Malawi** | *fossil fuel:*  2.44% |
| | *hydro:*  97.56% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Malaysia** | *fossil fuel:*  91.61% |
| | *hydro:*  8.39% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Maldives** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Mali** | *fossil fuel:*  44.94% |
| | *hydro:*  55.06% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Malta** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Marshall Islands** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Martinique** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Mauritania** | *fossil fuel:*  82.78% |
| | *hydro:*  17.22% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Mauritius** | *fossil fuel:*  91.27% |
| | *hydro:*  8.73% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Mayotte** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Mexico** | *fossil fuel:*  74.12% |
| | *hydro:*  17.75% |
| | *nuclear:*  5.21% |
| | *other:*  2.92% (1999) |
| **Micronesia, Federated States of** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Moldova** | *fossil fuel:*  93.62% |
| | *hydro:*  6.38% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Mongolia** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Montserrat** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Morocco** | *fossil fuel:*  89.19% |
| | *hydro:*  10.81% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Mozambique** | *fossil fuel:*  13.04% |
| | *hydro:*  86.96% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Namibia** | *fossil fuel:*  2% |
| | *hydro:*  98% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Nauru** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Nepal** | *fossil fuel:*  9.56% |
| | *hydro:*  90.44% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Netherlands** | *fossil fuel:*  90.25% |
| | *hydro:*  0.11% |
| | *nuclear:*  4.27% |
| | *other:*  5.37% (1999) |
| **Netherlands Antilles** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **New Caledonia** | *fossil fuel:*  78.95% |
| | *hydro:*  21.05% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **New Zealand** | *fossil fuel:*  30.49% |
| | *hydro:*  61.42% |
| | *nuclear:*  0% |
| | *other:*  8.09% (1999) |
| **Nicaragua** | *fossil fuel:*  67.26% |
| | *hydro:*  17.71% |
| | *nuclear:*  0% |
| | *other:*  15.03% (1999) |
| **Niger** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Nigeria** | *fossil fuel:*  52.94% |
| | *hydro:*  47.06% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Niue** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Norfolk Island** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Norway** | *fossil fuel:*  0.63% |
| | *hydro:*  99.11% |
| | *nuclear:*  0% |
| | *other:*  0.26% (1999) |
| **Oman** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Pakistan** | *fossil fuel:*  63.38% |
| | *hydro:*  36.51% |
| | *nuclear:*  0.11% |
| | *other:*  0% (1999) |
| **Panama** | *fossil fuel:*  27.78% |
| | *hydro:*  71.65% |
| | *nuclear:*  0% |
| | *other:*  0.57% (1999) |
| **Papua New Guinea** | *fossil fuel:*  54.95% |
| | *hydro:*  45.05% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Paraguay** | *fossil fuel:*  0.07% |
| | *hydro:*  99.79% |
| | *nuclear:*  0% |
| | *other:*  0.15% (1999) |
| **Peru** | *fossil fuel:*  23.04% |
| | *hydro:*  76.43% |
| | *nuclear:*  0% |
| | *other:*  0.53% (1999) |
| **Philippines** | *fossil fuel:*  61.03% |
| | *hydro:*  18.68% |
| | *nuclear:*  0% |
| | *other:*  20.29% (1999) |
| **Poland** | *fossil fuel:*  96.43% |
| | *hydro:*  3.16% |
| | *nuclear:*  0% |
| | *other:*  0.41% (1999) |
| **Portugal** | *fossil fuel:*  79.97% |
| | *hydro:*  17.25% |
| | *nuclear:*  0% |
| | *other:*  2.78% (1999) |
| **Puerto Rico** | *fossil fuel:*  98.45% |
| | *hydro:*  1.55% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Qatar** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Reunion** | *fossil fuel:*  54.55% |
| | *hydro:*  45.45% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Romania** | *fossil fuel:*  53.99% |
| | *hydro:*  36.18% |
| | *nuclear:*  9.81% |
| | *other:*  0.02% (1999) |
| **Russia** | *fossil fuel:*  66.31% |
| | *hydro:*  19.79% |
| | *nuclear:*  13.9% |
| | *other:*  0% (1999) |
| **Rwanda** | *fossil fuel:*  3.03% |
| | *hydro:*  96.97% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Saint Helena** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Saint Kitts and Nevis** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Saint Lucia** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Saint Pierre and Miquelon** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Saint Vincent and the Grenadines** | *fossil fuel:*  73.17% |
| | *hydro:*  26.83% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Samoa** | *fossil fuel:*  60% |
| | *hydro:*  40% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **San Marino** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Sao Tome and Principe** | *fossil fuel:*  41.18% |
| | *hydro:*  58.82% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Saudi Arabia** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Senegal** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Seychelles** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Sierra Leone** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Singapore** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Slovakia** | *fossil fuel:*  37.56% |
| | *hydro:*  18.27% |
| | *nuclear:*  44.17% |
| | *other:*  0% (1999) |
| **Slovenia** | *fossil fuel:*  34.44% |
| | *hydro:*  29.58% |
| | *nuclear:*  35.98% |
| | *other:*  0% (1999) |
| **Solomon Islands** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Somalia** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **South Africa** | *fossil fuel:*  92.74% |
| | *hydro:*  0.39% |
| | *nuclear:*  6.87% |
| | *other:*  0% (1999) |
| **South Georgia and the South Sandwich Islands** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Spain** | *fossil fuel:*  57.71% |
| | *hydro:*  12.1% |
| | *nuclear:*  28.28% |
| | *other:*  1.91% (1999) |
| **Sri Lanka** | *fossil fuel:*  29.9% |
| | *hydro:*  70.1% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Sudan** | *fossil fuel:*  42.05% |
| | *hydro:*  57.95% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Suriname** | *fossil fuel:*  25.92% |
| | *hydro:*  74.08% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Svalbard** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Swaziland** | *fossil fuel:*  53.33% |
| | *hydro:*  46.67% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Sweden** | *fossil fuel:*  5.53% |
| | *hydro:*  47.24% |
| | *nuclear:*  45.42% |
| | *other:*  1.81% (1999) |
| **Switzerland** | *fossil fuel:*  3.44% |
| | *hydro:*  59.16% |
| | *nuclear:*  35.43% |
| | *other:*  1.97% (1999) |
| **Syria** | *fossil fuel:*  57.64% |
| | *hydro:*  42.36% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Tajikistan** | *fossil fuel:*  1.9% |
| | *hydro:*  98.1% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Tanzania** | *fossil fuel:*  22.24% |
| | *hydro:*  77.76% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Thailand** | *fossil fuel:*  91.17% |
| | *hydro:*  3.81% |
| | *nuclear:*  0% |
| | *other:*  5.02% (1999) |
| **Togo** | *fossil fuel:*  97.83% |
| | *hydro:*  2.17% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Tokelau** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
