CIA - The World Factbook -- Field Listing :: Natural gas - exports   

This entry is the total natural gas exported in cubic meters (cu m).

| Country | Natural gas - exports(cu m) |
| **Turkey** | 435 million cu m (2008) |
| **Turkmenistan** | 48.5 billion cu m (2008) |
| **Turks and Caicos Islands** | 0 cu m (2008) |
| **Uganda** | 0 cu m (2008) |
| **Ukraine** | 3.2 billion cu m (2007) |
| **United Arab Emirates** | 7.567 billion cu m (2008) |
| **United Kingdom** | 10.5 billion cu m (2008) |
| **United States** | 28.49 billion cu m (2008) |
| **Uruguay** | 0 cu m (2008) |
| **Uzbekistan** | 15 billion cu m (2008) |
| **Vanuatu** | 0 cu m (2008) |
| **Venezuela** | 0 cu m (2008) |
| **Vietnam** | 0 cu m (2008) |
| **Virgin Islands** | 0 cu m (2008) |
| **Western Sahara** | 0 cu m (2008) |
| **World** | 980.4 billion cu m (2008) |
| **Yemen** | 0 cu m (2008) |
| **Zambia** | 0 cu m (2008) |
| **Zimbabwe** | 0 cu m (2008) |
