CIA - The World Factbook -- Field Listing :: Health expenditures   

This entry provides the total expenditure on health as a percentage of GDP. Health expenditures are broadly defined as activities performed either by institutions or individuals through the application of medical, paramedical, and/or nursing knowledge and technology, the primary purpose of which is to promote, restore, or maintain health.

| Country | Health expenditures(% of GDP) |
| **Saint Kitts and Nevis** | 6% of GDP (2009) |
| **Saint Lucia** | 8.1% of GDP (2009) |
| **Saint Vincent and the Grenadines** | 5.6% of GDP (2009) |
| **Samoa** | 7% of GDP (2009) |
| **San Marino** | 7.1% of GDP (2009) |
| **Sao Tome and Principe** | 7.1% of GDP (2009) |
| **Saudi Arabia** | 5% of GDP (2009) |
| **Senegal** | 5.7% of GDP (2009) |
| **Serbia** | 9.9% of GDP (2009) |
| **Seychelles** | 4% of GDP (2009) |
| **Sierra Leone** | 13.1% of GDP (2009) |
| **Singapore** | 3.9% of GDP (2009) |
| **Slovakia** | 8.5% of GDP (2009) |
| **Slovenia** | 9.1% of GDP (2009) |
| **Solomon Islands** | 5.4% of GDP (2009) |
| **South Africa** | 8.5% of GDP (2009) |
| **Spain** | 9.7% of GDP (2009) |
| **Sri Lanka** | 4% of GDP (2009) |
| **Sudan** | 7.3% of GDP (2009) |
| **Suriname** | 7.6% of GDP (2009) |
| **Swaziland** | 6.3% of GDP (2009) |
| **Sweden** | 9.9% of GDP (2009) |
| **Switzerland** | 11.3% of GDP (2009) |
| **Syria** | 2.9% of GDP (2009) |
| **Tajikistan** | 5.3% of GDP (2009) |
| **Tanzania** | 5.1% of GDP (2009) |
| **Thailand** | 4.3% of GDP (2009) |
| **Timor-Leste** | 12.3% of GDP (2009) |
| **Togo** | 5.9% of GDP (2009) |
| **Tonga** | 6.2% of GDP (2009) |
| **Trinidad and Tobago** | 5.6% of GDP (2009) |
| **Tunisia** | 6.2% of GDP (2009) |
| **Turkey** | 6.7% of GDP (2009) |
| **Turkmenistan** | 2.3% of GDP (2009) |
| **Tuvalu** | 9.9% of GDP (2009) |
| **Uganda** | 8.2% of GDP (2009) |
| **Ukraine** | 7% of GDP (2009) |
| **United Arab Emirates** | 2.8% of GDP (2009) |
| **United Kingdom** | 9.3% of GDP (2009) |
| **United States** | 16.2% of GDP (2009) |
| **Uruguay** | 7.4% of GDP (2009) |
| **Uzbekistan** | 5.2% of GDP (2009) |
| **Vanuatu** | 4% of GDP (2009) |
| **Vietnam** | 7.2% of GDP (2009) |
| **Yemen** | 5.6% of GDP (2009) |
| **Zambia** | 4.8% of GDP (2009) |
