CIA - The World Factbook --  Airports   

This entry gives the total number of airports or airfields recognizable from the air. The runway(s) may be paved (concrete or asphalt surfaces) or unpaved (grass, earth, sand, or gravel surfaces) and may include closed or abandoned installations. Airports or airfields that are no longer recognizable (overgrown, no facilities, etc.) are not included. Note that not all airports have accommodations for refueling, maintenance, or air traffic control.

| Rank | country | Airports | Date of Information |
| 194 | American Samoa | 3 | 2012 |
| 195 | Anguilla | 3 | 2012 |
| 196 | Cayman Islands | 3 | 2012 |
| 197 | Grenada | 3 | 2012 |
| 198 | Sao Tome and Principe | 2 | 2012 |
| 199 | Hong Kong | 2 | 2012 |
| 200 | Dominica | 2 | 2012 |
| 201 | Saint Pierre and Miquelon | 2 | 2012 |
| 202 | Guernsey | 2 | 2012 |
| 203 | Saint Kitts and Nevis | 2 | 2012 |
| 204 | Bhutan | 2 | 2012 |
| 205 | Luxembourg | 2 | 2012 |
| 206 | Wallis and Futuna | 2 | 2012 |
| 207 | West Bank | 2 | 2012 |
| 208 | Virgin Islands | 2 | 2012 |
| 209 | Saint Lucia | 2 | 2012 |
| 210 | Macau | 1 | 2012 |
| 211 | Montserrat | 1 | 2012 |
| 212 | Malta | 1 | 2012 |
| 213 | Niue | 1 | 2012 |
| 214 | Norfolk Island | 1 | 2012 |
| 215 | Nauru | 1 | 2012 |
| 216 | Paracel Islands | 1 | 2012 |
| 217 | Aruba | 1 | 2012 |
| 218 | Barbados | 1 | 2012 |
| 219 | Bermuda | 1 | 2012 |
| 220 | Brunei | 1 | 2012 |
| 221 | Curacao | 1 | NA |
| 222 | Cocos (Keeling) Islands | 1 | 2012 |
| 223 | Faroe Islands | 1 | 2012 |
| 224 | Gambia, The | 1 | 2012 |
| 225 | Christmas Island | 1 | 2012 |
| 226 | Gibraltar | 1 | 2012 |
| 227 | Jersey | 1 | 2012 |
| 228 | British Indian Ocean Territory | 1 | 2012 |
| 229 | Isle of Man | 1 | 2012 |
| 230 | Gaza Strip | 1 | 2012 |
| 231 | Wake Island | 1 | 2012 |
| 232 | Tuvalu | 1 | 2012 |
| 233 | Saint Barthelemy | 1 | 2012 |
| 234 | Sint Maarten | 1 | NA |
| 235 | Saint Helena, Ascension, and Tristan da Cunha | 1 | 2012 |
| 236 | Saint Martin | 1 | 2012 |
| 237 | Jan Mayen | 1 | 2012 |
