CIA - The World Factbook --  Airports   

This entry gives the total number of airports or airfields recognizable from the air. The runway(s) may be paved (concrete or asphalt surfaces) or unpaved (grass, earth, sand, or gravel surfaces) and may include closed or abandoned installations. Airports or airfields that are no longer recognizable (overgrown, no facilities, etc.) are not included. Note that not all airports have accommodations for refueling, maintenance, or air traffic control.

| Rank | country | Airports | Date of Information |
| 169 | Falkland Islands (Islas Malvinas) | 6 | 2009 |
| 170 | Micronesia, Federated States of | 6 | 2009 |
| 171 | Tonga | 6 | 2009 |
| 172 | Timor-Leste | 6 | 2009 |
| 173 | Western Sahara | 6 | 2009 |
| 174 | Saint Vincent and the Grenadines | 6 | 2009 |
| 175 | Trinidad and Tobago | 6 | 2009 |
| 176 | Albania | 5 | 2009 |
| 177 | Benin | 5 | 2009 |
| 178 | Qatar | 5 | 2009 |
| 179 | Netherlands Antilles | 5 | 2009 |
| 180 | Maldives | 5 | 2009 |
| 181 | Mauritius | 5 | 2009 |
| 182 | Montenegro | 5 | 2009 |
| 183 | Northern Mariana Islands | 5 | 2009 |
| 184 | Comoros | 4 | 2009 |
| 185 | British Virgin Islands | 4 | 2009 |
| 186 | Samoa | 4 | 2009 |
| 187 | Svalbard | 4 | 2009 |
| 188 | Spratly Islands | 4 | 2009 |
| 189 | French Southern and Antarctic Lands | 4 | 2006 |
| 190 | Antigua and Barbuda | 3 | 2009 |
| 191 | Bahrain | 3 | 2009 |
| 192 | Anguilla | 3 | 2009 |
| 193 | Grenada | 3 | 2009 |
| 194 | American Samoa | 3 | 2009 |
| 195 | Palau | 3 | 2009 |
| 196 | Cayman Islands | 3 | 2009 |
| 197 | Bhutan | 2 | 2009 |
| 198 | Dominica | 2 | 2009 |
| 199 | Hong Kong | 2 | 2009 |
| 200 | Saint Pierre and Miquelon | 2 | 2009 |
| 201 | Saint Lucia | 2 | 2009 |
| 202 | Virgin Islands | 2 | 2009 |
| 203 | Wallis and Futuna | 2 | 2009 |
| 204 | West Bank | 2 | 2009 |
| 205 | Sao Tome and Principe | 2 | 2009 |
| 206 | Saint Kitts and Nevis | 2 | 2009 |
| 207 | Montserrat | 2 | 2009 |
| 208 | Luxembourg | 2 | 2009 |
| 209 | Guernsey | 2 | 2009 |
| 210 | Brunei | 2 | 2009 |
| 211 | Aruba | 1 | 2009 |
| 212 | Barbados | 1 | 2009 |
| 213 | Wake Island | 1 | 2009 |
| 214 | Tuvalu | 1 | 2009 |
| 215 | Saint Barthelemy | 1 | 2009 |
| 216 | Saint Helena | 1 | 2009 |
| 217 | Norfolk Island | 1 | 2009 |
| 218 | Niue | 1 | 2009 |
| 219 | Malta | 1 | 2009 |
| 220 | Mayotte | 1 | 2009 |
| 221 | Macau | 1 | 2009 |
| 222 | Christmas Island | 1 | 2009 |
| 223 | Jan Mayen | 1 | 2009 |
| 224 | Jersey | 1 | 2009 |
| 225 | British Indian Ocean Territory | 1 | 2009 |
| 226 | Saint Martin | 1 | 2009 |
| 227 | Paracel Islands | 1 | 2009 |
| 228 | Nauru | 1 | 2009 |
| 229 | Isle of Man | 1 | 2009 |
| 230 | Gaza Strip | 1 | 2009 |
| 231 | Gibraltar | 1 | 2009 |
| 232 | Gambia, The | 1 | 2009 |
| 233 | Faroe Islands | 1 | 2009 |
| 234 | Cocos (Keeling) Islands | 1 | 2009 |
| 235 | Bermuda | 1 | 2009 |
