CIA - The World Factbook --  Net migration rate   

This entry includes the figure for the difference between the number of persons entering and leaving a country during the year per 1,000 persons (based on midyear population). An excess of persons entering the country is referred to as net immigration (e.g., 3.56 migrants/1,000 population); an excess of persons leaving the country as net emigration (e.g., -9.26 migrants/1,000 population). The net migration rate indicates the contribution of migration to the overall level of population change. High levels of migration can cause problems such as increasing unemployment and potential ethnic strife (if people are coming in) or a reduction in the labor force, perhaps in certain key sectors (if people are leaving).

| Rank | country | (migrant(s)/1,000 population) | Date of Information |
| 143 | Fiji | -2.47 | 2009 est. |
| 144 | Bangladesh | -2.53 | 2009 est. |
| 145 | Kyrgyzstan | -2.57 | 2009 est. |
| 146 | Zambia | -2.59 | 2009 est. |
| 147 | Iran | -2.62 | 2009 est. |
| 148 | Uzbekistan | -2.94 | 2009 est. |
| 149 | Bulgaria | -3.11 | 2009 est. |
| 150 | Estonia | -3.26 | 2009 est. |
| 151 | El Salvador | -3.27 | 2009 est. |
| 152 | Kazakhstan | -3.30 | 2009 est. |
| 153 | Nepal | -3.39 | 2009 est. |
| 154 | Gabon | -3.48 | 2009 est. |
| 155 | Qatar | -3.58 | 2009 est. |
| 156 | Mexico | -3.61 | 2009 est. |
| 157 | Chad | -4.08 | 2009 est. |
| 158 | Saint Lucia | -4.14 | 2009 est. |
| 159 | Georgia | -4.26 | 2009 est. |
| 160 | Albania | -4.28 | 2009 est. |
| 161 | Armenia | -4.56 | 2009 est. |
| 162 | Saint Pierre and Miquelon | -4.96 | 2009 est. |
| 163 | Marshall Islands | -5.41 | 2009 est. |
| 164 | Dominica | -5.45 | 2009 est. |
| 165 | Virgin Islands | -5.49 | 2009 est. |
| 166 | Mali | -5.67 | 2009 est. |
| 167 | Jamaica | -5.70 | 2009 est. |
| 168 | Greenland | -5.99 | 2009 est. |
| 169 | Wallis and Futuna | -6.08 | 2009 est. |
| 170 | American Samoa | -6.99 | 2009 est. |
| 171 | Trinidad and Tobago | -7.28 | 2009 est. |
| 172 | Guyana | -7.44 | 2009 est. |
| 173 | Saudi Arabia | -7.60 | 2009 est. |
| 174 | Samoa | -8.81 | 2009 est. |
| 175 | Uganda | -8.83 | 2009 est. |
| 176 | Grenada | -10.55 | 2009 est. |
| 177 | Cape Verde | -11.67 | 2009 est. |
| 178 | Saint Vincent and the Grenadines | -11.80 | 2009 est. |
| 179 | Maldives | -12.58 | 2009 est. |
| 180 | Micronesia, Federated States of | -21.03 | 2009 est. |
