CIA - The World Factbook --  Net migration rate   

This entry includes the figure for the difference between the number of persons entering and leaving a country during the year per 1,000 persons (based on midyear population). An excess of persons entering the country is referred to as net immigration (e.g., 3.56 migrants/1,000 population); an excess of persons leaving the country as net emigration (e.g., -9.26 migrants/1,000 population). The net migration rate indicates the contribution of migration to the overall level of population change. The net migration rate does not distinguish between economic migrants, refugees, and other types of migrants nor does it distinguish between lawful migrants and undocumented migrants.

| Rank | country | (migrant(s)/1,000 population) | Date of Information |
| 151 | French Polynesia | -0.94 | 2012 est. |
| 152 | Bangladesh | -1.04 | 2012 est. |
| 153 | Indonesia | -1.08 | 2012 est. |
| 154 | Laos | -1.14 | 2012 est. |
| 155 | Tajikistan | -1.21 | 2012 est. |
| 156 | Honduras | -1.22 | 2012 est. |
| 157 | Philippines | -1.27 | 2012 est. |
| 158 | Uruguay | -1.45 | 2012 est. |
| 159 | Tunisia | -1.78 | 2012 est. |
| 160 | Senegal | -1.82 | 2012 est. |
| 161 | Solomon Islands | -1.86 | 2012 est. |
| 162 | Turkmenistan | -1.90 | 2012 est. |
| 163 | Sri Lanka | -1.95 | 2012 est. |
| 164 | Dominican Republic | -1.98 | 2012 est. |
| 165 | Pakistan | -2.00 | 2012 est. |
| 166 | Guatemala | -2.08 | 2012 est. |
| 167 | Mozambique | -2.13 | 2012 est. |
| 168 | Gabon | -2.16 | 2012 est. |
| 169 | Latvia | -2.34 | 2012 est. |
| 170 | Gambia, The | -2.46 | 2012 est. |
| 171 | Afghanistan | -2.51 | 2012 est. |
| 172 | Uzbekistan | -2.65 | 2012 est. |
| 173 | Comoros | -2.68 | 2012 est. |
| 174 | Bulgaria | -2.84 | 2012 est. |
| 175 | Kiribati | -2.85 | 2012 est. |
| 176 | Peru | -3.03 | 2012 est. |
| 177 | Mexico | -3.11 | 2012 est. |
| 178 | Gibraltar | -3.31 | 2012 est. |
| 179 | Estonia | -3.33 | 2012 est. |
| 180 | Albania | -3.33 | 2012 est. |
| 181 | Armenia | -3.35 | 2012 est. |
| 182 | Nicaragua | -3.40 | 2012 est. |
| 183 | Grenada | -3.45 | 2012 est. |
| 184 | Saint Lucia | -3.54 | 2012 est. |
| 185 | Cuba | -3.59 | 2012 est. |
| 186 | Morocco | -3.67 | 2012 est. |
| 187 | Chad | -3.74 | 2012 est. |
| 188 | Sierra Leone | -3.86 | 2012 est. |
| 189 | Georgia | -3.96 | 2012 est. |
| 190 | Sudan | -4.52 | 2012 est. |
| 191 | Virgin Islands | -4.80 | 2012 est. |
| 192 | Mali | -5.08 | 2012 est. |
| 193 | Marshall Islands | -5.10 | 2012 est. |
| 194 | Jamaica | -5.17 | 2012 est. |
| 195 | Dominica | -5.42 | 2012 est. |
| 196 | Wallis and Futuna | -5.57 | 2012 est. |
| 197 | Greenland | -5.98 | 2012 est. |
| 198 | South Africa | -6.22 | 2012 est. |
| 199 | American Samoa | -6.46 | 2012 est. |
| 200 | Trinidad and Tobago | -6.76 | 2012 est. |
| 201 | Haiti | -6.90 | 2012 est. |
| 202 | Tuvalu | -6.97 | 2012 est. |
| 203 | Fiji | -7.11 | 2012 est. |
| 204 | Kyrgyzstan | -8.10 | 2012 est. |
| 205 | Lesotho | -8.15 | 2012 est. |
| 206 | El Salvador | -8.78 | 2012 est. |
| 207 | Saint Pierre and Miquelon | -8.92 | 2012 est. |
| 208 | Sao Tome and Principe | -9.14 | 2012 est. |
| 209 | Moldova | -10.02 | 2012 est. |
| 210 | Saint Vincent and the Grenadines | -10.47 | 2012 est. |
| 211 | Samoa | -10.81 | 2012 est. |
| 212 | Somalia | -11.62 | 2012 est. |
| 213 | Lebanon | -12.08 | 2012 est. |
| 214 | Maldives | -12.64 | 2012 est. |
| 215 | Guyana | -12.78 | 2012 est. |
| 216 | Nauru | -15.04 | 2012 est. |
| 217 | Tonga | -17.90 | 2012 est. |
| 218 | Micronesia, Federated States of | -20.97 | 2012 est. |
| 219 | Syria | -27.82 | 2012 est. |
| 220 | Jordan | -33.42 | 2012 est. |
| 221 | Northern Mariana Islands | -41.32 | 2012 est. |
