CIA - The World Factbook --  Budget   

| Rank | country | Budget | Date of Information |
| 41 | Austria | $ 212,100,000,000 | 2013 est. |
| 42 | Switzerland | $ 208,500,000,000 | 2013 est. |
| 43 | Turkey | $ 207,900,000,000 | 2013 est. |
| 44 | Austria | $ 200,000,000,000 | 2013 est. |
| 45 | Turkey | $ 190,400,000,000 | 2013 est. |
| 46 | Denmark | $ 189,700,000,000 | 2013 est. |
| 47 | Denmark | $ 181,400,000,000 | 2013 est. |
| 48 | India | $ 181,300,000,000 | 2013 est. |
| 49 | Indonesia | $ 166,000,000,000 | 2013 est. |
| 50 | Argentina | $ 145,300,000,000 | 2013 est. |
| 51 | Finland | $ 145,300,000,000 | 2013 est. |
| 52 | Venezuela | $ 139,400,000,000 | 2013 est. |
| 53 | Finland | $ 139,400,000,000 | 2013 est. |
| 54 | United Arab Emirates | $ 138,000,000,000 | 2013 est. |
| 55 | Indonesia | $ 137,500,000,000 | 2013 est. |
| 56 | Argentina | $ 129,600,000,000 | 2013 est. |
| 57 | United Arab Emirates | $ 118,300,000,000 | 2013 est. |
| 58 | Greece | $ 116,000,000,000 | 2013 est. |
| 59 | Kuwait | $ 114,100,000,000 | 2013 est. |
| 60 | Israel | $ 113,900,000,000 | 2013 est. |
| 61 | Israel | $ 109,700,000,000 | 2013 est. |
| 62 | Colombia | $ 107,400,000,000 | 2013 est. |
| 63 | Portugal | $ 106,800,000,000 | 2013 est. |
| 64 | Greece | $ 106,200,000,000 | 2013 est. |
| 65 | Colombia | $ 106,000,000,000 | 2013 est. |
| 66 | South Africa | $ 105,500,000,000 | 2013 est. |
| 67 | Venezuela | $ 103,400,000,000 | 2013 est. |
| 68 | Iraq | $ 99,520,000,000 | 2013 est. |
| 69 | Iraq | $ 97,420,000,000 | 2013 est. |
| 70 | Portugal | $ 95,490,000,000 | 2013 est. |
| 71 | Thailand | $ 92,900,000,000 | 2013 est. |
| 72 | Poland | $ 92,500,000,000 | 2013 est. |
| 73 | Poland | $ 92,470,000,000 | 2013 est. |
| 74 | Ireland | $ 91,300,000,000 | 2013 est. |
| 75 | Taiwan | $ 90,380,000,000 | 2013 est. |
| 76 | South Africa | $ 88,530,000,000 | 2013 est. |
| 77 | Algeria | $ 85,580,000,000 | 2013 est. |
| 78 | Thailand | $ 80,910,000,000 | 2013 est. |
| 79 | Algeria | $ 80,550,000,000 | 2013 est. |
| 80 | Egypt | $ 80,420,000,000 | 2013 est. |
| 81 | Malaysia | $ 79,400,000,000 | 2013 est. |
| 82 | Taiwan | $ 78,240,000,000 | 2013 est. |
| 83 | Qatar | $ 77,540,000,000 | 2013 est. |
| 84 | Ireland | $ 75,320,000,000 | 2013 est. |
| 85 | New Zealand | $ 72,650,000,000 | 2013 est. |
| 86 | New Zealand | $ 69,170,000,000 | 2013 est. |
| 87 | Ukraine | $ 66,500,000,000 | 2013 est. |
| 88 | Iran | $ 66,380,000,000 | 2013 est. |
| 89 | Hungary | $ 66,010,000,000 | 2013 est. |
| 90 | Malaysia | $ 65,720,000,000 | 2013 est. |
| 91 | Romania | $ 64,850,000,000 | 2013 est. |
| 92 | Hungary | $ 62,240,000,000 | 2013 est. |
| 93 | Kuwait | $ 61,810,000,000 | 2013 est. |
| 94 | Chile | $ 61,260,000,000 | 2013 est. |
| 95 | Peru | $ 60,950,000,000 | 2013 est. |
| 96 | Romania | $ 60,110,000,000 | 2013 est. |
| 97 | Czech Republic | $ 59,960,000,000 | 2013 est. |
| 98 | Hong Kong | $ 59,330,000,000 | 2013 est. |
| 99 | Peru | $ 58,910,000,000 | 2013 est. |
| 100 | Chile | $ 58,490,000,000 | 2013 est. |
| 101 | Ukraine | $ 57,400,000,000 | 2013 est. |
| 102 | Qatar | $ 57,250,000,000 | 2013 est. |
| 103 | Czech Republic | $ 55,810,000,000 | 2013 est. |
| 104 | Hong Kong | $ 54,230,000,000 | 2013 est. |
| 105 | Angola | $ 52,750,000,000 | 2013 est. |
| 106 | Cuba | $ 50,290,000,000 | 2013 est. |
| 107 | Vietnam | $ 50,000,000,000 | 2013 est. |
| 108 | Kazakhstan | $ 49,000,000,000 | 2013 est. |
| 109 | Angola | $ 48,480,000,000 | 2013 est. |
| 110 | Pakistan | $ 47,970,000,000 | 2013 est. |
| 111 | Iran | $ 47,840,000,000 | 2013 est. |
| 112 | Cuba | $ 47,620,000,000 | 2013 est. |
| 113 | Singapore | $ 45,670,000,000 | 2013 est. |
| 114 | Egypt | $ 45,570,000,000 | 2013 est. |
| 115 | Philippines | $ 43,890,000,000 | 2013 est. |
| 116 | Kazakhstan | $ 43,880,000,000 | 2013 est. |
| 117 | Vietnam | $ 42,820,000,000 | 2013 est. |
| 118 | Libya | $ 41,870,000,000 | 2013 est. |
| 119 | Singapore | $ 41,830,000,000 | 2013 est. |
| 120 | Libya | $ 41,540,000,000 | 2013 est. |
| 121 | Ecuador | $ 39,300,000,000 | 2013 est. |
| 122 | Philippines | $ 38,880,000,000 | 2013 est. |
| 123 | Ecuador | $ 37,000,000,000 | 2013 est. |
| 124 | Slovakia | $ 35,720,000,000 | 2013 est. |
| 125 | Oman | $ 35,480,000,000 | 2013 est. |
| 126 | Morocco | $ 34,510,000,000 | 2013 est. |
| 127 | Oman | $ 34,420,000,000 | 2013 est. |
| 128 | Slovakia | $ 32,410,000,000 | 2013 est. |
| 129 | Nigeria | $ 31,510,000,000 | 2013 est. |
| 130 | Pakistan | $ 29,710,000,000 | 2013 est. |
| 131 | Azerbaijan | $ 27,610,000,000 | 2013 est. |
| 132 | Azerbaijan | $ 27,240,000,000 | 2013 est. |
| 133 | Belarus | $ 26,790,000,000 | 2013 est. |
| 134 | Belarus | $ 26,680,000,000 | 2013 est. |
| 135 | Morocco | $ 26,070,000,000 | 2013 est. |
| 136 | Luxembourg | $ 24,940,000,000 | 2013 est. |
| 137 | Bangladesh | $ 24,020,000,000 | 2013 est. |
| 138 | Luxembourg | $ 23,910,000,000 | 2013 est. |
| 139 | Nigeria | $ 23,850,000,000 | 2013 est. |
| 140 | Slovenia | $ 21,620,000,000 | 2013 est. |
| 141 | Croatia | $ 20,430,000,000 | 2013 est. |
| 142 | Bulgaria | $ 20,120,000,000 | 2013 est. |
| 143 | Serbia | $ 19,600,000,000 | 2013 est. |
| 144 | Slovenia | $ 19,560,000,000 | 2013 est. |
| 145 | Macau | $ 19,440,000,000 | 2013 est. |
| 146 | Bulgaria | $ 18,810,000,000 | 2013 est. |
| 147 | Uruguay | $ 18,620,000,000 | 2013 est. |
| 148 | Uzbekistan | $ 18,050,000,000 | 2013 est. |
| 149 | Croatia | $ 17,870,000,000 | 2013 est. |
| 150 | Uzbekistan | $ 17,840,000,000 | 2013 est. |
| 151 | Serbia | $ 17,470,000,000 | 2013 est. |
| 152 | Bangladesh | $ 17,190,000,000 | 2013 est. |
| 153 | Uruguay | $ 17,140,000,000 | 2013 est. |
| 154 | Tunisia | $ 15,800,000,000 | 2013 est. |
| 155 | Lithuania | $ 15,430,000,000 | 2013 est. |
| 156 | Bolivia | $ 15,160,000,000 | 2013 est. |
| 157 | Bolivia | $ 15,130,000,000 | 2013 est. |
| 158 | Ghana | $ 14,870,000,000 | 2013 est. |
| 159 | Lithuania | $ 14,500,000,000 | 2013 est. |
| 160 | Lebanon | $ 13,560,000,000 | 2013 est. |
| 161 | Sri Lanka | $ 12,570,000,000 | 2013 est. |
| 162 | Yemen | $ 12,310,000,000 | 2013 est. |
| 163 | Tunisia | $ 12,160,000,000 | 2013 est. |
| 164 | Panama | $ 11,380,000,000 | 2013 est. |
| 165 | Latvia | $ 10,950,000,000 | 2013 est. |
| 166 | Latvia | $ 10,900,000,000 | 2013 est. |
| 167 | Dominican Republic | $ 10,790,000,000 | 2013 est. |
| 168 | Jordan | $ 10,710,000,000 | 2013 est. |
| 169 | Ghana | $ 10,560,000,000 | 2013 est. |
| 170 | Panama | $ 10,330,000,000 | 2013 est. |
| 171 | Cyprus | $ 10,040,000,000 | 2013 est. |
| 172 | Kenya | $ 9,742,000,000 | 2013 est. |
| 173 | Costa Rica | $ 9,621,000,000 | 2013 est. |
| 174 | Puerto Rico | $ 9,600,000,000 | FY99/00 |
| 175 | Lebanon | $ 9,487,000,000 | 2013 est. |
| 176 | Bahrain | $ 9,232,000,000 | 2013 est. |
| 177 | Dominican Republic | $ 9,012,000,000 | 2013 est. |
| 178 | Tanzania | $ 8,917,000,000 | 2013 est. |
| 179 | Cyprus | $ 8,799,000,000 | 2013 est. |
| 180 | Estonia | $ 8,615,000,000 | 2013 est. |
| 181 | Estonia | $ 8,489,000,000 | 2013 est. |
| 182 | Sri Lanka | $ 8,430,000,000 | 2013 est. |
| 183 | Trinidad and Tobago | $ 8,323,000,000 | 2013 est. |
| 184 | Bahrain | $ 8,143,000,000 | 2013 est. |
| 185 | Ethiopia | $ 8,042,000,000 | 2013 est. |
| 186 | Kenya | $ 7,866,000,000 | 2013 est. |
| 187 | Guatemala | $ 7,851,000,000 | 2013 est. |
| 188 | Trinidad and Tobago | $ 7,847,000,000 | 2013 est. |
| 189 | Yemen | $ 7,769,000,000 | 2013 est. |
| 190 | Bosnia and Herzegovina | $ 7,691,000,000 | 2013 est. |
| 191 | Syria | $ 7,560,000,000 | 2013 est. |
| 192 | Bosnia and Herzegovina | $ 7,497,000,000 | 2013 est. |
| 193 | Macau | $ 7,407,000,000 | 2013 est. |
| 194 | Costa Rica | $ 7,197,000,000 | 2013 est. |
| 195 | Tanzania | $ 7,117,000,000 | 2013 est. |
| 196 | Brunei | $ 6,992,000,000 | 2013 est. |
| 197 | Jordan | $ 6,868,000,000 | 2013 est. |
| 198 | Sudan | $ 6,842,000,000 | 2013 est. |
| 199 | Equatorial Guinea | $ 6,837,000,000 | 2013 est. |
| 200 | Equatorial Guinea | $ 6,795,000,000 | 2013 est. |
| 201 | Ethiopia | $ 6,702,000,000 | 2013 est. |
| 202 | Puerto Rico | $ 6,700,000,000 | FY99/00 |
| 203 | Zambia | $ 6,687,000,000 | 2013 est. |
| 204 | Cote d'Ivoire | $ 6,665,000,000 | 2013 est. |
| 205 | Congo, Republic of the | $ 6,608,000,000 | 2013 est. |
| 206 | Gabon | $ 6,599,000,000 | 2013 est. |
| 207 | Congo, Democratic Republic of the | $ 6,472,000,000 | 2013 est. |
| 208 | Iceland | $ 6,448,000,000 | 2013 est. |
| 209 | Guatemala | $ 6,411,000,000 | 2013 est. |
| 210 | Paraguay | $ 6,287,000,000 | 2013 est. |
| 211 | Cameroon | $ 6,280,000,000 | 2013 est. |
| 212 | Iceland | $ 6,231,000,000 | 2013 est. |
| 213 | Mozambique | $ 6,101,000,000 | 2013 est. |
| 214 | Turkmenistan | $ 5,930,000,000 | 2013 est. |
| 215 | Congo, Democratic Republic of the | $ 5,817,000,000 | 2013 est. |
| 216 | Paraguay | $ 5,788,000,000 | 2013 est. |
| 217 | Cote d'Ivoire | $ 5,700,000,000 | 2013 est. |
| 218 | El Salvador | $ 5,666,000,000 | 2013 est. |
| 219 | Turkmenistan | $ 5,474,000,000 | 2013 est. |
| 220 | Brunei | $ 5,366,000,000 | 2013 est. |
| 221 | Georgia | $ 5,257,000,000 | 2013 est. |
| 222 | Namibia | $ 5,126,000,000 | 2013 est. |
| 223 | Papua New Guinea | $ 5,105,000,000 | 2013 est. |
| 224 | Cameroon | $ 5,089,000,000 | 2013 est. |
| 225 | Botswana | $ 5,040,000,000 | 2013 est. |
| 226 | Gabon | $ 5,031,000,000 | 2013 est. |
| 227 | Botswana | $ 4,952,000,000 | 2013 est. |
| 228 | Malta | $ 4,843,000,000 | 2013 est. |
| 229 | Georgia | $ 4,834,000,000 | 2013 est. |
| 230 | Zambia | $ 4,814,000,000 | 2013 est. |
| 231 | Mozambique | $ 4,808,000,000 | 2013 est. |
| 232 | El Salvador | $ 4,683,000,000 | 2013 est. |
| 233 | Congo, Republic of the | $ 4,618,000,000 | 2013 est. |
| 234 | Sudan | $ 4,513,000,000 | 2013 est. |
| 235 | Burma | $ 4,443,000,000 | 2013 est. |
| 236 | Senegal | $ 4,366,000,000 | 2013 est. |
| 237 | Mongolia | $ 4,360,000,000 | 2013 est. |
| 238 | Papua New Guinea | $ 4,359,000,000 | 2013 est. |
| 239 | Namibia | $ 4,325,000,000 | 2013 est. |
| 240 | Malta | $ 4,322,000,000 | 2013 est. |
| 241 | Honduras | $ 4,285,000,000 | 2013 est. |
| 242 | Afghanistan | $ 4,122,000,000 | 2012 est. |
| 243 | Jamaica | $ 4,088,000,000 | 2013 est. |
| 244 | Nepal | $ 3,900,000,000 | FY12/13 |
| 245 | Albania | $ 3,858,000,000 | 2013 est. |
| 246 | Jamaica | $ 3,826,000,000 | 2013 est. |
| 247 | Uganda | $ 3,803,000,000 | 2013 est. |
| 248 | Chad | $ 3,557,000,000 | 2013 est. |
| 249 | Senegal | $ 3,555,000,000 | 2013 est. |
| 250 | Mongolia | $ 3,462,000,000 | 2013 est. |
| 251 | Macedonia | $ 3,438,000,000 | 2013 est. |
| 252 | Korea, North | $ 3,300,000,000 | 2007 est. |
| 253 | Nepal | $ 3,300,000,000 | FY12/13 |
| 254 | Burkina Faso | $ 3,228,000,000 | 2013 est. |
| 255 | Korea, North | $ 3,200,000,000 | 2007 est. |
| 256 | West Bank | $ 3,200,000,000 | 2011 est. |
| 257 | Uganda | $ 3,200,000,000 | 2013 est. |
| 258 | Honduras | $ 3,113,000,000 | 2013 est. |
| 259 | Cambodia | $ 3,100,000,000 | 2013 est. |
| 260 | Albania | $ 3,074,000,000 | 2013 est. |
| 261 | Moldova | $ 3,071,000,000 | 2013 est. |
| 262 | Macedonia | $ 3,023,000,000 | 2013 est. |
| 263 | Mali | $ 2,948,000,000 | 2013 est. |
| 264 | Moldova | $ 2,931,000,000 | 2013 est. |
| 265 | Mali | $ 2,868,000,000 | 2013 est. |
| 266 | Burkina Faso | $ 2,838,000,000 | 2013 est. |
| 267 | Chad | $ 2,753,000,000 | 2013 est. |
| 268 | Mauritius | $ 2,736,000,000 | 2013 est. |
| 269 | Armenia | $ 2,707,000,000 | 2013 est. |
| 270 | Cambodia | $ 2,685,000,000 | 2013 est. |
| 271 | Armenia | $ 2,677,000,000 | 2013 est. |
| 272 | Laos | $ 2,642,000,000 | 2013 est. |
| 273 | Mauritius | $ 2,507,000,000 | 2013 est. |
| 274 | Laos | $ 2,481,000,000 | 2013 est. |
| 275 | Kyrgyzstan | $ 2,458,000,000 | 2013 est. |
| 276 | Haiti | $ 2,437,000,000 | 2013 est. |
| 277 | Tajikistan | $ 2,425,000,000 | 2013 est. |
| 278 | Tajikistan | $ 2,423,000,000 | 2013 est. |
| 279 | Burma | $ 2,413,000,000 | 2013 est. |
| 280 | Syria | $ 2,380,000,000 | 2013 est. |
| 281 | Madagascar | $ 2,356,000,000 | 2013 est. |
| 282 | Afghanistan | $ 2,333,000,000 | 2012 est. |
| 283 | South Sudan | $ 2,259,000,000 | FY 2013 est. |
| 284 | Rwanda | $ 2,146,000,000 | 2013 est. |
| 285 | Kyrgyzstan | $ 2,128,000,000 | 2013 est. |
| 286 | Madagascar | $ 2,113,000,000 | 2013 est. |
| 287 | Bahamas, The | $ 2,100,000,000 | 2012 est. |
| 288 | West Bank | $ 2,100,000,000 | 2011 est. |
| 289 | Niger | $ 2,086,000,000 | 2013 est. |
| 290 | Kosovo | $ 2,048,000,000 | 2013 est. |
| 291 | Haiti | $ 1,989,000,000 | 2013 est. |
| 292 | Kosovo | $ 1,916,000,000 | 2013 est. |
| 293 | Niger | $ 1,911,000,000 | 2013 est. |
| 294 | Guinea | $ 1,839,000,000 | 2013 est. |
| 295 | Benin | $ 1,825,000,000 | 2013 est. |
| 296 | Rwanda | $ 1,814,000,000 | 2013 est. |
| 297 | Nicaragua | $ 1,776,000,000 | 2013 est. |
| 298 | Greenland | $ 1,720,000,000 | 2010 |
| 299 | Benin | $ 1,712,000,000 | 2013 est. |
| 300 | Mauritania | $ 1,702,000,000 | 2013 est. |
| 301 | Timor-Leste | $ 1,700,000,000 | 2013 est. |
| 302 | Montenegro | $ 1,680,000,000 | 2012 est. |
| 303 | Greenland | $ 1,680,000,000 | 2010 |
| 304 | Mauritania | $ 1,677,000,000 | 2013 est. |
| 305 | Nicaragua | $ 1,656,000,000 | 2013 est. |
| 306 | Timor-Leste | $ 1,600,000,000 | 2013 est. |
| 307 | Montenegro | $ 1,580,000,000 | 2012 est. |
| 308 | Guinea | $ 1,508,000,000 | 2013 est. |
| 309 | Lesotho | $ 1,483,000,000 | 2013 est. |
| 310 | Lesotho | $ 1,462,000,000 | 2013 est. |
| 311 | Barbados | $ 1,450,000,000 | 2013 est. |
| 312 | Eritrea | $ 1,417,000,000 | 2013 est. |
| 313 | Bahamas, The | $ 1,410,000,000 | 2012 est. |
| 314 | Malawi | $ 1,400,000,000 | 2013 est. |
| 315 | Malawi | $ 1,347,000,000 | 2013 est. |
| 316 | Swaziland | $ 1,316,000,000 | 2013 est. |
| 317 | Faroe Islands | $ 1,301,000,000 | 2010 est. |
| 318 | Swaziland | $ 1,274,000,000 | 2013 est. |
| 319 | Fiji | $ 1,192,000,000 | 2013 est. |
| 320 | Barbados | $ 1,150,000,000 | 2013 est. |
| 321 | Bermuda | $ 1,115,000,000 | FY11/12 |
| 322 | Monaco | $ 1,111,000,000 | 2011 est. |
| 323 | Fiji | $ 1,084,000,000 | 2013 est. |
| 324 | Guam | $ 1,082,000,000 | FY10/11 est. |
| 325 | New Caledonia | $ 1,072,000,000 | 2001 est. |
| 326 | Monaco | $ 1,044,000,000 | 2011 est. |
| 327 | Andorra | $ 1,041,000,000 | 2012 |
| 328 | Andorra | $ 1,029,000,000 | 2012 |
| 329 | Faroe Islands | $ 1,025,000,000 | 2010 est. |
| 330 | New Caledonia | $ 996,000,000 | 2001 est. |
| 331 | Liechtenstein | $ 995,300,000 | 2011 est. |
| 332 | Togo | $ 983,000,000 | 2013 est. |
| 333 | Bermuda | $ 973,200,000 | FY11/12 |
| 334 | Eritrea | $ 968,800,000 | 2013 est. |
| 335 | Isle of Man | $ 965,000,000 | FY05/06 est. |
| 336 | Guyana | $ 948,500,000 | 2013 est. |
| 337 | Isle of Man | $ 943,000,000 | FY05/06 est. |
| 338 | Guam | $ 942,600,000 | FY10/11 est. |
| 339 | Suriname | $ 939,700,000 | 2010 est. |
| 340 | Maldives | $ 917,000,000 | 2012 est. |
| 341 | Liechtenstein | $ 890,400,000 | 2011 est. |
| 342 | French Polynesia | $ 865,000,000 | 1999 |
| 343 | Burundi | $ 855,800,000 | 2013 est. |
| 344 | Jersey | $ 851,000,000 | 2005 |
| 345 | Virgin Islands | $ 837,000,000 | FY08/09 |
| 346 | Virgin Islands | $ 837,000,000 | FY08/09 |
| 347 | Jersey | $ 829,000,000 | 2005 |
| 348 | Suriname | $ 826,600,000 | 2010 est. |
| 349 | Togo | $ 825,800,000 | 2013 est. |
| 350 | Aruba | $ 813,900,000 | 2013 est. |
| 351 | Burundi | $ 766,900,000 | 2013 est. |
| 352 | Cayman Islands | $ 757,500,000 | 2013 est. |
| 353 | Guyana | $ 756,700,000 | 2013 est. |
| 354 | Sierra Leone | $ 754,400,000 | 2013 est. |
| 355 | San Marino | $ 721,800,000 | 2011 |
| 356 | Cayman Islands | $ 700,500,000 | 2013 est. |
| 357 | San Marino | $ 667,700,000 | 2011 |
| 358 | French Polynesia | $ 644,100,000 | 1999 |
| 359 | Bhutan | $ 639,500,000 | 2013 est. |
| 360 | Maldives | $ 638,000,000 | 2012 est. |
| 361 | Aruba | $ 625,100,000 | 2013 est. |
| 362 | Sierra Leone | $ 614,800,000 | 2013 est. |
| 363 | Cabo Verde | $ 607,000,000 | 2013 est. |
| 364 | Bhutan | $ 588,200,000 | 2013 est. |
| 365 | Guernsey | $ 563,600,000 | 2005 |
| 366 | Djibouti | $ 532,900,000 | 2013 est. |
| 367 | Guernsey | $ 530,900,000 | 2005 |
| 368 | Liberia | $ 521,700,000 | 2013 est. |
| 369 | Seychelles | $ 516,700,000 | 2013 est. |
| 370 | Djibouti | $ 512,700,000 | 2013 est. |
| 371 | Seychelles | $ 491,700,000 | 2013 est. |
| 372 | Gibraltar | $ 475,800,000 | 2008 est. |
| 373 | Liberia | $ 465,000,000 | 2013 est. |
| 374 | Gibraltar | $ 452,300,000 | 2008 est. |
| 375 | Turks and Caicos Islands | $ 437,600,000 | 2013 est. |
| 376 | Solomon Islands | $ 437,300,000 | 2013 est. |
| 377 | South Sudan | $ 437,000,000 | FY 2013 est. |
| 378 | Turks and Caicos Islands | $ 434,100,000 | 2013 est. |
| 379 | Cabo Verde | $ 414,600,000 | 2013 est. |
| 380 | Belize | $ 410,100,000 | 2013 est. |
| 381 | Solomon Islands | $ 409,900,000 | 2013 est. |
| 382 | Belize | $ 352,400,000 | 2013 est. |
| 383 | Holy See (Vatican City) | $ 326,400,000 | 2011 |
| 384 | Northern Mariana Islands | $ 318,200,000 | FY10/11 |
| 385 | Holy See (Vatican City) | $ 308,000,000 | 2011 |
| 386 | British Virgin Islands | $ 300,000,000 | 2013 est. |
| 387 | British Virgin Islands | $ 300,000,000 | 2013 est. |
| 388 | Central African Republic | $ 270,700,000 | 2013 est. |
| 389 | Gambia, The | $ 265,100,000 | 2013 est. |
| 390 | Northern Mariana Islands | $ 260,000,000 | FY10/11 |
| 391 | Samoa | $ 258,700,000 | 2013 est. |
| 392 | Antigua and Barbuda | $ 248,700,000 | 2012 est. |
| 393 | Antigua and Barbuda | $ 239,500,000 | 2012 est. |
| 394 | Gambia, The | $ 229,600,000 | 2013 est. |
| 395 | Saint Kitts and Nevis | $ 222,200,000 | 2013 est. |
| 396 | Saint Lucia | $ 222,200,000 | 2011 est. |
| 397 | Samoa | $ 215,600,000 | 2013 est. |
| 398 | Vanuatu | $ 203,500,000 | 2013 est. |
| 399 | Vanuatu | $ 201,300,000 | 2013 est. |
| 400 | Grenada | $ 196,300,000 | 2012 est. |
| 401 | Central African Republic | $ 186,200,000 | 2013 est. |
| 402 | Saint Vincent and the Grenadines | $ 185,200,000 | 2013 est. |
| 403 | Saint Vincent and the Grenadines | $ 185,200,000 | 2013 est. |
| 404 | Dominica | $ 185,200,000 | 2013 est. |
| 405 | Saint Lucia | $ 185,200,000 | 2011 est. |
| 406 | Saint Kitts and Nevis | $ 185,200,000 | 2013 est. |
| 407 | American Samoa | $ 183,600,000 | 2007 est. |
| 408 | Comoros | $ 170,100,000 | 2013 est. |
| 409 | Comoros | $ 167,400,000 | 2013 est. |
| 410 | Grenada | $ 163,000,000 | 2012 est. |
| 411 | Guinea-Bissau | $ 157,700,000 | 2013 est. |
| 412 | American Samoa | $ 155,400,000 | 2007 est. |
| 413 | Dominica | $ 148,100,000 | 2013 est. |
| 414 | Guinea-Bissau | $ 142,000,000 | 2013 est. |
| 415 | Sao Tome and Principe | $ 120,300,000 | 2013 est. |
| 416 | Tonga | $ 112,400,000 | 2013 est. |
| 417 | Tonga | $ 112,400,000 | 2013 est. |
| 418 | Kiribati | $ 107,100,000 | 2010 est. |
| 419 | Micronesia, Federated States of | $ 107,000,000 | FY10/11 est. |
| 420 | Marshall Islands | $ 105,400,000 | FY09 est. |
| 421 | Marshall Islands | $ 104,700,000 | FY09 est. |
| 422 | Micronesia, Federated States of | $ 102,000,000 | FY10/11 est. |
| 423 | Palau | $ 94,300,000 | 2010 est. |
| 424 | Palau | $ 89,000,000 | 2010 est. |
| 425 | Sao Tome and Principe | $ 83,940,000 | 2013 est. |
| 426 | Anguilla | $ 78,370,000 | 2012 est. |
| 427 | Falkland Islands (Islas Malvinas) | $ 75,300,000 | FY09/10 |
| 428 | Cook Islands | $ 70,950,000 | FY05/06 |
| 429 | Saint Pierre and Miquelon | $ 70,000,000 | 1996 |
| 430 | Anguilla | $ 69,520,000 | 2012 est. |
| 431 | Cook Islands | $ 69,050,000 | FY05/06 |
| 432 | Falkland Islands (Islas Malvinas) | $ 67,100,000 | FY09/10 |
| 433 | Saint Pierre and Miquelon | $ 60,000,000 | 1996 |
| 434 | Kiribati | $ 55,520,000 | 2010 est. |
| 435 | Montserrat | $ 37,040,000 | 2011 est. |
| 436 | Montserrat | $ 31,400,000 | 2011 est. |
| 437 | Saint Helena, Ascension, and Tristan da Cunha | $ 25,090,000 | FY06/07 est. |
| 438 | Tuvalu | $ 23,050,000 | 2006 |
| 439 | Tuvalu | $ 21,540,000 | 2006 |
| 440 | Niue | $ 16,330,000 | FY04/05 |
| 441 | Niue | $ 15,070,000 | FY04/05 |
| 442 | Nauru | $ 13,500,000 | 2005 |
| 443 | Nauru | $ 13,500,000 | 2005 |
| 444 | Saint Helena, Ascension, and Tristan da Cunha | $ 10,210,000 | FY06/07 est. |
| 445 | Norfolk Island | $ 4,800,000 | FY99/00 |
| 446 | Norfolk Island | $ 4,600,000 | FY99/00 |
| 447 | Tokelau | $ 2,800,000 | 1987 est. |
| 448 | Pitcairn Islands | $ 1,028,000 | FY04/05 |
| 449 | Pitcairn Islands | $ 746,000 | FY04/05 |
| 450 | Tokelau | $ 430,800 | 1987 est. |
| 451 | Wallis and Futuna | $ 31,330 | 2004 |
| 452 | Wallis and Futuna | $ 29,730 | 2004 |


