CIA - The World Factbook --  Budget   

This entry includes revenues, expenditures, and capital expenditures. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Budget | Date of Information |
| 107 | Egypt | $ 50,100,000,000 | 2012 est. |
| 108 | Hong Kong | $ 49,790,000,000 | 2012 est. |
| 109 | Qatar | $ 48,960,000,000 | 2012 est. |
| 110 | Cuba | $ 47,780,000,000 | 2012 est. |
| 111 | Vietnam | $ 45,380,000,000 | 2012 est. |
| 112 | Kazakhstan | $ 44,960,000,000 | 2012 est. |
| 113 | Angola | $ 44,230,000,000 | 2012 est. |
| 114 | Singapore | $ 43,440,000,000 | 2012 est. |
| 115 | Pakistan | $ 42,150,000,000 | 2012 est. |
| 116 | Philippines | $ 42,100,000,000 | 2012 est. |
| 117 | Kazakhstan | $ 39,190,000,000 | 2012 est. |
| 118 | Vietnam | $ 38,890,000,000 | 2012 est. |
| 119 | Singapore | $ 37,830,000,000 | 2012 est. |
| 120 | Philippines | $ 36,350,000,000 | 2012 est. |
| 121 | Ecuador | $ 35,480,000,000 | 2012 est. |
| 122 | Oman | $ 35,250,000,000 | 2012 est. |
| 123 | Libya | $ 35,080,000,000 | 2012 est. |
| 124 | Oman | $ 35,040,000,000 | 2012 est. |
| 125 | Ecuador | $ 34,530,000,000 | 2012 est. |
| 126 | Slovakia | $ 34,400,000,000 | 2012 est. |
| 127 | Morocco | $ 33,320,000,000 | 2012 est. |
| 128 | Slovakia | $ 30,410,000,000 | 2012 est. |
| 129 | Nigeria | $ 27,870,000,000 | 2012 est. |
| 130 | Pakistan | $ 27,480,000,000 | 2012 est. |
| 131 | Morocco | $ 25,350,000,000 | 2012 est. |
| 132 | Luxembourg | $ 24,530,000,000 | 2012 est. |
| 133 | Luxembourg | $ 24,070,000,000 | 2012 est. |
| 134 | Croatia | $ 23,420,000,000 | 2012 est. |
| 135 | Belarus | $ 22,380,000,000 | 2012 est. |
| 136 | Nigeria | $ 22,350,000,000 | 2012 est. |
| 137 | Azerbaijan | $ 22,000,000,000 | 2012 est. |
| 138 | Belarus | $ 21,960,000,000 | 2012 est. |
| 139 | Azerbaijan | $ 21,770,000,000 | 2012 est. |
| 140 | Croatia | $ 21,560,000,000 | 2012 est. |
| 141 | Slovenia | $ 20,730,000,000 | 2012 est. |
| 142 | Bangladesh | $ 19,690,000,000 | 2012 est. |
| 143 | Slovenia | $ 19,280,000,000 | 2012 est. |
| 144 | Serbia | $ 18,410,000,000 | 2012 est. |
| 145 | Bulgaria | $ 18,280,000,000 | 2012 est. |
| 146 | Bulgaria | $ 18,050,000,000 | 2012 est. |
| 147 | Uzbekistan | $ 16,600,000,000 | 2012 est. |
| 148 | Uzbekistan | $ 16,520,000,000 | 2012 est. |
| 149 | Macau | $ 16,060,000,000 | 2012 est. |
| 150 | Uruguay | $ 15,630,000,000 | 2012 est. |
| 151 | Serbia | $ 15,540,000,000 | 2012 est. |
| 152 | Lithuania | $ 15,270,000,000 | 2012 est. |
| 153 | Uruguay | $ 14,250,000,000 | 2012 est. |
| 154 | Ghana | $ 14,130,000,000 | 2012 est. |
| 155 | Bangladesh | $ 14,030,000,000 | 2012 est. |
| 156 | Lithuania | $ 13,870,000,000 | 2012 est. |
| 157 | Lebanon | $ 13,320,000,000 | 2012 est. |
| 158 | Tunisia | $ 13,070,000,000 | 2012 est. |
| 159 | Bolivia | $ 12,640,000,000 | 2012 est. |
| 160 | Syria | $ 12,590,000,000 | 2012 est. |
| 161 | Bolivia | $ 12,170,000,000 | 2012 est. |
| 162 | Dominican Republic | $ 12,090,000,000 | 2012 est. |
| 163 | Tunisia | $ 11,850,000,000 | 2012 est. |
| 164 | Sri Lanka | $ 11,700,000,000 | 2012 est. |
| 165 | Yemen | $ 10,970,000,000 | 2012 est. |
| 166 | Cyprus | $ 10,680,000,000 | 2012 est. |
| 167 | Latvia | $ 9,999,000,000 | 2012 est. |
| 168 | Latvia | $ 9,981,000,000 | 2012 est. |
| 169 | Panama | $ 9,835,000,000 | 2012 est. |
| 170 | Jordan | $ 9,678,000,000 | 2012 est. |
| 171 | Puerto Rico | $ 9,600,000,000 | FY99/00 est. |
| 172 | Kenya | $ 9,485,000,000 | 2012 est. |
| 173 | Lebanon | $ 9,396,000,000 | 2012 est. |
| 174 | Ghana | $ 9,282,000,000 | 2012 est. |
| 175 | Cyprus | $ 9,224,000,000 | 2012 est. |
| 176 | Sudan | $ 9,087,000,000 | 2012 est. |
| 177 | Panama | $ 9,070,000,000 | 2012 est. |
| 178 | Bosnia and Herzegovina | $ 8,714,000,000 | 2012 est. |
| 179 | Bahrain | $ 8,673,000,000 | 2012 est. |
| 180 | Costa Rica | $ 8,501,000,000 | 2012 est. |
| 181 | Yemen | $ 8,461,000,000 | 2012 est. |
| 182 | Dominican Republic | $ 8,224,000,000 | 2012 est. |
| 183 | Estonia | $ 8,213,000,000 | 2012 est. |
| 184 | Bosnia and Herzegovina | $ 8,213,000,000 | 2012 est. |
| 185 | Estonia | $ 8,155,000,000 | 2012 est. |
| 186 | Bahrain | $ 8,070,000,000 | 2012 est. |
| 187 | Trinidad and Tobago | $ 7,933,000,000 | 2012 est. |
| 188 | Sri Lanka | $ 7,868,000,000 | 2012 est. |
| 189 | Trinidad and Tobago | $ 7,654,000,000 | 2012 est. |
| 190 | Ethiopia | $ 7,540,000,000 | 2012 est. |
| 191 | Kenya | $ 7,418,000,000 | 2012 est. |
| 192 | Brunei | $ 7,363,000,000 | 2012 est. |
| 193 | Guatemala | $ 7,062,000,000 | 2012 est. |
| 194 | Tanzania | $ 6,706,000,000 | 2012 est. |
| 195 | Puerto Rico | $ 6,700,000,000 | FY99/00 est. |
| 196 | Jordan | $ 6,668,000,000 | 2012 est. |
| 197 | Equatorial Guinea | $ 6,585,000,000 | 2012 est. |
| 198 | Costa Rica | $ 6,506,000,000 | 2012 est. |
| 199 | Equatorial Guinea | $ 6,429,000,000 | 2012 est. |
| 200 | Ethiopia | $ 6,388,000,000 | 2012 est. |
| 201 | Iceland | $ 6,347,000,000 | 2012 est. |
| 202 | Cote d'Ivoire | $ 5,985,000,000 | 2012 est. |
| 203 | Iceland | $ 5,879,000,000 | 2012 est. |
| 204 | Guatemala | $ 5,856,000,000 | 2012 est. |
| 205 | Congo, Republic of the | $ 5,830,000,000 | 2012 est. |
| 206 | Cameroon | $ 5,726,000,000 | 2012 est. |
| 207 | Tanzania | $ 5,571,000,000 | 2012 est. |
| 208 | Congo, Democratic Republic of the | $ 5,537,000,000 | 2012 est. |
| 209 | Botswana | $ 5,508,000,000 | 2012 est. |
| 210 | El Salvador | $ 5,435,000,000 | 2012 est. |
| 211 | Botswana | $ 5,393,000,000 | 2012 est. |
| 212 | Zambia | $ 5,253,000,000 | 2012 est. |
| 213 | Syria | $ 5,217,000,000 | 2012 est. |
| 214 | Turkmenistan | $ 5,158,000,000 | 2012 est. |
| 215 | Cote d'Ivoire | $ 5,137,000,000 | 2012 est. |
| 216 | Brunei | $ 5,122,000,000 | 2012 est. |
| 217 | Paraguay | $ 5,109,000,000 | 2012 est. |
| 218 | Congo, Democratic Republic of the | $ 5,104,000,000 | 2012 est. |
| 219 | Gabon | $ 4,987,000,000 | 2012 est. |
| 220 | Congo, Republic of the | $ 4,949,000,000 | 2012 est. |
| 221 | Georgia | $ 4,905,000,000 | 2012 est. |
| 222 | Namibia | $ 4,885,000,000 | 2012 est. |
| 223 | Cameroon | $ 4,819,000,000 | 2012 est. |
| 224 | Papua New Guinea | $ 4,769,000,000 | 2012 est. |
| 225 | Macau | $ 4,731,000,000 | 2012 est. |
| 226 | Mozambique | $ 4,707,000,000 | 2012 est. |
| 227 | Nepal | $ 4,700,000,000 | FY11/12 |
| 228 | Turkmenistan | $ 4,667,000,000 | 2012 est. |
| 229 | Paraguay | $ 4,664,000,000 | 2012 est. |
| 230 | Gabon | $ 4,623,000,000 | 2012 est. |
| 231 | El Salvador | $ 4,621,000,000 | 2012 est. |
| 232 | Papua New Guinea | $ 4,532,000,000 | 2012 est. |
| 233 | Namibia | $ 4,524,000,000 | 2012 est. |
| 234 | Jamaica | $ 4,499,000,000 | 2012 est. |
| 235 | Burma | $ 4,487,000,000 | 2012 est. |
| 236 | Georgia | $ 4,421,000,000 | 2012 est. |
| 237 | Zambia | $ 4,255,000,000 | 2012 est. |
| 238 | Honduras | $ 4,169,000,000 | 2012 est. |
| 239 | Mozambique | $ 4,115,000,000 | 2012 est. |
| 240 | Senegal | $ 4,094,000,000 | 2012 est. |
| 241 | Mongolia | $ 4,091,000,000 | 2012 est. |
| 242 | Afghanistan | $ 3,974,000,000 | 2012 est. |
| 243 | Sudan | $ 3,950,000,000 | 2012 est. |
| 244 | Jamaica | $ 3,884,000,000 | 2012 est. |
| 245 | Malta | $ 3,823,000,000 | 2012 est. |
| 246 | Uganda | $ 3,701,000,000 | 2012 est. |
| 247 | Malta | $ 3,532,000,000 | 2012 est. |
| 248 | Nepal | $ 3,500,000,000 | FY11/12 |
| 249 | Albania | $ 3,477,000,000 | 2012 est. |
| 250 | Korea, North | $ 3,300,000,000 | 2007 est. |
| 251 | Senegal | $ 3,271,000,000 | 2012 est. |
| 252 | Macedonia | $ 3,254,000,000 | 2012 est. |
| 253 | Mongolia | $ 3,228,000,000 | 2012 est. |
| 254 | Korea, North | $ 3,200,000,000 | 2007 est. |
| 255 | West Bank | $ 3,200,000,000 | 2011 est. |
| 256 | Uganda | $ 3,098,000,000 | 2012 est. |
| 257 | Honduras | $ 3,074,000,000 | 2012 est. |
| 258 | Albania | $ 3,054,000,000 | 2012 est. |
| 259 | Chad | $ 2,979,000,000 | 2012 est. |
| 260 | Moldova | $ 2,900,000,000 | 2012 est. |
| 261 | Macedonia | $ 2,883,000,000 | 2012 est. |
| 262 | Burkina Faso | $ 2,846,000,000 | 2012 est. |
| 263 | Cambodia | $ 2,817,000,000 | 2012 est. |
| 264 | Nicaragua | $ 2,752,000,000 | 2012 est. |
| 265 | Moldova | $ 2,749,000,000 | 2012 est. |
| 266 | Chad | $ 2,748,000,000 | 2012 est. |
| 267 | Nicaragua | $ 2,728,000,000 | 2012 est. |
| 268 | Mauritius | $ 2,664,000,000 | 2012 est. |
| 269 | Burkina Faso | $ 2,500,000,000 | 2012 est. |
| 270 | Armenia | $ 2,492,000,000 | 2012 est. |
| 271 | Mauritius | $ 2,456,000,000 | 2012 est. |
| 272 | Cambodia | $ 2,410,000,000 | 2012 est. |
| 273 | Armenia | $ 2,338,000,000 | 2012 est. |
| 274 | Kyrgyzstan | $ 2,281,000,000 | 2012 est. |
| 275 | Haiti | $ 2,279,000,000 | 2012 est. |
| 276 | Burma | $ 2,271,000,000 | 2012 est. |
| 277 | Laos | $ 2,250,000,000 | 2012 est. |
| 278 | Afghanistan | $ 2,249,000,000 | 2012 est. |
| 279 | Laos | $ 2,122,000,000 | 2012 est. |
| 280 | Tajikistan | $ 2,111,000,000 | 2012 est. |
| 281 | West Bank | $ 2,100,000,000 | 2011 est. |
| 282 | Kosovo | $ 2,060,000,000 | 2011 est. |
| 283 | Bahamas, The | $ 2,040,000,000 | 2012 est. |
| 284 | Tajikistan | $ 2,005,000,000 | 2012 est. |
| 285 | Mali | $ 1,948,000,000 | 2012 est. |
| 286 | Madagascar | $ 1,929,000,000 | 2012 est. |
| 287 | Kyrgyzstan | $ 1,900,000,000 | 2012 est. |
| 288 | Niger | $ 1,871,000,000 | 2012 est. |
| 289 | Mali | $ 1,821,000,000 | 2012 est. |
| 290 | Haiti | $ 1,812,000,000 | 2012 est. |
| 291 | Rwanda | $ 1,781,000,000 | 2012 est. |
| 292 | Madagascar | $ 1,758,000,000 | 2012 est. |
| 293 | Kosovo | $ 1,740,000,000 | 2011 est. |
| 294 | Greenland | $ 1,720,000,000 | 2010 |
| 295 | Rwanda | $ 1,701,000,000 | 2012 est. |
| 296 | Niger | $ 1,698,000,000 | 2012 est. |
| 297 | Greenland | $ 1,680,000,000 | 2010 |
| 298 | Montenegro | $ 1,680,000,000 | 2012 est. |
| 299 | Lesotho | $ 1,658,000,000 | 2012 est. |
| 300 | Timor-Leste | $ 1,600,000,000 | 2012 est. |
| 301 | Benin | $ 1,598,000,000 | 2012 est. |
| 302 | Montenegro | $ 1,580,000,000 | 2012 est. |
| 303 | Benin | $ 1,562,000,000 | 2012 est. |
| 304 | Mauritania | $ 1,561,000,000 | 2012 est. |
| 305 | Bahamas, The | $ 1,540,000,000 | 2012 est. |
| 306 | Lesotho | $ 1,536,000,000 | 2012 est. |
| 307 | Barbados | $ 1,508,000,000 | 2012 est. |
| 308 | Timor-Leste | $ 1,500,000,000 | 2012 est. |
| 309 | Guinea | $ 1,483,000,000 | 2012 est. |
| 310 | Swaziland | $ 1,451,000,000 | 2012 est. |
| 311 | Mauritania | $ 1,449,000,000 | 2012 est. |
| 312 | Swaziland | $ 1,438,000,000 | 2012 est. |
| 313 | Liechtenstein | $ 1,372,000,000 | 2011 est. |
| 314 | Malawi | $ 1,358,000,000 | 2012 est. |
| 315 | Faroe Islands | $ 1,301,000,000 | 2010 |
| 316 | Guinea | $ 1,296,000,000 | 2012 est. |
| 317 | Liechtenstein | $ 1,290,000,000 | 2011 est. |
| 318 | Monaco | $ 1,197,000,000 | 2011 est. |
| 319 | Eritrea | $ 1,190,000,000 | 2012 est. |
| 320 | Barbados | $ 1,170,000,000 | 2012 est. |
| 321 | Fiji | $ 1,127,000,000 | 2012 est. |
| 322 | Monaco | $ 1,125,000,000 | 2011 est. |
| 323 | Bermuda | $ 1,115,000,000 | FY11/12 |
| 324 | Zimbabwe | $ 1,095,000,000 | NA |
| 325 | Guam | $ 1,082,000,000 | FY10/11 est. |
| 326 | New Caledonia | $ 1,072,000,000 | 2001 est. |
| 327 | Fiji | $ 1,062,000,000 | 2012 est. |
| 328 | Malawi | $ 1,032,000,000 | 2012 est. |
| 329 | Faroe Islands | $ 1,025,000,000 | 2010 |
| 330 | New Caledonia | $ 996,000,000 | 2001 est. |
| 331 | Zimbabwe | $ 985,000,000 | NA |
| 332 | Bermuda | $ 973,200,000 | FY11/12 |
| 333 | Isle of Man | $ 965,000,000 | FY05/06 est. |
| 334 | Isle of Man | $ 943,000,000 | FY05/06 est. |
| 335 | Guam | $ 942,600,000 | FY10/11 est. |
| 336 | Suriname | $ 939,700,000 | 2010 est. |
| 337 | Maldives | $ 917,000,000 | 2012 est. |
| 338 | Togo | $ 905,300,000 | 2012 est. |
| 339 | Burundi | $ 880,300,000 | 2012 est. |
| 340 | French Polynesia | $ 865,000,000 | 1999 |
| 341 | Jersey | $ 851,000,000 | 2005 |
| 342 | Guyana | $ 838,500,000 | 2012 est. |
| 343 | Virgin Islands | $ 837,000,000 | FY08/09 |
| 344 | Virgin Islands | $ 837,000,000 | FY08/09 |
| 345 | Jersey | $ 829,000,000 | 2005 |
| 346 | Suriname | $ 826,600,000 | 2010 est. |
| 347 | Aruba | $ 815,300,000 | 2012 est. |
| 348 | Eritrea | $ 806,500,000 | 2012 est. |
| 349 | Burundi | $ 788,100,000 | 2012 est. |
| 350 | Sierra Leone | $ 773,500,000 | 2012 est. |
| 351 | Togo | $ 764,100,000 | 2012 est. |
| 352 | Cayman Islands | $ 741,800,000 | 2012 est. |
| 353 | Guyana | $ 699,100,000 | 2012 est. |
| 354 | San Marino | $ 694,700,000 | 2011 |
| 355 | Cayman Islands | $ 680,100,000 | 2012 est. |
| 356 | San Marino | $ 667,700,000 | 2011 |
| 357 | Bhutan | $ 651,200,000 | 2012 est. |
| 358 | French Polynesia | $ 644,100,000 | 1999 |
| 359 | Maldives | $ 638,000,000 | 2012 est. |
| 360 | Cabo Verde | $ 625,700,000 | 2012 est. |
| 361 | Bhutan | $ 615,700,000 | 2012 est. |
| 362 | Sierra Leone | $ 576,900,000 | 2012 est. |
| 363 | Aruba | $ 568,300,000 | 2012 est. |
| 364 | Guernsey | $ 563,600,000 | 2005 est. |
| 365 | Guernsey | $ 530,900,000 | 2005 est. |
| 366 | Djibouti | $ 503,000,000 | 2012 est. |
| 367 | Gibraltar | $ 475,800,000 | 2008 est. |
| 368 | Andorra | $ 470,000,000 | 2011 |
| 369 | Djibouti | $ 465,900,000 | 2012 est. |
| 370 | Gibraltar | $ 452,300,000 | 2008 est. |
| 371 | Belize | $ 450,000,000 | 2012 est. |
| 372 | Belize | $ 450,000,000 | 2012 est. |
| 373 | Seychelles | $ 438,300,000 | 2012 est. |
| 374 | Liberia | $ 427,100,000 | 2012 est. |
| 375 | Turks and Caicos Islands | $ 417,400,000 | 2012 est. |
| 376 | Seychelles | $ 415,400,000 | 2012 est. |
| 377 | Solomon Islands | $ 411,100,000 | 2012 est. |
| 378 | Cabo Verde | $ 409,000,000 | 2012 est. |
| 379 | Turks and Caicos Islands | $ 408,900,000 | 2012 est. |
| 380 | Andorra | $ 403,000,000 | 2011 |
| 381 | Solomon Islands | $ 391,600,000 | 2012 est. |
| 382 | Liberia | $ 380,900,000 | 2012 est. |
| 383 | Central African Republic | $ 356,900,000 | 2012 est. |
| 384 | Central African Republic | $ 340,800,000 | 2012 est. |
| 385 | Holy See (Vatican City) | $ 326,400,000 | 2011 |
| 386 | Northern Mariana Islands | $ 318,200,000 | FY10/11 |
| 387 | Holy See (Vatican City) | $ 308,000,000 | 2011 |
| 388 | British Virgin Islands | $ 300,000,000 | 2012 est. |
| 389 | British Virgin Islands | $ 300,000,000 | 2012 est. |
| 390 | Gambia, The | $ 271,200,000 | 2012 est. |
| 391 | Samoa | $ 263,900,000 | 2012 est. |
| 392 | Northern Mariana Islands | $ 260,000,000 | FY10/11 |
| 393 | Antigua and Barbuda | $ 248,700,000 | 2012 est. |
| 394 | Antigua and Barbuda | $ 239,500,000 | 2012 est. |
| 395 | Samoa | $ 233,400,000 | 2012 est. |
| 396 | Gambia, The | $ 230,700,000 | 2012 est. |
| 397 | Saint Kitts and Nevis | $ 223,300,000 | 2012 est. |
| 398 | Saint Lucia | $ 222,200,000 | 2011 est. |
| 399 | Grenada | $ 215,900,000 | 2009 est. |
| 400 | Saint Kitts and Nevis | $ 197,000,000 | 2012 est. |
| 401 | Dominica | $ 188,900,000 | 2012 est. |
| 402 | Saint Lucia | $ 185,200,000 | 2011 est. |
| 403 | American Samoa | $ 183,600,000 | 2007 |
| 404 | Vanuatu | $ 182,800,000 | 2012 est. |
| 405 | Saint Vincent and the Grenadines | $ 181,500,000 | 2012 est. |
| 406 | Grenada | $ 175,300,000 | 2009 est. |
| 407 | Saint Vincent and the Grenadines | $ 174,400,000 | 2012 est. |
| 408 | Vanuatu | $ 167,900,000 | 2012 est. |
| 409 | Comoros | $ 164,800,000 | 2012 est. |
| 410 | Comoros | $ 155,900,000 | 2012 est. |
| 411 | American Samoa | $ 155,400,000 | 2007 |
| 412 | Guinea-Bissau | $ 153,400,000 | 2012 est. |
| 413 | Dominica | $ 130,400,000 | 2012 est. |
| 414 | Guinea-Bissau | $ 129,100,000 | 2012 est. |
| 415 | Sao Tome and Principe | $ 116,700,000 | 2012 est. |
| 416 | Tonga | $ 116,300,000 | 2012 est. |
| 417 | Tonga | $ 116,300,000 | 2012 est. |
| 418 | Kiribati | $ 107,100,000 | 2010 est. |
| 419 | Micronesia, Federated States of | $ 107,000,000 | FY10/11 est. |
| 420 | Marshall Islands | $ 105,400,000 | FY09 est. |
| 421 | Marshall Islands | $ 104,700,000 | FY09 est. |
| 422 | Micronesia, Federated States of | $ 102,000,000 | FY10/11 est. |
| 423 | Palau | $ 94,300,000 | 2010 est. |
| 424 | Palau | $ 89,000,000 | 2010 est. |
| 425 | Sao Tome and Principe | $ 88,380,000 | 2012 est. |
| 426 | Anguilla | $ 78,370,000 | 2012 est. |
| 427 | Falkland Islands (Islas Malvinas) | $ 75,300,000 | FY09/10 |
| 428 | Cook Islands | $ 70,950,000 | FY05/06 |
| 429 | Saint Pierre and Miquelon | $ 70,000,000 | 1996 |
| 430 | Anguilla | $ 69,520,000 | 2012 est. |
| 431 | Cook Islands | $ 69,050,000 | FY05/06 |
| 432 | Falkland Islands (Islas Malvinas) | $ 67,100,000 | FY09/10 |
| 433 | Saint Pierre and Miquelon | $ 60,000,000 | 1996 |
| 434 | Kiribati | $ 55,520,000 | 2010 est. |
| 435 | Montserrat | $ 41,480,000 | 2012 est. |
| 436 | Montserrat | $ 31,400,000 | 2012 est. |
| 437 | Saint Helena, Ascension, and Tristan da Cunha | $ 25,460,000 | FY06/07 est. |
| 438 | Tuvalu | $ 23,050,000 | 2006 |
| 439 | Tuvalu | $ 21,540,000 | 2006 |
| 440 | Niue | $ 16,330,000 | FY04/05 |
| 441 | Niue | $ 15,070,000 | FY04/05 |
| 442 | Nauru | $ 13,500,000 | 2005 |
| 443 | Nauru | $ 13,500,000 | 2005 |
| 444 | Saint Helena, Ascension, and Tristan da Cunha | $ 10,360,000 | FY06/07 est. |
| 445 | Norfolk Island | $ 4,800,000 | FY99/00 |
| 446 | Norfolk Island | $ 4,600,000 | FY99/00 |
| 447 | Tokelau | $ 2,800,000 | 1987 est. |
| 448 | Pitcairn Islands | $ 1,028,000 | FY04/05 |
| 449 | Pitcairn Islands | $ 746,000 | FY04/05 |
| 450 | Tokelau | $ 430,800 | 1987 est. |
