CIA - The World Factbook --  Roadways   

This entry gives the total length of the road network and includes the length of the paved and unpaved portions.

| Rank | country | (km) | Date of Information |
| 72 | Ghana | 62,221 | 2006 |
| 73 | Cuba | 60,858 | 2001 |
| 74 | Azerbaijan | 59,141 | 2006 |
| 75 | Turkmenistan | 58,592 | 2002 |
| 76 | Morocco | 58,256 | 2008 |
| 77 | Estonia | 58,034 | 2009 |
| 78 | Oman | 53,430 | 2008 |
| 79 | Angola | 51,429 | 2001 |
| 80 | Cameroon | 50,000 | 2004 |
| 81 | Mongolia | 49,249 | 2010 |
| 82 | Iraq | 44,900 | 2002 |
| 83 | Guinea | 44,348 | 2003 |
| 84 | Slovakia | 43,761 | 2008 |
| 85 | Ecuador | 43,670 | 2007 |
| 86 | Afghanistan | 42,150 | 2006 |
| 87 | Serbia | 41,913 | 2009 |
| 88 | Taiwan | 41,475 | 2009 |
| 89 | Bulgaria | 40,231 | 2008 |
| 90 | Chad | 40,000 | 2006 |
| 91 | Laos | 39,568 | 2009 |
| 92 | Slovenia | 38,925 | 2009 |
| 93 | Cambodia | 38,093 | 2007 |
| 94 | Costa Rica | 38,049 | 2008 |
| 95 | Ethiopia | 36,469 | 2007 |
| 96 | Kyrgyzstan | 34,000 | 2007 |
| 97 | Mozambique | 30,331 | 2008 |
| 98 | Paraguay | 29,500 | 2001 |
| 99 | Croatia | 29,343 | 2009 |
| 100 | Tajikistan | 27,767 | 2000 |
| 101 | Burma | 27,000 | 2006 |
| 102 | Puerto Rico | 26,670 | 2008 |
| 103 | Botswana | 25,798 | 2005 |
| 104 | Korea, North | 25,554 | 2006 |
| 105 | Central African Republic | 24,307 | 2000 |
| 106 | Bosnia and Herzegovina | 22,926 | 2010 |
| 107 | Jamaica | 22,121 | 2008 |
| 108 | Somalia | 22,100 | 2000 |
| 109 | Georgia | 20,329 | 2007 |
| 110 | Dominican Republic | 19,705 | 2002 |
| 111 | Tunisia | 19,232 | 2008 |
| 112 | Nicaragua | 19,137 | 2009 |
| 113 | Niger | 18,949 | 2008 |
| 114 | Mali | 18,912 | 2005 |
| 115 | Israel | 18,290 | 2009 |
| 116 | Albania | 18,000 | 2002 |
| 117 | Congo, Republic of the | 17,289 | 2004 |
| 118 | Nepal | 17,282 | 2007 |
| 119 | Benin | 16,000 | 2006 |
| 120 | Malawi | 15,451 | 2003 |
| 121 | Cyprus | 14,671 | 2008 |
| 122 | Honduras | 14,239 | 2009 |
| 123 | Guatemala | 14,095 | 2001 |
| 124 | Senegal | 14,008 | 2006 |
| 125 | Rwanda | 14,008 | 2004 |
| 126 | Macedonia | 13,736 | 2010 |
| 127 | Bolivia | 13,602 | 2004 |
| 128 | Iceland | 12,869 | 2009 |
| 129 | Burundi | 12,322 | 2004 |
| 130 | Panama | 11,978 | 2002 |
| 131 | Sudan | 11,900 | 2000 |
| 132 | Sierra Leone | 11,300 | 2002 |
| 133 | Mauritania | 11,066 | 2006 |
| 134 | El Salvador | 10,886 | 2000 |
| 135 | Liberia | 10,600 | 2000 |
| 136 | Papua New Guinea | 9,349 | 2011 |
| 137 | Moldova | 9,343 | 2008 |
| 138 | Gabon | 9,170 | 2004 |
| 139 | Armenia | 8,888 | 2008 |
| 140 | Trinidad and Tobago | 8,320 | 2001 |
| 141 | Bhutan | 8,050 | 2003 |
| 142 | Guyana | 7,970 | 2001 |
| 143 | Jordan | 7,891 | 2009 |
| 144 | Qatar | 7,790 | 2006 |
| 145 | Montenegro | 7,624 | 2010 |
| 146 | Togo | 7,520 | 2007 |
| 147 | Lesotho | 7,091 | 2003 |
| 148 | Lebanon | 6,970 | 2005 |
| 149 | Timor-Leste | 6,040 | 2005 |
| 150 | Kuwait | 5,749 | 2004 |
| 151 | New Caledonia | 5,622 | 2006 |
| 152 | Luxembourg | 5,227 | 2008 |
| 153 | West Bank | 5,147 | 2006 |
| 154 | Suriname | 4,304 | 2003 |
| 155 | Haiti | 4,160 | 2001 |
| 156 | United Arab Emirates | 4,080 | 2008 |
| 157 | Eritrea | 4,010 | 2000 |
| 158 | Bahrain | 3,851 | 2007 |
| 159 | Gambia, The | 3,742 | 2004 |
| 160 | Swaziland | 3,594 | 2002 |
| 161 | Guinea-Bissau | 3,455 | 2002 |
| 162 | Fiji | 3,440 | 2000 |
| 163 | Singapore | 3,356 | 2009 |
| 164 | Malta | 3,096 | 2008 |
| 165 | Djibouti | 3,065 | 2000 |
| 166 | Belize | 3,007 | 2006 |
| 167 | Brunei | 2,971 | 2008 |
| 168 | Equatorial Guinea | 2,880 | 2000 |
| 169 | Bahamas, The | 2,717 | 2002 |
| 170 | French Polynesia | 2,590 | 1999 |
| 171 | Samoa | 2,337 | 2001 |
| 172 | Hong Kong | 2,067 | 2010 |
| 173 | Mauritius | 2,066 | 2009 |
| 174 | Marshall Islands | 2,028 | 2007 |
| 175 | Kosovo | 1,926 | 2009 |
| 176 | Barbados | 1,600 | 2004 |
| 177 | Solomon Islands | 1,360 | 2002 |
| 178 | Cape Verde | 1,350 | 2000 |
| 179 | Virgin Islands | 1,260 | 2008 |
| 180 | Saint Lucia | 1,210 | 2002 |
| 181 | Antigua and Barbuda | 1,165 | 2002 |
| 182 | Grenada | 1,127 | 2001 |
| 183 | Vanuatu | 1,070 | 2000 |
| 184 | Comoros | 880 | 2002 |
| 185 | Saint Vincent and the Grenadines | 829 | 2003 |
| 186 | Cayman Islands | 785 | 2007 |
| 187 | Dominica | 780 | 2001 |
| 188 | Tonga | 680 | 2000 |
| 189 | Kiribati | 670 | 2000 |
| 190 | Jersey | 576 | 2010 |
| 191 | Curacao | 550 | NA |
| 192 | Northern Mariana Islands | 536 | 2008 |
| 193 | Seychelles | 508 | 2008 |
| 194 | Isle of Man | 500 | 2008 |
| 195 | Faroe Islands | 463 | 2006 |
| 196 | Bermuda | 447 | 2007 |
| 197 | Falkland Islands (Islas Malvinas) | 440 | 2008 |
| 198 | Macau | 413 | 2009 |
| 199 | Saint Kitts and Nevis | 383 | 2002 |
| 200 | Liechtenstein | 380 | 2010 |
| 201 | Andorra | 320 | 2008 |
| 202 | Sao Tome and Principe | 320 | 2000 |
| 203 | Cook Islands | 320 | 2003 |
| 204 | San Marino | 292 | 2006 |
| 205 | American Samoa | 241 | 2008 |
| 206 | Micronesia, Federated States of | 240 | 2000 |
| 207 | British Virgin Islands | 200 | 2007 |
| 208 | Saint Helena, Ascension, and Tristan da Cunha | 198 | 2002 |
| 209 | Anguilla | 175 | 2004 |
| 210 | Christmas Island | 140 | 2007 |
| 211 | Turks and Caicos Islands | 121 | 2003 |
| 212 | Niue | 120 | 2008 |
| 213 | Saint Pierre and Miquelon | 117 | 2000 |
| 214 | Maldives | 88 | 2006 |
| 215 | Norfolk Island | 80 | 2008 |
| 216 | Monaco | 77 | 2008 |
| 217 | Sint Maarten | 53 | NA |
| 218 | Gibraltar | 29 | 2007 |
| 219 | Nauru | 24 | 2002 |
| 220 | Cocos (Keeling) Islands | 22 | 2007 |
| 221 | Tuvalu | 8 | 2002 |
