CIA - The World Factbook --  ROADWAYS

Roadways compares the total length of the road network and includes the length of the paved and unpaved portions.

| Rank | Country | (KM) | Date of Information |
| 49 | Zimbabwe | 97,267 | 2002 |
| 50 | Venezuela | 96,189 | 2014 |
| 51 | Ireland | 96,036 | 2014 |
| 52 | New Zealand | 94,902 | 2012 |
| 53 | Norway | 93,870 | 2013 |
| 54 | Uzbekistan | 86,496 | 2000 |
| 55 | Tanzania | 86,472 | 2010 |
| 56 | Belarus | 86,392 | 2010 |
| 57 | Romania | 84,185 | 2012 |
| 58 | Lithuania | 84,166 | 2012 |
| 59 | Portugal | 82,900 | 2008 |
| 60 | Cote d'Ivoire | 81,996 | 2007 |
| 61 | Bolivia | 80,488 | 2010 |
| 62 | Chile | 77,764 | 2010 |
| 63 | Uruguay | 77,732 | 2010 |
| 64 | Denmark | 74,497 | 2016 |
| 65 | Latvia | 72,440 | 2013 |
| 66 | Switzerland | 71,464 | 2011 |
| 67 | Yemen | 71,300 | 2005 |
| 68 | Syria | 69,873 | 2010 |
| 69 | Cuba | 60,858 | 2001 |
| 70 | Oman | 60,230 | 2012 |
| 71 | Iraq | 59,623 | 2012 |
| 72 | Turkmenistan | 58,592 | 2002 |
| 73 | Estonia | 58,412 | 2011 |
| 74 | Morocco | 58,395 | 2010 |
| 75 | Slovakia | 54,869 | 2012 |
| 76 | Azerbaijan | 52,942 | 2006 |
| 77 | Angola | 51,429 | 2001 |
| 78 | Cameroon | 51,350 | 2011 |
| 79 | Mongolia | 49,249 | 2013 |
| 80 | Cambodia | 44,709 | 2010 |
| 81 | Guinea | 44,348 | 2003 |
| 82 | Serbia | 44,248 | 2010 |
| 83 | Namibia | 44,138 | 2010 |
| 84 | Ecuador | 43,670 | 2007 |
| 85 | Taiwan | 42,520 | 2013 |
| 86 | Afghanistan | 42,150 | 2006 |
| 87 | Zambia | 40,454 | 2005 |
| 88 | Chad | 40,000 | 2011 |
| 89 | Laos | 39,586 | 2009 |
| 90 | Costa Rica | 39,018 | 2010 |
| 91 | Slovenia | 38,985 | 2012 |
| 92 | Madagascar | 37,476 | 2010 |
| 93 | Burma | 34,377 | 2010 |
| 94 | Kyrgyzstan | 34,000 | 2007 |
| 95 | Paraguay | 32,059 | 2010 |
| 96 | Mozambique | 30,331 | 2009 |
| 97 | Tajikistan | 27,767 | 2000 |
| 98 | Croatia | 26,958 | 2015 |
| 99 | Puerto Rico | 26,862 | 2012 |
| 100 | Korea, North | 25,554 | 2006 |
| 101 | Nicaragua | 23,897 | 2014 |
| 102 | Bosnia and Herzegovina | 22,926 | 2010 |
| 103 | Mali | 22,474 | 2009 |
| 104 | Jamaica | 22,121 | 2011 |
| 105 | Somalia | 22,100 | 2000 |
| 106 | Bangladesh | 21,269 | 2010 |
| 107 | Central African Republic | 20,278 | 2010 |
| 108 | Cyprus | 20,006 | 2011 |
| 109 | Uganda | 20,000 | 2011 |
| 110 | Dominican Republic | 19,705 | 2002 |
| 111 | Bulgaria | 19,512 | 2011 |
| 112 | Tunisia | 19,418 | 2010 |
| 113 | Georgia | 19,109 | 2010 |
| 114 | Niger | 18,949 | 2010 |
| 115 | Israel | 18,566 | 2011 |
| 116 | Albania | 18,000 | 2002 |
| 117 | Botswana | 17,916 | 2011 |
| 118 | Guatemala | 17,332 | 2015 |
| 119 | Congo, Republic of the | 17,000 | 2006 |
| 120 | Benin | 16,000 | 2006 |
| 121 | Malawi | 15,450 | 2011 |
| 122 | Burkina Faso | 15,272 | 2010 |
| 123 | Panama | 15,137 | 2010 |
| 124 | Senegal | 15,000 | 2015 |
| 125 | Honduras | 14,742 | 2012 |
| 126 | Macedonia | 14,182 | 2014 |
| 127 | Iceland | 12,890 | 2012 |
| 128 | Burundi | 12,322 | 2004 |
| 129 | Sudan | 11,900 | 2000 |
| 130 | Togo | 11,652 | 2007 |
| 131 | Sierra Leone | 11,300 | 2002 |
| 132 | Nepal | 10,844 | 2010 |
| 133 | Mauritania | 10,628 | 2010 |
| 134 | Liberia | 10,600 | 2000 |
| 135 | Bhutan | 10,578 | 2013 |
| 136 | Qatar | 9,830 | 2010 |
| 137 | Trinidad and Tobago | 9,592 | 2015 |
| 138 | Moldova | 9,352 | 2012 |
| 139 | Papua New Guinea | 9,349 | 2011 |
| 140 | Gabon | 9,170 | 2007 |
| 141 | Guyana | 7,970 | 2001 |
| 142 | Armenia | 7,792 | 2013 |
| 143 | Montenegro | 7,762 | 2010 |
| 144 | Jordan | 7,203 | 2011 |
| 145 | South Sudan | 7,000 | 2012 |
| 146 | Lebanon | 6,970 | 2005 |
| 147 | El Salvador | 6,918 | 2010 |
| 148 | Kuwait | 6,608 | 2010 |
| 149 | Timor-Leste | 6,040 | 2005 |
| 150 | Lesotho | 5,940 | 2011 |
| 151 | New Caledonia | 5,622 | 2006 |
| 152 | Rwanda | 4,700 | 2012 |
| 153 | West Bank | 4,686 | 2010 |
| 154 | Suriname | 4,304 | 2003 |
| 155 | Haiti | 4,266 | 2009 |
| 156 | Bahrain | 4,122 | 2010 |
| 157 | United Arab Emirates | 4,080 | 2008 |
| 158 | Eritrea | 4,010 | 2000 |
| 159 | Gambia, The | 3,740 | 2011 |
| 160 | Swaziland | 3,594 | 2002 |
| 161 | Guinea-Bissau | 3,455 | 2002 |
| 162 | Fiji | 3,440 | 2011 |
| 163 | Singapore | 3,425 | 2012 |
| 164 | Malta | 3,096 | 2008 |
| 165 | Djibouti | 3,065 | 2000 |
| 166 | Brunei | 3,029 | 2010 |
| 167 | Luxembourg | 2,899 | 2011 |
| 168 | Equatorial Guinea | 2,880 | 2000 |
| 169 | Belize | 2,870 | 2011 |
| 170 | Bahamas, The | 2,700 | 2011 |
| 171 | French Polynesia | 2,590 | 1999 |
| 172 | Samoa | 2,337 | 2001 |
| 173 | Mauritius | 2,149 | 2012 |
| 174 | Hong Kong | 2,100 | 2015 |
| 175 | Marshall Islands | 2,028 | 2007 |
| 176 | Kosovo | 2,003 | 2014 |
| 177 | Barbados | 1,600 | 2011 |
| 178 | Dominica | 1,512 | 2010 |
| 179 | Solomon Islands | 1,390 | 2011 |
| 180 | Cabo Verde | 1,350 | 2013 |
| 181 | Virgin Islands | 1,260 | 2008 |
| 182 | Saint Lucia | 1,210 | 2011 |
| 183 | Antigua and Barbuda | 1,170 | 2011 |
| 184 | Grenada | 1,127 | 2001 |
| 185 | Vanuatu | 1,070 | 2000 |
| 186 | Guam | 1,045 | 2008 |
| 187 | Faroe Islands | 960 | 2015 |
| 188 | Comoros | 880 | 2002 |
| 189 | Saint Vincent and the Grenadines | 829 | 2003 |
| 190 | Cayman Islands | 785 | 2007 |
| 191 | Tonga | 680 | 2011 |
| 192 | Kiribati | 670 | 2011 |
| 193 | Jersey | 576 | 2010 |
| 194 | Curacao | 550 | |
| 195 | Northern Mariana Islands | 536 | 2008 |
| 196 | Seychelles | 526 | 2015 |
| 197 | Isle of Man | 500 | 2008 |
| 198 | Bermuda | 447 | 2010 |
| 199 | Falkland Islands (Islas Malvinas) | 440 | 2008 |
| 200 | Macau | 424 | 2014 |
| 201 | Micronesia, Federated States of | 388 | 2015 |
| 202 | Saint Kitts and Nevis | 383 | 2002 |
| 203 | Liechtenstein | 380 | 2012 |
| 204 | Cook Islands | 320 | 2003 |
| 205 | Andorra | 320 | 2008 |
| 206 | Sao Tome and Principe | 320 | 2000 |
| 207 | San Marino | 292 | 2006 |
| 208 | American Samoa | 241 | 2008 |
| 209 | British Virgin Islands | 200 | 2007 |
| 210 | Saint Helena, Ascension, and Tristan da Cunha | 198 | 2002 |
| 211 | Anguilla | 175 | 2004 |
| 212 | Christmas Island | 140 | 2011 |
| 213 | Turks and Caicos Islands | 121 | 2003 |
| 214 | Niue | 120 | 2011 |
| 215 | Saint Pierre and Miquelon | 117 | 2009 |
| 216 | Maldives | 88 | 2013 |
| 217 | Norfolk Island | 80 | 2008 |
| 218 | Monaco | 77 | 2010 |
| 219 | Sint Maarten | 53 | |
| 220 | Nauru | 30 | 2002 |
| 221 | Gibraltar | 29 | 2007 |
| 222 | Cocos (Keeling) Islands | 22 | 2007 |
| 223 | Tuvalu | 8 | 2011 |


