CIA - The World Factbook --  Major urban areas - population   

This entry provides the population of the capital and up to four major cities defined as urban agglomerations with populations of at least 750,000 people. An urban agglomeration is defined as comprising the city or town proper and also the suburban fringe or thickly settled territory lying outside of, but adjacent to, the boundaries of the city. For smaller countries, lacking urban centers of 750,000 or more, only the population of the capital is presented.

| Rank | country | Major urban areas - population | Date of Information |
| 83 | Pakistan | 2,849,000.00 | 2009 |
| 84 | Korea, North | 2,843,000.00 | 2011 |
| 85 | South Africa | 2,837,000.00 | 2009 |
| 86 | Japan | 2,809,000.00 | 2009 |
| 87 | Portugal | 2,808,000.00 | 2009 |
| 88 | Ukraine | 2,779,000.00 | 2009 |
| 89 | Senegal | 2,777,000.00 | 2009 |
| 90 | Nigeria | 2,762,000.00 | 2009 |
| 91 | Puerto Rico | 2,730,000.00 | 2009 |
| 92 | Turkey | 2,679,000.00 | 2009 |
| 93 | Japan | 2,673,000.00 | 2009 |
| 94 | Vietnam | 2,668,000.00 | 2009 |
| 95 | Ecuador | 2,634,000.00 | 2011 |
| 96 | Iran | 2,592,000.00 | 2009 |
| 97 | Korea, South | 2,572,000.00 | 2009 |
| 98 | Syria | 2,527,000.00 | 2009 |
| 99 | Indonesia | 2,509,000.00 | 2009 |
| 100 | Korea, South | 2,458,000.00 | 2009 |
| 101 | Cameroon | 2,432,000.00 | 2011 |
| 102 | Indonesia | 2,412,000.00 | 2009 |
| 103 | Colombia | 2,352,000.00 | 2011 |
| 104 | United Kingdom | 2,296,000.00 | 2009 |
| 105 | Mexico | 2,278,000.00 | 2009 |
| 106 | Italy | 2,270,000.00 | 2009 |
| 107 | Ghana | 2,269,000.00 | 2009 |
| 108 | United Kingdom | 2,247,000.00 | 2009 |
| 109 | Kuwait | 2,230,000.00 | 2009 |
| 110 | Yemen | 2,229,000.00 | 2009 |
| 111 | Uzbekistan | 2,201,000.00 | 2009 |
| 112 | Canada | 2,197,000.00 | 2011 |
| 113 | Dominican Republic | 2,191,000.00 | 2011 |
| 114 | Venezuela | 2,153,000.00 | 2009 |
| 115 | Haiti | 2,143,000.00 | 2010 |
| 116 | Indonesia | 2,131,000.00 | 2009 |
| 117 | Azerbaijan | 2,123,000.00 | 2011 |
| 118 | Cuba | 2,116,000.00 | 2011 |
| 119 | Cameroon | 2,053,000.00 | 2011 |
| 120 | Burkina Faso | 2,053,000.00 | 2011 |
| 121 | Pakistan | 2,026,000.00 | 2009 |
| 122 | Paraguay | 1,977,000.00 | 2009 |
| 123 | Australia | 1,970,000.00 | 2011 |
| 124 | Vietnam | 1,941,000.00 | 2009 |
| 125 | Romania | 1,933,000.00 | 2009 |
| 126 | Lebanon | 1,909,000.00 | 2009 |
| 127 | Belgium | 1,892,000.00 | 2009 |
| 128 | Belarus | 1,861,000.00 | 2011 |
| 129 | Nigeria | 1,857,000.00 | 2009 |
| 130 | Colombia | 1,836,000.00 | 2011 |
| 131 | Madagascar | 1,816,000.00 | 2009 |
| 132 | Germany | 1,786,000.00 | 2009 |
| 133 | Ghana | 1,773,000.00 | 2009 |
| 134 | Morocco | 1,770,000.00 | 2009 |
| 135 | Venezuela | 1,738,000.00 | 2009 |
| 136 | Austria | 1,720,000.00 | 2011 |
| 137 | Bolivia | 1,715,000.00 | 2011 |
| 138 | Poland | 1,710,000.00 | 2009 |
| 139 | Hungary | 1,705,000.00 | 2009 |
| 140 | Iran | 1,704,000.00 | 2009 |
| 141 | Italy | 1,662,000.00 | 2009 |
| 142 | Bangladesh | 1,636,000.00 | 2011 |
| 143 | Uruguay | 1,633,000.00 | 2009 |
| 144 | Mexico | 1,629,000.00 | 2009 |
| 145 | Mali | 1,628,000.00 | 2009 |
| 146 | Ecuador | 1,622,000.00 | 2011 |
| 147 | Congo, Republic of the | 1,611,000.00 | 2011 |
| 148 | Zimbabwe | 1,606,000.00 | 2009 |
| 149 | El Salvador | 1,605,000.00 | 2011 |
| 150 | Australia | 1,599,000.00 | 2011 |
| 151 | Guinea | 1,597,000.00 | 2009 |
| 152 | Togo | 1,593,000.00 | 2009 |
| 153 | Mozambique | 1,589,000.00 | 2009 |
| 154 | Bolivia | 1,584,000.00 | 2011 |
| 155 | Turkey | 1,559,000.00 | 2009 |
| 156 | Cambodia | 1,550,000.00 | 2011 |
| 157 | Congo, Democratic Republic of the | 1,543,000.00 | 2011 |
| 158 | United Kingdom | 1,541,000.00 | 2009 |
| 159 | Uganda | 1,535,000.00 | 2009 |
| 160 | Iran | 1,531,000.00 | 2009 |
| 161 | Nigeria | 1,519,000.00 | 2009 |
| 162 | Costa Rica | 1,515,000.00 | 2011 |
| 163 | Korea, South | 1,497,000.00 | 2009 |
| 164 | Argentina | 1,493,000.00 | 2011 |
| 165 | Malaysia | 1,493,000.00 | 2009 |
| 166 | Congo, Democratic Republic of the | 1,488,000.00 | 2011 |
| 167 | Saudi Arabia | 1,484,000.00 | 2009 |
| 168 | Philippines | 1,480,000.00 | 2009 |
| 169 | Iran | 1,459,000.00 | 2009 |
| 170 | France | 1,457,000.00 | 2009 |
| 171 | France | 1,456,000.00 | 2009 |
| 172 | Ukraine | 1,455,000.00 | 2009 |
| 173 | Iraq | 1,447,000.00 | 2009 |
| 174 | Zambia | 1,413,000.00 | 2009 |
| 175 | South Africa | 1,404,000.00 | 2009 |
| 176 | Russia | 1,397,000.00 | 2009 |
| 177 | Kazakhstan | 1,383,000.00 | 2009 |
| 178 | New Zealand | 1,360,000.00 | 2009 |
| 179 | Somalia | 1,353,000.00 | 2009 |
| 180 | Germany | 1,349,000.00 | 2009 |
| 181 | Panama | 1,346,000.00 | 2009 |
| 182 | Russia | 1,344,000.00 | 2009 |
| 183 | Portugal | 1,344,000.00 | 2009 |
| 184 | Turkey | 1,339,000.00 | 2009 |
| 185 | Indonesia | 1,296,000.00 | 2009 |
| 186 | Sweden | 1,279,000.00 | 2009 |
| 187 | Syria | 1,276,000.00 | 2009 |
| 188 | Czech Republic | 1,276,000.00 | 2011 |
| 189 | Russia | 1,267,000.00 | 2009 |
| 190 | Argentina | 1,231,000.00 | 2011 |
| 191 | Canada | 1,208,000.00 | 2011 |
| 192 | Denmark | 1,206,000.00 | 2011 |
| 193 | Bulgaria | 1,174,000.00 | 2011 |
| 194 | United Kingdom | 1,166,000.00 | 2009 |
| 195 | Canada | 1,160,000.00 | 2011 |
| 196 | Venezuela | 1,159,000.00 | 2009 |
| 197 | Switzerland | 1,143,000.00 | 2009 |
| 198 | Armenia | 1,116,000.00 | 2011 |
| 199 | Serbia | 1,115,000.00 | 2009 |
| 200 | Georgia | 1,115,000.00 | 2009 |
| 201 | Finland | 1,107,000.00 | 2009 |
| 202 | Saudi Arabia | 1,104,000.00 | 2009 |
| 203 | Libya | 1,095,000.00 | 2009 |
| 204 | Jordan | 1,088,000.00 | 2009 |
| 205 | Ireland | 1,084,000.00 | 2009 |
| 206 | Chad | 1,079,000.00 | 2011 |
| 207 | Guatemala | 1,075,000.00 | 2009 |
| 208 | Malaysia | 1,071,000.00 | 2009 |
| 209 | Colombia | 1,065,000.00 | 2011 |
| 210 | Netherlands | 1,044,000.00 | 2009 |
| 211 | Morocco | 1,044,000.00 | 2009 |
| 212 | Venezuela | 1,040,000.00 | 2009 |
| 213 | France | 1,028,000.00 | 2009 |
| 214 | Israel | 1,027,000.00 | 2009 |
| 215 | Ukraine | 1,013,000.00 | 2009 |
| 216 | Ukraine | 1,009,000.00 | 2009 |
| 217 | Burma | 1,009,000.00 | 2009 |
| 218 | Iraq | 1,009,000.00 | 2009 |
| 219 | Netherlands | 1,008,000.00 | 2009 |
| 220 | Niger | 1,004,000.00 | 2009 |
| 221 | Germany | 1,001,000.00 | 2009 |
| 222 | Honduras | 1,000,000.00 | 2009 |
| 223 | Burma | 992,000.00 | 2009 |
| 224 | Nepal | 990,000.00 | 2009 |
| 225 | Angola | 979,000.00 | 2011 |
| 226 | France | 977,000.00 | 2009 |
| 227 | Ukraine | 971,000.00 | 2009 |
| 228 | Cote d'Ivoire | 966,000.00 | 2011 |
| 229 | Kenya | 966,000.00 | 2009 |
| 230 | Belgium | 961,000.00 | 2009 |
| 231 | Malaysia | 958,000.00 | 2009 |
| 232 | Mongolia | 949,000.00 | 2009 |
| 233 | Nicaragua | 934,000.00 | 2009 |
| 234 | Benin | 924,000.00 | 2011 |
| 235 | Iraq | 923,000.00 | 2009 |
| 236 | Argentina | 917,000.00 | 2011 |
| 237 | Morocco | 909,000.00 | 2009 |
| 238 | Rwanda | 909,000.00 | 2009 |
| 239 | Saudi Arabia | 902,000.00 | 2009 |
| 240 | Liberia | 882,000.00 | 2009 |
| 241 | Congo, Democratic Republic of the | 878,000.00 | 2011 |
| 242 | Norway | 875,000.00 | 2009 |
| 243 | Sierra Leone | 875,000.00 | 2009 |
| 244 | Italy | 872,000.00 | 2009 |
| 245 | Chile | 865,000.00 | 2011 |
| 246 | Malawi | 856,000.00 | 2009 |
| 247 | Kyrgyzstan | 854,000.00 | 2009 |
| 248 | Syria | 854,000.00 | 2009 |
| 249 | Bangladesh | 853,000.00 | 2011 |
| 250 | Philippines | 845,000.00 | 2009 |
| 251 | Iraq | 836,000.00 | 2009 |
| 252 | Greece | 834,000.00 | 2009 |
| 253 | Pakistan | 832,000.00 | 2009 |
| 254 | Argentina | 831,000.00 | 2011 |
| 255 | Philippines | 827,000.00 | 2009 |
| 256 | Malawi | 821,000.00 | 2009 |
| 257 | Congo, Democratic Republic of the | 812,000.00 | 2011 |
| 258 | Spain | 812,000.00 | 2009 |
| 259 | Vietnam | 807,000.00 | 2009 |
| 260 | Laos | 799,000.00 | 2009 |
| 261 | Peru | 778,000.00 | 2009 |
| 262 | Algeria | 770,000.00 | 2011 |
| 263 | Morocco | 768,000.00 | 2009 |
| 264 | Israel | 768,000.00 | 2009 |
| 265 | Mozambique | 761,000.00 | 2009 |
| 266 | Tunisia | 759,000.00 | 2009 |
| 267 | Poland | 756,000.00 | 2009 |
| 268 | Central African Republic | 740,000.00 | 2011 |
| 269 | Latvia | 711,000.00 | 2009 |
| 270 | Mauritania | 709,000.00 | 2009 |
| 271 | Tajikistan | 704,000.00 | 2009 |
| 272 | Croatia | 686,000.00 | 2011 |
| 273 | Sri Lanka | 681,000.00 | 2009 |
| 274 | United Arab Emirates | 666,000.00 | 2009 |
| 275 | Moldova | 650,000.00 | 2009 |
| 276 | Kazakhstan | 650,000.00 | 2009 |
| 277 | Eritrea | 649,000.00 | 2009 |
| 278 | Turkmenistan | 637,000.00 | 2009 |
| 279 | Oman | 634,000.00 | 2009 |
| 280 | Netherlands | 629,000.00 | 2009 |
| 281 | Gabon | 619,000.00 | 2009 |
| 282 | Burundi | 605,000.00 | 2011 |
| 283 | Jamaica | 580,000.00 | 2009 |
| 284 | Lithuania | 546,000.00 | 2009 |
| 285 | Djibouti | 496,000.00 | 2011 |
| 286 | Macedonia | 480,000.00 | 2009 |
| 287 | Gambia, The | 436,000.00 | 2009 |
| 288 | Slovakia | 428,000.00 | 2009 |
| 289 | Qatar | 427,000.00 | 2009 |
| 290 | Albania | 419,000.00 | 2011 |
| 291 | Australia | 399,000.00 | 2011 |
| 292 | Estonia | 399,000.00 | 2009 |
| 293 | New Zealand | 391,000.00 | 2009 |
| 294 | Bosnia and Herzegovina | 389,000.00 | 2011 |
| 295 | Switzerland | 346,000.00 | 2009 |
| 296 | Namibia | 342,000.00 | 2009 |
| 297 | Benin | 314,000.00 | 2011 |
| 298 | Papua New Guinea | 314,000.00 | 2009 |
| 299 | Bolivia | 307,000.00 | 2011 |
| 300 | Guinea-Bissau | 302,000.00 | 2009 |
| 301 | Bahrain | 262,000.00 | 2011 |
| 302 | Slovenia | 260,000.00 | 2009 |
| 303 | Suriname | 259,000.00 | 2009 |
| 304 | Bahamas, The | 254,000.00 | 2011 |
| 305 | Cyprus | 253,000.00 | 2011 |
| 306 | Brunei | 241,000.00 | 2011 |
| 307 | Western Sahara | 237,000.00 | 2011 |
| 308 | Lesotho | 220,000.00 | 2009 |
| 309 | Botswana | 202,000.00 | 2011 |
| 310 | Malta | 199,000.00 | 2009 |
| 311 | Iceland | 198,000.00 | 2009 |
| 312 | Fiji | 174,000.00 | 2009 |
| 313 | Timor-Leste | 166,000.00 | 2009 |
| 314 | Guam | 153,000.00 | 2009 |
| 315 | Mauritius | 149,000.00 | 2009 |
| 316 | New Caledonia | 144,000.00 | 2009 |
| 317 | Montenegro | 144,000.00 | 2009 |
| 318 | Equatorial Guinea | 137,000.00 | 2011 |
| 319 | French Polynesia | 133,000.00 | 2009 |
| 320 | Guyana | 132,000.00 | 2009 |
| 321 | Cabo Verde | 132,000.00 | 2011 |
| 322 | Barbados | 122,000.00 | 2011 |
| 323 | Maldives | 120,000.00 | 2009 |
| 324 | Bhutan | 99,000.00 | 2011 |
| 325 | Luxembourg | 90,000.00 | 2009 |
| 326 | Swaziland | 74,000.00 | 2009 |
| 327 | Solomon Islands | 72,000.00 | 2009 |
| 328 | American Samoa | 64,000.00 | 2011 |
| 329 | Sao Tome and Principe | 60,000.00 | 2009 |
| 330 | Trinidad and Tobago | 57,000.00 | 2009 |
| 331 | Comoros | 54,000.00 | 2011 |
| 332 | Virgin Islands | 54,000.00 | 2009 |
| 333 | Kiribati | 43,000.00 | 2009 |
| 334 | Grenada | 40,000.00 | 2009 |
| 335 | Aruba | 37,000.00 | 2011 |
| 336 | Samoa | 36,000.00 | 2009 |
| 337 | Marshall Islands | 30,000.00 | 2009 |
| 338 | Cayman Islands | 28,000.00 | 2011 |
| 339 | Saint Vincent and the Grenadines | 28,000.00 | 2009 |
| 340 | Antigua and Barbuda | 27,000.00 | 2011 |
| 341 | Seychelles | 26,000.00 | 2009 |
| 342 | Isle of Man | 26,000.00 | NA |
| 343 | Andorra | 23,000.00 | 2011 |
| 344 | Saint Lucia | 15,000.00 | 2009 |
| 345 | Greenland | 15,000.00 | 2009 |
| 346 | Dominica | 14,000.00 | 2011 |
| 347 | Belize | 14,000.00 | 2011 |
| 348 | Saint Kitts and Nevis | 13,000.00 | 2009 |
| 349 | Bermuda | 11,000.00 | 2011 |
| 350 | British Virgin Islands | 10,000.00 | 2011 |
| 351 | Micronesia, Federated States of | 7,000.00 | 2009 |
| 352 | Turks and Caicos Islands | 6,000.00 | 2009 |
| 353 | Liechtenstein | 5,000.00 | 2009 |
| 354 | Saint Pierre and Miquelon | 5,000.00 | 2009 |
| 355 | Anguilla | 2,000.00 | 2011 |
| 356 | Falkland Islands (Islas Malvinas) | 2,000.00 | 2009 |
| 357 | Saint Helena, Ascension, and Tristan da Cunha | 1,000.00 | 2009 |


