CIA - The World Factbook 2002 -- Field Listing - Political pressure groups and leaders

| Country | Political pressure groups and leaders |
| **Cameroon** | Southern Cameroon National Council [Frederick Ebong ALOBWEDE]; Human Rights Defense Group [Albert MUKONG, president] |
| **Canada** | NA |
| **Cape Verde** | NA |
| **Cayman Islands** | NA |
| **Central African Republic** | NA |
| **Chad** | NA |
| **Chile** | revitalized university student federations at all major universities; Roman Catholic Church; United Labor Central or CUT includes trade unionists from the country's five largest labor confederations |
| **China** | no substantial political opposition groups exist, although the government has identified the Falungong sect and the China Democracy Party as potential rivals |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | two largest insurgent groups active in Colombia - Revolutionary Armed Forces of Colombia or FARC and National Liberation Army or ELN; largest anti-insurgent paramilitary group is United Self-Defense Groups of Colombia or AUC |
| **Comoros** | NA |
| **Congo, Democratic Republic of the** | NA |
| **Congo, Republic of the** | Congolese Trade Union Congress or CSC; General Union of Congolese Pupils and Students or UGEEC; Revolutionary Union of Congolese Women or URFC; Union of Congolese Socialist Youth or UJSC |
| **Cook Islands** | NA |
| **Costa Rica** | Authentic Confederation of Democratic Workers or CATD (Communist Party affiliate); Chamber of Coffee Growers; Confederated Union of Workers or CUT (Communist Party affiliate); Costa Rican Confederation of Democratic Workers or CCTD (Liberation Party affiliate); Federation of Public Service Workers or FTSP; National Association for Economic Development or ANFE; National Association of Educators or ANDE; Rerum Novarum or CTRN (PLN affiliate) [Gilbert Brown] |
| **Cote d'Ivoire** | NA |
| **Croatia** | NA |
| **Cuba** | NA |
| **Cyprus** | Confederation of Cypriot Workers or SEK (pro-West); Confederation of Revolutionary Labor Unions or Dev-Is; Federation of Turkish Cypriot Labor Unions or Turk-Sen; Pan-Cyprian Labor Federation or PEO (Communist controlled) |
| **Czech Republic** | Czech-Moravian Confederation of Trade Unions [Richard FALBR] |
| **Denmark** | NA |
| **Djibouti** | Movement for Unity and Democracy or MUD |
| **Dominica** | Dominica Liberation Movement or DLM (a small leftist party) |
| **Dominican Republic** | Collective of Popular Organizations or COP |
| **East Timor** | NA |
| **Ecuador** | Confederation of Indigenous Nationalities of Ecuador or CONAIE [Leonidas IZA, president]; Coordinator of Social Movements or CMS [F. Napoleon SANTOS]; Federation of Indigenous Evangelists of Ecuador or FEINE [Marco MURILLO, president]; National Federation of Indigenous Afro-Ecuatorianos and Peasants or FENOCIN [Pedro DE LA CRUZ, president]; Popular Front or FP [Luis VILLACIS] |
| **Egypt** | despite a constitutional ban against religious-based parties, the technically illegal Muslim Brotherhood constitutes MUBARAK's potentially most significant political opposition; MUBARAK tolerated limited political activity by the Brotherhood for his first two terms, but moved more aggressively since then to block its influence; civic society groups are sanctioned, but constrained in practical terms; trade unions and professional associations are officially sanctioned |
| **El Salvador** | labor organizations - Electrical Industry Union of El Salvador or SIES; Federation of the Construction Industry, Similar Transport and other activities, or FESINCONTRANS; National Confederation of Salvadoran Workers or CNTS; National Union of Salvadoran Workers or UNTS; Port Industry Union of El Salvador or SIPES; Salvadoran Union of Ex-Petrolleros and Peasant Workers or USEPOC; Salvadoran Workers Central or CTS; Workers Union of Electrical Corporation or STCEL; business organizations - National Association of Small Enterprise or ANEP; Salvadoran Assembly Industry Association or ASIC; Salvadoran Industrial Association or ASI |
| **Equatorial Guinea** | NA |
| **Eritrea** | Eritrean Islamic Jihad or EIJ; Eritrean Liberation Front or ELF [ABDULLAH Muhammed]; Eritrean Liberation Front-Revolutionary Council or ELF-RC [Ahmed NASSER]; Eritrean Liberation Front-United Organization or ELF-UO [Mohammed Said NAWD]; Eritrean Public Forum or EPF [ARADOM Iyob] |
| **Estonia** | NA |
| **Ethiopia** | Council of Alternative Forces for Peace and Democracy in Ethiopia or CAFPDE [BEYANE Petros]; Southern Ethiopia People's Democratic Coalition or SEPDC [BEYANE Petros] |
| **Falkland Islands (Islas Malvinas)** | none |
| **Faroe Islands** | NA |
| **Fiji** | NA |
| **France** | historically-Communist labor union (Confederation Generale du Travail) or CGT, approximately 700,000 members (claimed); left-leaning labor union (Confederation Francaise Democratique du Travail) or CFDT, approximately 865,000 members (claimed, of which 810,000 are actively employed); independent labor union (Confederation Generale du Travail - Force Ouvriere) or FO, 300,000 members (est.); independent white-collar union (Confederation Generale des Cadres) or CGC, 196,000 members (claimed); employers' union (Mouvement des Entreprises de France) or MEDEF, 750,000 companies as members (claimed) |
| **French Guiana** | NA |
| **French Polynesia** | NA |
| **Gabon** | NA |
| **Gambia, The** | NA |
| **Georgia** | Georgian independent deputies from Abkhazia (Abkhaz faction in Georgian Parliament); separatist elements in the breakaway region of Abkhazia; supporters of the late ousted President Zviad GAMSAKHURDYA remain a source of opposition |
| **Germany** | employers' organizations; expellee, refugee, trade unions, and veterans groups |
| **Ghana** | NA |
| **Gibraltar** | Chamber of Commerce; Gibraltar Representatives Organization; Women's Association |
| **Greece** | NA |
| **Greenland** | NA |
| **Grenada** | NA |
| **Guadeloupe** | Christian Movement for the Liberation of Guadeloupe or KLPG; General Federation of Guadeloupe Workers or CGT-G; General Union of Guadeloupe Workers or UGTG; Movement for Independent Guadeloupe or MPGI |
| **Guam** | NA |
| **Guatemala** | Agrarian Owners Group or UNAGRO; Alliance Against Impunity or AAI; Committee for Campesino Unity or CUC; Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF; Mutual Support Group or GAM |
| **Guernsey** | none |
| **Guinea** | NA |
| **Guinea-Bissau** | NA |
| **Guyana** | Civil Liberties Action Committee or CLAC; Guyana Council of Indian Organizations or GCIO; Trades Union Congress or TUC |
| | *note:* the GCIO and the CLAC are small and active but not well organized |
| **Haiti** | Autonomous Haitian Workers or CATH; Confederation of Haitian Workers or CTH; Federation of Workers Trade Unions or FOS; National Popular Assembly or APN; Papaye Peasants Movement or MPP; Popular Organizations Gathering Power or PROP; Roman Catholic Church |
| **Holy See (Vatican City)** | none (exclusive of influence exercised by church officers) |
| **Honduras** | Committee for the Defense of Human Rights in Honduras or CODEH; Confederation of Honduran Workers or CTH; Coordinating Committee of Popular Organizations or CCOP; General Workers Confederation or CGT; Honduran Council of Private Enterprise or COHEP; National Association of Honduran Campesinos or ANACH; National Union of Campesinos or UNC; Popular Bloc or BP; United Federation of Honduran Workers or FUTH |
| **Hong Kong** | Chinese General Chamber of Commerce (pro-China); Chinese Manufacturers' Association of Hong Kong; Confederation of Trade Unions (pro-democracy) [LAU Chin-shek, president; LEE Cheuk-yan, general secretary]; Federation of Hong Kong Industries; Federation of Trade Unions (pro-China) [LEE Chark-tim, president]; Hong Kong Alliance in Support of the Patriotic Democratic Movement in China [Szeto WAH, chairman]; Hong Kong and Kowloon Trade Union Council (pro-Taiwan); Hong Kong General Chamber of Commerce; Hong Kong Professional Teachers' Union [CHEUNG Man-kwong, president]; Liberal Democratic Federation [HU Fa-kuang, chairman] |
| **Hungary** | NA |
| **Iceland** | NA |
| **India** | numerous religious or militant/chauvinistic organizations, including Vishwa Hindu Parishad, Bajrang Dal, and Rashtriya Swayamsevak Sangh; various separatist groups seeking greater communal and/or regional autonomy, including the All Parties Hurriyat Conference |
| **Indonesia** | NA |
| **Iran** | active student groups include the pro-reform "Organization for Strengthening Unity" and "the Union of Islamic Student Societies'; groups that generally support the Islamic Republic include Ansar-e Hizballah, Mojahedin of the Islamic Revolution, Muslim Students Following the Line of the Imam, and the Islamic Coalition Association; opposition groups include the Liberation Movement of Iran and the Nation of Iran party; armed political groups that have been almost completely repressed by the government include Mojahedin-e Khalq Organization (MEK), People's Fedayeen, Democratic Party of Iranian Kurdistan; the Society for the Defense of Freedom |
| **Iraq** | any formal political activity must be sanctioned by the government; opposition to regime from Kurdish groups and southern Shi'a dissidents |
| **Ireland** | NA |
| **Israel** | Israeli nationalists advocating Jewish settlement on the West Bank and Gaza Strip; Peace Now supports territorial concessions in the West Bank and Gaza Strip; Yesha (settler) Council promotes settler interests and opposes territorial compromise; B'Tselem monitors human rights abuses |
| **Italy** | Italian manufacturers and merchants associations (Confindustria, Confcommercio); organized farm groups (Confcoltivatori, Confagricoltura); Roman Catholic Church; three major trade union confederations (Confederazione Generale Italiana del Lavoro or CGIL [Sergio COFFERATI] which is left wing, Confederazione Italiana dei Sindacati Lavoratori or CISL [Savino PEZZOTTA] which is Roman Catholic centrist, and Unione Italiana del Lavoro or UIL [Pietro LARIZZA] which is lay centrist) |
| **Jamaica** | New Beginnings Movement or NBM; Rastafarians (black religious/racial cultists, pan-Africanists) |
| **Japan** | NA |
| **Jersey** | none |
| **Jordan** | Jordanian Press Association [Sayf al-SHARIF, president]; Muslim Brotherhood [Abd-al-Majid DHUNAYBAT, secretary general]; Anti-Normalization Committee [Ali Abu SUKKAR, president vice chairman]; Jordanian Bar Association [Saleh ARMOUTI, president] |
| **Kazakhstan** | Adil-Soz [Tamara KALEYEVA]; Democratic Choice of Kazakhstan [Galymzhan ZHAKIYANOV, Uraz ZHANDOSOV, Nurzhan SUBKHANBERDIN, Mukhtar ABLYAZOV, Zhanat YERTLESOVA, Bulat ABILOV, cofounders]; Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, executive director] |
| **Kenya** | human rights groups; labor unions; Muslim organizations; National Convention Executive Council or NCEC, a proreform coalition of political parties and nongovernment organizations [Kivutha KIBWANA]; Protestant National Council of Churches of Kenya or NCCK [Mutava MUSYIMI]; Roman Catholic and other Christian churches; Supreme Council of Kenya Muslims or SUPKEM [Shaykh Abdul Gafur al-BUSAIDY, chairman] |
| **Kiribati** | NA |
| **Korea, North** | NA |
| **Korea, South** | Federation of Korean Industries; Federation of Korean Trade Unions; Korean Confederation of Trade Unions; Korean National Council of Churches; Korean Traders Association; Korean Veterans' Association; National Council of Labor Unions; National Democratic Alliance of Korea; National Federation of Farmers' Associations; National Federation of Student Associations |
| **Kuwait** | *several political groups act as de facto parties:* Bedouins, merchants, Sunni and Shi'a activists, and secular leftists and nationalists |
| **Kyrgyzstan** | Council of Free Trade Unions; Kyrgyz Committee on Human Rights [Ramazan DYRYLDAYEV]; National Unity Democratic Movement; Union of Entrepreneurs |
| **Laos** | noncommunist political groups proscribed; most opposition leaders fled the country in 1975 |
| **Latvia** | NA |
| **Lebanon** | NA |
| **Lesotho** | NA |
| **Liberia** | NA |
| **Libya** | various Arab nationalist movements with almost negligible memberships may be functioning clandestinely, as well as some Islamic elements |
| **Liechtenstein** | NA |
| **Lithuania** | NA |
| **Luxembourg** | ABBL (bankers' association); ALEBA (financial sector trade union); Centrale Paysanne (federation of agricultural producers); CEP (professional sector chamber); CGFP (trade union representing civil service); Chambre de Commerce (Chamber of Commerce); Chambre des Metiers (Chamber of Artisans); FEDIL (federation of industrialists); LCGP (center-right trade union); OGBL (center-left trade union) |
| **Macau** | Catholic Church [Domingos LAM, bishop]; Macau Society of Tourism and Entertainment or STDM [Stanley HO, managing director]; Union for Democracy Development [Antonio NG Kuok-cheong, leader] |
| **Macedonia, The Former Yugoslav Republic of** | NA |
| **Madagascar** | Federalist Movement; National Council of Christian Churches or FFKM |
| **Malawi** | National Democratic Alliance [Brown MPINGANJIRA] |
| **Malaysia** | NA |
| **Maldives** | none |
| **Mali** | Patriotic Movement of the Ghanda Koye or MPGK; United Movement and Fronts of Azawad or MFUA |
| **Malta** | NA |
| **Man, Isle of** | none |
| **Marshall Islands** | NA |
| **Martinique** | Caribbean Revolutionary Alliance or ARC; Central Union for Martinique Workers or CSTM [Marc PULVAR]; Frantz Fanon Circle; League of Workers and Peasants; Proletarian Action Group or GAP |
| **Mauritania** | Arab nationalists; Ba'athists; General Confederation of Mauritanian Workers or CGTM [Abdallahi Ould MOHAMED, secretary general]; Independent Confederation of Mauritanian Workers or CLTM [Samory Ould BEYE]; Islamists; Mauritanian Workers Union or UTM [Mohamed Ely Ould BRAHIM, secretary general] |
| **Mauritius** | various labor unions |
| **Mayotte** | NA |
| **Mexico** | Confederation of Employers of the Mexican Republic or COPARMEX; Confederation of Industrial Chambers or CONCAMIN; Confederation of Mexican Workers or CTM; Confederation of National Chambers of Commerce or CONCANACO; Coordinator for Foreign Trade Business Organizations or COECE; Federation of Unions Providing Goods and Services or FESEBES; National Chamber of Transformation Industries or CANACINTRA; National Peasant Confederation or CNC; National Union of Workers or UNT; Regional Confederation of Mexican Workers or CROM; Revolutionary Confederation of Workers and Peasants or CROC; Roman Catholic Church |
| **Moldova** | NA |
| **Monaco** | NA |
| **Mongolia** | NA |
| **Montserrat** | NA |
| **Morocco** | Democratic Confederation of Labor or CDT [Noubir AMAOUI]; General Union of Moroccan Workers or UGTM [Abderrazzak AFILAL]; Moroccan Employers Association or CGEM [leader NA]; National Labor Union of Morocco or UNMT [Abdelslam MAATI]; Union of Moroccan Workers or UMT [Mahjoub BENSEDDIK] |
| **Mozambique** | Institute for Peace and Democracy (Instituto para Paz e Democracia) or IPADE [Raul DOMINGOS, president]; Etica [Abdul CARIMO Issa, chairman]; Movement for Peace and Citizenship (Movimento para Paz e Cidadania); Mozambican League of Human Rights (Liga Mocambicana dos Direitos Humanos) or LDH [Alice MABOTE, president]; Human Rights and Development (Direitos Humanos e Desenvolvimento) or DHD [Artemisia FRANCO, secretary general] |
| **Namibia** | NA |
| **Nauru** | NA |
| **Nepal** | Maoist guerrilla-based insurgency; numerous small, left-leaning student groups in the capital; several small, radical Nepalese antimonarchist groups |
| **Netherlands** | Federation of Netherlands Trade Union Movement (comprising Socialist and Catholic trade unions) and a Protestant trade union; Federation of Catholic and Protestant Employers Associations; Interchurch Peace Council or IKV; large multinational firms; the nondenominational Federation of Netherlands Enterprises |
| **Netherlands Antilles** | NA |
| **New Caledonia** | NA |
| **New Zealand** | NA |
| **Nicaragua** | National Workers Front or FNT is a Sandinista umbrella group of eight labor unions including - Farm Workers Association or ATC, Health Workers Federation or FETASALUD, Heroes and Martyrs Confederation of Professional Associations or CONAPRO, National Association of Educators of Nicaragua or ANDEN, National Union of Employees or UNE, National Union of Farmers and Ranchers or UNAG, Sandinista Workers Central or CST, and Union of Journalists of Nicaragua or UPN; Permanent Congress of Workers or CPT is an umbrella group of four non-Sandinista labor unions including - Autonomous Nicaraguan Workers Central or CTN-A, Confederation of Labor Unification or CUS, Independent General Confederation of Labor or CGT-I, and Labor Action and Unity Central or CAUS; Nicaraguan Workers' Central or CTN is an independent labor union; Superior Council of Private Enterprise or COSEP is a confederation of business groups |
| **Niger** | NA |
| **Nigeria** | NA |
| **Niue** | NA |
| **Norfolk Island** | none |
| **Northern Mariana Islands** | NA |
| **Norway** | NA |
| **Oman** | none |
| **Pakistan** | military remains most important political force; ulema (clergy), landowners, industrialists, and small merchants also influential |
| **Palau** | NA |
| **Panama** | Chamber of Commerce; National Civic Crusade; National Council of Organized Workers or CONATO; National Union of Construction and Similar Workers (SUNTRACS); National Council of Private Enterprise or CONEP; Panamanian Association of Business Executives or APEDE; Panamanian Industrialists Society or SIP; Workers Confederation of the Republic of Panama or CTRP |
| **Papua New Guinea** | NA |
| **Paraguay** | Ahorristas Estafados or AE; National Workers Central or CNT; Paraguayan Workers Confederation or CPT; Roman Catholic Church; Unitary Workers Central or CUT |
| **Peru** | leftist guerrilla groups include Shining Path [Abimael GUZMAN Reynoso (imprisoned), Gabriel MACARIO (top leader at-large)]; Tupac Amaru Revolutionary Movement or MRTA [Victor POLAY (imprisoned), Hugo AVALLENEDA Valdez (top leader at-large)] |
| **Philippines** | NA |
| **Pitcairn Islands** | none |
| **Poland** | All Poland Trade Union Alliance or OPZZ (trade union); Roman Catholic Church; Solidarity (trade union) |
| **Portugal** | NA |
| **Puerto Rico** | Armed Forces for National Liberation or FALN; Armed Forces of Popular Resistance; Boricua Popular Army (also known as the Macheteros); Volunteers of the Puerto Rican Revolution |
| **Qatar** | none |
| **Reunion** | NA |
| **Romania** | various human rights and professional associations |
| **Russia** | NA |
| **Rwanda** | IBUKA - association of genocide survivors |
| **Saint Helena** | none |
| **Saint Kitts and Nevis** | NA |
| **Saint Lucia** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | NA |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | NA |
| **Saudi Arabia** | none |
| **Senegal** | labor; Muslim brotherhoods; students; teachers |
| **Serbia and Montenegro** | Alliance for the Future of Kosovo or AAK [Ramush HARADINAJ]; Democratic League of Kosovo or LDK [Ibrahim RUGOVA]; Democratic Party of Kosovo or PDK [Hashim THACI]; Group of 17 Independent Economists or G-17 [leader NA]; National Movement for the Liberation of Kosovo or LKCK [Sabit GASHI]; Otpor Student Resistance Movement [leader NA]; Political Council for Presevo, Meveda and Bujanovac or PCPMB [leader NA]; The People's Movement for Kosovo or LPK [Emrush XHEMAJLI] |
| **Seychelles** | Roman Catholic Church; trade unions |
| **Sierra Leone** | Trade Unions and Student Unions |
| **Singapore** | NA |
| **Slovakia** | Association of Employers of Slovakia; Association of Towns and Villages or ZMOS; Confederation of Trade Unions or KOZ; Metal Workers Unions or KOVO and METALURG |
| **Slovenia** | NA |
| **Solomon Islands** | NA |
| **Somalia** | numerous clan and subclan factions are currently vying for power |
| **South Africa** | Congress of South African Trade Unions or COSATU [Zwelinzima VAVI, general secretary]; South African Communist Party or SACP [Blade NZIMANDE, general secretary]; South African National Civics Organization or SANCO [Mlungisi HLONGWANE, national president]; note - COSATU and SACP are in a formal alliance with the ANC |
| **Spain** | business and landowning interests; Catholic Church; free labor unions (authorized in April 1977); Socialist General Union of Workers or UGT and the smaller independent Workers Syndical Union or USO; university students; Workers Confederation or CC.OO; Nunca Mais (Galician for "Not Again"; formed in response to the oil tanker Prestige oil spill) |
| **Sri Lanka** | Buddhist clergy; labor unions; Liberation Tigers of Tamil Eelam or LTTE [Velupillai PRABHAKARAN](insurgent group fighting for a separate state); radical chauvinist Sinhalese groups such as the National Movement Against Terrorism; Sinhalese Buddhist lay groups |
| **Sudan** | National Congress Party [Ibrahim Ahmed UMAR]; Popular National Congress [Hassan al-TURABI]; Umma [Sadiq al-MAHDI]; Democratic Unionist Party [Muhammed Uthman AL-MIRGHANI]; National Democratic Alliance [Muhammed Uthman AL-MIRGHANI, chairman]; Sudan People's Liberation Movement/Army [Dr. John GARANG] |
| **Suriname** | General Liberation and Development Party or ABOP [Ronnie BRUNSWIJK]; Mandela Bushnegro Liberation Movement [Leendert ADAMS]; Tucayana Amazonica [Alex JUBITANA, Thomas SABAJO]; Union for Liberation and Democracy [Kofi AFONGPONG] |
| **Swaziland** | NA |
| **Sweden** | NA |
| **Switzerland** | NA |
| **Syria** | conservative religious leaders; Muslim Brotherhood (operates in exile in Jordan and Yemen); non-Ba'th parties have little effective political influence |
| **Taiwan** | Taiwan independence movement, various business and environmental groups |
| | *note:* debate on Taiwan independence has become acceptable within the mainstream of domestic politics on Taiwan; political liberalization and the increased representation of opposition parties in Taiwan's legislature have opened public debate on the island's national identity; a broad popular consensus has developed that Taiwan currently enjoys de facto independence and - whatever the ultimate outcome regarding reunification or independence - that Taiwan's people must have the deciding voice; advocates of Taiwan independence oppose the stand that the island will eventually unify with mainland China; goals of the Taiwan independence movement include establishing a sovereign nation on Taiwan and entering the UN; other organizations supporting Taiwan independence include the World United Formosans for Independence and the Organization for Taiwan Nation Building |
| **Tajikistan** | *there are two unregistered political parties with 1,000 or more members:* Progressive Party [Suton QUVVATOV]; Unity Party [Hikmatuko SAIDOV] |
| **Tanzania** | NA |
| **Thailand** | NA |
| **Togo** | NA |
| **Tokelau** | none |
| **Tonga** | Tonga Human Rights and Democracy Movement or THRDM [Akilisi POHIVA, president] |
| **Trinidad and Tobago** | Jamaat-al Musilmeen [Yasin BAKR] |
| **Tunisia** | the Islamic fundamentalist party, Al Nahda (Renaissance), is outlawed |
| **Turkey** | Confederation of Revolutionary Workers Unions or DISK [Ridvan BUDAK]; Independent Industrialists and Businessmen's Association or MUSIAD [Erol YARAR]; Moral Rights Workers Union or Hak-Is [Salim USLU]; Turkish Industrialists' and Businessmen's Association or TUSIAD [Muharrem KAYHAN]; Turkish Confederation of Employers' Unions or TISK [Refik BAYDUR]; Turkish Confederation of Labor or Turk-Is [Bayram MERAL]; Turkish Union of Chambers of Commerce and Commodity Exchanges or TOBB [Fuat MIRAS] |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | none |
| **Uganda** | NA |
| **Ukraine** | NA |
| **United Arab Emirates** | NA |
| **United Kingdom** | Campaign for Nuclear Disarmament; Confederation of British Industry; National Farmers' Union; Trades Union Congress |
| **United States** | NA |
| **Uruguay** | NA |
| **Uzbekistan** | Birlik (Unity) Movement [Abdurakhim POLAT, chairman]; Erk (Freedom) Democratic Party [Muhammad SOLIH, chairman] was banned 9 December 1992; Human Rights Society of Uzbekistan [Abdumannob POLAT, chairman]; Independent Human Rights Society of Uzbekistan [Mikhail ARDZINOV, chairman]; Ezgulik [Vasilia Inoyatova] |
| **Vanuatu** | NA |
| **Venezuela** | FEDECAMARAS, a conservative business group; VECINOS groups; Venezuelan Confederation of Workers or CTV (labor organization dominated by the Democratic Action) |
| **Vietnam** | none |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **Western Sahara** | none |
| **Yemen** | NA |
| **Zambia** | NA |
| **Zimbabwe** | National Constitutional Assembly or NCA [Lovemore MADHUKU] |

This page was last updated on 19 March 2003
 
