CIA - The World Factbook -- Field Listing - Political pressure groups and leaders

| Country | Political pressure groups and leaders |
| **Bermuda** | Bermuda Employer's Union [Eddie SAINTS]; Bermuda Industrial Union or BIU [Derrick BURGESS]; Bermuda Public Services Union or BPSU [Ed BALL]; Bermuda Union of Teachers [Michael CHARLES] |
| **Bhutan** | Buddhist clergy; ethnic Nepalese organizations leading militant antigovernment campaign; Indian merchant community; United Front for Democracy (exiled) |
| **Bolivia** | Cocalero groups; indigenous organizations; labor unions; Sole Confederation of Campesino Workers of Bolivia or CSUTCB |
| **Bosnia and Herzegovina** | NA |
| **Botswana** | NA |
| **Brazil** | Landless Worker's Movement; labor unions and federations; large farmers' associations; religious groups including evangelical Christian churches and the Catholic Church |
| **British Virgin Islands** | NA |
| **Brunei** | NA |
| **Bulgaria** | Confederation of Independent Trade Unions of Bulgaria or CITUB; Podkrepa Labor Confederation; numerous regional, ethnic, and national interest groups with various agendas |
| **Burkina Faso** | Burkinabe General Confederation of Labor or CGTB; Burkinabe Movement for Human Rights or MBDHP; Group of 14 February; National Confederation of Burkinabe Workers or CNTB; National Organization of Free Unions or ONSL; watchdog/political action groups throughout the country in both organizations and communities |
| **Burma** | Ethnic Nationalities Council or ENC (based in Thailand); Federation of Trade Unions-Burma or FTUB (exile trade union and labor advocates); National Coalition Government of the Union of Burma or NCGUB (self-proclaimed government in exile) ["Prime Minister" Dr. SEIN WIN] consists of individuals, some legitimately elected to the People's Assembly in 1990 (the group fled to a border area and joined insurgents in December 1990 to form parallel government in exile); Kachin Independence Organization or KIO; Karen National Union or KNU; Karenni National People's Party or KNPP; National Council-Union of Burma or NCUB (exile coalition of opposition groups); several Shan factions; United Wa State Army or UWSA; Union Solidarity and Development Association or USDA (pro-regime, a social and political mass-member organization) [HTAY OO, general secretary]; 88 Generation Students (pro-democracy movement) [MIN KO NAING] |
| **Burundi** | none |
| **Cambodia** | NA |
| **Cameroon** | Southern Cameroon National Council [Ayamba Ette OTUN]; Human Rights Defense Group [Albert MUKONG, president] |
| **Canada** | NA |
| **Cape Verde** | NA |
| **Cayman Islands** | NA |
| **Central African Republic** | NA |
| **Chad** | NA |
| **Chile** | revitalized university student federations at all major universities; Roman Catholic Church; United Labor Central or CUT includes trade unionists from the country's five largest labor confederations |
| **China** | no substantial political opposition groups exist, although the government has identified the Falungong spiritual movement and the China Democracy Party as subversive groups |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | two largest insurgent groups active in Colombia - Revolutionary Armed Forces of Colombia or FARC and National Liberation Army or ELN |
| **Comoros** | NA |
| **Congo, Democratic Republic of the** | NA |
| **Congo, Republic of the** | Congolese Trade Union Congress or CSC; General Union of Congolese Pupils and Students or UGEEC; Revolutionary Union of Congolese Women or URFC; Union of Congolese Socialist Youth or UJSC |
| **Cook Islands** | NA |
| **Costa Rica** | Authentic Confederation of Democratic Workers or CATD (Communist Party affiliate); Chamber of Coffee Growers; Confederated Union of Workers or CUT (Communist Party affiliate); Costa Rican Confederation of Democratic Workers or CCTD (Liberation Party affiliate); Costa Rican Exporter's Chamber or CADEXCO; Costa Rican Solidarity Movement; Costa Rican Union of Private Sector Enterprises or UCCAEP [Rafael CARRILLO]; Federation of Public Service Workers or FTSP; National Association for Economic Development or ANFE; National Association of Educators or ANDE; National Association of Public and Private Employees or ANEP [Albino VARGAS]; Rerum Novarum or CTRN (PLN affiliate) [Gilbert BROWN] |
| **Cote d'Ivoire** | Federation of University and High School Students of Cote d'Ivoire or FESCI [Serges KOFFI]; Rally of Houphouetists for Democracy and Peace or RHDP [Alphonse DJEDJE MADY]; Young Patriots [Charles BLE GOUDE] |
| **Croatia** | NA |
| **Cuba** | NA |
| **Cyprus** | Confederation of Cypriot Workers or SEK (pro-West); Confederation of Revolutionary Labor Unions or Dev-Is; Federation of Turkish Cypriot Labor Unions or Turk-Sen; Pan-Cyprian Labor Federation or PEO (Communist controlled) |
| **Czech Republic** | Czech-Moravian Confederation of Trade Unions or CMKOS [Milan STECH] |
| **Denmark** | NA |
| **Djibouti** | Union for Presidential Majority UMP (coalition includes RPP, FRUD, PPSD and PND); Union for Democratic Changeover or UAD (opposition coalition includes ARD, MRDD, UDJ, and PDD) [Ahmed Dini AHMED] |
| **Dominica** | Dominica Liberation Movement or DLM (a small leftist party) |
| **Dominican Republic** | Citizen Participation Group (Participacion Ciudadania); Collective of Popular Organizations or COP; Foundation for Institution-Building and Justice (FINJUS) |
| **Ecuador** | Confederation of Indigenous Nationalities of Ecuador or CONAIE [Luis MACAS, president]; Coordinator of Social Movements or CMS [F. Napoleon SANTOS]; Federation of Indigenous Evangelists of Ecuador or FEINE [Marco MURILLO, president]; National Federation of Indigenous Afro-Ecuatorianos and Peasants or FENOCIN [Pedro DE LA CRUZ, president] |
| **Egypt** | despite a constitutional ban against religious-based parties, the technically illegal Muslim Brotherhood constitutes Hosni MUBARAK's potentially most significant political opposition; MUBARAK tolerated limited political activity by the Brotherhood for his first two terms, but moved more aggressively since then to block its influence; civic society groups are sanctioned, but constrained in practical terms; trade unions and professional associations are officially sanctioned |
| **El Salvador** | labor organizations - Electrical Industry Union of El Salvador or SIES; Federation of the Construction Industry, Similar Transport and other activities, or FESINCONTRANS; National Confederation of Salvadoran Workers or CNTS; National Union of Salvadoran Workers or UNTS; Port Industry Union of El Salvador or SIPES; Salvadoran Union of Ex-Petrolleros and Peasant Workers or USEPOC; Salvadoran Workers Central or CTS; Workers Union of Electrical Corporation or STCEL; business organizations - National Association of Small Enterprise or ANEP; Salvadoran Assembly Industry Association or ASIC; Salvadoran Industrial Association or ASI |
| **Equatorial Guinea** | NA |
| **Eritrea** | Eritrean Islamic Jihad or EIJ (also including Eritrean Islamic Jihad Movement or EIJM (also known as the Abu Sihel Movement)); Eritrean Islamic Salvation or EIS (also known as the Arafa Movement); Eritrean Liberation Front or ELF [ABDULLAH Muhammed]; Eritrean National Alliance or ENA (a coalition including EIJ, EIS, ELF, and a number of ELF factions) [HERUY Tedla Biru]; Eritrean Public Forum or EPF [ARADOM Iyob]; Eritrean Democratic Party (EDP) [HAGOS, Mesfin] |
| **Estonia** | NA |
| **Ethiopia** | Ethiopian People's Patriotic Front or EPPF; Ogaden National Liberation Front or ONLF; Oromo Liberation Front or OLF [DAOUD Ibsa] |
| **Falkland Islands (Islas Malvinas)** | none |
| **Faroe Islands** | NA |
| **Fiji** | NA |
| **France** | historically-Communist labor union (Confederation Generale du Travail) or CGT, approximately 700,000 members (claimed); left-leaning labor union (Confederation Francaise Democratique du Travail) or CFDT, approximately 889,000 members (claimed); independent labor union (Confederation Generale du Travail - Force Ouvriere) or FO, 300,000 members (est.); independent white-collar union (Confederation Generale des Cadres) or CGC, 196,000 members (claimed); employers' union (Mouvement des Entreprises de France) or MEDEF, 750,000 companies as members (claimed) |
| | *French Guiana:* NA |
| | *Guadeloupe:* Christian Movement for the Liberation of Guadeloupe or KLPG; General Federation of Guadeloupe Workers or CGT-G; General Union of Guadeloupe Workers or UGTG; Movement of Independent Guadeloupe or MPGI; The Socialist Renewal Movement |
| | *Martinique:* Caribbean Revolutionary Alliance or ARC; Central Union for Martinique Workers or CSTM [Marc PULVAR]; Frantz Fanon Circle; League of Workers and Peasants; Proletarian Action Group or GAP |
| | *Reunion:* NA |
| **French Polynesia** | NA |
| **Gabon** | NA |
| **Gambia, The** | NA |
| **Georgia** | Georgian independent deputies from Abkhaz government in exile; separatists in the breakaway regions of Abkhazia and South Ossetia |
| **Germany** | business associations and employers' organizations; religious, trade unions, immigrant, expellee, and veterans groups |
| **Ghana** | NA |
| **Gibraltar** | Chamber of Commerce; Gibraltar Representatives Organization; Women's Association |
| **Greece** | General Confederation of Greek Workers or GSEE [Ioannis PANAGOPOULOS]; Federation of Greek Industries or SEV [Odysseas KYRIAKOPOULOS]; Civil Servants Confederation or ADEDY [Spyros PAPASPYROS] |
| **Greenland** | NA |
| **Grenada** | NA |
| **Guam** | NA |
| **Guatemala** | Agrarian Owners Group or UNAGRO; Alliance Against Impunity or AAI; Committee for Campesino Unity or CUC; Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF; Mutual Support Group or GAM |
| **Guernsey** | none |
| **Guinea** | *National Confederation of Guinean Workers - Labor Union of Guinean Workers or CNTG-USTG Alliance:* National Confederation of Guinean Workers [Rabiatou Sarah DIALLO] and Labor Union of Guinean Workers [Dr. Ibrahima FOFANA]; Syndicate of Guinean Teachers and Researchers or SLECG [Dr. Louis M'Bemba SOUMAH]; National Council of Civil Society Organizations of Guinea CNOSCG [Ben Sekou SYLLA] |
| **Guinea-Bissau** | NA |
| **Guyana** | Amerindian People's Association; Guyana Citizens Initiative; Guyana Bar Association; Guyana Human Rights Association; Guyana Public Service Union or GPSU; Private Sector Commission; Trades Union Congress |
| **Haiti** | Autonomous Organizations of Haitian Workers or CATH [Fignole ST-CYR]; Confederation of Haitian Workers or CTH; Federation of Workers Trade Unions or FOS; General Organization of Independent Haitian Workers [Patrick NUMAS]; Grand-Anse Resistance Committee, or KOREGA; National Popular Assembly or APN; Papaye Peasants Movement or MPP [Chavannes JEAN-BAPTISTE]; Popular Organizations Gathering Power or PROP; Roman Catholic Church; Protestant Federation of Haiti |
| **Holy See (Vatican City)** | none (exclusive of influence exercised by church officers) |
| **Honduras** | Committee for the Defense of Human Rights in Honduras or CODEH; Confederation of Honduran Workers or CTH; Coordinating Committee of Popular Organizations or CCOP; General Workers Confederation or CGT; Honduran Council of Private Enterprise or COHEP; National Association of Honduran Campesinos or ANACH; National Union of Campesinos or UNC; Popular Bloc or BP; United Confederation of Honduran Workers or CUTH |
| **Hong Kong** | Chinese General Chamber of Commerce (pro-China); Chinese Manufacturers' Association of Hong Kong; Confederation of Trade Unions or CTU (pro-democracy) [LAU Chin-shek, president; LEE Cheuk-yan, general secretary]; Federation of Hong Kong Industries; Federation of Trade Unions or FTU (pro-China) [CHENG Yiu-tong, executive councilor]; Hong Kong Alliance in Support of the Patriotic Democratic Movement in China [Szeto WAH, chairman]; Hong Kong and Kowloon Trade Union Council (pro-Taiwan); Hong Kong General Chamber of Commerce; Hong Kong Professional Teachers' Union [CHEUNG Man-kwong, president]; Neighborhood and Workers' Service Center or NWSC (pro-democracy); The Alliance [Bernard CHAN, exco member] |
| **Hungary** | NA |
| **Iceland** | NA |
| **India** | numerous religious or militant/chauvinistic organizations, including Vishwa Hindu Parishad, Bajrang Dal, and Rashtriya Swayamsevak Sangh; various separatist groups seeking greater communal and/or regional autonomy, including the All Parties Hurriyat Conference in the Kashmir Valley and the National Socialist Council of Nagaland in the Northeast |
| **Indonesia** | NA |
| **Iran** | the Islamic Revolutionary Party (IRP) was Iran's sole political party until its dissolution in 1987; Iran now has a variety of groups engaged in political activity; some are oriented along political lines or based on an identity group; others are more akin to professional political parties seeking members and recommending candidates for office; some are active participants in the Revolution's political life while others reject the state; political pressure groups conduct most of Iran's political activities; groups that generally support the Islamic Republic include Ansar-e Hizballah, Muslim Students Following the Line of the Imam, Tehran Militant Clergy Association (Ruhaniyat), Islamic Coalition Party (Motalefeh), and Islamic Engineers Society; active pro-reform student groups include the Office of Strengthening Unity (OSU); opposition groups include Freedom Movement of Iran, the National Front, Marz-e Por Gohar, and various ethnic and Monarchist organizations; armed political groups that have been repressed by the government include Mujahidin-e Khalq Organization (MEK or MKO), People's Fedayeen, Democratic Party of Iranian Kurdistan (KDPI), and Komala |
| **Iraq** | an insurgency against the Government of Iraq and Coalition forces is primarily concentrated in Baghdad and in areas north, northeast, and west of the capital; the diverse, multigroup insurgency consists principally of Sunni Arabs whose only common denominator is a shared desire to oust the Coalition and end US influence in Iraq; a number of predominantly Shia militias, some associated with political parties, challenge governmental authority in Baghdad and southern Iraq |
| **Ireland** | NA |
| **Isle of Man** | none |
| **Israel** | Israeli nationalists advocating Jewish settlement on the West Bank and Gaza Strip; Peace Now [Yariv OPPENHEIMER, Secretary General] supports territorial concessions in the West Bank and Gaza Strip; Yesha Council of Settlements [Bentzi LIEBERMAN, Chairman] promotes settler interests and opposes territorial compromise; B'Tselem monitors human rights abuses |
| **Italy** | Italian manufacturers and merchants associations (Confindustria, Confcommercio); organized farm groups (Confcoltivatori, Confagricoltura); Roman Catholic Church; three major trade union confederations (Confederazione Generale Italiana del Lavoro or CGIL [Guglielmo EPIFANI] which is left wing, Confederazione Italiana dei Sindacati Lavoratori or CISL [Savino PEZZOTTA], which is Roman Catholic centrist, and Unione Italiana del Lavoro or UIL [Luigi ANGELETTI] which is lay centrist) |
| **Jamaica** | New Beginnings Movement or NBM; Rastafarians (black religious/racial cultists, pan-Africanists) |
| **Japan** | NA |
| **Jersey** | none |
| **Jordan** | Anti-Normalization Committee [Ali Abu SUKKAR, president vice chairman]; Jordan Bar Association [Hussein Mujalli, chairman]; Jordanian Press Association [Sayf al-SHARIF, president]; Muslim Brotherhood [Salem AL-FALAHAT, controller general] |
| **Kazakhstan** | Adil-Soz [Tamara KALEYEVA]; Almaty Helsinki Group [Ninel FOKINA]; Confederation of Free Trade Unions [Sergei BELKIN]; For a Just Kazakhstan [Bolat ABILOV]; For Fair Elections [Yevgeniy ZHOVTIS, Sabit ZHUSUPOV, Sergey DUVANOV, Ibrash NUSUPBAYEV]; Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, executive director]; Pan-National Social Democratic Party of Kazakhstan [Zharmakhan TUYAKBAI]; Pensioners Movement or Pokoleniye [Irina SAVOSTINA, chairwoman]; Republican Network of International Monitors [Dos KUSHIM]; Transparency International [Sergei ZLOTNIKOV] |
| **Kenya** | human rights groups; labor unions; Muslim organizations; National Convention Executive Council or NCEC, a proreform coalition of political parties and nongovernment organizations [Ndung'u WAINANA]; Protestant National Council of Churches of Kenya or NCCK [Mutava MUSYIMI]; Roman Catholic and other Christian churches; Supreme Council of Kenya Muslims or SUPKEM [Shaykh Abdul Gafur al-BUSAIDY] |
| **Kiribati** | NA |
| **Korea, North** | none |
| **Korea, South** | Federation of Korean Industries; Federation of Korean Trade Unions; Korean Confederation of Trade Unions; Korean National Council of Churches; Korean Traders Association; Korean Veterans' Association; National Council of Labor Unions; National Democratic Alliance of Korea; National Federation of Farmers' Associations; National Federation of Student Associations |
| **Kuwait** | *a number of political groups act as de facto parties; several legislative blocs operate in the National Assembly:* tribal groups, merchants, Shi'a activists, Islamists, secular liberals and pro-government deputies; in mid-2006, a coalition of Islamists, liberals, and Shia campaigned successfully for electoral reform to reduce corruption |
| **Kyrgyzstan** | Adilet Legal Clinic [Cholpon JAKUPOVA]; Coalition for Democracy and Civil Society; For Reforms [Omurbek TEKEBAYEV, Almazbek ATAMBAYEV]; Interbilim [Asiya SASYKBAYEVA] |
| **Laos** | noncommunist political groups proscribed; most opposition leaders fled the country in 1975 |
| **Latvia** | Headquarters for the Protection of Russian Schools (SHTAB) [Aleksandr KAZAKOV] |
| **Lebanon** | none |
| **Lesotho** | NA |
| **Liberia** | Demobilized former military officers |
| **Libya** | various Arab nationalist movements with almost negligible memberships may be functioning clandestinely, as well as some Islamic elements; an anti-QADHAFI Libyan exile movement exists, primarily based in London, but has little influence |
| **Liechtenstein** | NA |
| **Lithuania** | NA |
| **Luxembourg** | ABBL (bankers' association); ALEBA (financial sector trade union); Centrale Paysanne (federation of agricultural producers); CEP (professional sector chamber); CGFP (trade union representing civil service); Chambre de Commerce (Chamber of Commerce); Chambre des Metiers (Chamber of Artisans); FEDIL (federation of industrialists); Greenpeace (environment protection); LCGP (center-right trade union); Mouvement Ecologique (protection of ecology); OGBL (center-left trade union) |
| **Macau** | NA |
| **Macedonia** | Federation of Free Trade Unions [Svetlana PETROVIC]; Federation of Trade Unions [Vanco MURATOVSKI]; World Macedonian Congress [Todor PETROV] |
| **Madagascar** | Committee for the Defense of Truth and Justice or KMMR; Committee for National Reconciliation or CRN [Albert Zafy]; National Council of Christian Churches or FFKM |
| **Malawi** | NA |
| **Malaysia** | NA |
| **Maldives** | various unregistered political parties |
| **Mali** | Alliance for Democratic Change or ACD; Patriotic Movement of the Ghanda Koye or MPGK; United Movement and Fronts of Azawad or MFUA |
| **Malta** | NA |
| **Marshall Islands** | NA |
| **Mauritania** | Arab nationalists; Ba'thists; General Confederation of Mauritanian Workers or CGTM [Abdallahi Ould MOHAMED, secretary general]; Independent Confederation of Mauritanian Workers or CLTM [Samory Ould BEYE]; Islamists; Mauritanian Workers Union or UTM [Mohamed Ely Ould BRAHIM, secretary general] |
| **Mauritius** | various labor unions |
| **Mayotte** | NA |
| **Mexico** | Broad Progressive Front or FAP; Businessmen's Coordinating Council or CCE; Confederation of Employers of the Mexican Republic or COPARMEX; Confederation of Industrial Chambers or CONCAMIN; Confederation of Mexican Workers or CTM; Confederation of National Chambers of Commerce or CONCANACO; Coordinator for Foreign Trade Business Organizations or COECE; Federation of Unions Providing Goods and Services or FESEBES; National Chamber of Transformation Industries or CANACINTRA; National Peasant Confederation or CNC; National Small Business Chamber or CANACOPE; National Syndicate of Education Workers or SNTE; National Union of Workers or UNT; Popular Assembly of the People of Oaxaca or APPO; Roman Catholic Church |
| **Moldova** | NA |
| **Monaco** | NA |
| **Mongolia** | NA |
| **Montserrat** | NA |
| **Morocco** | Democratic Confederation of Labor or CDT [Noubir AMAOUI]; General Union of Moroccan Workers or UGTM [Abderrazzak AFILAL]; Moroccan Employers Association or CGEM [Hassan CHAMI]; National Labor Union of Morocco or UNMT [Abdelslam MAATI]; Union of Moroccan Workers or UMT [Mahjoub BENSEDDIK] |
| **Mozambique** | Institute for Peace and Democracy (Instituto para Paz e Democracia) or IPADE [Raul DOMINGOS, president]; Etica [Abdul CARIMO Issa, chairman]; Movement for Peace and Citizenship (Movimento para Paz e Cidadania); Mozambican League of Human Rights (Liga Mocambicana dos Direitos Humanos) or LDH [Alice MABOTE, president]; Human Rights and Development (Direitos Humanos e Desenvolvimento) or DHD [Artemisia FRANCO, secretary general] |
| **Namibia** | NA |
| **Nauru** | NA |
| **Nepal** | Maoist guerrilla-based insurgency [Pushpa Kamal DAHAL, also known as PRACHANDA, chairman; Dr. Baburam BHATTARAI]; numerous small, left-leaning student groups in the capital; several small, radical Nepalese antimonarchist groups |
| **Netherlands** | Netherlands Trade Union Federation or FNV (consisting of a merger of Socialist and Catholic trade unions); Christian Trade Union Federation or CNV; Trade Union Federation of Middle and High Personnel or MHP; Federation of Catholic and Protestant Employers Associations; Interchurch Peace Council or IKV; large multinational firms; the nondenominational Federation of Netherlands Enterprises |
| **Netherlands Antilles** | Unions (AVBO) and Employers Association (VBC) |
| **New Caledonia** | NA |
| **New Zealand** | NA |
| **Nicaragua** | National Workers Front or FNT is a Sandinista umbrella group of eight labor unions including - Farm Workers Association or ATC, Health Workers Federation or FETASALUD, Heroes and Martyrs Confederation of Professional Associations or CONAPRO, National Association of Educators of Nicaragua or ANDEN, National Union of Employees or UNE, National Union of Farmers and Ranchers or UNAG, Sandinista Workers Central or CST, and Union of Journalists of Nicaragua or UPN; Permanent Congress of Workers or CPT is an umbrella group of four non-Sandinista labor unions including - Autonomous Nicaraguan Workers Central or CTN-A, Confederation of Labor Unification or CUS, Independent General Confederation of Labor or CGT-I, and Labor Action and Unity Central or CAUS; Nicaraguan Workers' Central or CTN is an independent labor union; Superior Council of Private Enterprise or COSEP is a confederation of business groups |
| **Niger** | Coalition Against a High Cost of Living [Nouhou ARZIKA] |
| **Nigeria** | NA |
| **Niue** | NA |
| **Norfolk Island** | none |
| **Northern Mariana Islands** | NA |
| **Norway** | NA |
| **Oman** | none |
| **Pakistan** | military remains most important political force; ulema (clergy), landowners, industrialists, and small merchants also influential |
| **Palau** | NA |
| **Panama** | Chamber of Commerce; National Civic Crusade; National Council of Organized Workers or CONATO; National Council of Private Enterprise or CONEP; National Union of Construction and Similar Workers (SUNTRACS); Panamanian Association of Business Executives or APEDE; Panamanian Industrialists Society or SIP; Workers Confederation of the Republic of Panama or CTRP |
| **Papua New Guinea** | NA |
| **Paraguay** | Ahorristas Estafados or AE; National Coordinating Board of Campesino Organizations or MCNOC [Luis AGUAYO]; National Federation of Campesinos or FNC [Odilon ESPINOLA]; National Workers Central or CNT [Secretary General Juan TORRALES]; Paraguayan Workers Confederation or CPT; Roman Catholic Church; Unitary Workers Central or CUT [Jorge Guzman ALVARENGA Malgarejo] |
| **Peru** | leftist guerrilla groups include Shining Path [Abimael GUZMAN Reynoso (imprisoned), Gabriel MACARIO (top leader at-large)]; Tupac Amaru Revolutionary Movement or MRTA [Victor POLAY (imprisoned), Hugo AVALLENEDA Valdez (top leader at-large)] |
| **Philippines** | AKBAYAN [Etta ROSALES, Mario AGUJA, and Risa HONTIVEROS-BARAQUIEL]; ALAGAD [Rodante MARROLITA]; ALIF [Acmad TOMAWIS]; An Waray [Horencio NOEL]; Anak Mindanao [Mujiv HATAMIN]; ANAKPAWIS [Crispin BELTRAN and Rafael MARIANO]; APEC [Ernesto PABLO, Edgar VALDEZ]; Association of Philippine Electric Cooperatives (APEC) [Edgar VALDEZ, Ernesto PABLO, and Sunny Rose MADAMBA]; AVE [Eulogio MAGSAYSAY]; Bayan Muna [Satur OCAMPO, Joel VIRADOR, and Teodoro CASINO, Jr.]; BUHAY [Rene VELARDE and Hans Christian SENERES]; BUTIL [Benjamin CRUZ]; CIBAC [Emmanuel Joel VILLANUEVA]; COOP-NATCO [Guillermo CUA]; GABRIELA [Liza MAZA]; Partido Ng Manggagawa [Renato MAGTUBO]; Veterans Federation of the Philippines [Ernesto GIDAYA] |
| **Pitcairn Islands** | none |
| **Poland** | All Poland Trade Union Alliance or OPZZ (trade union) [Jan GUZ]; Roman Catholic Church [Cardinal Jozef GLEMP]; Solidarity Trade Union [Janusz SNIADEK] |
| **Portugal** | NA |
| **Puerto Rico** | *Boricua Popular Army or EPB (a revolutionary group also known as Los Macheteros); note - the following radical groups are considered dormant by Federal law enforcement:* Armed Forces for National Liberation or FALN, Armed Forces of Popular Resistance, Volunteers of the Puerto Rican Revolution |
| **Qatar** | none |
| **Romania** | various human rights and professional associations |
| **Russia** | NA |
| **Rwanda** | IBUKA - association of genocide survivors |
| **Saint Helena** | none |
| **Saint Kitts and Nevis** | NA |
| **Saint Lucia** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | NA |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | NA |
| **Saudi Arabia** | none |
| **Senegal** | labor; Sufi and Mouride brotherhoods; students; teachers |
| **Seychelles** | Roman Catholic Church; trade unions |
| **Sierra Leone** | trade unions and student unions |
| **Singapore** | NA |
| **Slovakia** | Federation of Employers' Associations of the Slovak Republic; Association of Towns and Villages or ZMOS; Confederation of Trade Unions or KOZ; National Union of Employers or RUZ; Slovak Chamber of Commerce and Industry or SOPK; Entrepreneurs Association of Slovakia or ZPS; The Business Alliance of Slovakia or PAS |
| **Slovenia** | NA |
| **Solomon Islands** | Isatabu Freedom Movement (IFM); Malaita Eagle Force (MEF); note - these rival armed ethnic factions crippled the Solomon Islands in a wave of violence from 1999 to 2003 |
| **Somalia** | numerous clan and sub-clan factions are in opposition to the transitional government; Alliance for the Reliberation of Somalia (ARS); Hawiye Tradition and Unity Council (HTUC) |
| **South Africa** | Congress of South African Trade Unions or COSATU [Zwelinzima VAVI, general secretary]; South African Communist Party or SACP [Blade NZIMANDE, general secretary]; South African National Civics Organization or SANCO [Mlungisi HLONGWANE, national president]; note - COSATU and SACP are in a formal alliance with the ANC |
| **Spain** | business and landowning interests; Catholic Church; free labor unions (authorized in April 1977); Socialist General Union of Workers or UGT and the smaller independent Workers Syndical Union or USO; university students; Trade Union Confederation of Workers' Commissions or CC.OO. |
