CIA - The World Factbook -- Field Listing - Political pressure groups and leaders

| Country | Political pressure groups and leaders |
| **Djibouti** | Union for Presidential Majority UMP (coalition includes RPP, FRUD, PPSD and PND); Union for Democratic Changeover or UAD (opposition coalition includes ARD, MRDD, UDJ, and PDD) [Ahmed Dini AHMED] |
| **Dominica** | Dominica Liberation Movement or DLM (a small leftist party) |
| **Dominican Republic** | Collective of Popular Organizations or COP; Citizen Participation Group (Participacion Ciudadania); Foundation for Institution-Building (FINJUS) |
| **East Timor** | Popular Council for the Defense of the Democratic Republic of East Timor or CPD-RDTL [leader Antonio-Aitahan MATAK] is largest political pressure group; it rejects current government and claims to be rightful government; Kolimau 2000 [leader Dr. Bruno MAGALHAES] is another opposition group; dissatisfied veterans of struggle against Indonesia, led by one-time government advisor Cornelio GAMA (also known as L-7), also play an important role in pressuring government |
| **Ecuador** | Confederation of Indigenous Nationalities of Ecuador or CONAIE [Luis MACAS, president]; Coordinator of Social Movements or CMS [F. Napoleon SANTOS]; Federation of Indigenous Evangelists of Ecuador or FEINE [Marco MURILLO, president]; National Federation of Indigenous Afro-Ecuatorianos and Peasants or FENOCIN [Pedro DE LA CRUZ, president]; Popular Front or FP [Luis VILLACIS] |
| **Egypt** | despite a constitutional ban against religious-based parties, the technically illegal Muslim Brotherhood constitutes MUBARAK's potentially most significant political opposition; MUBARAK tolerated limited political activity by the Brotherhood for his first two terms, but moved more aggressively since then to block its influence; civic society groups are sanctioned, but constrained in practical terms; trade unions and professional associations are officially sanctioned |
| **El Salvador** | labor organizations - Electrical Industry Union of El Salvador or SIES; Federation of the Construction Industry, Similar Transport and other activities, or FESINCONTRANS; National Confederation of Salvadoran Workers or CNTS; National Union of Salvadoran Workers or UNTS; Port Industry Union of El Salvador or SIPES; Salvadoran Union of Ex-Petrolleros and Peasant Workers or USEPOC; Salvadoran Workers Central or CTS; Workers Union of Electrical Corporation or STCEL; business organizations - National Association of Small Enterprise or ANEP; Salvadoran Assembly Industry Association or ASIC; Salvadoran Industrial Association or ASI |
| **Equatorial Guinea** | NA |
| **Eritrea** | Eritrean Islamic Jihad or EIJ [leader NA] (also including Eritrean Islamic Jihad Movement or EIJM (also known as the Abu Sihel Movement) [leader NA]); Eritrean Islamic Salvation or EIS (also known as the Arafa Movement) [leader NA]; Eritrean Liberation Front or ELF [ABDULLAH Muhammed]; Eritrean National Alliance or ENA (a coalition including EIJ, EIS, ELF, and a number of ELF factions) [HERUY Tedla Biru]; Eritrean Public Forum or EPF [ARADOM Iyob] |
| **Estonia** | NA |
| **Ethiopia** | Afar Revolutionary Democratic Union Front or ARDUF [leader NA]; Council of Alternative Forces for Peace and Democracy in Ethiopia or CAFPDE [BEYANE Petros]; Southern Ethiopia People's Democratic Coalition or SEPDC [BEYANE Petros] |
| **Falkland Islands (Islas Malvinas)** | none |
| **Faroe Islands** | NA |
| **Fiji** | NA |
| **France** | historically-Communist labor union (Confederation Generale du Travail) or CGT, approximately 700,000 members (claimed); left-leaning labor union (Confederation Francaise Democratique du Travail) or CFDT, approximately 889,000 members (claimed); independent labor union (Confederation Generale du Travail - Force Ouvriere) or FO, 300,000 members (est.); independent white-collar union (Confederation Generale des Cadres) or CGC, 196,000 members (claimed); employers' union (Mouvement des Entreprises de France) or MEDEF, 750,000 companies as members (claimed) |
| **French Guiana** | NA |
| **French Polynesia** | NA |
| **Gabon** | NA |
| **Gambia, The** | NA |
| **Georgia** | Georgian independent deputies from Abkhaz government in exile; separatists in the breakaway regions of Abkhazia and South Ossetia; supporters of the late ousted President Zviad GAMSAKHURDYA |
| **Germany** | business associations, employers' organizations; expellee, refugee, trade unions, and veterans groups |
| **Ghana** | NA |
| **Gibraltar** | Chamber of Commerce; Gibraltar Representatives Organization; Women's Association |
| **Greece** | General Confederation of Greek Workers or GSEE [Khristos POLYZOGOPOLOS]; Federation of Greek Industries or SEV [Odysseas KYRIAKOPOULOS]; Civil Servants Confederation or ADEDY [Spyros PAPASPYROS] |
| **Greenland** | NA |
| **Grenada** | NA |
| **Guadeloupe** | Christian Movement for the Liberation of Guadeloupe or KLPG; General Federation of Guadeloupe Workers or CGT-G; General Union of Guadeloupe Workers or UGTG; Movement for Independent Guadeloupe or MPGI; The Socialist Renewal Movement |
| **Guam** | NA |
| **Guatemala** | Agrarian Owners Group or UNAGRO; Alliance Against Impunity or AAI; Committee for Campesino Unity or CUC; Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF; Mutual Support Group or GAM |
| **Guernsey** | none |
| **Guinea** | NA |
| **Guinea-Bissau** | NA |
| **Guyana** | Civil Liberties Action Committee or CLAC; Guyana Council of Indian Organizations or GCIO; Trades Union Congress or TUC |
| | *note:* the GCIO and the CLAC are small and active but not well organized |
| **Haiti** | Autonomous Organizations of Haitian Workers or CATH [Fignole ST-CYR]; Confederation of Haitian Workers or CTH; Federation of Workers Trade Unions or FOS; Group of 184 Civil Society Organization, or G-184 [Andy APAID]; National Popular Assembly or APN; Papaye Peasants Movement or MPP [Chavannes JEAN-BAPTISTE]; Popular Organizations Gathering Power or PROP; Roman Catholic Church |
| **Holy See (Vatican City)** | none (exclusive of influence exercised by church officers) |
| **Honduras** | Committee for the Defense of Human Rights in Honduras or CODEH; Confederation of Honduran Workers or CTH; Coordinating Committee of Popular Organizations or CCOP; General Workers Confederation or CGT; Honduran Council of Private Enterprise or COHEP; National Association of Honduran Campesinos or ANACH; National Union of Campesinos or UNC; Popular Bloc or BP; United Federation of Honduran Workers or FUTH |
| **Hong Kong** | Chinese General Chamber of Commerce (pro-China); Chinese Manufacturers' Association of Hong Kong; Confederation of Trade Unions (pro-democracy) [LAU Chin-shek, president; LEE Cheuk-yan, general secretary]; Federation of Hong Kong Industries; Federation of Trade Unions (pro-China) [CHENG Yiu-tong, executive councilor]; Hong Kong Alliance in Support of the Patriotic Democratic Movement in China [Szeto WAH, chairman]; Hong Kong and Kowloon Trade Union Council (pro-Taiwan); Hong Kong General Chamber of Commerce; Hong Kong Professional Teachers' Union [CHEUNG Man-kwong, president]; The Alliance [Bernard CHAN, exco member] |
| **Hungary** | NA |
| **Iceland** | NA |
| **India** | numerous religious or militant/chauvinistic organizations, including Vishwa Hindu Parishad, Bajrang Dal, and Rashtriya Swayamsevak Sangh; various separatist groups seeking greater communal and/or regional autonomy, including the All Parties Hurriyat Conference |
| **Indonesia** | NA |
| **Iran** | political pressure groups conduct most of Iran's political activities; groups that generally support the Islamic Republic include Ansar-e Hizballah, Muslim Students Following the Line of the Imam, Tehran Militant Clergy Association (Ruhaniyat), Islamic Coalition Party (Motalefeh), and Islamic Engineers Society; active pro-reform student groups include the Organization for Strengthening Unity; opposition groups include Freedom Movement of Iran, the National Front, Marz-e Por Gohar, and various ethnic and Monarchist organizations; armed political groups that have been almost completely repressed by the government include Mujahidin-e Khalq Organization (MEK), People's Fedayeen, Democratic Party of Iranian Kurdistan, and Komala |
| **Iraq** | an insurgency against the Iraqi Interim Government and Coalition forces is primarily concentrated in Baghdad and in areas west and north of the capital; the diverse, multigroup insurgency is led principally by Sunni Arabs whose only common denominator is a shared desire to oust the Coalition and end US influence in Iraq |
| **Ireland** | NA |
| **Israel** | Israeli nationalists advocating Jewish settlement on the West Bank and Gaza Strip; Peace Now supports territorial concessions in the West Bank and Gaza Strip; Yesha (settler) Council promotes settler interests and opposes territorial compromise; B'Tselem monitors human rights abuses |
| **Italy** | Italian manufacturers and merchants associations (Confindustria, Confcommercio); organized farm groups (Confcoltivatori, Confagricoltura); Roman Catholic Church; three major trade union confederations (Confederazione Generale Italiana del Lavoro or CGIL [Guglielmo EPIFANI] which is left wing, Confederazione Italiana dei Sindacati Lavoratori or CISL [Savino PEZZOTTA], which is Roman Catholic centrist, and Unione Italiana del Lavoro or UIL [Luigi ANGELETTI] which is lay centrist) |
| **Jamaica** | New Beginnings Movement or NBM; Rastafarians (black religious/racial cultists, pan-Africanists) |
| **Japan** | NA |
| **Jersey** | none |
| **Jordan** | Anti-Normalization Committee [Ali Abu SUKKAR, president vice chairman]; Jordanian Bar Association [Saleh ARMOUTI, president]; Jordanian Press Association [Sayf al-SHARIF, president]; Muslim Brotherhood [Abd-al-Majid DHUNAYBAT, secretary general] |
| **Kazakhstan** | Adil-Soz [Tamara KALEYEVA]; Almaty Helsinki Group [Ninel FOKINA]; Confederation of Free Trade Unions [Sergei BELKIN]; Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, executive director]; Pensioners Movement or Pokoleniye [Irina SAVOSTINA, chairwoman]; Republican Network of International Monitors [Dos KUSHIM]; Transparency International [Sergei ZLOTNIKOV] |
| **Kenya** | human rights groups; labor unions; Muslim organizations; National Convention Executive Council or NCEC, a proreform coalition of political parties and nongovernment organizations [Kivutha KIBWANA]; Protestant National Council of Churches of Kenya or NCCK [Mutava MUSYIMI]; Roman Catholic and other Christian churches; Supreme Council of Kenya Muslims or SUPKEM [Shaykh Abdul Gafur al-BUSAIDY] |
| **Kiribati** | NA |
| **Korea, North** | none |
| **Korea, South** | Federation of Korean Industries; Federation of Korean Trade Unions; Korean Confederation of Trade Unions; Korean National Council of Churches; Korean Traders Association; Korean Veterans' Association; National Council of Labor Unions; National Democratic Alliance of Korea; National Federation of Farmers' Associations; National Federation of Student Associations |
| **Kuwait** | *several political groups act as de facto parties:* Bedouins, merchants, Sunni and Shi'a activists, and secular leftists and nationalists |
| **Kyrgyzstan** | Council of Free Trade Unions; Kyrgyz Committee on Human Rights [Ramazan DYRYLDAYEV]; National Unity Democratic Movement; Union of Entrepreneurs |
| **Laos** | noncommunist political groups proscribed; most opposition leaders fled the country in 1975 |
| **Latvia** | Headquarters for the Protection of Russian Schools (SHTAB) [Aleksandr KAZAKOV] |
| **Lebanon** | NA |
| **Lesotho** | NA |
| **Liberia** | NA |
| **Libya** | various Arab nationalist movements with almost negligible memberships may be functioning clandestinely, as well as some Islamic elements; an anti-QADHAFI Libyan exile movement exists, primarily based in London, but has little influence |
| **Liechtenstein** | NA |
| **Lithuania** | NA |
| **Luxembourg** | ABBL (bankers' association); ALEBA (financial sector trade union); Centrale Paysanne (federation of agricultural producers); CEP (professional sector chamber); CGFP (trade union representing civil service); Chambre de Commerce (Chamber of Commerce); Chambre des Metiers (Chamber of Artisans); FEDIL (federation of industrialists); LCGP (center-right trade union); OGBL (center-left trade union) |
| **Macau** | Catholic Church [LAI Hung-sing, bishop]; Macau Society of Tourism and Entertainment or STDM [Stanley HO, managing director]; Union for Democracy Development [Antonio NG Kuok-cheong, leader] |
| **Macedonia** | Civic Movement of Macedonia [Gordana SILJANOVSKA]; Movement for Macedonia's Euro-Atlantic Integration [Dosta DIMOVSKA] |
| **Madagascar** | Committee for the Defense of Truth and Justice or KMMR; Committee for National Reconciliation or CRN [Albert Zafy]; National Council of Christian Churches or FFKM |
| **Malawi** | NA |
| **Malaysia** | NA |
| **Maldives** | none |
| **Mali** | Patriotic Movement of the Ghanda Koye or MPGK; United Movement and Fronts of Azawad or MFUA |
| **Malta** | NA |
| **Man, Isle of** | none |
| **Marshall Islands** | NA |
| **Martinique** | Caribbean Revolutionary Alliance or ARC; Central Union for Martinique Workers or CSTM [Marc PULVAR]; Frantz Fanon Circle; League of Workers and Peasants; Proletarian Action Group or GAP |
| **Mauritania** | Arab nationalists; Ba'athists; General Confederation of Mauritanian Workers or CGTM [Abdallahi Ould MOHAMED, secretary general]; Independent Confederation of Mauritanian Workers or CLTM [Samory Ould BEYE]; Islamists; Mauritanian Workers Union or UTM [Mohamed Ely Ould BRAHIM, secretary general] |
| **Mauritius** | various labor unions |
| **Mayotte** | NA |
| **Mexico** | Confederation of Employers of the Mexican Republic or COPARMEX; Confederation of Industrial Chambers or CONCAMIN; Confederation of Mexican Workers or CTM; Confederation of National Chambers of Commerce or CONCANACO; Coordinator for Foreign Trade Business Organizations or COECE; Federation of Unions Providing Goods and Services or FESEBES; National Chamber of Transformation Industries or CANACINTRA; National Peasant Confederation or CNC; National Union of Workers or UNT; Regional Confederation of Mexican Workers or CROM; Revolutionary Confederation of Workers and Peasants or CROC; Roman Catholic Church |
| **Moldova** | NA |
| **Monaco** | NA |
| **Mongolia** | NA |
| **Montserrat** | NA |
| **Morocco** | Democratic Confederation of Labor or CDT [Noubir AMAOUI]; General Union of Moroccan Workers or UGTM [Abderrazzak AFILAL]; Moroccan Employers Association or CGEM [Hassan CHAMI]; National Labor Union of Morocco or UNMT [Abdelslam MAATI]; Union of Moroccan Workers or UMT [Mahjoub BENSEDDIK] |
| **Mozambique** | Institute for Peace and Democracy (Instituto para Paz e Democracia) or IPADE [Raul DOMINGOS, president]; Etica [Abdul CARIMO Issa, chairman]; Movement for Peace and Citizenship (Movimento para Paz e Cidadania); Mozambican League of Human Rights (Liga Mocambicana dos Direitos Humanos) or LDH [Alice MABOTE, president]; Human Rights and Development (Direitos Humanos e Desenvolvimento) or DHD [Artemisia FRANCO, secretary general] |
| **Namibia** | NA |
| **Nauru** | NA |
| **Nepal** | Maoist guerrilla-based insurgency [Pushpa Kamal DAHAL, also known as PRAHANDA, chairman; Dr. Baburam BHATTARAI, from Communist Party of Nepal/Maoist, chief negotiator]; numerous small, left-leaning student groups in the capital; several small, radical Nepalese antimonarchist groups |
| **Netherlands** | Netherlands Trade Union Federation (FNV) (consisting of a merger of Socialist and Catholic trade unions); Christian Trade Union Federation (CNV); Trade Union Federation of Middle and High Personnel (MHP); Federation of Catholic and Protestant Employers Associations; Interchurch Peace Council or IKV; large multinational firms; the nondenominational Federation of Netherlands Enterprises |
| **Netherlands Antilles** | NA |
| **New Caledonia** | NA |
| **New Zealand** | NA |
| **Nicaragua** | National Workers Front or FNT is a Sandinista umbrella group of eight labor unions including - Farm Workers Association or ATC, Health Workers Federation or FETASALUD, Heroes and Martyrs Confederation of Professional Associations or CONAPRO, National Association of Educators of Nicaragua or ANDEN, National Union of Employees or UNE, National Union of Farmers and Ranchers or UNAG, Sandinista Workers Central or CST, and Union of Journalists of Nicaragua or UPN; Permanent Congress of Workers or CPT is an umbrella group of four non-Sandinista labor unions including - Autonomous Nicaraguan Workers Central or CTN-A, Confederation of Labor Unification or CUS, Independent General Confederation of Labor or CGT-I, and Labor Action and Unity Central or CAUS; Nicaraguan Workers' Central or CTN is an independent labor union; Superior Council of Private Enterprise or COSEP is a confederation of business groups |
| **Niger** | NA |
| **Nigeria** | Nigerian Labor Congress or NLC [Adams OSHIOMOLE] |
| **Niue** | NA |
| **Norfolk Island** | none |
| **Northern Mariana Islands** | NA |
| **Norway** | NA |
| **Oman** | none |
| **Pakistan** | military remains most important political force; ulema (clergy), landowners, industrialists, and small merchants also influential |
| **Palau** | NA |
| **Panama** | Chamber of Commerce; National Civic Crusade; National Council of Organized Workers or CONATO; National Union of Construction and Similar Workers (SUNTRACS); National Council of Private Enterprise or CONEP; Panamanian Association of Business Executives or APEDE; Panamanian Industrialists Society or SIP; Workers Confederation of the Republic of Panama or CTRP |
| **Papua New Guinea** | NA |
| **Paraguay** | Ahorristas Estafados or AE; Coordinating Table of National Campesino Organizations or MCNOC; National Federation of Campesinos or FNC; National Workers Central or CNT; Paraguayan Workers Confederation or CPT; Roman Catholic Church; Unitary Workers Central or CUT;; |
| **Peru** | leftist guerrilla groups include Shining Path [Abimael GUZMAN Reynoso (imprisoned), Gabriel MACARIO (top leader at-large)]; Tupac Amaru Revolutionary Movement or MRTA [Victor POLAY (imprisoned), Hugo AVALLENEDA Valdez (top leader at-large)] |
| **Philippines** | AKBAYAN [Reps. Etta ROSALES, Mario AGUJA, and Risa HONTIVEROS-BARAQUIEL]; ANAKPAWIS [Reps. Crispin BELTRAN and Rafael MARIANO]; Association of Philippine Electric Cooperatives (APEC) [Reps. Edgar VALDEZ, Ernesto PABLO, and Sunny Rose MADAMBA]; Bayan Muna [Reps. Satur OCAMPO, Joel VIRADOR, and Teodoro CASINO, Jr.]; BUHAY [Reps. Rene VELARDE and Hans Christian SENERES]; BUTIL [Rep. Benjamin CRUZ]; CIBAC [Rep. Emmanuel Joel VILLANUEVA]; GABRIELA [Rep. Liza MAZA}; PARTIDO NG MANGGAGAWA [Rep. Renato MAGTUBO] (2003) |
| **Pitcairn Islands** | none |
| **Poland** | All Poland Trade Union Alliance or OPZZ (trade union) [Maciej MANICKI]; Roman Catholic Church [Cardinal Jozef GLEMP]; Solidarity Trade Union [Janusz SNIADEK] |
| **Portugal** | NA |
| **Puerto Rico** | Armed Forces for National Liberation or FALN; Armed Forces of Popular Resistance; Boricua Popular Army (also known as the Macheteros); Volunteers of the Puerto Rican Revolution |
| **Qatar** | none |
| **Reunion** | NA |
| **Romania** | various human rights and professional associations |
| **Russia** | NA |
| **Rwanda** | IBUKA - association of genocide survivors |
| **Saint Helena** | none |
| **Saint Kitts and Nevis** | NA |
| **Saint Lucia** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | NA |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | NA |
| **Saudi Arabia** | none |
| **Senegal** | labor; Muslim brotherhoods; students; teachers |
| **Serbia and Montenegro** | Political Council for Presevo, Medvedja and Bujanovac or PCPMB [leader NA]; Group for Changes of Montenegro or GZP [Nebojsa MEDOJEVIC] |
| **Seychelles** | Roman Catholic Church; trade unions |
| **Sierra Leone** | Trade Unions and Student Unions |
| **Singapore** | NA |
| **Slovakia** | Association of Employers of Slovakia; Association of Towns and Villages or ZMOS; Confederation of Trade Unions or KOZ; Metal Workers Unions or KOVO and METALURG |
| **Slovenia** | NA |
| **Solomon Islands** | NA |
| **Somalia** | numerous clan and subclan factions are currently vying for power |
| **South Africa** | Congress of South African Trade Unions or COSATU [Zwelinzima VAVI, general secretary]; South African Communist Party or SACP [Blade NZIMANDE, general secretary]; South African National Civics Organization or SANCO [Mlungisi HLONGWANE, national president]; note - COSATU and SACP are in a formal alliance with the ANC |
| **Spain** | business and landowning interests; Catholic Church; free labor unions (authorized in April 1977); Socialist General Union of Workers or UGT and the smaller independent Workers Syndical Union or USO; university students; Workers Confederation or CC.OO; Nunca Mas (Galician for "Never Again"; formed in response to the oil tanker Prestige oil spill) |
| **Sri Lanka** | Buddhist clergy; labor unions; Liberation Tigers of Tamil Eelam or LTTE [Velupillai PRABHAKARAN](insurgent group fighting for a separate state); radical chauvinist Sinhalese groups such as the National Movement Against Terrorism; Sinhalese Buddhist lay groups |
| **Sudan** | Democratic Unionist Party [Muhammed Uthman AL-MIRGHANI]; National Congress Party [Ibrahim Ahmed UMAR]; National Democratic Alliance [Muhammed Uthman AL-MIRGHANI, chairman]; Sudan People's Liberation Movement/Army [Dr. John GARANG]; Umma Party [Sadiq al-MAHDI] |
| **Suriname** | General Liberation and Development Party or ABOP [Ronnie BRUNSWIJK]; Mandela Bushnegro Liberation Movement [Leendert ADAMS]; Tucayana Amazonica [Alex JUBITANA, Thomas SABAJO]; Union for Liberation and Democracy [Kofi AFONGPONG] |
| **Swaziland** | NA |
| **Sweden** | NA |
| **Switzerland** | NA |
| **Syria** | conservative religious leaders; Kurdish Democratic Alliance [leader NA]; Kurdish Democratic Front [lader NA]; Muslim Brotherhood (operates in exile in London) [Ali Badr Eddine al-BAYANOUNI]; National Democratic Front [Hassan Abd al-AZIM] |
| **Taiwan** | Taiwan independence movement, various business and environmental groups |
| | *note:* debate on Taiwan independence has become acceptable within the mainstream of domestic politics on Taiwan; political liberalization and the increased representation of opposition parties in Taiwan's legislature have opened public debate on the island's national identity; a broad popular consensus has developed that Taiwan currently enjoys de facto independence and - whatever the ultimate outcome regarding reunification or independence - that Taiwan's people must have the deciding voice; advocates of Taiwan independence oppose the stand that the island will eventually unify with mainland China; goals of the Taiwan independence movement include establishing a sovereign nation on Taiwan and entering the UN; other organizations supporting Taiwan independence include the World United Formosans for Independence and the Organization for Taiwan Nation Building |
| **Tajikistan** | *there are three unregistered political parties:* Agrarian Party or APT [Hikmatullo Nasriddinov]; Progressive Party [Sulton QUVVATOV]; Unity Party [Hikmatullo SAIDOV] |
| **Tanzania** | NA |
| **Thailand** | NA |
| **Togo** | NA |
| **Tokelau** | none |
| **Tonga** | Human Rights and Democracy Movement Tonga or HRDMT [Rev. Simote VEA, chair] |
| **Trinidad and Tobago** | Jamaat-al Muslimeen [Yasin BAKR] |
| **Tunisia** | the Islamic fundamentalist party, Al Nahda (Renaissance), is outlawed |
| **Turkey** | Confederation of Public Sector Unions or KESK [Sami EVREN]; Confederation of Revolutionary Workers Unions or DISK [Suleyman CELEBI]; Independent Industrialists' and Businessmen's Association or MUSIAD [Omer BOLAT]; Moral Rights Workers Union or Hak-Is [Salim USLU]; Turkish Industrialists' and Businessmen's Association or TUSIAD [Omer SABANCI]; Turkish Confederation of Employers' Unions or TISK [Refik BAYDUR]; Turkish Confederation of Labor or Turk-Is [Salih KILIC]; Turkish Confederation of Tradesmen and Craftsmen or TESK [Dervis GUNDAY]; Turkish Union of Chambers of Commerce and Commodity Exchanges or TOBB [M. Rifat HISARCIKLIOGLU] |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | none |
| **Uganda** | Popular Resistance Against a Life President or PRALP |
| **Ukraine** | NA |
| **United Arab Emirates** | NA |
| **United Kingdom** | Campaign for Nuclear Disarmament; Confederation of British Industry; National Farmers' Union; Trades Union Congress |
| **United States** | NA |
