CIA - The World Factbook -- Field Listing - Refugees and internally displaced persons

| Country | Refugees and internally displaced persons |
| **Iraq** | *refugees (country of origin):* 15,000 (Palestinian Territories), 11,960 (Iran), 16,110 (Turkey) |
| | *IDPs:* 1.9 million (ongoing US-led war and Kurds' subsequent return) (2007) |
| **Israel** | *IDPs:* 150,000-420,000 (Arab villagers displaced from homes in northern Israel) (2006) |
| **Jordan** | *refugees (country of origin):* 1,835,704 (Palestinian Refugees (UNRWA)), 700,000 - 1,000,000 (Iraq) |
| | *IDPs:* 160,000 (1967 Arab-Israeli War) (2006) |
| **Kazakhstan** | *refugees (country of origin):* 5,000 (Russia) (2006) |
| **Kenya** | *refugees (country of origin):* 150,459 (Somalia), 76,646 (Sudan), 14,862 (Ethiopia) |
| | *IDPs:* 431,150 (KANU attacks on opposition tribal groups in 1990s) (2006) |
| **Korea, North** | *IDPs:* 50,000-250,000 (government repression and famine) (2006) |
| **Lebanon** | *refugees (country of origin):* 405,425 (Palestinian Refugees (UNRWA)), 20,000-40,000 (Iraq) |
| | *IDPs:* 17,000 (1975-90 civil war, Israeli invasions), 200,000 (July-August 2006 war) (2006) |
| **Liberia** | *refugees (country of origin):* 6,592 (Cote d'Ivoire) |
| | *IDPs:* 13,000 (civil war from 1990-2004; IDP resettlement began in November 2004) (2006) |
| **Libya** | *refugees (country of origin):* 8,873 (Palestinian Territories) (2006) |
| **Macedonia** | *IDPs:* fewer than 1,000 (ethnic conflict in 2001) (2006) |
| **Malaysia** | *refugees (country of origin):* 19,153 (Indonesia), 14,208 (Burma) (2006) |
| **Maldives** | *IDPs:* 10,000 (December 2004 tsunami victims) (2006) |
| **Mali** | *refugees (country of origin):* 6,165 (Mauritania) (2006) |
| **Mexico** | *IDPs:* 10,000-12,000 (government's quashing of Zapatista uprising in 1994 in eastern Chiapas Region) (2006) |
| **Namibia** | *refugees (country of origin):* 11,900 (Angola) (2006) |
| **Nepal** | *refugees (country of origin):* 106,248 (Bhutan), 20,153 (Tibet/China) |
| | *IDPs:* 100,000-200,000 (ongoing conflict between government forces and Maoist rebels; displacement spread across the country) (2006) |
| **Nigeria** | *refugees (country of origin):* 6,051 (Liberia) |
| | *IDPs:* undetermined (communal violence between Christians and Muslims since President OBASANJO's election in 1999; displacement is mostly short-term) (2006) |
| **Pakistan** | *refugees (country of origin):* 1,084,208 (Afghanistan) |
| | *IDPs:* undetermined (government strikes on Islamic militants in South Waziristan), 34,000 (October 2005 earthquake; most of those displaced returned to their home villages in the spring of 2006) (2006) |
| **Papua New Guinea** | *refugees (country of origin):* 9,991 (Indonesia) (2006) |
| **Peru** | *IDPs:* 60,000 (civil war from 1980-2000; most IDPs are indigenous peasants in Andean and Amazonian regions) (2005) |
| **Philippines** | *IDPs:* 60,000 (fighting between government troops and MILF and Abu Sayyaf groups) (2006) |
| **Russia** | *IDPs:* 25,000-180,000 (displacement from Chechnya and North Ossetia) (2006) |
| **Rwanda** | *refugees (country of origin):* 41,403 (Democratic Republic of the Congo), 4,400 (Burundi) (2006) |
| **Saudi Arabia** | *refugees (country of origin):* 240,015 (Palestinian Territories) (2006) |
| **Senegal** | *refugees (country of origin):* 19,712 (Mauritania) |
| | *IDPs:* 22,400 (approximately 65% of the IDP population returned in 2005, but new displacement is occurring due to clashes between government troops and separatists in Casamance region) (2006) |
| **Serbia** | *refugees (country of origin):* 100,651 (Croatia), 46,951 (Bosnia and Herzegovina) |
| | *IDPs:* 228,000 (mostly ethnic Serbs and Roma who fled Kosovo in 1999) (2006) |
| **Sierra Leone** | *refugees (country of origin):* 59,952 (Liberia) (2006) |
| **Solomon Islands** | *IDPs:* 5,400 displaced by tsunami on 2 April 2007 |
| **Somalia** | *IDPs:* 400,000 (civil war since 1988, clan-based competition for resources) (2006) |
| **South Africa** | *refugees (country of origin):* 10,609 (Democratic Republic of Congo), 7,548 (Somalia), 5,764 (Angola) (2006) |
| **Sri Lanka** | *IDPs:* 500,000-600,000 (both Tamils and non-Tamils displaced due to long-term Tamil conflict renewed in 2006) (2006) |
| **Sudan** | *refugees (country of origin):* 116,746 (Eritrea), 20,000 (Chad), 14,633 (Ethiopia), 7,895 (Uganda), 5,023 (Central African Republic) |
| | *IDPs:* 5,300,000 - 6,200,000 (internal conflict since 1980s; ongoing genocide in Darfur region, IDP registration for return to South Sudan started in 2005) (2006) |
| **Syria** | *refugees (country of origin):* 700,000 - 1.2 million (Iraq), 434,896 (Palestinian Refugees (UNRWA)) |
| | *IDPs:* 305,000 (most displaced from Golan Heights during 1967 Arab-Israeli War) (2006) |
| **Tanzania** | *refugees (country of origin):* 393,611 (Burundi), 150,112 (Democratic Republic of the Congo) (2006) |
| **Thailand** | *refugees (country of origin):* 116,499 (Burma) (2006) |
| **Timor-Leste** | *IDPs:* 150,000 (2006) |
| **Togo** | *refugees (country of origin):* 8,000 (Ghana) |
| | *IDPs:* 1,500 (2006) |
| **Turkey** | *IDPs:* 1-1.2 million (fighting 1984-99 between Kurdish PKK and Turkish military; most IDPs in southeastern provinces) (2006) |
| **Turkmenistan** | *refugees (country of origin):* 11,173 (Tajikistan) (2006) |
| **Uganda** | *refugees (country of origin):* 212,857 (Sudan), 20,564 (Democratic Republic of Congo), 20,213 (Rwanda) |
| | *IDPs:* 1.2-1.7 million (350,000 IDPs returned in 2006 following ongoing peace talks between the Lord's Resistance Army (LRA) and the Government of Uganda) (2006) |
| **United States** | *refugees (country of origin):* the US admitted 62,643 refugees during FY04/05 including, 10,586 (Somalia), 8,549 (Laos), 6,666 (Russia), 6,479 (Cuba), 3,100 (Haiti), 2,136 (Iran) (2006) |
| **Uzbekistan** | *refugees (country of origin):* 39,202 (Tajikistan) |
| | *IDPs:* 3,400 (forced population transfers by government from villages near Tajikistan border) (2006) |
| **West Bank** | *refugees (country of origin):* 705,207 (Palestinian Refugees (UNRWA)) (2006) |
| **World** | the United Nations High Commissioner for Refugees (UNHCR) estimated that in December 2005 there was a global population of 8.4 million registered refugees, the lowest number in 26 years, and as many as 23.7 million IDPs in more than 50 countries; the actual global population of refugees is probably closer to 10 million given the estimated 1.5 million Iraqi refugees displaced throughout the Middle East (2006) |
| **Yemen** | *refugees (country of origin):* 78,582 (Somalia) (2006) |
| **Zambia** | *refugees (country of origin):* 75,468 (Angola), 61,243 (Democratic Republic of the Congo), 5,669 (Rwanda) (2006) |
| **Zimbabwe** | *refugees (country of origin):* 6,536 (Democratic Republic of Congo) |
| | *IDPs:* 569,685 (MUGABE-led political violence, human rights violations, land reform, and economic collapse) (2006) |

This page was last updated on 13 December, 2007
 
