Field Listing :: Refugees and internally displaced persons :: The World Factbook - Central Intelligence Agency

This entry includes those persons residing in a country as refugees, internally displaced persons (IDPs), or stateless persons. Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a UN Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state. A stateless person is defined as someone who is not considered a national by any state under the operation of its law, according to UN convention.

| Country | Refugees and internally displaced persons |
| **Congo, Republic of the** | *refugees (country of origin):* 9,275 (Rwanda), 26,403 (Central African Republic) (2017), 15,715 (Democratic Republic of the Congo) (refugees and asylum seekers) (2018) |
| | *IDPs:* 108,000 (multiple civil wars since 1992) (2017) |
| **Costa Rica** | *refugees (country of origin):* 9,655 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| | *stateless persons:* 71 (2017) |
| **Cote d'Ivoire** | *IDPs:* 16,000 (post-election conflict in 2010-11, as well as civil war from 2002-04; most pronounced in western and southwestern regions) (2017) |
| | *stateless persons:* 692,000 (2017); note - many Ivoirians lack documentation proving their nationality, which prevent them from accessing education and healthcare; birth on Ivorian soil does not automatically result in citizenship; disputes over citizenship and the associated rights of the large population descended from migrants from neighboring countries is an ongoing source of tension and contributed to the country's 2002 civil war; some observers believe the government's mass naturalizations of thousands of people over the last couple of years is intended to boost its electoral support base; the government in October 2013 acceded to international conventions on statelessness and in August 2013 reformed its nationality law, key steps to clarify the nationality of thousands of residents; since the adoption of the Abidjan Declaration to eradicate statelessness in West Africa in February 2015, 6,400 people have received nationality papers |
| **Croatia** | *stateless persons:* 2,873 (2017) |
| | *note:* 659,105Â estimated refugee and migrant arrivals (January 2015-December 2016); flows have slowed considerably in 2017; Croatia is predominantly a transit country and hosts about 340 asylum seekers as of the end of June 2018 |
| **Cyprus** | *refugees (country of origin):* 5,274 (Syria) (2017) |
| | *IDPs:* 217,000 (both Turkish and Greek Cypriots; many displaced since 1974) (2017) |
| **Czechia** | *stateless persons:* 1,502 (2017) |
| **Denmark** | *refugees (country of origin):* 19,221 (Syria) (2017) |
| | *stateless persons:* 7,990 (2017) |
| **Djibouti** | *refugees (country of origin):* 19,636 (Yemen) (2017), 12,139 (Somalia) (2018) |
| **Dominican Republic** | *stateless persons:* 133,770 (2016); note - a September 2013 Constitutional Court ruling revoked the citizenship of those born after 1929 to immigrants without proper documentation, even though the constitution at the time automatically granted citizenship to children born in the Dominican Republic and the 2010 constitution provides that constitutional provisions cannot be applied retroactively; the decision overwhelmingly affected people of Haitian descent whose relatives had come to the Dominican Republic since the 1890s as a cheap source of labor for sugar plantations; a May 2014 law passed by the Dominican Congress regularizes the status of those with birth certificates but will require those without them to prove they were born in the Dominican Republic and to apply for naturalization; the government has issued documents to thousands of individuals who may claim citizenship under this law, but no official estimate has been released |
| | *note:* revised estimate includes only individuals born to parents who were both born abroad; it does not include individuals born in the country to one Dominican-born and one foreign-born parent or subsequent generations of individuals of foreign descent; the estimate, as such, does not include all stateless persons (2015) |
| **Ecuador** | *refugees (country of origin):* 46,616 (Colombia) (2017), 106,215 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| | *IDPs:* 1,708 (earthquake April 2016) (2017) |
| **Egypt** | *refugees (country of origin):* 70,018 (West Bank and Gaza Strip) (2017), 6,611 (Iraq) (refugees and asylum seekers), 6,561 (Somalia) (refugees and asylum seekers) (2017), 132,553 (Syria) (refugees and asylum seekers), 20,001 (Sudan) (refugees and asylum seekers), 11,769 (Ethiopia) (refugees and asylum seekers), 11,041 (Eritrea) (refugees and asylum seekers),Â 6,978 (South Sudan) (refugees and asylum seekers) (2018) |
| | *IDPs:* 82,000 (2017) |
| | *stateless persons:* 19 (2016) |
| **El Salvador** | *IDPs:* 71,500 (2017) |
| **Estonia** | *stateless persons:* 80,314 (2017); note - following independence in 1991, automatic citizenship was restricted to those who were Estonian citizens prior to the 1940 Soviet occupation and their descendants; thousands of ethnic Russians remained stateless when forced to choose between passing Estonian language and citizenship tests or applying for Russian citizenship; one reason for demurring on Estonian citizenship was to retain the right of visa-free travel to Russia; stateless residents can vote in local elections but not general elections; stateless parents who have been lawful residents of Estonia for at least five years can apply for citizenship for their children before they turn 15 years old |
| **Ethiopia** | *refugees (country of origin):* 422,240 (South Sudan) (refugees and asylum seekers), 257,283 (Somalia) (refugees and asylum seekers), 173,879 (Eritrea) (refugees and asylum seekers), 44,620 (Sudan) (refugees and asylum seekers) (2018) |
| | *IDPs:* 2,075,278 (includes conflict- and climate-induced IDPs; border war with Eritrea from 1998-2000; ethnic clashes; and ongoing fighting between the Ethiopian military and separatist rebel groups in the Somali and Oromia regions; natural disasters; intercommunal violence; most IDPs live in Sumale state) (2018) |
| **Finland** | *refugees (country of origin):* 7,849 (Iraq) (2017) |
| | *stateless persons:* 2,749 (2017) |
| **France** | *refugees (country of origin):* 24,110 (Sri Lanka), 15,697 (Democratic Republic of the Congo), 15,634 (Russia), 13,425 (Afghanistan), 13,376 (Serbia and Kosovo), 12,520 (Syria), 11,361 (Cambodia), 11,337 (Sudan), 10,727 (Turkey), 7,911 (Vietnam), 7,788 (Guinea), 7,245 (Iraq), 6,271 (Laos), 5,320 (Mauritania) (2017) |
| | *stateless persons:* 1,425 (2017) |
| **Gambia, The** | *refugees (country of origin):* 8,031 (Senegal) (2018) |
| **Gaza Strip** | *refugees (country of origin):* 1,348,536 (Palestinian refugees) (2017) |
| | *IDPs:* 231,000 (includes persons displaced within the Gaza Strip due to the intensification of the Israeli-Palestinian conflict since June 2014 and other Palestinian IDPs in the Gaza Strip and West Bank who fled as long ago as 1967, although confirmed cumulative data do not go back beyond 2006) (2017) |
| **Georgia** | *IDPs:* 289,000 (displaced in the 1990s as a result of armed conflict in the breakaway republics of Abkhazia and South Ossetia; displaced in 2008 by fighting between Georgia and Russia over South Ossetia) (2017) |
| | *stateless persons:* 587 (2017) |
| **Germany** | *refugees (country of origin):* 496,674 (Syria), 130,640 (Iraq), 104,385 (Afghanistan), 49,253 (Eritrea), 38,262 (Iran), 21,120 (Turkey), 9,232 (Serbia and Kosovo), 19,508 (Somalia), 6,960 (Russia), 6,572 (Pakistan) (2017), 10,830 (Ukraine) (2018) note - estimate represents asylum applicants from the beginning of the Ukraine crisis in 2014 to September 2017 |
| | *stateless persons:* 13,458 (2017) |
| **Ghana** | *refugees (country of origin):* 6,623 (Cote d'Ivoire) (flight from 2010 post-election fighting) (2018) |
| **Greece** | *refugees (country of origin):* 13,714 (Syria) (2017) |
| | *stateless persons:* 198 (2017) |
| | *note:* 1,118,070 estimated refugee and migrant arrivals (January 2015-December 2018); as of the end of June 2018, an estimated 62,938 migrants and refugees were stranded in Greece; 35,052 migrant arrivals in 2017 |
| **Guatemala** | *IDPs:* 242,000 (more than three decades of internal conflict that ended in 1996 displaced mainly the indigenous Maya population and rural peasants; ongoing drug cartel and gang violence) (2017) |
| **Guinea-Bissau** | *refugees (country of origin):* 10,000 (Senegal) (2018) |
| **Haiti** | *IDPs:* 37,667 (includes only IDPs from the 2010 earthquake living in camps or camp-like situations; information is lacking about IDPs living outside of camps or who have left camps) (2017) |
| | *stateless persons:* 2,302 (2017) |
| | *note:* stateless persons are individuals without a nationality who were born in the Dominican Republic prior to January 2010 |
| **Honduras** | *IDPs:* 190,000 (violence, extortion, threats, forced recruitment by urban gangs) (2017) |
| **Hungary** | *refugees (country of origin):* 5,950 applicants for forms of legal stay other than asylum (Ukraine) (2015) |
| | *stateless persons:* 139 (2017) |
| | *note:* 432,744 estimated refugee and migrant arrivals (January 2015-December 2018); Hungary is predominantly a transit country and hosts 137 migrants and asylum seekers as of the end of June 2018; 1,626 migrant arrivals in 2017 |
| **Iceland** | *stateless persons:* 85 (2017) |
| **India** | *refugees (country of origin):* 108,008 (Tibet/China), 61,842 (Sri Lanka), 18,089 (Burma), 7,758 (Afghanistan) (2017) |
| | *IDPs:* 806,000 (armed conflict and intercommunal violence) (2017) |
| **Indonesia** | *IDPs:* 13,000 (inter-communal, inter-faith, and separatist violence between 1998 and 2004 in Aceh and Papua; religious attacks and land conflicts in 2012 and 2013; most IDPs in Aceh, Maluku, East Nusa Tengarra) (2017) |
| **Iran** | *refugees (country of origin):* 28,268 (Iraq), 2.5-3.0 (1 million registered, 1.5-2.0 million undocumented) (Afghanistan) (2017) |
| **Iraq** | *refugees (country of origin):* 15,514 (Turkey), 7,865 (West Bank and Gaza Strip), 7,143 (Iran) (2017), 252,722 (Syria) (2018) |
| | *IDPs:* 2,908,112 (includes displacement between 2006 and 2008 due to ethno-sectarian violence and displacement in central and northern Iraq since January 2014) (2018) |
| | *stateless persons:* 47,630 (2017); note - in the 1970s and 1980s under SADDAM Husayn's regime, thousands of Iraq's Faili Kurds, followers of Shia Islam, were stripped of their Iraqi citizenship, had their property seized by the government, and many were deported; some Faili Kurds had their citizenship reinstated under the 2,006 Iraqi Nationality Law, but others lack the documentation to prove their Iraqi origins; some Palestinian refugees persecuted by the SADDAM regime remain stateless |
| | *note:* estimate revised to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless persons to apply for nationality in certain circumstances; more accurate studies of statelessness in Iraq are pending (2015) |
| **Ireland** | *stateless persons:* 99 (2017) |
| **Israel** | *refugees (country of origin):* 22,010 (Eritrea), 13,262 (Ukraine) (2017) note - estimate represents asylum applicants since the beginning of the Ukraine crisis in 2014 to September 2017 |
| | *stateless persons:* 42 (2017) |
| **Italy** | *refugees (country of origin):* 17,171 (Afghanistan), 18,026 (Nigeria), 15,966 (Pakistan), 15,641 (Somalia), 13,206 (Mali), 10,273 (Gambia), 7,940 (Eritrea), 6,412 (Cote d'Ivoire) (2017), 6,197 (Senegal), 12,535 (Ukraine) (2018) note - estimate represents asylum applicants since the beginning of the Ukraine crisis in 2014 to September 2017 |
| | *stateless persons:* 715 (2017) |
| | *note:* 477,853 estimated refugee and migrant arrivals by sea (January 2015-December 2018); hosts an estimated 155,619 migrants and asylum seekers as of the end of September 2018; 119,369 arrivals in 2017 |
| **Japan** | *stateless persons:* 585 (2017) |
| **Jordan** | *refugees (country of origin):* 2,175,491 (Palestinian refugees) (2017),Â 671,148 (Syria), 67,084 (Iraq), 12,967 (Yemen), 5,307 Sudan (2018) |
| **Kazakhstan** | *stateless persons:* 8,138 (2017) |
| **Kenya** | *refugees (country of origin):* 255,980 (Somalia) (refugees and asylum seekers), 114,391 (South Sudan) (refugees and asylum seekers), 40,709 (Democratic Republic of the Congo) (refugees and asylum seekers), 27,811 (Ethiopia) (refugees and asylum seekers), 13,265 (Burundi) (refugees and asylum seekers), 10,190 (Sudan) (refugees and asylum seekers) (2018) |
| | *IDPs:* 159,000 (represents people displaced since the 1990s by ethnic and political violence and land disputes and who sought refuge mostly in camps; persons who took refuge in host communities or were evicted in urban areas are not included in the data; data is not available on pastoralists displaced by cattle rustling, violence, natural disasters, and development projects; the largest displacement resulted from 2007-08 post-election violence (2017) |
| | *stateless persons:* 18,500 (2017); note - the stateless population consists of Nubians, Kenyan Somalis, and coastal Arabs; the Nubians are descendants of Sudanese soldiers recruited by the British to fight for them in East Africa more than a century ago; Nubians did not receive Kenyan citizenship when the country became independent in 1963; only recently have Nubians become a formally recognized tribe and had less trouble obtaining national IDs; Galjeel and other Somalis who have lived in Kenya for decades are included with more recent Somali refugees and denied ID cards |
| **Korea, North** | *IDPs:* undetermined (periodic flooding and famine during mid-1990s) (2017) |
| **Korea, South** | *stateless persons:* 197 (2017) |
| **Kosovo** | *IDPs:* 16,000 (primarily ethnic Serbs displaced during the 1998-1999 war fearing reprisals from the majority ethnic-Albanian population; a smaller number of ethnic Serbs, Roma, Ashkali, and Egyptians fled their homes in 2,004 as a result of violence) (2017) |
| **Kuwait** | *stateless persons:* 92,000 (2017); note - Kuwait's 1959 Nationality Law defined citizens as persons who settled in the country before 1920 and who had maintained normal residence since then; one-third of the population, descendants of Bedouin tribes, missed the window of opportunity to register for nationality rights after Kuwait became independent in 1961 and were classified as bidun (meaning "without"); since the 1980s Kuwait's bidun have progressively lost their rights, including opportunities for employment and education, amid official claims that they are nationals of other countries who have destroyed their identification documents in hopes of gaining Kuwaiti citizenship; Kuwaiti authorities have delayed processing citizenship applications and labeled biduns as "illegal residents," denying them access to civil documentation, such as birth and marriage certificates |
| **Kyrgyzstan** | *stateless persons:* 855 (2017); note - most stateless people were born in Kyrgyzstan, have lived there many years, or married Kyrgyz citizens; in 2009, Kyrgyzstan adopted a national action plan to speed up the exchange of old Soviet passports for Kyrgyz ones; between 2014 and 2016, Kyrgyzstan has resolved nearly 9,000 stateless cases; stateless people are unable to register marriages and births, to travel within the country or abroad, to own property, or to receive social benefits |
| **Latvia** | *stateless persons:* 233,571 (2017); note - individuals who were Latvian citizens prior to the 1940 Soviet occupation and their descendants were recognized as Latvian citizens when the country's independence was restored in 1991; citizens of the former Soviet Union residing in Latvia who have neither Latvian nor other citizenship are considered non-citizens (officially there is no statelessness in Latvia) and are entitled to non-citizen passports; children born after Latvian independence to stateless parents are entitled to Latvian citizenship upon their parents' request; non-citizens cannot vote or hold certain government jobs and are exempt from military service but can travel visa-free in the EU under the Schengen accord like Latvian citizens; non-citizens can obtain naturalization if they have been permanent residents of Latvia for at least five years, pass tests in Latvian language and history, and know the words of the Latvian national anthem |
| **Lebanon** | *refugees (country of origin):* 5,695 (Iraq), 463,664 (Palestinian refugees) (2017), 950,334 (Syria) (2018) |
| | *IDPs:* 11,000 (2007 Lebanese security forces' destruction of Palestinian refugee camp) (2017) |
| | *stateless persons:* undetermined (2016); note - tens of thousands of persons are stateless in Lebanon, including many Palestinian refugees and their descendants, Syrian Kurds denaturalized in Syria in 1962, children born to Lebanese women married to foreign or stateless men; most babies born to Syrian refugees, and Lebanese children whose births are unregistered |
| **Liberia** | *refugees (country of origin):* 9,149 (Cote d'Ivoire) (2018) |
| | *IDPs:* up to 23,000 (civil war from 1990-2004; post-election violence in March and April 2011; many dwell in slums in Monrovia) (2014) |
| **Libya** | *refugees (country of origin):* 23,687 (Syria), 10,300 (Sudan), 7,277 (Palestinian),Â 6,858 (Eritrea) (2018) |
| | *IDPs:* 187,423 (conflict between pro-QADHAFI and anti-QADHAFI forces in 2011; post-QADHAFI tribal clashes 2014) (2018) |
| **Lithuania** | *stateless persons:* 3,193 (2017) |
| **Luxembourg** | *stateless persons:* 83 (2017) |
| **Macedonia** | *stateless persons:* 590 (2017) |
| | *note:* 481,637 estimated refugee and migrant arrivals (January 2015- December 2018); Macedonia is predominantly a transit country and hosts fewer than 50 refugees and asylum seekers as of October 2017; 547 migrant arrivals in 2017 |
| **Madagascar** | *IDPs:* 246,842 (cyclone in 2017) (2017) |
| **Malawi** | *refugees (country of origin):* 22,696 (Democratic Republic of the Congo) (refugees and asylum seekers), 7,500 (Burundi) (refugees and asylum seekers) (2018) |
| | *IDPs:* 8,463 (floods in 2015) (2016) |
| **Malaysia** | *refugees (country of origin):* 98,041 (Burma) (2017) |
| | *stateless persons:* 10,068 (2017); note - Malaysia's stateless population consists of Rohingya refugees from Burma, ethnic Indians, and the children of Filipino and Indonesian illegal migrants; Burma stripped the Rohingya of their nationality in 1982; Filipino and Indonesian children who have not been registered for birth certificates by their parents or who received birth certificates stamped "foreigner" are not eligible to attend government schools; these children are vulnerable to statelessness should they not be able to apply to their parents' country of origin for passports |
| **Mali** | *refugees (country of origin):* 15,319 (Mauritania) (2018) |
| | *IDPs:* 80,302 (Tuareg rebellion since 2012) (2018) |
| **Malta** | *stateless persons:* 11 (2017) |
| **Mauritania** | *refugees (country of origin):* 26,001 (Western Saharan Sahrawis) (2017), 55,866 (Mali) (2018) |
| **Mexico** | *refugees (country of origin):* 32,922 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| | *IDPs:* 345,000 (government's quashing of Zapatista uprising in 1994 in eastern Chiapas Region; drug cartel violence and government's military response since 2007; violence between and within indigenous groups) (2017) |
| | *stateless persons:* 13 (2017) |
| **Moldova** | *refugees (country of origin):* 6,779 applicants for forms of legal stay other than asylum (Ukraine) (2015) |
| | *stateless persons:* 4,569 (2017) |
| **Mongolia** | *stateless persons:* 17 (2017) |
| **Montenegro** | *stateless persons:* 145 (2017) |
| **Mozambique** | *refugees (country of origin):* 10,811 (Democratic Republic of Congo) (refugees and asylum seekers) (2018) |
| **Nepal** | *refugees (country of origin):* 13,509 (Tibet/China), 7,422 (Bhutan) (2017) |
| | *IDPs:* 50,000 (remaining from ten-year Maoist insurgency that officially ended in 2006; figure does not include people displaced since 2007 by inter-communal violence and insecurity in the Terai region; 2015 earthquakes) (2016) |
| | *stateless persons:* undetermined (2016); note - the UNHCR is working with the Nepali Government to address the large number of individuals lacking citizenship certificates in Nepal; smaller numbers of Bhutanese Hindu refugees of Nepali origin (the Lhotshampa) who were stripped of Bhutanese nationality and forced to flee their country in the late 1980s and early 1990s - and undocumented Tibetan refugees who arrived in Nepal prior to the 1990s - are considered stateless |
| **Netherlands** | *refugees (country of origin):* 30,851 (Syria), 15,478 (Somalia), 14,713 (Eritrea), 11,369 (Iraq), 6,205 (Afghanistan) (2017) |
| | *stateless persons:* 1,951 (2017) |
| **Niger** | *refugees (country of origin):* 118,868 (Nigeria), 57,300 (Mali) (2018) |
| | *IDPs:* 104,288 (unknown how many of the 11,000 people displaced by clashes between government forces and the Tuareg militant group, Niger Movement for Justice, in 2007 are still displaced; inter-communal violence; Boko Haram attacks in southern Niger, 2015) (2018) |
| **Nigeria** | *refugees (country of origin):* 30,024 (Cameroon) (2018) |
| | *IDPs:* 2,026,602Â (northeast Nigeria; Boko Haram attacks and counterinsurgency efforts in northern Nigeria; communal violence between Christians and Muslims in the middle belt region, political violence; flooding; forced evictions; cattle rustling; competition for resources) (2018) |
| **Norway** | *refugees (country of origin):* 15,456 (Eritrea), 11,498 (Syria), 7,527 (Somalia), 6,490 (Afghanistan) (2017) |
| | *stateless persons:* 3,282 (2017) |
| **Oman** | *refugees (country of origin):* 5,000 (Yemen) (2017) |
| **Pakistan** | *refugees (country of origin):* 2.58-2.68 million (1.4 million registered, 1.18-1.28 million undocumented) (Afghanistan) (2017) |
| | *IDPs:* 249,000 (primarily those who remain displaced by counter-terrorism and counter-insurgency operations and violent conflict between armed non-state groups in the Federally Administered Tribal Areas and Khyber-Paktunkwa Province; more than 1 million displaced in northern Waziristan in 2014; individuals also have been displaced by repeated monsoon floods) (2017) |
| **Panama** | *refugees (country of origin):* 15,614 (Colombia) (2016), 60,699 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| **Papua New Guinea** | *refugees (country of origin):* 9,368 (Indonesia) (2017) |
| | *IDPs:* 12,000 (natural disasters, tribal conflict, inter-communal violence, development projects) (2017) |
| **Peru** | *refugees (country of origin):* 260,274 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| | *IDPs:* 59,000 (civil war from 1980-2000; most IDPs are indigenous peasants in Andean and Amazonian regions; as of 2011, no new information on the situation of these IDPs) (2017) |
| **Philippines** | *IDPs:* 445,000 (government troops fighting the Moro Islamic Liberation Front, the Abu Sayyaf Group, and the New People's Army; clan feuds; natural disasters) (2017) |
| | *stateless persons:* 2,678 (2017); note - stateless persons are descendants of Indonesian migrants |
| **Poland** | *refugees (country of origin):* 71,302 applicants for forms of legal stay other than asylum (Ukraine) (2015), 9,950 (Russia) (2017) |
| | *stateless persons:* 10,825 (2017) |
| **Portugal** | *stateless persons:* 14 (2017) |
| **Qatar** | *stateless persons:* 1,200 (2017) |
| **Romania** | *stateless persons:* 238 (2017) |
| **Russia** | *refugees (country of origin):* 427,240 (Ukraine) (2017) note - estimate represents asylum applicants since the beginning of the Ukraine crisis in 2014 to September 2017 |
| | *IDPs:* 19,000 (armed conflict, human rights violations, generalized violence in North Caucasus, particularly Chechnya and North Ossetia) (2017) |
