Field Listing :: Refugees and internally displaced persons :: The World Factbook - Central Intelligence Agency

This entry includes those persons residing in a country as refugees, internally displaced persons (IDPs), or stateless persons. Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a UN Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state. A stateless person is defined as someone who is not considered a national by any state under the operation of its law, according to UN convention.

| Country | Refugees and internally displaced persons |
| | *note:* revised estimate includes only individuals born to parents who were both born abroad; it does not include individuals born in the country to one Dominican-born and one foreign-born parent or subsequent generations of individuals of foreign descent; the estimate, as such, does not include all stateless persons (2015) |
| **Ecuador** | *refugees (country of origin):* 50,532 (Colombia) (2018), 120,587 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| **Egypt** | *refugees (country of origin):* 70,021 (West Bank and Gaza Strip) (2017); 129,779 (Syria) (refugees and asylum seekers), 46,177 (Sudan) (refugees and asylum seekers),Â 18,004 (South Sudan) (refugees and asylum seekers), 17,514 (Eritrea) (refugees and asylum seekers), 16,210 (Ethiopia) (refugees and asylum seekers),Â 6,903 (Somalia) (refugees and asylum seekers), 6,752 (Iraq) (refugees and asylum seekers) (2019) |
| | *IDPs:* 97,000 (2018) |
| **El Salvador** | *IDPs:* 71,500 (2018) |
| **Estonia** | *stateless persons:* 77,877 (2018); note - following independence in 1991, automatic citizenship was restricted to those who were Estonian citizens prior to the 1940 Soviet occupation and their descendants; thousands of ethnic Russians remained stateless when forced to choose between passing Estonian language and citizenship tests or applying for Russian citizenship; one reason for demurring on Estonian citizenship was to retain the right of visa-free travel to Russia; stateless residents can vote in local elections but not general elections; stateless parents who have been lawful residents of Estonia for at least five years can apply for citizenship for their children before they turn 15 years old |
| **Ethiopia** | *refugees (country of origin):* 320,957 (South Sudan), 188,911 (Somalia),Â 146,690 (Eritrea), 51,855 (Sudan) (2019) |
| | *IDPs:* 2,164,201 (includes conflict- and climate-induced IDPs, excluding unverified estimates from the Amhara region; border war with Eritrea from 1998-2000; ethnic clashes; and ongoing fighting between the Ethiopian military and separatist rebel groups in the Somali and Oromia regions; natural disasters; intercommunal violence; most IDPs live in Sumale state) (2019) |
| **Finland** | *refugees (country of origin):* 8,523 (Iraq) (2018) |
| | *stateless persons:* 2,759 (2018) |
| **France** | *refugees (country of origin):* 23,918 (Sri Lanka), 18,534 (Afghanistan), 16,484 (Democratic Republic of the Congo), 15,898 (Russia), 15,822 (Syria), 14,700 (Sudan), 13,778 (Serbia and Kosovo), 11,196 (Turkey), 11,193 (Cambodia), 9,264 (Guinea), 8,131 (Iraq), 7,821 (Vietnam), 6,617 (Laos), 5,419 (Mauritania) (2018) |
| | *stateless persons:* 1,493 (2018) |
| **Gaza Strip** | *refugees (country of origin):* 1,421,282 (Palestinian refugees) (2019) |
| | *IDPs:* 238,000 (includes persons displaced within the Gaza Strip due to the intensification of the Israeli-Palestinian conflict since June 2014 and other Palestinian IDPs in the Gaza Strip and West Bank who fled as long ago as 1967, although confirmed cumulative data do not go back beyond 2006) (2018) |
| **Georgia** | *IDPs:* 293,000 (displaced in the 1990s as a result of armed conflict in the breakaway republics of Abkhazia and South Ossetia; displaced in 2008 by fighting between Georgia and Russia over South Ossetia) (2018) |
| | *stateless persons:* 566 (2018) |
| **Germany** | *refugees (country of origin):* 532,065 (Syria), 136,463 (Iraq), 126,018 (Afghanistan), 55,334 (Eritrea), 41,150 (Iran), 24,036 (Turkey), 23,581 (Somalia),Â 9,155 (Serbia and Kosovo), 8,119 (Russia), 7,454 (Pakistan), 6,453 (Nigeria) (2018) |
| | *stateless persons:* 14,779 (2018) |
| **Ghana** | *refugees (country of origin):* 6,517 (Cote d'Ivoire) (flight from 2010 post-election fighting) (2019) |
| | *IDPs:* 5,000 (land disputes between ethnic communities in the north in 2018) (2018) |
| **Greece** | *refugees (country of origin):* 23,931 (Syria), 9,291 (Afghanistan) (2018) |
| | *stateless persons:* 198 (2018) |
| | *note:* 1,188,105 estimated refugee and migrant arrivals (January 2015-December 2019); as of the end of February 2019, an estimated 80,600 migrants and refugees are stranded in Greece since 2015-16; 50,215 migrant arrivals in 2018 |
| **Guatemala** | *IDPs:* 242,000 (more than three decades of internal conflict that ended in 1996 displaced mainly the indigenous Maya population and rural peasants; ongoing drug cartel and gang violence) (2018) |
| **Guinea-Bissau** | *refugees (country of origin):* 10,000 (Senegal) (2018) |
| **Haiti** | *IDPs:* 34,508 (includes only IDPs from the 2010 earthquake living in camps or camp-like situations; information is lacking about IDPs living outside of camps or who have left camps) (2019) |
| | *stateless persons:* 2,992 (2018); note - individuals without a nationality who were born in the Dominican Republic prior to January 2010 |
| **Honduras** | *IDPs:* 190,000 (violence, extortion, threats, forced recruitment by urban gangs) (2016) |
| **Hungary** | *refugees (country of origin):* 5,950 applicants for forms of legal stay other than asylum (Ukraine) (2015) |
| | *stateless persons:* 144 (2018) |
| | *note:* 432,744 estimated refugee and migrant arrivals (January 2015-December 2018); Hungary is predominantly a transit country and hosts 137 migrants and asylum seekers as of the end of June 2018; 1,626 migrant arrivals in 2017 |
| **Iceland** | *stateless persons:* 69 (2018) |
| **India** | *refugees (country of origin):* 108,008 (Tibet/China), 60,802 (Sri Lanka), 18,813 (Burma), 6,984 (Afghanistan) (2018) |
| | *IDPs:* 479,000 (armed conflict and intercommunal violence) (2018) |
| **Indonesia** | *refugees (country of origin):* 6,098 (Afghanistan) (2018) |
| | *IDPs:* 16,000 (inter-communal, inter-faith, and separatist violence between 1998 and 2004 in Aceh and Papua; religious attacks and land conflicts in 2012 and 2013; most IDPs in Aceh, Maluku, East Nusa Tengarra) (2018) |
| **Iran** | *refugees (country of origin):* 2.5-3.0 (1 million registered, 1.5-2.0 million undocumented) (Afghanistan) (2017); 28,268 (Iraq) (2018) |
| **Iraq** | *refugees (country of origin):* 15,405 (Turkey), 7,944 (West Bank and Gaza Strip), 7,026 (Iran) (2018); 244,539 (Syria) (2019) |
| | *IDPs:* 2,507,042 (includes displacement between 2006 and 2008 due to ethno-sectarian violence and displacement in central and northern Iraq since January 2014) (2019) |
| | *stateless persons:* 47,515 (2018); note - in the 1970s and 1980s under SADDAM Husayn's regime, thousands of Iraq's Faili Kurds, followers of Shia Islam, were stripped of their Iraqi citizenship, had their property seized by the government, and many were deported; some Faili Kurds had their citizenship reinstated under the 2,006 Iraqi Nationality Law, but others lack the documentation to prove their Iraqi origins; some Palestinian refugees persecuted by the SADDAM regime remain stateless |
| | *note:* estimate revised to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless persons to apply for nationality in certain circumstances; more accurate studies of statelessness in Iraq are pending (2015) |
| **Ireland** | *stateless persons:* 99 (2018) |
| **Israel** | *refugees (country of origin):* 14,516 (Eritrea) (2018), 7,857 (Ukraine) (2019) |
| | *stateless persons:* 42 (2018) |
| **Italy** | *refugees (country of origin):* 22,319 (Nigeria), 18,249 (Pakistan), 16,941 (Afghanistan), 15,003 (Mali), 13,373 (Somalia), 12,549 (Gambia), 13,525 (Ukraine), 7,644 (Senegal), 7,174 (Cote d'Ivoire), 6,975 (Eritrea) (2018); note - estimate for Ukraine represents asylum applicants since the beginning of the Ukraine crisis in 2014 to July 2018 |
| | *stateless persons:* 732 (2018) |
| | *note:* 489,456 estimated refugee and migrant arrivals by sea (January 2015-December 2019); hosts an estimated 108,924 migrants and asylum seekers as of the end of June 2019; 23,370 arrivals in 2018 |
| **Japan** | *stateless persons:* 709 (2018) |
| **Jordan** | *refugees (country of origin):* 2,242,579 (Palestinian refugees), 654,192 (Syria), 67,266 (Iraq),Â 14,730 (Yemen),Â 6,116 SudanÂ (2019) |
| **Kazakhstan** | *stateless persons:* 7,690 (2018) |
| **Kenya** | *refugees (country of origin):* 256,168 (Somalia) (refugees and asylum seekers),Â 119,985 (South Sudan) (refugees and asylum seekers),Â 43,890 (Democratic Republic of the Congo) (refugees and asylum seekers),Â 27,989 (Ethiopia) (refugees and asylum seekers), 14,674 (Burundi) (refugees and asylum seekers),Â 10,011 (Sudan) (refugees and asylum seekers) (2019) |
| | *IDPs:* 162,000 (election-related violence, intercommunal violence, resource conflicts, al-Shabaab attacks in 2017 and 2018) (2018) |
| | *stateless persons:* 18,500 (2018); note - the stateless population consists of Nubians, Kenyan Somalis, and coastal Arabs; the Nubians are descendants of Sudanese soldiers recruited by the British to fight for them in East Africa more than a century ago; Nubians did not receive Kenyan citizenship when the country became independent in 1963; only recently have Nubians become a formally recognized tribe and had less trouble obtaining national IDs; Galjeel and other Somalis who have lived in Kenya for decades are included with more recent Somali refugees and denied ID cards |
| **Korea, North** | *IDPs:* undetermined (periodic flooding and famine during mid-1990s) (2017) |
| **Korea, South** | *stateless persons:* 197 (2018) |
| **Kosovo** | *IDPs:* 16,000 (primarily ethnic Serbs displaced during the 1998-1999 war fearing reprisals from the majority ethnic-Albanian population; a smaller number of ethnic Serbs, Roma, Ashkali, and Egyptians fled their homes in 2,004 as a result of violence) (2018) |
| **Kuwait** | *stateless persons:* 92,000 (2018); note - Kuwait's 1959 Nationality Law defined citizens as persons who settled in the country before 1920 and who had maintained normal residence since then; one-third of the population, descendants of Bedouin tribes, missed the window of opportunity to register for nationality rights after Kuwait became independent in 1961 and were classified as bidun (meaning "without"); since the 1980s Kuwait's bidun have progressively lost their rights, including opportunities for employment and education, amid official claims that they are nationals of other countries who have destroyed their identification documents in hopes of gaining Kuwaiti citizenship; Kuwaiti authorities have delayed processing citizenship applications and labeled biduns as "illegal residents," denying them access to civil documentation, such as birth and marriage certificates |
| **Latvia** | *stateless persons:* 224,844 (2018); note - individuals who were Latvian citizens prior to the 1940 Soviet occupation and their descendants were recognized as Latvian citizens when the country's independence was restored in 1991; citizens of the former Soviet Union residing in Latvia who have neither Latvian nor other citizenship are considered non-citizens (officially there is no statelessness in Latvia) and are entitled to non-citizen passports; children born after Latvian independence to stateless parents are entitled to Latvian citizenship upon their parents' request; non-citizens cannot vote or hold certain government jobs and are exempt from military service but can travel visa-free in the EU under the Schengen accord like Latvian citizens; non-citizens can obtain naturalization if they have been permanent residents of Latvia for at least five years, pass tests in Latvian language and history, and know the words of the Latvian national anthem |
| **Lebanon** | *refugees (country of origin):* 916,113 (Syria),Â 475,075 (Palestinian refugees) (2019) |
| | *IDPs:* 11,000 (2007 Lebanese security forces' destruction of Palestinian refugee camp) (2018) |
| | *stateless persons:* undetermined (2016); note - tens of thousands of persons are stateless in Lebanon, including many Palestinian refugees and their descendants, Syrian Kurds denaturalized in Syria in 1962, children born to Lebanese women married to foreign or stateless men; most babies born to Syrian refugees, and Lebanese children whose births are unregistered |
| **Liberia** | *refugees (country of origin):* 8,551 (Cote d'Ivoire) (2019) |
| **Libya** | *refugees (country of origin):* 16,820 (Syria) (refugees and asylum seekers), 12,220 (Sudan) (refugees and asylum seekers), 5,899 (Eritrea) (refugees and asylum seekers) (2019) |
| | *IDPs:* 301,407 (conflict between pro-QADHAFI and anti-QADHAFI forces in 2011; post-QADHAFI tribal clashes 2014) (2019) |
| **Lithuania** | *stateless persons:* 3,039 (2018) |
| **Luxembourg** | *stateless persons:* 83 (2018) |
| **Malawi** | *refugees (country of origin):* 27,531 (Democratic Republic of the Congo) (refugees and asylum seekers), 8,752 (Burundi) (refugees and asylum seekers), 6,606 (Rwanda) (refugees and asylum seekers) (2019) |
| **Malaysia** | *refugees (country of origin):* 114,227 (Burma) (2018) |
| | *stateless persons:* 9,631 (2018); note - Malaysia's stateless population consists of Rohingya refugees from Burma, ethnic Indians, and the children of Filipino and Indonesian illegal migrants; Burma stripped the Rohingya of their nationality in 1982; Filipino and Indonesian children who have not been registered for birth certificates by their parents or who received birth certificates stamped "foreigner" are not eligible to attend government schools; these children are vulnerable to statelessness should they not be able to apply to their parents' country of origin for passports |
| **Mali** | *refugees (country of origin):* 15,319 (Mauritania), 8,457 (Burkina Faso) (2019) |
| | *IDPs:* 199,385 (Tuareg rebellion since 2012) (2019) |
| **Malta** | *stateless persons:* 11 (2018) |
| | *note:*Â 5,000 estimated refugee and migrant arrivals by sea (January 2015-December 2019) |
| **Mauritania** | *refugees (country of origin):* 26,001 (Western Saharan Sahrawis) (2018); 56,668 (Mali) (2019) |
| **Mexico** | *refugees (country of origin):* 5,155 (El Salvador) (2018); 64,053 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| | *IDPs:* 338,000 (government's quashing of Zapatista uprising in 1994 in eastern Chiapas Region; drug cartel violence and government's military response since 2007; violence between and within indigenous groups) (2018) |
| | *stateless persons:* 13 (2018) |
| **Moldova** | *refugees (country of origin):* 6,779 applicants for forms of legal stay other than asylum (Ukraine) (2015) |
| | *stateless persons:* 4,451 (2018) |
| **Mongolia** | *stateless persons:* 17 (2018) |
| **Montenegro** | *stateless persons:* 145 (2018) |
| | *note:* 14,114 estimated refugee and migrant arrivals (January 2015-December 2019) |
| **Mozambique** | *refugees (country of origin):* 9,850 (Democratic Republic of Congo) (refugees and asylum seekers), 7,841 (Burundi) (refugees and asylum seekers) (2019) |
| | *IDPs:* 14,000 (violence between the government and an opposition group, violence associated with extremists groups in 2018) (2018) |
| **Nepal** | *refugees (country of origin):* 13,509 (Tibet/China), 6,626 (Bhutan) (2018) |
| | *stateless persons:* undetermined (2016); note - the UNHCR is working with the Nepali Government to address the large number of individuals lacking citizenship certificates in Nepal; smaller numbers of Bhutanese Hindu refugees of Nepali origin (the Lhotshampa) who were stripped of Bhutanese nationality and forced to flee their country in the late 1980s and early 1990s - and undocumented Tibetan refugees who arrived in Nepal prior to the 1990s - are considered stateless |
| **Netherlands** | *refugees (country of origin):* 32,092 (Syria), 15,478 (Somalia), 14,931 (Eritrea), 9,259 (Iraq), 6,267 (Afghanistan) (2017) |
| | *stateless persons:* 1,951 (2018) |
| **Niger** | *refugees (country of origin):* 161,359 (Nigeria),Â 56,499 (Mali) (2019) |
| | *IDPs:* 187,359 (includes the regions of Diffa, Tillaberi, and Tahoua; unknown how many of the 11,000 people displaced by clashes between government forces and the Tuareg militant group, Niger Movement for Justice, in 2007 are still displaced; inter-communal violence; Boko Haram attacks in southern Niger, 2015) (2019) |
| **Nigeria** | *refugees (country of origin):* 44,524 (Cameroon) (2019) |
| | *IDPs:* 2,018,513 (northeast Nigeria; Boko Haram attacks and counterinsurgency efforts in northern Nigeria; communal violence between Christians and Muslims in the middle belt region, political violence; flooding; forced evictions; cattle rustling; competition for resources) (2019) |
| **North Macedonia** | *stateless persons:* 571 (2018) |
| | *note:* 483,301 estimated refugee and migrant arrivals (January 2015-December 2019); North Macedonia is predominantly a transit country and hosts fewer than 50 refugees and asylum seekers as of October 2017; 3,132 migrant arrivals in 2018 |
| **Norway** | *refugees (country of origin):* 15,246 (Eritrea), 13,914 (Syria), 7,183 (Somalia), 6,065 (Afghanistan) (2018) |
| | *stateless persons:* 2,809 (2018) |
| **Oman** | *refugees (country of origin):* 5,000 (Yemen) (2017) |
| **Pakistan** | *refugees (country of origin):* 2.58-2.68 million (1.4 million registered, 1.18-1.28 million undocumented) (Afghanistan) (2017) |
| | *IDPs:* 119,000 (primarily those who remain displaced by counter-terrorism and counter-insurgency operations and violent conflict between armed non-state groups in the Federally Administered Tribal Areas and Khyber-Paktunkwa Province; more than 1 million displaced in northern Waziristan in 2014; individuals also have been displaced by repeated monsoon floods) (2018) |
| **Panama** | *refugees (country of origin):* 15,614 (Colombia) (2016), 85,571 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| **Papua New Guinea** | *refugees (country of origin):* 9,368 (Indonesia) (2018) |
| | *IDPs:* 12,000 (natural disasters, tribal conflict, inter-communal violence, development projects) (2017) |
| **Peru** | *refugees (country of origin):* 946,020Â (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| | *IDPs:* 59,000 (civil war from 1980-2000; most IDPs are indigenous peasants in Andean and Amazonian regions; as of 2011, no new information on the situation of these IDPs) (2017) |
| **Philippines** | *IDPs:* 301,000 (government troops fighting the Moro Islamic Liberation Front, the Abu Sayyaf Group, and the New People's Army; clan feuds; natural disasters) (2018) |
| | *stateless persons:* 1,068 (2018); note - stateless persons are descendants of Indonesian migrants |
| **Poland** | *refugees (country of origin):* 9,893 (Russia) (2018) |
| | *stateless persons:* 10,825 (2018) |
| **Portugal** | *stateless persons:* 14 (2018) |
| **Qatar** | *stateless persons:* 1,200 (2018) |
| **Romania** | *stateless persons:* 227 (2018) |
| **Russia** | *refugees (country of origin):* 75,941 (Ukraine) (2019) |
| | *stateless persons:* 75,679 (2018); note - Russia's stateless population consists of Roma, Meskhetian Turks, and ex-Soviet citizens from the former republics; between 2003 and 2010 more than 600,000 stateless people were naturalized; most Meskhetian Turks, followers of Islam with origins in Georgia, fled or were evacuated from Uzbekistan after a 1989 pogrom and have lived in Russia for more than the required five-year residency period; they continue to be denied registration for citizenship and basic rights by local Krasnodar Krai authorities on the grounds that they are temporary illegal migrants |
| **Rwanda** | *refugees (country of origin):* 76,366 (Democratic Republic of the Congo), 72,932 (Burundi) (2019) |
| **Saudi Arabia** | *refugees (country of origin):* 30,000 (Yemen) (2017) |
