CIA - The World Factbook --  Radios   

| Rank | country | Radios | Date of Information |
| 91 | Chad | 1,670,000.00 | 1997 |
| 92 | Jordan | 1,660,000.00 | 1997 |
| 93 | Croatia | 1,510,000.00 | 1997 |
| 94 | Dominican Republic | 1,440,000.00 | 1997 |
| 95 | Oman | 1,400,000.00 | 1997 |
| 96 | Libya | 1,350,000.00 | 1997 |
| 97 | Cambodia | 1,340,000.00 | 1997 |
| 98 | Tajikistan | 1,291,000.00 | 1991 |
| 99 | Nicaragua | 1,240,000.00 | 1997 |
| 100 | Senegal | 1,240,000.00 | 1997 |
| 101 | Turkmenistan | 1,225,000.00 | 1997 |
| 102 | Jamaica | 1,215,000.00 | 1997 |
| 103 | Zambia | 1,200,000.00 | 2001 |
| 104 | Kuwait | 1,175,000.00 | 1997 |
| 105 | Zimbabwe | 1,140,000.00 | 1997 |
| 106 | Sierra Leone | 1,120,000.00 | 1997 |
| 107 | Yemen | 1,050,000.00 | 1997 |
| 108 | Estonia | 1,010,000.00 | 1997 |
| 109 | Albania | 1,000,000.00 | 2001 |
| 110 | Costa Rica | 980,000.00 | 1997 |
| 111 | Bosnia and Herzegovina | 940,000.00 | 1997 |
| 112 | Togo | 940,000.00 | 1997 |
| 113 | Paraguay | 925,000.00 | 1997 |
| 114 | Armenia | 850,000.00 | 1997 |
| 115 | Nepal | 840,000.00 | 1997 |
| 116 | Guatemala | 835,000.00 | 1997 |
| 117 | United Arab Emirates | 820,000.00 | 1997 |
| 118 | Angola | 815,000.00 | 2000 |
| 119 | Panama | 815,000.00 | 1997 |
| 120 | Slovenia | 805,000.00 | 1997 |
| 121 | Liberia | 790,000.00 | 1997 |
| 122 | Laos | 730,000.00 | 1997 |
| 123 | Mozambique | 730,000.00 | 1997 |
| 124 | Niger | 680,000.00 | 1997 |
| 125 | Trinidad and Tobago | 680,000.00 | 1997 |
| 126 | Benin | 660,000.00 | 2000 |
| 127 | Rwanda | 601,000.00 | 1997 |
| 128 | Mali | 570,000.00 | 1997 |
| 129 | Fiji | 541,476.00 | 1999 |
| 130 | Kyrgyzstan | 520,000.00 | 1997 |
| 131 | Somalia | 470,000.00 | 1997 |
| 132 | Burundi | 440,000.00 | 2001 |
| 133 | Guyana | 420,000.00 | 1997 |
| 134 | Mauritius | 420,000.00 | 1997 |
| 135 | Haiti | 415,000.00 | 1997 |
| 136 | Macedonia | 410,000.00 | 1997 |
| 137 | Mauritania | 410,000.00 | 2001 |
| 138 | Papua New Guinea | 410,000.00 | 1997 |
| 139 | Burkina Faso | 394,020.00 | 2000 |
| 140 | Guinea | 357,000.00 | 1997 |
| 141 | Eritrea | 345,000.00 | 1997 |
| 142 | Congo, Republic of the | 341,000.00 | 1997 |
| 143 | Bahrain | 338,000.00 | 1997 |
| 144 | Brunei | 329,000.00 | 1998 |
| 145 | Cyprus | 310,000.00 | NA |
| 146 | Suriname | 300,000.00 | 1997 |
| 147 | Luxembourg | 285,000.00 | 1997 |
| 148 | Central African Republic | 283,000.00 | 1997 |
| 149 | Iceland | 260,000.00 | 1997 |
| 150 | Qatar | 256,000.00 | 1997 |
| 151 | Malta | 255,000.00 | 1997 |
| 152 | Botswana | 252,720.00 | 2000 |
| 153 | Barbados | 237,000.00 | 1997 |
| 154 | Namibia | 232,000.00 | 1997 |
| 155 | Netherlands Antilles | 217,000.00 | 1997 |
| 156 | Bahamas, The | 215,000.00 | 1997 |
| 157 | Gabon | 208,000.00 | 1997 |
| 158 | Gambia, The | 196,000.00 | 1997 |
| 159 | Equatorial Guinea | 180,000.00 | 1997 |
| 160 | Azerbaijan | 175,000.00 | 1997 |
| 161 | Samoa | 174,849.00 | 1997 |
| 162 | Swaziland | 170,000.00 | 1999 |
| 163 | Afghanistan | 167,000.00 | 1999 |
| 164 | Macau | 160,000.00 | 1997 |
| 165 | Mongolia | 155,900.00 | 1999 |
| 166 | Belize | 133,000.00 | 1997 |
| 167 | French Polynesia | 128,000.00 | 1997 |
| 168 | Saint Lucia | 111,000.00 | 1997 |
| 169 | New Caledonia | 107,000.00 | 1997 |
| 170 | Virgin Islands | 107,000.00 | 1997 |
| 171 | Cape Verde | 100,000.00 | 2002 est. |
| 172 | Comoros | 90,000.00 | 1997 |
| 173 | Bermuda | 82,000.00 | 1997 |
| 174 | Saint Vincent and the Grenadines | 77,000.00 | 1997 |
| 175 | Vanuatu | 67,000.00 | 1997 |
| 176 | Tonga | 61,000.00 | 1997 |
| 177 | American Samoa | 57,000.00 | 1997 |
| 178 | Solomon Islands | 57,000.00 | 1997 |
| 179 | Grenada | 57,000.00 | 1997 |
| 180 | Cyprus | 56,450.00 | NA |
| 181 | Western Sahara | 56,000.00 | 1997 |
| 182 | Djibouti | 52,000.00 | 1997 |
| 183 | Aruba | 50,000.00 | 1997 |
| 184 | Guinea-Bissau | 49,000.00 | 1997 |
| 185 | Dominica | 46,000.00 | 1997 |
| 186 | Seychelles | 42,000.00 | 1997 |
| 187 | Sao Tome and Principe | 38,000.00 | 1997 |
| 188 | Bhutan | 37,000.00 | 1997 |
| 189 | Gibraltar | 37,000.00 | 1997 |
| 190 | Antigua and Barbuda | 36,000.00 | 1997 |
| 191 | Cayman Islands | 36,000.00 | 1997 |
| 192 | Maldives | 35,000.00 | 1999 |
| 193 | Monaco | 34,000.00 | 1997 |
| 194 | Greenland | 30,000.00 | 1998 est. |
| 195 | Saint Kitts and Nevis | 28,000.00 | 1997 |
| 196 | Faroe Islands | 26,000.00 | 1997 |
| 197 | Liechtenstein | 21,000.00 | 1997 |
| 198 | Kiribati | 17,000.00 | 1997 |
| 199 | Andorra | 16,000.00 | 1997 |
| 200 | San Marino | 16,000.00 | 1997 |
| 201 | Cook Islands | 14,000.00 | 1997 |
| 202 | Palau | 12,000.00 | 1997 |
| 203 | Micronesia, Federated States of | 9,400.00 | 1996 |
| 204 | British Virgin Islands | 9,000.00 | 1997 |
| 205 | Turks and Caicos Islands | 8,000.00 | 1997 |
| 206 | Montserrat | 7,000.00 | 1997 |
| 207 | Nauru | 7,000.00 | 1997 |
| 208 | Saint Pierre and Miquelon | 4,000.00 | 1997 |
| 209 | Tuvalu | 4,000.00 | 1997 |
| 210 | Anguilla | 3,000.00 | 1997 |
| 211 | Saint Helena | 3,000.00 | 1997 |
| 212 | Norfolk Island | 2,500.00 | 1996 |
| 213 | Falkland Islands (Islas Malvinas) | 1,000.00 | 1997 |
| 214 | Tokelau | 1,000.00 | 1997 |
| 215 | Christmas Island | 1,000.00 | 1997 |
| 216 | Niue | 1,000.00 | 1997 |
| 217 | Cocos (Keeling) Islands | 300.00 | 1992 |
