CIA - The World Factbook -- Field Listing - Religions

| Country | Religions (%) |
| **Dominica** | Roman Catholic 61.4%, Seventh Day Adventist 6%, Pentecostal 5.6%, Baptist 4.1%, Methodist 3.7%, Church of God 1.2%, Jehovah's Witnesses 1.2%, other Christian 7.7%, Rastafarian 1.3%, other or unspecified 1.6%, none 6.1% (2001 census) |
| **Dominican Republic** | Roman Catholic 95%, other 5% |
| **Ecuador** | Roman Catholic 95%, other 5% |
| **Egypt** | Muslim (mostly Sunni) 90%, Coptic 9%, other Christian 1% |
| **El Salvador** | Roman Catholic 83%, other 17% |
| | *note:* there is extensive activity by Protestant groups throughout the country; by the end of 1992, there were an estimated 1 million Protestant evangelicals in El Salvador |
| **Equatorial Guinea** | nominally Christian and predominantly Roman Catholic, pagan practices |
| **Eritrea** | Muslim, Coptic Christian, Roman Catholic, Protestant |
| **Estonia** | Evangelical Lutheran 13.6%, Orthodox 12.8%, other Christian (including Methodist, Seventh-Day Adventist, Roman Catholic, Pentecostal) 1.4%, unaffiliated 34.1%, other and unspecified 32%, none 6.1% (2000 census) |
| **Ethiopia** | Christian 60.8% (Orthodox 50.6%, Protestant 10.2%), Muslim 32.8%, traditional 4.6%, other 1.8% (1994 census) |
| **European Union** | Roman Catholic, Protestant, Orthodox, Muslim, Jewish |
| **Falkland Islands (Islas Malvinas)** | primarily Anglican, Roman Catholic, United Free Church, Evangelist Church, Jehovah's Witnesses, Lutheran, Seventh-Day Adventist |
| **Faroe Islands** | Evangelical Lutheran |
| **Fiji** | Christian 53% (Methodist 34.5%, Roman Catholic 7.2%, Assembly of God 3.8%, Seventh Day Adventist 2.6%, other 4.9%), Hindu 34% (Sanatan 25%, Arya Samaj 1.2%, other 7.8%), Muslim 7% (Sunni 4.2%. other 2.8%), other or unspecified 5.6%, none 0.3% (1996 census) |
| **Finland** | Lutheran Church of Finland 84.2%, Orthodox Church 1.1%, other Christian 1.1%, other 0.1%, none 13.5% (2003) |
| **France** | Roman Catholic 83%-88%, Protestant 2%, Jewish 1%, Muslim 5%-10%, unaffiliated 4% |
| | *overseas departments:* Roman Catholic, Protestant, Hindu, Muslim, Buddhist, pagan |
| **French Polynesia** | Protestant 54%, Roman Catholic 30%, other 10%, no religion 6% |
| **Gabon** | Christian 55%-75%, animist, Muslim less than 1% |
| **Gambia, The** | Muslim 90%, Christian 9%, indigenous beliefs 1% |
| **Gaza Strip** | Muslim (predominantly Sunni) 98.7%, Christian 0.7%, Jewish 0.6% |
| **Georgia** | Orthodox Christian 83.9%, Muslim 9.9%, Armenian-Gregorian 3.9%, Catholic 0.8%, other 0.8%, none 0.7% (2002 census) |
| **Germany** | Protestant 34%, Roman Catholic 34%, Muslim 3.7%, unaffiliated or other 28.3% |
| **Ghana** | Christian 68.8% (Pentecostal/Charismatic 24.1%, Protestant 18.6%, Catholic 15.1%, other 11%), Muslim 15.9%, traditional 8.5%, other 0.7%, none 6.1% (2000 census) |
| **Gibraltar** | Roman Catholic 78.1%, Church of England 7%, other Christian 3.2%, Muslim 4%, Jewish 2.1%, Hindu 1.8%, other or unspecified 0.9%, none 2.9% (2001 census) |
| **Greece** | Greek Orthodox 98%, Muslim 1.3%, other 0.7% |
| **Greenland** | Evangelical Lutheran |
| **Grenada** | Roman Catholic 53%, Anglican 13.8%, other Protestant 33.2% |
| **Guam** | Roman Catholic 85%, other 15% (1999 est.) |
| **Guatemala** | Roman Catholic, Protestant, indigenous Mayan beliefs |
| **Guernsey** | Anglican, Roman Catholic, Presbyterian, Baptist, Congregational, Methodist |
| **Guinea** | Muslim 85%, Christian 8%, indigenous beliefs 7% |
| **Guinea-Bissau** | indigenous beliefs 50%, Muslim 45%, Christian 5% |
| **Guyana** | Christian 50%, Hindu 35%, Muslim 10%, other 5% |
| **Haiti** | Roman Catholic 80%, Protestant 16% (Baptist 10%, Pentecostal 4%, Adventist 1%, other 1%), none 1%, other 3% |
| | *note:* roughly half of the population practices voodoo |
| **Holy See (Vatican City)** | Roman Catholic |
| **Honduras** | Roman Catholic 97%, Protestant 3% |
| **Hong Kong** | eclectic mixture of local religions 90%, Christian 10% |
| **Hungary** | Roman Catholic 51.9%, Calvinist 15.9%, Lutheran 3%, Greek Catholic 2.6%, other Christian 1%, other or unspecified 11.1%, unaffiliated 14.5% (2001 census) |
| **Iceland** | Lutheran Church of Iceland 85.5%, Reykjavik Free Church 2.1%, Roman Catholic Church 2%, Hafnarfjorour Free Church 1.5%, other Christian 2.7%, other or unspecified 3.8%, unaffiliated 2.4% (2004) |
| **India** | Hindu 80.5%, Muslim 13.4%, Christian 2.3%, Sikh 1.9%, other 1.8%, unspecified 0.1% (2001 census) |
| **Indonesia** | Muslim 86.1%, Protestant 5.7%, Roman Catholic 3%, Hindu 1.8%, other or unspecified 3.4% (2000 census) |
| **Iran** | Muslim 98% (Shi'a 89%, Sunni 9%), other (includes Zoroastrian, Jewish, Christian, and Baha'i) 2% |
| **Iraq** | Muslim 97% (Shi'a 60%-65%, Sunni 32%-37%), Christian or other 3% |
| **Ireland** | Roman Catholic 88.4%, Church of Ireland 3%, other Christian 1.6%, other 1.5%, unspecified 2%, none 3.5% (2002 census) |
| **Isle of Man** | Anglican, Roman Catholic, Methodist, Baptist, Presbyterian, Society of Friends |
| **Israel** | Jewish 76.4%, Muslim 16%, Arab Christians 1.7%, other Christian 0.4%, Druze 1.6%, unspecified 3.9% (2004) |
| **Italy** | Roman Catholic 90% (approximately; about one-third regularly attend services), other 10% (includes mature Protestant and Jewish communities and a growing Muslim immigrant community) |
| **Jamaica** | Protestant 62.5% (Seventh-Day Adventist 10.8%, Pentecostal 9.5%, Other Church of God 8.3%, Baptist 7.2%, New Testament Church of God 6.3%, Church of God in Jamaica 4.8%, Church of God of Prophecy 4.3%, Anglican 3.6%, other Christian 7.7%), Roman Catholic 2.6%, other or unspecified 14.2%, none 20.9%, (2001 census) |
| **Japan** | observe both Shinto and Buddhist 84%, other 16% (including Christian 0.7%) |
| **Jersey** | Anglican, Roman Catholic, Baptist, Congregational New Church, Methodist, Presbyterian |
| **Jordan** | Sunni Muslim 92%, Christian 6% (majority Greek Orthodox, but some Greek and Roman Catholics, Syrian Orthodox, Coptic Orthodox, Armenian Orthodox, and Protestant denominations), other 2% (several small Shi'a Muslim and Druze populations) (2001 est.) |
| **Kazakhstan** | Muslim 47%, Russian Orthodox 44%, Protestant 2%, other 7% |
| **Kenya** | Protestant 45%, Roman Catholic 33%, Muslim 10%, indigenous beliefs 10%, other 2% |
| | *note:* a large majority of Kenyans are Christian, but estimates for the percentage of the population that adheres to Islam or indigenous beliefs vary widely |
| **Kiribati** | Roman Catholic 52%, Protestant (Congregational) 40%, other (includes Seventh-Day Adventist, Muslim, Baha'i, Latter-day Saints, Church of God) 8% (1999) |
| **Korea, North** | traditionally Buddhist and Confucianist, some Christian and syncretic Chondogyo (Religion of the Heavenly Way) |
| | *note:* autonomous religious activities now almost nonexistent; government-sponsored religious groups exist to provide illusion of religious freedom |
| **Korea, South** | Christian 26.3% (Protestant 19.7%, Roman Catholic 6.6%), Buddhist 23.2%, other or unknown 1.3%, none 49.3% (1995 census) |
| **Kuwait** | Muslim 85% (Sunni 70%, Shi'a 30%), other (includes Christian, Hindu, Parsi) 15% |
| **Kyrgyzstan** | Muslim 75%, Russian Orthodox 20%, other 5% |
| **Laos** | Buddhist 65%, animist 32.9%, Christian 1.3%, other and unspecified 0.8% (1995 census) |
| **Latvia** | Lutheran, Roman Catholic, Russian Orthodox |
| **Lebanon** | Muslim 59.7% (Shi'a, Sunni, Druze, Isma'ilite, Alawite or Nusayri), Christian 39% (Maronite Catholic, Greek Orthodox, Melkite Catholic, Armenian Orthodox, Syrian Catholic, Armenian Catholic, Syrian Orthodox, Roman Catholic, Chaldean, Assyrian, Copt, Protestant), other 1.3% |
| | *note:* 17 religious sects recognized |
| **Lesotho** | Christian 80%, indigenous beliefs 20% |
| **Liberia** | Christian 40%, Muslim 20%, indigenous beliefs 40% |
| **Libya** | Sunni Muslim 97%, other 3% |
| **Liechtenstein** | Roman Catholic 76.2%, Protestant 7%, unknown 10.6%, other 6.2% (June 2002) |
| **Lithuania** | Roman Catholic 79%, Russian Orthodox 4.1%, Protestant (including Lutheran and Evangelical Christian Baptist) 1.9%, other or unspecified 5.5%, none 9.5% (2001 census) |
| **Luxembourg** | Roman Catholic 87%, other (includes Protestant, Jewish, and Muslim) 13% (2000) |
| **Macau** | Buddhist 50%, Roman Catholic 15%, none and other 35% (1997 est.) |
| **Macedonia** | Macedonian Orthodox 64.7%, Muslim 33.3%, other Christian 0.37%, other and unspecified 1.63% (2002 census) |
| **Madagascar** | indigenous beliefs 52%, Christian 41%, Muslim 7% |
| **Malawi** | Christian 79.9%, Muslim 12.8%, other 3%, none 4.3% (1998 census) |
| **Malaysia** | Muslim 60.4%, Buddhist 19.2%, Christian 9.1%, Hindu 6.3%, Confucianism, Taoism, other traditional Chinese religions 2.6%, other or unknown 1.5%, none 0.8% (2000 census) |
| **Maldives** | Sunni Muslim |
| **Mali** | Muslim 90%, Christian 1%, indigenous beliefs 9% |
| **Malta** | Roman Catholic 98% |
| **Marshall Islands** | Protestant 54.8%, Assembly of God 25.8%, Roman Catholic 8.4%, Bukot nan Jesus 2.8%, Mormon 2.1%, other Christian 3.6%, other 1%, none 1.5% (1999 census) |
| **Mauritania** | Muslim 100% |
| **Mauritius** | Hindu 48%, Roman Catholic 23.6%, Muslim 16.6%, other Christian 8.6%, other 2.5%, unspecified 0.3%, none 0.4% (2000 census) |
| **Mayotte** | Muslim 97%, Christian (mostly Roman Catholic) 3% |
| **Mexico** | Roman Catholic 76.5%, Protestant 6.3% (Pentecostal 1.4%, Jehovah's Witnesses 1.1%, other 3.8%), other 0.3%, unspecified 13.8%, none 3.1% (2000 census) |
| **Micronesia, Federated States of** | Roman Catholic 50%, Protestant 47%, other 3% |
| **Moldova** | Eastern Orthodox 98%, Jewish 1.5%, Baptist and other 0.5% (2000) |
| **Monaco** | Roman Catholic 90%, other 10% |
| **Mongolia** | Buddhist Lamaist 50%, Shamanist and Christian 6%, Muslim 4%, none 40% (2004) |
| **Montenegro** | Orthodox, Muslim, Roman Catholic |
| **Montserrat** | Anglican, Methodist, Roman Catholic, Pentecostal, Seventh-Day Adventist, other Christian denominations |
| **Morocco** | Muslim 98.7%, Christian 1.1%, Jewish 0.2% |
| **Mozambique** | Catholic 23.8%, Muslim 17.8%, Zionist Christian 17.5%, other 17.8%, none 23.1% (1997 census) |
| **Namibia** | Christian 80% to 90% (Lutheran 50% at least), indigenous beliefs 10% to 20% |
| **Nauru** | Christian (two-thirds Protestant, one-third Roman Catholic) |
| **Nepal** | Hindu 80.6%, Buddhist 10.7%, Muslim 4.2%, Kirant 3.6%, other 0.9% (2001 census) |
| | *note:* only official Hindu state in the world |
| **Netherlands** | Roman Catholic 31%, Dutch Reformed 13%, Calvinist 7%, Muslim 5.5%, other 2.5%, none 41% (2002) |
| **Netherlands Antilles** | Roman Catholic 72%, Pentecostal 4.9%, Protestant 3.5%, Seventh-Day Adventist 3.1%, Methodist 2.9%, Jehovah's Witnesses 1.7%, other Christian 4.2%, Jewish 1.3%, other or unspecified 1.2%, none 5.2% (2001 census) |
| **New Caledonia** | Roman Catholic 60%, Protestant 30%, other 10% |
| **New Zealand** | Anglican 14.9%, Roman Catholic 12.4%, Presbyterian 10.9%, Methodist 2.9%, Pentecostal 1.7%, Baptist 1.3%, other Christian 9.4%, other 3.3%, unspecified 17.2%, none 26% (2001 census) |
| **Nicaragua** | Roman Catholic 72.9%, Evangelical 15.1%, Moravian 1.5%, Episcopal 0.1%, other 1.9%, none 8.5% (1995 census) |
| **Niger** | Muslim 80%, other (includes indigenous beliefs and Christian) 20% |
| **Nigeria** | Muslim 50%, Christian 40%, indigenous beliefs 10% |
| **Niue** | Ekalesia Niue (Niuean Church - a Protestant church closely related to the London Missionary Society) 61.1%, Latter-Day Saints 8.8%, Roman Catholic 7.2%, Jehovah's Witnesses 2.4%, Seventh-Day Adventist 1.4%, other 8.4%, unspecified 8.7%, none 1.9% (2001 census) |
| **Norfolk Island** | Anglican 34.9%, Roman Catholic 11.7%, Uniting Church in Australia 11.2%, Seventh-Day Adventist 2.8%, Australian Christian 2.4%, Jehovah's Witness 0.9%, other 2.7%, unspecified 15.2%, none 18.1% (2001 census) |
| **Northern Mariana Islands** | Christian (Roman Catholic majority, although traditional beliefs and taboos may still be found) |
| **Norway** | Church of Norway 85.7%, Pentecostal 1%, Roman Catholic 1%, other Christian 2.4%, Muslim 1.8%, other 8.1% (2004) |
| **Oman** | Ibadhi Muslim 75%, other (includes Sunni Muslim, Shi'a Muslim, Hindu) 25% |
| **Pakistan** | Muslim 97% (Sunni 77%, Shi'a 20%), other (includes Christian and Hindu) 3% |
| **Palau** | Roman Catholic 41.6%, Protestant 23.3%, Modekngei 8.8% (indigenous to Palau), Seventh-Day Adventist 5.3%, Jehovah's Witness 0.9%, Latter-Day Saints 0.6%, other 3.1%, unspecified or none 16.4% (2000 census) |
| **Panama** | Roman Catholic 85%, Protestant 15% |
| **Papua New Guinea** | Roman Catholic 22%, Lutheran 16%, Presbyterian/Methodist/London Missionary Society 8%, Anglican 5%, Evangelical Alliance 4%, Seventh-Day Adventist 1%, other Protestant 10%, indigenous beliefs 34% |
| **Paraguay** | Roman Catholic 89.6%, Protestant 6.2%, other Christian 1.1%, other or unspecified 1.9%, none 1.1% (2002 census) |
| **Peru** | Roman Catholic 81%, Seventh Day Adventist 1.4%, other Christian 0.7%, other 0.6%, unspecified or none 16.3% (2003 est.) |
| **Philippines** | Roman Catholic 80.9%, Muslim 5%, Evangelical 2.8%, Iglesia ni Kristo 2.3%, Aglipayan 2%, other Christian 4.5%, other 1.8%, unspecified 0.6%, none 0.1% (2000 census) |
| **Pitcairn Islands** | Seventh-Day Adventist 100% |
| **Poland** | Roman Catholic 89.8% (about 75% practicing), Eastern Orthodox 1.3%, Protestant 0.3%, other 0.3%, unspecified 8.3% (2002) |
| **Portugal** | Roman Catholic 84.5%, other Christian 2.2%, other 0.3%, unknown 9%, none 3.9% (2001 census) |
| **Puerto Rico** | Roman Catholic 85%, Protestant and other 15% |
| **Qatar** | Muslim 77.5%, Christian 8.5%, other 14% (2004 census) |
| **Romania** | Eastern Orthodox (including all sub-denominations) 86.8%, Protestant (various denominations including Reformate and Pentecostal) 7.5%, Roman Catholic 4.7%, other (mostly Muslim) and unspecified 0.9%, none 0.1% (2002 census) |
| **Russia** | Russian Orthodox 15-20%, Muslim 10-15%, other Christian 2% (2006 est.) |
| | *note:* estimates are of practicing worshipers; Russia has large populations of non-practicing believers and non-believers, a legacy of over seven decades of Soviet rule |
| **Rwanda** | Roman Catholic 56.5%, Protestant 26%, Adventist 11.1%, Muslim 4.6%, indigenous beliefs 0.1%, none 1.7% (2001) |
| **Saint Barthelemy** | Roman Catholic, Protestant, Jehovah's Witness |
| **Saint Helena** | Anglican (majority), Baptist, Seventh-Day Adventist, Roman Catholic |
| **Saint Kitts and Nevis** | Anglican, other Protestant, Roman Catholic |
| **Saint Lucia** | Roman Catholic 67.5%, Seventh Day Adventist 8.5%, Pentecostal 5.7%, Rastafarian 2.1%, Anglican 2%, Evangelical 2%, other Christian 5.1%, other 1.1%, unspecified 1.5%, none 4.5% (2001 census) |
| **Saint Martin** | Roman Catholic, Jehovah's Witness, Protestant, Hindu |
| **Saint Pierre and Miquelon** | Roman Catholic 99%, other 1% |
| **Saint Vincent and the Grenadines** | Anglican 47%, Methodist 28%, Roman Catholic 13%, other (includes Hindu, Seventh-Day Adventist, other Protestant) 12% |
| **Samoa** | Congregationalist 34.8%, Roman Catholic 19.6%, Methodist 15%, Latter-Day Saints 12.7%, Assembly of God 6.6%, Seventh-Day Adventist 3.5%, Worship Centre 1.3%, other Christian 4.5%, other 1.9%, unspecified 0.1% (2001 census) |
| **San Marino** | Roman Catholic |
| **Sao Tome and Principe** | Catholic 70.3%, Evangelical 3.4%, New Apostolic 2%, Adventist 1.8%, other 3.1%, none 19.4% (2001 census) |
| **Saudi Arabia** | Muslim 100% |
| **Senegal** | Muslim 94%, Christian 5% (mostly Roman Catholic), indigenous beliefs 1% |
| **Serbia** | Serbian Orthodox 85%, Catholic 5.5%, Protestant 1.1%, Muslim 3.2%, unspecified 2.6%, other, unknown, or atheist 2.6% (2002 census) |
| **Seychelles** | Roman Catholic 82.3%, Anglican 6.4%, Seventh Day Adventist 1.1%, other Christian 3.4%, Hindu 2.1%, Muslim 1.1%, other non-Christian 1.5%, unspecified 1.5%, none 0.6% (2002 census) |
| **Sierra Leone** | Muslim 60%, Christian 10%, indigenous beliefs 30% |
| **Singapore** | Buddhist 42.5%, Muslim 14.9%, Taoist 8.5%, Hindu 4%, Catholic 4.8%, other Christian 9.8%, other 0.7%, none 14.8% (2000 census) |
| **Slovakia** | Roman Catholic 68.9%, Protestant 10.8%, Greek Catholic 4.1%, other or unspecified 3.2%, none 13% (2001 census) |
| **Slovenia** | Catholic 57.8%, Muslim 2.4%, Orthodox 2.3%, other Christian 0.9%, unaffiliated 3.5%, other or unspecified 23%, none 10.1% (2002 census) |
| **Solomon Islands** | Church of Melanesia 32.8%, Roman Catholic 19%, South Seas Evangelical 17%, Seventh-Day Adventist 11.2%, United Church 10.3%, Christian Fellowship Church 2.4%, other Christian 4.4%, other 2.4%, unspecified 0.3%, none 0.2% (1999 census) |
| **Somalia** | Sunni Muslim |
| **South Africa** | Zion Christian 11.1%, Pentecostal/Charismatic 8.2%, Catholic 7.1%, Methodist 6.8%, Dutch Reformed 6.7%, Anglican 3.8%, Muslim 1.5%, other Christian 36%, other 2.3%, unspecified 1.4%, none 15.1% (2001 census) |
| **Spain** | Roman Catholic 94%, other 6% |
| **Sri Lanka** | Buddhist 69.1%, Muslim 7.6%, Hindu 7.1%, Christian 6.2%, unspecified 10% (2001 census provisional data) |
| **Sudan** | Sunni Muslim 70% (in north), Christian 5% (mostly in south and Khartoum), indigenous beliefs 25% |
| **Suriname** | Hindu 27.4%, Protestant 25.2% (predominantly Moravian), Roman Catholic 22.8%, Muslim 19.6%, indigenous beliefs 5% |
| **Swaziland** | Zionist 40% (a blend of Christianity and indigenous ancestral worship), Roman Catholic 20%, Muslim 10%, other (includes Anglican, Bahai, Methodist, Mormon, Jewish) 30% |
| **Sweden** | Lutheran 87%, other (includes Roman Catholic, Orthodox, Baptist, Muslim, Jewish, and Buddhist) 13% |
| **Switzerland** | Roman Catholic 41.8%, Protestant 35.3%, Muslim 4.3%, Orthodox 1.8%, other Christian 0.4%, other 1%, unspecified 4.3%, none 11.1% (2000 census) |
| **Syria** | Sunni Muslim 74%, other Muslim (includes Alawite, Druze) 16%, Christian (various denominations) 10%, Jewish (tiny communities in Damascus, Al Qamishli, and Aleppo) |
| **Taiwan** | mixture of Buddhist and Taoist 93%, Christian 4.5%, other 2.5% |
| **Tajikistan** | Sunni Muslim 85%, Shi'a Muslim 5%, other 10% (2003 est.) |
| **Tanzania** | mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim |
| **Thailand** | Buddhist 94.6%, Muslim 4.6%, Christian 0.7%, other 0.1% (2000 census) |
| **Timor-Leste** | Roman Catholic 98%, Muslim 1%, Protestant 1% (2005) |
| **Togo** | Christian 29%, Muslim 20%, indigenous beliefs 51% |
| **Tokelau** | Congregational Christian Church 70%, Roman Catholic 28%, other 2% |
| | *note:* on Atafu, all Congregational Christian Church of Samoa; on Nukunonu, all Roman Catholic; on Fakaofo, both denominations, with the Congregational Christian Church predominant |
| **Tonga** | Christian (Free Wesleyan Church claims over 30,000 adherents) |
| **Trinidad and Tobago** | Roman Catholic 26%, Hindu 22.5%, Anglican 7.8%, Baptist 7.2%, Pentecostal 6.8%, Muslim 5.8%, Seventh Day Adventist 4%, other Christian 5.8%, other 10.8%, unspecified 1.4%, none 1.9% (2000 census) |
| **Tunisia** | Muslim 98%, Christian 1%, Jewish and other 1% |
| **Turkey** | Muslim 99.8% (mostly Sunni), other 0.2% (mostly Christians and Jews) |
| **Turkmenistan** | Muslim 89%, Eastern Orthodox 9%, unknown 2% |
