CIA - The World Factbook --  Internet users   

This entry gives the number of users within a country that access the Internet. Statistics vary from country to country and may include users who access the Internet at least several times a week to those who access it only once within a period of several months.

| Rank | country | Internet users | Date of Information |
| 128 | Montenegro | 294,000 | 2008 |
| 129 | Congo, Democratic Republic of the | 290,000 | 2008 |
| 130 | Macau | 259,000 | 2008 |
| 131 | Iceland | 250,000 | 2008 |
| 132 | Trinidad and Tobago | 227,000 | 2008 |
| 133 | Brunei | 217,000 | 2008 |
| 134 | Guyana | 205,000 | 2008 |
| 135 | Eritrea | 200,000 | 2008 |
| 136 | Mali | 200,000 | 2008 |
| 137 | Malta | 198,800 | 2008 |
| 138 | Armenia | 191,000 | 2008 |
| 139 | Barbados | 188,000 | 2008 |
| 140 | Nicaragua | 185,000 | 2008 |
| 141 | Benin | 160,000 | 2008 |
| 142 | Congo, Republic of the | 155,000 | 2008 |
| 143 | Burkina Faso | 140,000 | 2008 |
| 144 | Chad | 130,000 | 2008 |
| 145 | Laos | 130,000 | 2008 |
| 146 | Botswana | 120,000 | 2008 |
| 147 | Papua New Guinea | 120,000 | 2008 |
| 148 | Gambia, The | 114,200 | 2008 |
| 149 | Namibia | 113,500 | 2008 |
| 150 | Burma | 108,900 | 2008 |
| 151 | Bahamas, The | 106,500 | 2008 |
| 152 | Fiji | 103,000 | 2008 |
| 153 | Cape Verde | 102,800 | 2008 |
| 154 | Somalia | 102,000 | 2008 |
| 155 | Saint Lucia | 100,000 | 2008 |
| 156 | French Polynesia | 90,000 | 2008 |
| 157 | Guinea | 90,000 | 2008 |
| 158 | Gabon | 90,000 | 2008 |
| 159 | New Caledonia | 85,000 | 2008 |
| 160 | Niger | 80,000 | 2008 |
| 161 | Turkmenistan | 75,000 | 2008 |
| 162 | Cambodia | 74,000 | 2008 |
| 163 | Lesotho | 73,300 | 2008 |
| 164 | Maldives | 71,700 | 2008 |
| 165 | Saint Vincent and the Grenadines | 66,000 | 2008 |
| 166 | Antigua and Barbuda | 65,000 | 2008 |
| 167 | Burundi | 65,000 | 2008 |
| 168 | Andorra | 59,100 | 2008 |
| 169 | Bermuda | 51,000 | 2008 |
| 170 | Suriname | 50,000 | 2008 |
| 171 | Swaziland | 48,200 | 2008 |
| 172 | Guernsey | 46,100 | 2008 |
| 173 | Mauritania | 45,000 | 2008 |
| 174 | Bhutan | 40,000 | 2008 |
| 175 | Faroe Islands | 37,500 | 2008 |
| 176 | Guinea-Bissau | 37,100 | 2008 |
| 177 | Greenland | 36,000 | 2008 |
| 178 | Belize | 34,000 | 2008 |
| 179 | Seychelles | 32,000 | 2008 |
| 180 | Virgin Islands | 30,000 | 2008 |
| 181 | Jersey | 29,000 | 2008 |
| 182 | Dominica | 27,500 | 2008 |
| 183 | Sao Tome and Principe | 24,800 | 2008 |
| 184 | Aruba | 24,000 | 2008 |
| 185 | Grenada | 24,000 | 2008 |
| 186 | Cayman Islands | 23,000 | 2008 |
| 187 | Liechtenstein | 23,000 | 2008 |
| 188 | Comoros | 23,000 | 2008 |
| 189 | Monaco | 22,000 | 2008 |
| 190 | Liberia | 20,000 | 2008 |
| 191 | Central African Republic | 19,000 | 2008 |
| 192 | Vanuatu | 17,000 | 2008 |
| 193 | San Marino | 17,000 | 2008 |
| 194 | Micronesia, Federated States of | 16,000 | 2008 |
| 195 | Saint Kitts and Nevis | 16,000 | 2008 |
| 196 | Sierra Leone | 13,900 | 2008 |
| 197 | Djibouti | 13,000 | 2008 |
| 198 | Equatorial Guinea | 12,000 | 2008 |
| 199 | Solomon Islands | 10,000 | 2008 |
| 200 | Samoa | 9,000 | 2008 |
| 201 | Tonga | 8,400 | 2008 |
| 202 | Gibraltar | 6,500 | 2008 |
| 203 | Cook Islands | 5,000 | 2008 |
| 204 | Anguilla | 4,500 | 2008 |
| 205 | Tuvalu | 4,200 | 2008 |
| 206 | British Virgin Islands | 4,000 | 2002 |
| 207 | Falkland Islands (Islas Malvinas) | 2,800 | 2008 |
| 208 | Marshall Islands | 2,200 | 2008 |
| 209 | Kiribati | 2,000 | 2008 |
| 210 | Timor-Leste | 1,800 | 2008 |
| 211 | Montserrat | 1,200 | 2008 |
| 212 | Wallis and Futuna | 1,200 | 2008 |
| 213 | Saint Helena | 1,100 | 2008 |
| 214 | Niue | 1,000 | 2008 |
| 215 | Tokelau | 800 | 2008 |
| 216 | Christmas Island | 464 | 2001 |
