CIA - The World Factbook --  EXPORTS

Exports compares the total US dollar amount of merchandise exports on an f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | Country | EXPORTS | Date of Information |
| 146 | Cyprus | $2,018,000,000 | 2013 est. |
| 147 | Kyrgyzstan | $2,009,000,000 | 2014 est. |
| 148 | Guinea | $1,754,000,000 | 2014 est. |
| 149 | Armenia | $1,750,000,000 | 2014 est. |
| 150 | Niger | $1,652,000,000 | 2014 est. |
| 151 | Curacao | $1,607,000,000 | 2011 est. |
| 152 | Jamaica | $1,497,000,000 | 2014 est. |
| 153 | Togo | $1,381,000,000 | 2014 est. |
| 154 | Malawi | $1,332,000,000 | 2014 est. |
| 155 | Guyana | $1,308,000,000 | 2014 est. |
| 156 | New Caledonia | $1,195,000,000 | 2013 est. |
| 157 | Fiji | $1,188,000,000 | 2014 est. |
| 158 | Macau | $1,137,000,000 | 2013 est. |
| 159 | Nepal | $1,124,000,000 | 2014 est. |
| 160 | Monaco | $1,115,000,000 | 2011 |
| 161 | Bahamas, The | $960,000,000 | 2014 est. |
| 162 | Haiti | $903,100,000 | 2014 est. |
| 163 | Liberia | $897,900,000 | 2014 est. |
| 164 | Madagascar | $864,800,000 | 2014 est. |
| 165 | Lesotho | $824,900,000 | 2014 est. |
| 166 | Faroe Islands | $824,000,000 | 2010 |
| 167 | Barbados | $774,900,000 | 2014 est. |
| 168 | Rwanda | $720,000,000 | 2014 est. |
| 169 | Tajikistan | $654,800,000 | 2014 est. |
| 170 | Bhutan | $650,300,000 | 2014 est. |
| 171 | Belize | $640,900,000 | 2014 est. |
| 172 | Eritrea | $573,500,000 | 2014 est. |
| 173 | Seychelles | $525,100,000 | 2014 est. |
| 174 | Somalia | $515,800,000 | 2012 est. |
| 175 | Solomon Islands | $493,100,000 | 2012 est. |
| 176 | Montenegro | $489,200,000 | 2012 est. |
| 177 | American Samoa | $445,600,000 | FY04 est. |
| 178 | Kosovo | $408,000,000 | 2013 est. |
| 179 | Greenland | $384,300,000 | 2010 |
| 180 | Aruba | $312,700,000 | 2014 est. |
| 181 | Gibraltar | $271,000,000 | 2004 est. |
| 182 | French Polynesia | $230,000,000 | 2013 est. |
| 183 | Saint Lucia | $203,300,000 | 2014 est. |
| 184 | Cabo Verde | $189,800,000 | 2014 est. |
| 185 | Guinea-Bissau | $179,900,000 | 2014 est. |
| 186 | Maldives | $166,000,000 | 2013 est. |
| 187 | Falkland Islands (Islas Malvinas) | $125,000,000 | 2004 est. |
| 188 | Djibouti | $119,500,000 | 2014 est. |
| 189 | Burundi | $113,600,000 | 2014 est. |
| 190 | Gambia, The | $107,400,000 | 2014 est. |
| 191 | Central African Republic | $102,400,000 | 2014 est. |
| 192 | Saint Kitts and Nevis | $101,500,000 | 2014 est. |
| 193 | Northern Mariana Islands | $98,200,000 | 2008 |
| 194 | Andorra | $70,000,000 | 2012 est. |
| 195 | Antigua and Barbuda | $56,500,000 | 2014 est. |
| 196 | Marshall Islands | $50,140,000 | 2011 est. |
| 197 | Saint Vincent and the Grenadines | $48,200,000 | 2014 est. |
| 198 | Vanuatu | $44,000,000 | 2014 est. |
| 199 | Guam | $44,000,000 | 2011 est. |
| 200 | Grenada | $40,500,000 | 2012 est. |
| 201 | Dominica | $38,600,000 | 2014 est. |
| 202 | Timor-Leste | $34,100,000 | 2011 est. |
| 203 | British Virgin Islands | $25,500,000 | 2013 est. |
| 204 | Micronesia, Federated States of | $24,900,000 | 2009 est. |
| 205 | Turks and Caicos Islands | $24,770,000 | 2008 est. |
| 206 | Comoros | $24,300,000 | 2014 est. |
| 207 | Tonga | $23,400,000 | 2014 est. |
| 208 | Saint Helena, Ascension, and Tristan da Cunha | $19,000,000 | 2004 est. |
| 209 | Cayman Islands | $15,200,000 | 2014 est. |
| 210 | Bermuda | $14,000,000 | 2014 est. |
| 211 | Sao Tome and Principe | $12,600,000 | 2014 est. |
| 212 | Palau | $12,300,000 | 2010 est. |
| 213 | Anguilla | $11,700,000 | 2014 est. |
| 214 | Samoa | $11,400,000 | 2011 est. |
| 215 | Kiribati | $7,066,000 | 2010 est. |
| 216 | Saint Pierre and Miquelon | $6,641,000 | 2010 est. |
| 217 | Montserrat | $3,600,000 | 2014 est. |
| 218 | Tuvalu | $600,000 | 2010 est. |
| 219 | Niue | $201,400 | 2004 |
| 220 | Nauru | $64,000 | 2005 est. |
| 221 | Wallis and Futuna | $47,450 | 2004 |
| 222 | Cook Islands | $3,000 | 2011 est. |
| 223 | Tokelau | $0 | 2002 |


