CIA - The World Factbook --  Exports   

Exports compares the total US dollar amount of merchandise exports on an f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | country | Exports | Date of Information |
| 94 | Guatemala | $ 10,290,000,000 | 2013 est. |
| 95 | Congo, Democratic Republic of the | $ 9,936,000,000 | 2013 est. |
| 96 | Congo, Republic of the | $ 9,912,000,000 | 2013 est. |
| 97 | Dominican Republic | $ 9,825,000,000 | 2013 est. |
| 98 | Gabon | $ 9,777,000,000 | 2013 est. |
| 99 | Burma | $ 9,043,000,000 | 2013 est. |
| 100 | Zambia | $ 8,547,000,000 | 2013 est. |
| 101 | Jordan | $ 7,914,000,000 | 2013 est. |
| 102 | Honduras | $ 7,881,000,000 | 2013 est. |
| 103 | Botswana | $ 7,569,000,000 | 2013 est. |
| 104 | Cambodia | $ 6,781,000,000 | 2013 est. |
| 105 | Yemen | $ 6,694,000,000 | 2013 est. |
| 106 | Kenya | $ 6,580,000,000 | 2013 est. |
| 107 | Cuba | $ 6,252,000,000 | 2013 est. |
| 108 | Cameroon | $ 6,002,000,000 | 2013 est. |
| 109 | Tanzania | $ 5,920,000,000 | 2013 est. |
| 110 | Lebanon | $ 5,826,000,000 | 2013 est. |
| 111 | Bosnia and Herzegovina | $ 5,687,000,000 | 2013 est. |
| 112 | Papua New Guinea | $ 5,392,000,000 | 2013 est. |
| 113 | Iceland | $ 5,200,000,000 | 2013 est. |
| 114 | Namibia | $ 5,124,000,000 | 2013 est. |
| 115 | El Salvador | $ 5,112,000,000 | 2013 est. |
| 116 | Malta | $ 5,105,000,000 | 2013 est. |
| 117 | Mongolia | $ 4,294,000,000 | 2013 est. |
| 118 | Macedonia | $ 4,267,000,000 | 2013 est. |
| 119 | Virgin Islands | $ 4,234,000,000 | 2001 |
| 120 | Sudan | $ 4,145,000,000 | 2013 est. |
| 121 | Korea, North | $ 3,954,000,000 | 2012 est. |
| 122 | Mozambique | $ 3,920,000,000 | 2013 est. |
| 123 | Chad | $ 3,865,000,000 | 2013 est. |
| 124 | San Marino | $ 3,827,000,000 | 2011 est. |
| 125 | Liechtenstein | $ 3,801,000,000 | 2012 est. |
| 126 | Ethiopia | $ 3,214,000,000 | 2013 est. |
| 127 | Uganda | $ 3,156,000,000 | 2013 est. |
| 128 | Zimbabwe | $ 3,144,000,000 | 2013 est. |
| 129 | Burkina Faso | $ 2,844,000,000 | 2013 est. |
| 130 | Mauritius | $ 2,788,000,000 | 2013 est. |
| 131 | Mauritania | $ 2,728,000,000 | 2013 est. |
| 132 | Senegal | $ 2,691,000,000 | 2013 est. |
| 133 | Syria | $ 2,675,000,000 | 2013 est. |
| 134 | Georgia | $ 2,618,000,000 | 2013 est. |
| 135 | Mali | $ 2,577,000,000 | 2013 est. |
| 136 | Suriname | $ 2,512,000,000 | 2013 est. |
| 137 | Cyprus | $ 2,420,000,000 | 2013 est. |
| 138 | Nicaragua | $ 2,401,000,000 | 2013 est. |
| 139 | Moldova | $ 2,399,000,000 | 2013 est. |
| 140 | Albania | $ 2,323,000,000 | 2013 est. |
| 141 | Laos | $ 2,313,000,000 | 2013 est. |
| 142 | Aruba | $ 2,222,000,000 | 2013 est. |
| 143 | Kyrgyzstan | $ 1,881,000,000 | 2013 est. |
| 144 | Jamaica | $ 1,775,000,000 | 2013 est. |
| 145 | Armenia | $ 1,653,000,000 | 2013 est. |
| 146 | Curacao | $ 1,607,000,000 | 2011 est. |
| 147 | Swaziland | $ 1,603,000,000 | 2013 est. |
| 148 | Sierra Leone | $ 1,563,000,000 | 2013 est. |
| 149 | Niger | $ 1,539,000,000 | 2013 est. |
| 150 | Malawi | $ 1,427,000,000 | 2013 est. |
| 151 | Guyana | $ 1,337,000,000 | 2013 est. |
| 152 | New Caledonia | $ 1,321,000,000 | 2012 est. |
| 153 | Guinea | $ 1,310,000,000 | 2013 est. |
| 154 | Tajikistan | $ 1,163,000,000 | 2013 est. |
| 155 | Macau | $ 1,137,000,000 | 2013 est. |
| 156 | Monaco | $ 1,115,000,000 | 2011 |
| 157 | Benin | $ 1,108,000,000 | 2013 est. |
| 158 | Nepal | $ 1,060,000,000 | 2013 est. |
| 159 | Barbados | $ 1,051,000,000 | 2013 est. |
| 160 | Fiji | $ 1,026,000,000 | 2013 est. |
| 161 | Togo | $ 982,200,000 | 2013 est. |
| 162 | Bahamas, The | $ 960,000,000 | 2013 est. |
| 163 | Lesotho | $ 941,200,000 | 2013 est. |
| 164 | Liberia | $ 929,800,000 | 2013 est. |
| 165 | Haiti | $ 876,800,000 | 2013 est. |
| 166 | Faroe Islands | $ 824,000,000 | 2010 |
| 167 | Bhutan | $ 721,800,000 | 2012 est. |
| 168 | West Bank | $ 666,100,000 | 2010 est. |
| 169 | Madagascar | $ 644,400,000 | 2013 est. |
| 170 | Belize | $ 633,000,000 | 2013 est. |
| 171 | Rwanda | $ 538,300,000 | 2013 est. |
| 172 | Seychelles | $ 516,700,000 | 2013 est. |
| 173 | Somalia | $ 515,800,000 | 2012 est. |
| 174 | Eritrea | $ 496,200,000 | 2013 est. |
| 175 | Solomon Islands | $ 493,100,000 | |
| 176 | Montenegro | $ 489,200,000 | 2012 est. |
| 177 | American Samoa | $ 445,600,000 | FY04 est. |
| 178 | Kosovo | $ 408,000,000 | 2013 est. |
| 179 | Greenland | $ 384,300,000 | 2010 |
| 180 | Afghanistan | $ 376,000,000 | 2012 est. |
| 181 | Maldives | $ 283,000,000 | 2012 est. |
| 182 | Gibraltar | $ 271,000,000 | 2004 est. |
| 183 | Saint Lucia | $ 206,800,000 | 2013 est. |
| 184 | French Polynesia | $ 200,000,000 | 2008 est. |
| 185 | Cabo Verde | $ 159,900,000 | 2013 est. |
| 186 | Guinea-Bissau | $ 147,600,000 | 2013 est. |
| 187 | Central African Republic | $ 138,900,000 | 2013 est. |
| 188 | Falkland Islands (Islas Malvinas) | $ 125,000,000 | 2004 est. |
| 189 | Burundi | $ 122,800,000 | 2013 est. |
| 190 | Gambia, The | $ 113,200,000 | 2013 est. |
| 191 | Northern Mariana Islands | $ 98,200,000 | 2008 |
| 192 | Djibouti | $ 90,800,000 | 2013 est. |
| 193 | Andorra | $ 70,000,000 | 2012 est. |
| 194 | Saint Kitts and Nevis | $ 57,300,000 | 2013 est. |
| 195 | Antigua and Barbuda | $ 55,000,000 | 2013 est. |
| 196 | Marshall Islands | $ 50,140,000 | 2011 est. |
| 197 | Saint Vincent and the Grenadines | $ 45,700,000 | 2013 est. |
| 198 | Guam | $ 44,000,000 | 2011 est. |
| 199 | Vanuatu | $ 43,100,000 | 2013 est. |
| 200 | Grenada | $ 40,500,000 | 2012 est. |
| 201 | Dominica | $ 40,400,000 | 2013 est. |
| 202 | Timor-Leste | $ 34,100,000 | 2011 est. |
| 203 | British Virgin Islands | $ 26,000,000 | 2012 est. |
| 204 | Micronesia, Federated States of | $ 24,900,000 | 2009 est. |
| 205 | Turks and Caicos Islands | $ 24,770,000 | 2008 est. |
| 206 | Comoros | $ 19,700,000 | 2013 est. |
| 207 | Saint Helena, Ascension, and Tristan da Cunha | $ 19,000,000 | 2004 est. |
| 208 | Cayman Islands | $ 13,900,000 | 2013 est. |
| 209 | Bermuda | $ 13,000,000 | 2013 est. |
| 210 | Palau | $ 12,300,000 | 2010 est. |
| 211 | Anguilla | $ 12,200,000 | 2013 est. |
| 212 | Sao Tome and Principe | $ 12,100,000 | 2013 est. |
| 213 | Samoa | $ 11,400,000 | 2011 est. |
| 214 | Tonga | $ 9,100,000 | 2013 est. |
| 215 | Kiribati | $ 7,066,000 | 2010 est. |
| 216 | Saint Pierre and Miquelon | $ 6,641,000 | 2010 est. |
| 217 | Cook Islands | $ 5,222,000 | 2005 est. |
| 218 | Montserrat | $ 3,600,000 | 2013 est. |
| 219 | Tuvalu | $ 600,000 | 2010 est. |
| 220 | Niue | $ 201,400 | 2004 |
| 221 | Nauru | $ 64,000 | 2005 est. |
| 222 | Wallis and Futuna | $ 47,450 | 2004 |
| 223 | Tokelau | $ 0 | 2002 |


