CIA - The World Factbook --  EXPORTS

Exports compares the total US dollar amount of merchandise exports on an f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | Country | EXPORTS | Date of Information |
| 166 | Bahamas, The | $800,000,000 | 2015 est. |
| 167 | Rwanda | $683,700,000 | 2015 est. |
| 168 | Afghanistan | $658,000,000 | 2014 est. |
| 169 | Bhutan | $580,300,000 | 2015 est. |
| 170 | Tajikistan | $572,000,000 | 2015 est. |
| 171 | Sierra Leone | $569,400,000 | 2015 est. |
| 172 | Belize | $537,900,000 | 2015 est. |
| 173 | Barbados | $482,900,000 | 2015 est. |
| 174 | American Samoa | $459,000,000 | 2013 est. |
| 175 | Seychelles | $449,400,000 | 2015 est. |
| 176 | Solomon Islands | $419,900,000 | 2015 est. |
| 177 | Eritrea | $415,300,000 | 2015 est. |
| 178 | Greenland | $384,300,000 | 2010 |
| 179 | Montenegro | $370,200,000 | 2014 est. |
| 180 | Kosovo | $349,000,000 | 2014 est. |
| 181 | Aruba | $333,200,000 | 2015 est. |
| 182 | Liberia | $330,800,000 | 2015 est. |
| 183 | Maldives | $300,900,000 | 2014 est. |
| 184 | Northern Mariana Islands | $288,000,000 | 2013 |
| 185 | Gibraltar | $271,000,000 | 2004 est. |
| 186 | French Polynesia | $230,000,000 | 2013 est. |
| 187 | Saint Lucia | $207,000,000 | 2015 est. |
| 188 | Guinea-Bissau | $202,900,000 | 2015 est. |
| 189 | Cabo Verde | $149,200,000 | 2015 est. |
| 190 | Djibouti | $141,900,000 | 2015 est. |
| 191 | Falkland Islands (Islas Malvinas) | $125,000,000 | 2004 est. |
| 192 | Nauru | $125,000,000 | 2013 est. |
| 193 | Burundi | $119,600,000 | 2015 est. |
| 194 | Gambia, The | $113,200,000 | 2015 est. |
| 195 | Micronesia, Federated States of | $88,300,000 | 2013 est. |
| 196 | Kiribati | $84,750,000 | 2013 est. |
| 197 | Central African Republic | $70,500,000 | 2015 est. |
| 198 | Andorra | $70,000,000 | 2012 est. |
| 199 | Saint Kitts and Nevis | $61,300,000 | 2015 est. |
| 200 | Antigua and Barbuda | $61,000,000 | 2015 est. |
| 201 | Marshall Islands | $53,700,000 | 2013 est. |
| 202 | Saint Vincent and the Grenadines | $49,800,000 | 2015 est. |
| 203 | Vanuatu | $45,600,000 | 2015 est. |
| 204 | Cayman Islands | $45,000,000 | 2015 est. |
| 205 | Grenada | $43,800,000 | 2015 est. |
| 206 | Dominica | $35,200,000 | 2015 est. |
| 207 | Tonga | $30,600,000 | 2015 est. |
| 208 | Turks and Caicos Islands | $24,770,000 | 2008 est. |
| 209 | Samoa | $24,000,000 | 2013 est. |
| 210 | British Virgin Islands | $23,000,000 | 2015 est. |
| 211 | Palau | $19,100,000 | 2014 est. |
| 212 | Bermuda | $19,000,000 | 2015 est. |
| 213 | Saint Helena, Ascension, and Tristan da Cunha | $19,000,000 | 2004 est. |
| 214 | Comoros | $18,900,000 | 2015 est. |
| 215 | Timor-Leste | $18,000,000 | 2015 est. |
| 216 | Sao Tome and Principe | $11,300,000 | 2015 est. |
| 217 | Saint Pierre and Miquelon | $6,641,000 | 2010 est. |
| 218 | Anguilla | $6,000,000 | 2015 est. |
| 219 | Cook Islands | $3,125,000 | 2011 est. |
| 220 | Montserrat | $3,000,000 | 2015 est. |
| 221 | Tuvalu | $600,000 | 2010 est. |
| 222 | Niue | $201,400 | 2004 est. |
| 223 | Wallis and Futuna | $47,450 | 2004 est. |
| 224 | Tokelau | $0 | 2002 est. |


