CIA - The World Factbook --  GDP - per capita (PPP)   

This entry shows GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | country | GDP - per capita (PPP) | Date of Information |
| 217 | Sierra Leone | $ 900 | 2008 est. |
| 218 | Rwanda | $ 900 | 2008 est. |
| 219 | Afghanistan | $ 800 | 2008 est. |
| 220 | Malawi | $ 800 | 2008 est. |
| 221 | Central African Republic | $ 700 | 2008 est. |
| 222 | Niger | $ 700 | 2008 est. |
| 223 | Eritrea | $ 700 | 2008 est. |
| 224 | Guinea-Bissau | $ 600 | 2008 est. |
| 225 | Somalia | $ 600 | 2008 est. |
| 226 | Liberia | $ 500 | 2008 est. |
| 227 | Burundi | $ 300 | 2008 est. |
| 228 | Congo, Democratic Republic of the | $ 300 | 2008 est. |
| 229 | Zimbabwe | $ 200 | 2008 est. |
