CIA - The World Factbook --  BIRTH RATE

Birth rate compares the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate.

| Rank | Country | (BIRTHS/1,000 POPULATION) | Date of Information |
| 63 | Laos | 23.60 | 2017 est. |
| 64 | Djibouti | 23.40 | 2017 est. |
| 65 | Tajikistan | 23.30 | 2017 est. |
| 66 | Haiti | 23.00 | 2017 est. |
| 67 | Cambodia | 23.00 | 2017 est. |
| 68 | Honduras | 22.40 | 2017 est. |
| 69 | Algeria | 22.20 | 2017 est. |
| 70 | Tonga | 22.20 | 2017 est. |
| 71 | Botswana | 22.10 | 2017 est. |
| 72 | Kyrgyzstan | 22.10 | 2017 est. |
| 73 | Bolivia | 22.00 | 2017 est. |
| 74 | Pakistan | 21.90 | 2017 est. |
| 75 | Syria | 21.20 | 2017 est. |
| 76 | Kiribati | 21.20 | 2017 est. |
| 77 | Samoa | 20.40 | 2017 est. |
| 78 | South Africa | 20.20 | 2017 est. |
| 79 | Cabo Verde | 20.00 | 2017 est. |
| 80 | Micronesia, Federated States of | 20.00 | 2017 est. |
| 81 | Guam | 19.70 | 2017 est. |
| 82 | American Samoa | 19.60 | 2017 est. |
| 83 | Nepal | 19.50 | 2017 est. |
| 84 | Kuwait | 19.20 | 2017 est. |
| 85 | Malaysia | 19.10 | 2017 est. |
| 86 | Turkmenistan | 19.10 | 2017 est. |
| 87 | India | 19.00 | 2017 est. |
| 88 | Mongolia | 18.90 | 2017 est. |
| 89 | Bangladesh | 18.80 | 2017 est. |
| 90 | Venezuela | 18.80 | 2017 est. |
| 91 | Fiji | 18.60 | 2017 est. |
| 92 | Dominican Republic | 18.40 | 2017 est. |
| 93 | Saudi Arabia | 18.30 | 2017 est. |
| 94 | Mexico | 18.30 | 2017 est. |
| 95 | Tunisia | 18.20 | 2017 est. |
| 96 | Israel | 18.10 | 2017 est. |
| 97 | Burma | 18.10 | 2017 est. |
| 98 | Kazakhstan | 18.10 | 2017 est. |
| 99 | Jamaica | 17.90 | 2017 est. |
| 100 | Panama | 17.90 | 2017 est. |
| 101 | Iran | 17.90 | 2017 est. |
| 102 | Ecuador | 17.90 | 2017 est. |
| 103 | Peru | 17.80 | 2017 est. |
| 104 | Nicaragua | 17.70 | 2017 est. |
| 105 | Morocco | 17.70 | 2017 est. |
| 106 | Libya | 17.50 | 2017 est. |
| 107 | Bhutan | 17.30 | 2017 est. |
| 108 | Brunei | 17.00 | 2017 est. |
| 109 | Uzbekistan | 16.80 | 2017 est. |
| 110 | Argentina | 16.70 | 2017 est. |
| 111 | Paraguay | 16.60 | 2017 est. |
| 112 | El Salvador | 16.20 | 2017 est. |
| 113 | Indonesia | 16.20 | 2017 est. |
| 114 | Colombia | 16.10 | 2017 est. |
| 115 | Maldives | 16.10 | 2017 est. |
| 116 | Azerbaijan | 15.80 | 2017 est. |
| 117 | Suriname | 15.80 | 2017 est. |
| 118 | Antigua and Barbuda | 15.70 | 2017 est. |
| 119 | Turkey | 15.70 | 2017 est. |
| 120 | Costa Rica | 15.50 | 2017 est. |
| 121 | Grenada | 15.50 | 2017 est. |
| 122 | Vietnam | 15.50 | 2017 est. |
| 123 | Guyana | 15.40 | 2017 est. |
| 124 | Turks and Caicos Islands | 15.30 | 2017 est. |
| 125 | Bahamas, The | 15.30 | 2017 est. |
| 126 | Sri Lanka | 15.20 | 2017 est. |
| 127 | Dominica | 15.10 | 2017 est. |
| 128 | United Arab Emirates | 15.10 | 2017 est. |
| 129 | New Caledonia | 15.00 | 2017 est. |
| 130 | Northern Mariana Islands | 15.00 | 2017 est. |
| 131 | French Polynesia | 14.80 | 2017 est. |
| 132 | Korea, North | 14.60 | 2017 est. |
| 133 | Greenland | 14.40 | 2017 est. |
| 134 | Faroe Islands | 14.30 | 2017 est. |
| 135 | Lebanon | 14.30 | 2017 est. |
| 136 | Brazil | 14.10 | 2017 est. |
| 137 | Ireland | 14.10 | 2017 est. |
| 138 | Cook Islands | 14.00 | 2017 est. |
| 139 | Gibraltar | 14.00 | 2017 est. |
| 140 | Curacao | 13.70 | 2017 est. |
| 141 | Iceland | 13.70 | 2017 est. |
| 142 | Seychelles | 13.70 | 2017 est. |
| 143 | Chile | 13.60 | 2017 est. |
| 144 | Saint Lucia | 13.30 | 2017 est. |
| 145 | Bahrain | 13.30 | 2017 est. |
| 146 | Saint Vincent and the Grenadines | 13.20 | 2017 est. |
| 147 | Saint Kitts and Nevis | 13.20 | 2017 est. |
| 148 | Wallis and Futuna | 13.20 | 2017 est. |
| 149 | Albania | 13.20 | 2017 est. |
| 150 | New Zealand | 13.20 | 2017 est. |
| 151 | Sint Maarten | 13.10 | 2017 est. |
| 152 | Uruguay | 13.00 | 2017 est. |
| 153 | Mauritius | 13.00 | 2017 est. |
| 154 | Armenia | 12.90 | 2017 est. |
| 155 | Virgin Islands | 12.80 | 2017 est. |
| 156 | Trinidad and Tobago | 12.70 | 2017 est. |
| 157 | Anguilla | 12.50 | 2017 est. |
| 158 | United States | 12.50 | 2017 est. |
| 159 | Aruba | 12.40 | 2017 est. |
| 160 | Jersey | 12.40 | 2017 est. |
| 161 | China | 12.30 | 2017 est. |
| 162 | Georgia | 12.30 | 2017 est. |
| 163 | France | 12.20 | 2017 est. |
| 164 | Norway | 12.20 | 2017 est. |
| 165 | Australia | 12.10 | 2017 est. |
| 166 | United Kingdom | 12.10 | 2017 est. |
| 167 | Sweden | 12.10 | 2017 est. |
| 168 | Cayman Islands | 12.00 | 2017 est. |
| 169 | Barbados | 11.70 | 2017 est. |
| 170 | Luxembourg | 11.50 | 2017 est. |
| 171 | Moldova | 11.50 | 2017 est. |
| 172 | Macedonia | 11.40 | 2017 est. |
| 173 | Bermuda | 11.30 | 2017 est. |
| 174 | Palau | 11.30 | 2017 est. |
| 175 | Belgium | 11.30 | 2017 est. |
| 176 | Cyprus | 11.30 | 2017 est. |
| 177 | British Virgin Islands | 11.10 | 2017 est. |
| 178 | Russia | 11.00 | 2017 est. |
| 179 | Thailand | 11.00 | 2017 est. |
| 180 | Isle of Man | 11.00 | 2017 est. |
| 181 | Falkland Islands (Islas Malvinas) | 10.90 | 2012 est. |
| 182 | Netherlands | 10.90 | 2017 est. |
| 183 | Montserrat | 10.80 | 2017 est. |
| 184 | Cuba | 10.70 | 2017 est. |
| 185 | Finland | 10.70 | 2017 est. |
| 186 | Denmark | 10.50 | 2017 est. |
| 187 | Switzerland | 10.50 | 2017 est. |
| 188 | Liechtenstein | 10.40 | 2017 est. |
| 189 | Ukraine | 10.30 | 2017 est. |
| 190 | Canada | 10.30 | 2017 est. |
| 191 | Belarus | 10.30 | 2017 est. |
| 192 | Malta | 10.10 | 2017 est. |
| 193 | Estonia | 10.10 | 2017 est. |
| 194 | Montenegro | 10.00 | 2017 est. |
| 195 | Lithuania | 9.90 | 2017 est. |
| 196 | Guernsey | 9.80 | 2017 est. |
| 197 | Slovakia | 9.70 | 2017 est. |
| 198 | Latvia | 9.70 | 2017 est. |
| 199 | Qatar | 9.60 | 2017 est. |
| 200 | Saint Helena, Ascension, and Tristan da Cunha | 9.60 | 2017 est. |
| 201 | Austria | 9.50 | 2017 est. |
| 202 | Poland | 9.50 | 2017 est. |
| 203 | Czechia | 9.30 | 2017 est. |
| 204 | Spain | 9.20 | 2017 est. |
| 205 | Hungary | 9.00 | 2017 est. |
| 206 | Serbia | 9.00 | 2017 est. |
| 207 | Portugal | 9.00 | 2017 est. |
| 208 | Hong Kong | 8.90 | 2017 est. |
| 209 | Romania | 8.90 | 2017 est. |
| 210 | Croatia | 8.90 | 2017 est. |
| 211 | Bosnia and Herzegovina | 8.80 | 2017 est. |
| 212 | Bulgaria | 8.70 | 2017 est. |
| 213 | Germany | 8.60 | 2017 est. |
| 214 | Singapore | 8.60 | 2017 est. |
| 215 | Italy | 8.60 | 2017 est. |
| 216 | Macau | 8.60 | 2017 est. |
| 217 | San Marino | 8.60 | 2017 est. |
| 218 | Greece | 8.40 | 2017 est. |
| 219 | Taiwan | 8.30 | 2017 est. |
| 220 | Korea, South | 8.30 | 2017 est. |
| 221 | Slovenia | 8.20 | 2017 est. |
| 222 | Puerto Rico | 8.10 | 2017 est. |
| 223 | Japan | 7.70 | 2017 est. |
| 224 | Andorra | 7.50 | 2017 est. |
| 225 | Saint Pierre and Miquelon | 7.10 | 2017 est. |
| 226 | Monaco | 6.60 | 2017 est. |


