Field Listing :: Exports - commodities :: The World Factbook

This entry provides a listing of the highest-valued exported products; it sometimes includes the percent of total dollar value.

| Country | Exports - commodities |
| **Indonesia** | mineral fuels, animal or vegetable fats (includes palm oil), electrical machinery, rubber, machinery and mechanical appliance parts |
| **Iran** | petroleum 60%, chemical and petrochemical products, fruits and nuts, carpets, cement, ore |
| **Iraq** | crude oil 99%, crude materials excluding fuels, food, live animals |
| **Ireland** | machinery and equipment, computers, chemicals, medical devices, pharmaceuticals; foodstuffs, animal products |
| **Isle of Man** | tweeds, herring, processed shellfish, beef, lamb |
| **Israel** | machinery and equipment, software, cut diamonds, agricultural products, chemicals, textiles and apparel |
| **Italy** | engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; foodstuffs, beverages, and tobacco; minerals, nonferrous metals |
| **Jamaica** | alumina, bauxite, chemicals, coffee, mineral fuels, waste and scrap metals, sugar, yams |
| **Japan** | 14.9 motor vehicles5.4 iron and steel products5 semiconductors4.8 auto parts3.5 power generating machinery3.3 plastic materials (2014 est.) |
| **Jersey** | light industrial and electrical goods, dairy cattle, foodstuffs, textiles, flowers |
| **Jordan** | textiles, fertilizers, potash, phosphates, vegetables, pharmaceuticals |
| **Kazakhstan** | oil and oil products, natural gas, ferrous metals, chemicals, machinery, grain, wool, meat, coal |
| **Kenya** | tea, horticultural products, coffee, petroleum products, fish, cement, apparel |
| **Kiribati** | fish, coconut products |
| **Korea, North** | minerals, metallurgical products, manufactures (including armaments), textiles, agricultural and fishery products |
| **Korea, South** | semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat displays, steel, electronics, plastics, computers |
| **Kosovo** | mining and processed metal products, scrap metals, leather products, machinery, appliances, prepared foodstuffs, beverages and tobacco, vegetable products, textiles and apparel |
| **Kuwait** | oil and refined products, fertilizers |
| **Kyrgyzstan** | gold, cotton, wool, garments, meat; mercury, uranium, electricity; machinery; shoes |
| **Laos** | wood products, coffee, electricity, tin, copper, gold, cassava |
| **Latvia** | foodstuffs, wood and wood products, metals, machinery and equipment, textiles |
| **Lebanon** | jewelry, base metals, chemicals, consumer goods, fruit and vegetables, tobacco, construction minerals, electric power machinery and switchgear, textile fibers, paper |
| **Lesotho** | manufactures (clothing, footwear), wool and mohair, food and live animals, electricity, water, diamonds |
| **Liberia** | rubber, timber, iron, diamonds, cocoa, coffee |
| **Libya** | crude oil, refined petroleum products, natural gas, chemicals |
| **Liechtenstein** | small specialty machinery, connectors for audio and video, parts for motor vehicles, dental products, hardware, prepared foodstuffs, electronic equipment, optical products |
| **Lithuania** | refined fuel, machinery and equipment, chemicals, textiles, foodstuffs, plastics |
| **Luxembourg** | machinery and equipment, steel products, chemicals, rubber products, glass |
| **Macau** | clothing, textiles, footwear, toys, electronics, machinery and parts |
| **Madagascar** | coffee, vanilla, shellfish, sugar, cotton cloth, clothing, chromite, petroleum products, gems, ilmenite, cobalt, nickel |
| **Malawi** | tobacco (55%), dried legumes (8.8%), sugar (6.7%), tea (5.7%), cotton (2%), peanuts, coffee, soy (2015 est.) |
| **Malaysia** | semiconductors and electronic equipment, palm oil, petroleum and liquefied natural gas, wood and wood products, palm oil, rubber, textiles, chemicals, solar panels |
| **Maldives** | fish |
| **Mali** | cotton, gold, livestock |
| **Malta** | machinery and mechanical appliances; mineral fuels, oils and petroleum products; pharmaceutical products; books and newspapers; aircraft/spacecraft and parts; toys, games, and sports equipment |
| **Marshall Islands** | copra cake, coconut oil, handicrafts, fish |
| **Mauritania** | iron ore, fish and fish products, livestock, gold, copper, crude oil |
| **Mauritius** | clothing and textiles, sugar, cut flowers, molasses, fish, primates (for research) |
| **Mexico** | manufactured goods, electronics, vehicles and auto parts, oil and oil products, silver, plastics, fruits, vegetables, coffee, cotton; Mexico is the world's leading producer of silver |
| **Micronesia, Federated States of** | fish, sakau (kava), betel nuts, black pepper |
| **Moldova** | foodstuffs, textiles, machinery |
| **Mongolia** | copper, apparel, livestock, animal products, cashmere, wool, hides, fluorspar, other nonferrous metals, coal, crude oil |
| **Montserrat** | electronic components, plastic bags, apparel; hot peppers, limes, live plants; cattle |
| **Morocco** | clothing and textiles, automobiles, electric components, inorganic chemicals, transistors, crude minerals, fertilizers (including phosphates), petroleum products, citrus fruits, vegetables, fish |
| **Mozambique** | aluminum, prawns, cashews, cotton, sugar, citrus, timber; bulk electricity |
| **Namibia** | diamonds, copper, gold, zinc, lead, uranium; cattle, white fish and mollusks |
| **Nauru** | phosphates |
| **Nepal** | clothing, pulses, carpets, textiles, juice, jute goods |
| **Netherlands** | machinery and transport equipment, chemicals, mineral fuels; food and livestock, manufactured goods |
| **New Caledonia** | ferronickels, nickel ore, fish |
| **New Zealand** | dairy products, meat and edible offal, logs and wood articles, fruit, crude oil, wine |
| **Nicaragua** | coffee, beef, gold, sugar, peanuts, shrimp and lobster, tobacco, cigars, automobile wiring harnesses, textiles, apparel |
| **Niger** | uranium ore, livestock, cowpeas, onions |
| **Nigeria** | petroleum and petroleum products 95%, cocoa, rubber (2012 est.) |
| **Niue** | canned coconut cream, copra, honey, vanilla, passion fruit products, pawpaws, root crops, limes, footballs, stamps, handicrafts |
| **Norfolk Island** | postage stamps, seeds of the Norfolk Island pine and Kentia palm, small quantities of avocados |
| **North Macedonia** | foodstuffs, beverages, tobacco; textiles, miscellaneous manufactures, iron, steel; automotive parts |
| **Northern Mariana Islands** | garments |
| **Norway** | petroleum and petroleum products, machinery and equipment, metals, chemicals, ships, fish |
| **Oman** | petroleum, reexports, fish, metals, textiles |
| **Pakistan** | textiles (garments, bed linen, cotton cloth, yarn), rice, leather goods, sporting goods, chemicals, manufactures, surgical instruments, carpets and rugs |
| **Palau** | shellfish, tuna, other fish (many species) |
| **Panama** | fruit and nuts, fish, iron and steel waste, wood |
| **Papua New Guinea** | liquefied natural gas, oil, gold, copper ore, nickel, cobalt logs, palm oil, coffee, cocoa, copra, spice (turmeric, vanilla, ginger, and cardamom), crayfish, prawns, tuna, sea cucumber |
| **Paraguay** | soybeans, livestock feed, cotton, meat, edible oils, wood, leather, gold |
| **Peru** | copper, gold, lead, zinc, tin, iron ore, molybdenum, silver; crude petroleum and petroleum products, natural gas; coffee, asparagus and other vegetables, fruit, apparel and textiles, fishmeal, fish, chemicals, fabricated metal products and machinery, alloys |
| **Philippines** | semiconductors and electronic products, machinery and transport equipment, wood manufactures, chemicals, processed food and beverages, garments, coconut oil, copper concentrates, seafood, bananas/fruits |
| **Pitcairn Islands** | honey, fruits, vegetables, curios, postage stamps |
| **Poland** | machinery and transport equipment 37.8%, intermediate manufactured goods 23.7%, miscellaneous manufactured goods 17.1%, food and live animals 7.6% (2012 est.) |
| **Portugal** | agricultural products, foodstuffs, wine, oil products, chemical products, plastics and rubber, hides, leather, wood and cork, wood pulp and paper, textile materials, clothing, footwear, machinery and tools, base metals |
| **Puerto Rico** | chemicals, electronics, apparel, canned tuna, rum, beverage concentrates, medical equipment |
| **Qatar** | liquefied natural gas (LNG), petroleum products, fertilizers, steel |
| **Romania** | machinery and equipment, other manufactured goods, agricultural products and foodstuffs, metals and metal products, chemicals, minerals and fuels, raw materials |
| **Russia** | petroleum and petroleum products, natural gas, metals, wood and wood products, chemicals, and a wide variety of civilian and military manufactures |
| **Rwanda** | coffee, tea, hides, tin ore |
| **Saint Helena, Ascension, and Tristan da Cunha** | fish (frozen, canned, and salt-dried skipjack, tuna), coffee, handicrafts |
| **Saint Kitts and Nevis** | machinery, food, electronics, beverages, tobacco |
| **Saint Lucia** | bananas 41%, clothing, cocoa, avocados, mangoes, coconut oil (2010 est.) |
| **Saint Pierre and Miquelon** | fish and fish products, soybeans, animal feed, mollusks and crustaceans, fox and mink pelts |
| **Saint Vincent and the Grenadines** | bananas, eddoes and dasheen (taro), arrowroot starch; tennis racquets |
| **Samoa** | fish, coconut oil and cream, nonu, copra, taro, automotive parts, garments, beer |
| **San Marino** | building stone, lime, wood, chestnuts, wheat, wine, baked goods, hides, ceramics |
| **Sao Tome and Principe** | cocoa 68%, copra, coffee, palm oil (2010 est.) |
| **Saudi Arabia** | petroleum and petroleum products 90% (2012 est.) |
| **Senegal** | fish, groundnuts (peanuts), petroleum products, phosphates, cotton |
| **Serbia** | automobiles, iron and steel, rubber, clothes, wheat, fruit and vegetables, nonferrous metals, electric appliances, metal products, weapons and ammunition |
| **Seychelles** | canned tuna, frozen fish, petroleum products (reexports) |
| **Sierra Leone** | iron ore, diamonds, rutile, cocoa, coffee, fish |
| **Singapore** | machinery and equipment (including electronics and telecommunications), pharmaceuticals and other chemicals, refined petroleum products, foodstuffs and beverages |
| **Sint Maarten** | sugar |
| **Slovakia** | vehicles and related parts 27%, machinery and electrical equipment 20%, nuclear reactors and furnaces 12%, iron and steel 4%, mineral oils and fuels 5% (2015 est.) |
| **Slovenia** | manufactured goods, machinery and transport equipment, chemicals, food |
| **Solomon Islands** | timber, fish, copra, palm oil, cocoa, coconut oil |
| **Somalia** | livestock, bananas, hides, fish, charcoal, scrap metal |
| **South Africa** | gold, diamonds, platinum, other metals and minerals, machinery and equipment |
| **Spain** | machinery, motor vehicles; foodstuffs, pharmaceuticals, medicines, other consumer goods |
| **Sri Lanka** | textiles and apparel, tea and spices; rubber manufactures; precious stones; coconut products, fish |
| **Sudan** | gold; oil and petroleum products; cotton, sesame, livestock, peanuts, gum Arabic, sugar |
| **Suriname** | alumina, gold, crude oil, lumber, shrimp and fish, rice, bananas |
| **Sweden** | machinery (26%), motor vehicles, paper products, pulp and wood, iron and steel products, chemicals (2016 est.) |
| **Switzerland** | machinery, chemicals, metals, watches, agricultural products |
| **Syria** | crude oil, minerals, petroleum products, fruits and vegetables, cotton fiber, textiles, clothing, meat and live animals, wheat |
| **Taiwan** | semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat display displays, steel, electronics, plastics, computers |
| **Tajikistan** | aluminum, electricity, cotton, fruits, vegetable oil, textiles |
| **Tanzania** | gold, coffee, cashew nuts, manufactures, cotton |
| **Thailand** | automobiles and parts, computer and parts, jewelry and precious stones, polymers of ethylene in primary forms, refine fuels, electronic integrated circuits, chemical products, rice, fish products, rubber products, sugar, cassava, poultry, machinery and parts, iron and steel and their products |
| **Timor-Leste** | oil, coffee, sandalwood, marble |
| | *note:* potential for vanilla exports |
| **Togo** | reexports, cotton, phosphates, coffee, cocoa |
| **Tokelau** | fishery supplies, handicrafts, recyclables, stamps |
| **Tonga** | squash, fish, vanilla beans, root crops, kava |
| **Trinidad and Tobago** | petroleum and petroleum products, liquefied natural gas, methanol, ammonia, urea, steel products, beverages, cereal and cereal products, cocoa, fish, preserved fruits, cosmetics, household cleaners, plastic packaging |
| **Tunisia** | clothing, semi-finished goods and textiles, agricultural products, mechanical goods, phosphates and chemicals, hydrocarbons, electrical equipment |
| **Turkey** | apparel, foodstuffs, textiles, metal manufactures, transport equipment |
| **Turkmenistan** | gas, crude oil, petrochemicals, textiles, cotton fiber |
| **Turks and Caicos Islands** | lobster, dried and fresh conch, conch shells |
| **Tuvalu** | copra, fish |
| **Uganda** | coffee, fish and fish products, tea, cotton, flowers, horticultural products; gold |
| **Ukraine** | ferrous and nonferrous metals, fuel and petroleum products, chemicals, machinery and transport equipment, foodstuffs |
| **United Arab Emirates** | crude oil 45%, natural gas, reexports, dried fish, dates (2012 est.) |
| **United Kingdom** | manufactured goods, fuels, chemicals; food, beverages, tobacco |
| **United States** | agricultural products (soybeans, fruit, corn) 9.2%, industrial supplies (organic chemicals) 26.8%, capital goods (transistors, aircraft, motor vehicle parts, computers, telecommunications equipment) 49.0%, consumer goods (automobiles, medicines) 15.0% (2008 est.) |
| **Uruguay** | beef, soybeans, cellulose, rice, wheat, wood, dairy products, wool |
| **Uzbekistan** | energy products, cotton, gold, mineral fertilizers, ferrous and nonferrous metals, textiles, foodstuffs, machinery, automobiles |
| **Vanuatu** | copra, beef (veal), cocoa, timber, kava, coffee, coconut oil, shell, cowhides, coconut meal, fish |
| **Venezuela** | petroleum and petroleum products, bauxite and aluminum, minerals, chemicals, agricultural products |
| **Vietnam** | clothes, shoes, electronics, seafood, crude oil, rice, coffee, wooden products, machinery |
| **Virgin Islands** | rum |
| **Wallis and Futuna** | copra, chemicals, construction materials |
| **West Bank** | stone, olives, fruit, vegetables, limestone |
| **World** | the whole range of industrial and agricultural goods and services |
| | *top ten - share of world trade:* 14.8 electrical machinery, including computers; 14.4 mineral fuels, including oil, coal, gas, and refined products; 14.2 nuclear reactors, boilers, and parts; 8.9 cars, trucks, and buses; 3.5 scientific and precision instruments; 3.4 plastics; 2.7 iron and steel; 2.6 organic chemicals; 2.6 pharmaceutical products; 1.9 diamonds, pearls, and precious stones |
| | (2007 est.) |
| **Yemen** | crude oil, coffee, dried and salted fish, liquefied natural gas |
| **Zambia** | copper/cobalt, cobalt, electricity; tobacco, flowers, cotton |
| **Zimbabwe** | platinum, cotton, tobacco, gold, ferroalloys, textiles/clothing |

