Field Listing :: Legislative branch :: The World Factbook - Central Intelligence Agency

This entry has three subfields. The description subfield provides the legislative structure (unicameral â€“ single house; bicameral â€“ an upper and a lower house); formal name(s); number of member seats; types of constituencies or voting districts (single seat, multi-seat, nationwide); electoral voting system(s); and member term of office. The elections subfield includes the dates of the last election and next election. The election results subfield lists percent of vote by party/coalition and number of seats by party/coalition in the last election (in bicameral legislatures, upper house results are listed first). In general, parties with less than four seats and less than 4 percent of the vote are aggregated and listed as "other," and non-party-affiliated seats are listed as "independent." Also, the entries for some countries include two sets of percent of vote by party and seats by party; the former reflects results following a formal election announcement, and the latter â€“ following a mid-term or byelection â€“ reflects changes in a legislatureâ€™s political party composition.
Of the approximately 240 countries with legislative bodies, approximately two-thirds are unicameral, and the remainder, bicameral. The selection of legislative members is typically governed by a country's constitution and/or its electoral laws. In general, members are either directly elected by a country's eligible voters using a defined electoral system; indirectly elected or selected by its province, state, or department legislatures; or appointed by the country's executive body. Legislative members in many countries are selected both directly and indirectly, and the electoral laws of some countries reserve seats for women and various ethnic and minority groups.
Worldwide, the two predominant direct voting systems are plurality/majority and proportional representation. The most common of the several plurality/majority systems is simple majority vote, or first-past-the-post, in which the candidate receiving the most votes is elected. Countries' legislatures such as Bangladesh's Parliament, Malaysia's House of Representatives, and the United Kingdom's House of Commons use this system. Another common plurality/majority system â€“ absolute majority or two-round â€“ requires that candidates win at least 50 percent of the votes to be elected. If none of the candidates meets that vote threshold in the initial election, a second poll or"runoff" is held soon after for the two top vote getters, and the candidate receiving a simple vote majority is declared the winner. Examples of the two-round system are Haiti's Chamber of Deputies, Mali's National Assembly, and Uzbekistan's Legislative Chamber. Other plurality/majority voting systems, referred to as preferential voting and generally used in multi-seat constituencies, are block vote and single non-transferable vote, in which voters cast their ballots by ranking their candidate preferences from highest to lowest.
Proportional representation electoral systems â€“ in contrast to plurality/majority systems â€“ generally award legislative seats to political parties in approximate proportion to the number of votes each receives. For example, in a 100-member legislature, if Party A receives 50 percent of the total vote, Party B, 30 percent, and Party C, 20 percent, then Party A would be awarded 50 seats, Party B 30 seats, and Party C 20 seats. There are various forms of proportional representation and the degree of reaching proportionality varies. Some forms of proportional representation are focused solely on achieving the proportional representation of different political parties and voters cast ballots only for political parties, whereas in other forms, voters cast ballots for individual candidates within a political party.
Many countries - both unicameral and bicameral - use a mix of electoral methods, in which a portion of legislative seats are awarded using one system, such as plurality/majority, while the remaining seats are awarded by another system, such as proportional representation. Many countries with bicameral legislatures use different voting systems for the two chambers.

| Country | Legislative branch |
| | National People's Assembly - percent of vote by party - NA; seats by party - FLN 164, RND 97, MSP-FC 33, TAJ 19, Ennahda-FJD 15, FFS 14, El Mostakbel 14, MPA 13, PT 11, RCD 9, ANR 8, MEN 4, other 33, independent 28; composition - men 343, women 119, percent of women 25.8%; note - total Parliament percent of women 21.3% |
| **American Samoa** | *description:* bicameral Legislature or Fono consists of: |
| | Senate (18 seats; members indirectly selected by regional governing councils to serve 4-year terms) |
| | House of Representatives (21 seats; 20 members directly elected by simple majority vote and 1 decided by public meeting on Swains Island; members serve 2-year terms) |
| | *elections:* |
| | Senate - last held on 8 November 2016 (next to be held in November 2020) |
| | House of Representatives - last held on 6 November 2018 (next to be held in November 2020) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - independent 18; composition - men 17, women 1, percent of women 9.5% |
| | House of Representatives - percent of vote by party - NA; seats by party - NA; composition - men 14, women 7, percent of women 33.3%; note - total percent of women in Legislature 20.5% |
| | *note:* American Samoa elects 1 member by simple majority vote to serve a 2-year term as a delegate to the US House of Representatives; the delegate can vote when serving on a committee and when the House meets as the Committee of the Whole House, but not when legislation is submitted for a â€œfull floorâ€? House vote; election of delegate last held on 6 November 2018 (next to be held in November 2020) |
| **Andorra** | *description:* unicameral General Council of the Valleys or Consell General de les Valls (a minimum of 28 seats; 14 members directly elected in multi-seat constituencies (parishes) by simple majority vote and 14 directly elected in a single national constituency by proportional representation vote; members serve 4-year terms); note - voters cast two separate ballots - one for a national list and one for a parish list |
| | *elections:* last held on 1 March 2015 (next to be held in March 2019) |
| | *election results:* percent of vote by party - DA 37%, PLA 27.7%, PS-VA-IC-independent coalition 23.5%, SDP 11.7%; seats by party - DA 15, PLA 8, PS-VA-IC-independent coalition 3, SDP 2; composition - men 18, women 10, percent of women 35.7% |
| **Angola** | *description:* unicameral National Assembly or Assembleia Nacional (220 seats; members directly elected in a single national constituency and in multi-seat constituencies by closed list proportional representation vote; members serve 5-year terms) |
| | *elections:* last held on 23 August 2017 (next to be held in August 2022) |
| | *election results:* percent of vote by party - MPLA 61.1%, UNITA 26.7%, CASA-CE 9.5%, PRS 1.4%, FNLA 0.9%, other 0.5%; seats by party - MPLA 150, UNITA 51, CASA-CE 16, PRS 2, FNLA 1; composition - men 136, women 84, percent of women 38.2% |
| **Anguilla** | *description:* unicameral House of Assembly (11 seats; 7 members directly elected in single-seat constituencies by simple majority vote, 2 appointed by the governor, and 2 ex officio members - the attorney general and deputy governor; members serve five-year terms) |
| | *elections:* last held on 22 April 2015 (next to be held in 2020) |
| | *election results:* percent of vote by party - AUF 54.4%, AUM 38.3%, DOVE 1.4%, independent 5.9%; seats by party - AUF 6, independent 1; composition - men 8, women 3, percent of women 27.3% |
| **Antigua and Barbuda** | *description:* bicameral Parliament consists of: |
| | Senate (17 seats; members appointed by the governor general) |
| | House of Representatives (17 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* |
| | Senate - last appointed on 26 March 2018 (next NA) |
| | House of Representatives - last held on 21 March 2018 (next to be held in March 2023) |
| | *election results:* |
| | Senate - composition - men 8, women 9, percent of women 52.9% |
| | House of Representatives - percent of vote by party - ABLP 59.4%, UPP 37.2%, BPM 1.4%, other 1.9% ; seats by party - ABLP 15, UPP 1, BPM 1; composition - men 17, women 2, percent of women 10.5%;Â note - total Parliament percent of women 30.6%Â  |
| **Argentina** | *description:* bicameral National Congress or Congreso Nacional consists of: |
| | Senate (72 seats; members directly elected in multi-seat constituencies by simple majority vote to serve 6-year terms with one-third of the membership elected every 2 years) |
| | Chamber of Deputies (257 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms with one-half of the membership renewed every 2 years) |
| | *elections:* |
| | Senate - last held on 22 October 2017 (next to be held in October 2019) |
| | Chamber of Deputies - last held on 22 October 2017 (next to be held in October 2019) |
| | *election results:* Senate - percent of vote by bloc or party - NA; seats by bloc or party - Cambiemos 12, UC 6, PJ 4, FRC 2; composition - men 42, women 30, percent of women 41.7% |
| | Chamber of Deputies - percent of vote by bloc or party - NA; seats by bloc or party - Cambiemos 61, UC 28, PJ 18, FR 7, FCS 3, FRC 2, other 8; composition - men 159, women 98, percent of women 38.1%; note - total National Congress percent of women 38.9% |
| **Armenia** | *description:* unicameral National Assembly (Parliament) or Azgayin Zhoghov (minimum 101 seats, currently 132; members directly elected in single-seat constituencies by proportional representation vote; members serve 5-year terms) |
| | *elections:* last held on 9 December 2018 (next elections to be held December 2023) |
| | *election results:* percent of vote by party - My Step Alliance 70.4%, BHK 8.3%, Bright Armenia 6.4%, other 14.9%; seats by party - My Step Alliance 88, BHK 26, Bright Armenia 18; composition - men 112, women 20, percent of women 15.2% |
| **Aruba** | *description:* unicameral Legislature or Staten (21 seats; members directly elected in a single nationwide constituency by proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 22 September 2017 (next to be held in September 2021) |
| | *election results:* percent of vote by party AVP 39.8%, MEP 37.6%, POR 9.4%, RED 7.1%, other 6.1%; seats by party - AVP 9, MEP 9, POR 2, RED 1; composition as of October 2018 - men 14, women 7, percent of women 33.3% |
| **Australia** | *description:* bicameral Federal Parliament consists of: |
| | Senate (76 seats; 12 members from each of the 6 states and 2 each from the 2 mainland territories; members directly elected in multi-seat constituencies by proportional representation vote; members serve 6-year terms with one-half of state membership renewed every 3 years and territory membership renewed every 3 years) |
| | House of Representatives (150 seats; members directly elected in single-seat constituencies by majority preferential vote; members serve terms of up to 3 years) |
| | *elections:* |
| | Senate - last held on 2 July 2016 (next to be held in 2019) |
| | House of Representatives - last held on 2 July 2016; this election represented a rare double dissolution where all 226 seats in both the Senate and House of Representatives were up for reelection |
| | *election results:* |
| | Senate - percent of vote by party - Liberal/National Coalition 35.2%, ALP 29.8%, the Greens 8.7%, Pauline Hanson's One Nation 4.3%, Nick Xenophon Team 3.3%, other 18.7%; seats by party - Liberal/National Coalition 30, ALP 26, The Greens 9, Pauline Hanson's One Nation 4, Nick Xenophon Team 3, other 4; composition - men 48, women 28, percent of women 36.8%Â  |
| | House of Representatives - percent of vote by party - Liberal/National Coalition 42%, ALP 34.7%, The Greens 10.2%, Nick Xenophon Team 1.9%. Katter's Australian Party 0.5%, other 7.8%, independent 2.8%; seats by party - Liberal/National Coalition 76, ALP 69, The Greens 1, Katter's Australian Party 1, Nick Xenophon Team 1, independent 2; composition - men 107, women 43, percent of women 28.7%; note - total Federal Parliament percent of women 31.4% |
| **Austria** | *description:* bicameral Federal Assembly or Bundesversammlung consists of: |
| | Federal Council or Bundesrat (61 seats; members appointed by state parliaments with each state receiving 3 to 12 seats in proportion to its population; members serve 5- or 6-year terms) |
| | National Council or Nationalrat (183 seats; members directly elected in single-seat constituencies by proportional representation vote; members serve 5-year terms) |
| | *elections:* |
| | Federal Council - appointed |
| | National Council - last held on 15 October 2017 (next to be held in 2022) |
| | *election results:* |
| | Federal Council - percent of vote by party - NA; seats by party - NA; compositionÂ - men 42, women 19, percent of women 30.6%Â  |
| | National Council - percent of vote by party - OeVP 31.5%, SPOe 26.9%, FPOe 26%, NEOS 5.3%, PILZ 4.4%, other 5.9%; seats by party - OeVP 62, SPOe 52, FPOe 51, NEOS 10, PILZ 8; composition - men 122, women 61, percent of women 33.3%; note -Â total Federal Assembly percent of women 32.7% |
| **Azerbaijan** | *description:* unicameral National Assembly or Milli Mejlis (125 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* last held on 1 November 2015 (next to be held in November 2020) |
| | *election results:* percent of vote by party - NA; seats by party - YAP 69, CSP 2, AVP 1, Civil Unity 1, CUP 1, Democratic Enlightenment 1, Democratic Reforms 1, Great Undertaking Party 1, National Renaissance Party 1, Social Democratic Party 1, Social Prosperity Party 1, Whole Azerbaijan Popular Front 1, independent 43, invalid 1; composition - men 104, women 21, percent of women 16.8% |
| **Bahamas, The** | *description:* bicameral Parliament consists of: |
| | Senate (16 seats; members appointed by the governor general upon the advice of the prime minister and the opposition leader to serve 5-year terms) |
| | House of Assembly (39 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* |
| | last held on 10 May 2017 (next to be held by May 2022) |
| | *election results:* |
| | House of Assembly - percent of vote by party - FNM 57%, PLP 36.9%, other 6.1%; seats by party - FNM 35, PLP 4 |
| | *note:* the government may dissolve the parliament and call elections at any time |
| **Bahrain** | *description:* bicameral National Assembly consists of: |
| | Consultative Council or Majlis al Shura (40 seats; members appointed by the king) |
| | Council of Representatives or Majlis al Nuwab (40 seats; members directly elected in single-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 4-year renewable terms) |
| | *elections:* |
| | Consultative Council - last appointments on 7 December 2014 (next NA) |
| | Council of Representatives - first round for 9 members held on 24 November 2018; second round for remaining 31 members held on 1 December 2018Â (next to be held in 2022) |
| | *election results:* |
| | Consultative Council - composition - men 31, women 9, percent of women 22.5% |
| | Council of Representatives (for 2014 election) Â - percent of vote by society (Bahrain has societies rather than parties)Â - NA; seats by society - Islamic Al-Asalah (Sunni Salafi) 2, National Islamic Minbar (Sunni Muslim Brotherhood) 1, independent 37; composition - men 37, women 3, percent of women 7.5%; note - total National Assembly percent of women 15% |
| **Bangladesh** | *description:* unicameral House of the Nation or Jatiya Sangsad (350 seats; 300 members in single-seat territorial constituencies directly elected by simple majority popular vote; 50 members - reserved for women only - indirectly elected by the elected members by proportional representation vote using single transferable vote; all members serve 5-year terms) |
| | *elections:* last held on 5 January 2014 (next to be held by January 2019); note - the 5 January 2014 poll was marred by widespread violence, boycotts, general strikes, and low voter turnout |
| | *election results:* percent of vote by party - AL 79.1%, JP (Ershad) 11.3%, WP 2.1%, JSD 1.8%, other 1%, independent 4.8%; seats by party - AL 234, JP 34, WP 6, JSD 5, other 5, independent 15; 1 seat repolled; composition - men 281, women 69, percent of women 19.7% |
| **Barbados** | *description:* bicameral Parliament consists of: |
| | Senate (21 seats; members appointed by the governor general - 12 on the advice of the Prime Minister, 2 on the advice of the opposition leader, and 7 at the discretion of the governor general) |
| | House of Assembly (30 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* |
| | House of Assembly - last held on 24 May 2018 (next to be held in 2023) |
| | *election results:* |
| | House of Assembly - percent of vote by party - BLP 74.6%, DLP 22.6%, other 2.8%; seats by party - BLP 30 |
| | *note:* tradition dictates that the election is held within 5 years of the last election, but constitutionally it is 5 years from the first seating of Parliament plus a 90-day grace period |
| **Belarus** | *description:* bicameral National Assembly or Natsionalnoye Sobraniye consists of: |
| | Council of the Republic or Sovet Respubliki (64 seats; 56 members indirectly elected by regional and Minsk city councils and 8 members appointed by the president; members serve 4-year terms) |
| | House of Representatives or Palata Predstaviteley (110 seats; members directly elected in single-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 4-year terms) |
| | *elections:* |
| | Council of the Republic - NA |
| | House of Representatives - last held on 11 September 2016 (next to be held in 2020); OSCE observers determined that the election was neither free nor impartial and that vote counting was problematic in a number of polling stations; pro-LUKASHENKO candidates won virtually every seat, with only the UCP member and one independent forming alternative representation in the House; international observers determined that the previous elections, on 28 September 2008 and 23 September 2012, also fell short of democratic standards, with pro-LUKASHENKO candidates winning every seat |
| | *election results:* |
| | Council of the Republic - percent of vote by party - NA; seats by party - NA; composition - men 39, women 17, percent of women 26.6% |
| | House of Representatives - percent of vote by party - NA; seats by party - KPB 8, Belarusian Patriotic Party 3, Republican Party of Labor and Justice 3, LDP 1, UCP 1, independent 94; composition - men 72, women 38, percent of women 34.5%; note - total National Assembly percent of women 31.6% |
| | *note:* the US does not recognize the legitimacy of the National Assembly |
| **Belgium** | *description:* bicameral Parliament consists of: |
| | Senate or Senaat (in Dutch), Senat (in French) (60 seats; 50 members indirectly elected by the community and regional parliaments based on their election results, and 10 elected by the 50 other senators; members serve 5-year terms |
| | Chamber of Representatives or Kamer van Volksvertegenwoordigers (in Dutch), Chambre des Representants (in French) (150 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| | *elections:* |
| | Senate - last held 3 July 2014 (next to be held in 2019) |
| | Chamber of Representatives - last held on 25 May 2014 (next to be held in May 2019); note - elections will coincide with the EU's elections |
| | *election results:* Senate - percent of vote by party - NA; seats by party - NA; composition men 30, women 30, percent of women 50% |
| | Chamber of Representatives - percent of vote by party - N-VA 20.3%, PS 11.7%, CD&V 11.6%, Open VLD 9.8%, MR 9.6%, SP.A 8.8%, Groen 5.3%, CDH 5% PTB 3.7%, VB 3.7%, Ecolo 3.3%, Defi 1.8%, PP 1.5%, other 3.9%; seats by party - N-VA 33, PS 23, MR 20, CD&V 18, Open VLD 14, SP.A 13, CDH 9, Ecolo 6, Groen 6, VB 3, Defi 2, PTB 2, PP 1; composition - men 91, women 59, percent of women 39.3%; note - total Parliament percent of women 42.4% |
| | *note:* the 1993 constitutional revision that further devolved Belgium into a federal state created three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities; this reality leaves six governments, each with its own legislative assembly; changes above occurred since the sixth state reform |
| **Belize** | *description:* bicameral National Assembly consists of: |
| | *elections:* |
| | Senate (12 seats; members appointed by the governor general - 6 on the advice of the prime minister, 3 on the advice of the leader of the opposition, and 1 each on the advice of the Belize Council of Churches and Evangelical Association of Churches, the Belize Chamber of Commerce and Industry and the Belize Better Business Bureau, and the National Trade Union Congress |
| | House of Representatives (31 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| | *election results:* |
| | percent of vote by party - UDP 50%, PUP 47.3%, other 2.7%; seats by party - UDP 19, PUP 12 |
| | *note:* House of Representatives - last held on 4 November 2015 (next to be held in November 2020) |
| **Benin** | *description:* unicameral National Assembly or Assemblee Nationale (83 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 26 April 2015 (next to be held in April 2019) |
| | *election results:* percent of vote by party - FCBE 30.2%, UN 14.4%, PRD 10.6%, AND 7.6%, RB-RP 7.1%, other 30.1%; seats by party - FCBE 33, UN 13, PRD 10, RB-RP 7, AND 5, other 15; composition - men 77, women 6, percent of women 7.2% |
| **Bermuda** | *description:* bicameral Parliament consists of: |
| | Senate (11 seats; 3 members appointed by the governor, 5 by the premier, and 3 by the opposition party; members serve 5-year terms) and the House of Assembly (36 seats; members directly elected in single-seat constituencies by simple majority vote to serve up to 5-year terms) |
| | House of Assembly (36 seats; members directly elected in single-seat constituencies by simple majority vote to serve up to 5-year terms) |
| | *elections:* |
| | House of Assembly - last held on 18 July 2017 (next to be held not later than 2022) |
| | *election results:* |
| | percent of vote by party - PLP 58.9%, OBA 40.6%, other 0.5%; seats by party - PLP 24, OBA 12 |
| **Bhutan** | *description:* bicameral Parliament or Chi Tshog consists of: |
| | non-partisan National Council or Gyelyong Tshogde (25 seats; 20 members directly elected in single-seat constituencies by simple majority vote and 5 members appointed by the king; members serve 5-year terms) |
| | National Assembly or Tshogdu (47 seats; members directly elected in single-seat constituencies by proportional representation vote to serve 5-year terms) |
| | *elections:* |
| | National Council election last held on 20 April 2018 (next to be held in 2023) |
| | National Assembly - first round held on 15 September 2018 and second round held on 18 October 2018 (next to be held in 2023) |
| | *election results:* |
| | National Council - seats by party - independent 20 (all candidates ran as independents); composition - men 23, women 2, percent of women 8% |
| | National Assembly - first round - percent of vote by party - DNT 31.9%, DPT 30.9%, PDP 27.4%, BKP 9.8%; second round - percent of vote by party -Â  NA; seats by party - DNT 30, DPT 17; composition - men 40, women 7, percent of women 14.9%; note - total Parliament percent of women 12.5% |
| **Bolivia** | *description:* bicameral Plurinational Legislative Assembly or Asamblea Legislativa Plurinacional consists of: |
| | Chamber of Senators or Camara de Senadores (36 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| | Chamber of Deputies or Camara de Diputados (130 seats; 70 members directly elected in single-seat constituencies by simple majority vote, 53 directly elected in single-seat constituencies by proportional representation vote, and 7 - apportioned to non-contiguous, rural areas in 7 of the 9 states - directly elected in single-seat constituencies by simple majority vote; members serve 5-year terms) |
| | *elections:* |
| | Chamber of Senators - last held on 12 October 2014 (next to be held in 2019) |
| | Chamber of Deputies - last held on 12 October 2014 (next to be held in 2019) |
| | *election results:* |
| | Chamber of Senators - percent of vote by party - NA; seats by party - MAS 25, UD 9, PDC 2; |
| | Chamber of Deputies - percent of vote by party - NA; seats by party - MAS 88, UD 32, PDC 10 |
| **Bosnia and Herzegovina** | *description:* bicameral Parliamentary Assembly or Skupstina consists of: |
| | House of Peoples or Dom Naroda (15 seats - 5 Bosniak, 5 Croat, 5 Serb; members designated by the Federation of Bosnia and Herzegovina's House of Peoples and the Republika Srpska's National Assembly to serve 4-year terms) |
| | House of Representatives or Predstavnicki Dom (42 seats to include 28 seats allocated to the Federation of Bosnia and Herzegovina and 14 to the Republika Srpska; members directly elected by proportional representation vote to serve 4-year terms); note - the Federation of Bosnia and Herzegovina has a bicameral legislature that consists of the House of Peoples (58 seats - 17 Bosniak, 17 Croat, 17 Serb, 7 other) and the House of Representatives (98 seats; members directly elected by proportional representation vote to serve 4-year terms); Republika Srpska's unicameral legislature is the National Assembly (83 directly elected delegates serve 4-year terms) |
| | *elections:* House of Peoples - last constituted in 11 February 2015 (next likely to be constituted in 2019) |
| | House of Representatives - last held on 7 October 2018 (next to be held in October 2022) |
| | *election results:* House of Peoples - percent of vote by coalition/party - NA; seats by coalition/party - NA; composition - men 13, women 2, percent of women 13.3% |
| | House of Representatives - percent of vote by coalition/party - SDA 17%, SNSD 16%, SDS/NDP/NS/SRS-VS 9.8%, HDZ-BiH/HSS/HKDU/HSP-AS BiH/HDU BiH 9.1%, DF, 5.8%, PDP 5.1%, DNS 4.2%, SBB BiH 4.2%, NS/HC 2.9%, NB 2.5%, PDA 2.3%, SP 1.9%, A-SDA 1.8%, other 17.4%; seats by coalition/party - SDA 9, SNSD 6, SDP 5, HDZ-BiH/HSS/HKDU/HSP-AS BiH/HDU BiH 5, SDS/NDP/NS/SRS-VS 3, DF 3, PDP 2, SBB BiH 2, NS/HC 2, DNS 1, NB 1 PDA 1, SP 1, A-SDA 1; composition - men 33, women 9, percent of women 21.4%; note - total Parliamentary Assembly percent ofÂ women 19.3% |
| **Botswana** | *description:* unicameral Parliament consists of the National Assembly (63 seats; 57 members directly elected in single-seat constituencies by simple majority vote,Â 4 nominated by the president and indirectly elected by simple majority vote by the rest of the National Assembly, and 2 ex-officio members - the president and attorney general; elected members serve 5-year terms); note - the House of Chiefs (Ntlo ya Dikgosi), an advisory body to the National Assembly, consists of 35 members - 8 hereditary chiefs from Botswana's principal tribes, 22 indirectly elected by the chiefs, and 5 appointed by the president; the House of Chiefs consults on issues including powers of chiefs, customary courts, customary law, tribal property, and constitutional amendments |
| | *elections:* last held on 24 October 2014 (next to be held in October 2019) |
| | *election results:* percent of vote by party - BDP 46.5%, UDC 30.0%, BCP 20.4%, independent 3.1%; seats by party - BDP 37, UDC 17, BCP 3; composition - men 57, women 6, percent of women 9.5% |
| **Brazil** | *description:* bicameral National Congress or Congresso Nacional consists of: |
| | Federal Senate or Senado Federal (81 seats; 3 members each from 26 states and 3 from the federal district directly elected in multi-seat constituencies by simple majority vote to serve 8-year terms, with one-third and two-thirds of the membership elected alternately every 4 years) |
| | Chamber of Deputies or Camara dos Deputados (513 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| | *elections:* |
| | Federal Senate - last held on 7 October 2018 for two-thirds of the Senate (next to be held in October 2022 for one-third of the Senate) |
| | Chamber of Deputies - last held on 7 October 2018 (next to be held in October 2022) |
| | *election results:* |
| | Federal Senate - percent of vote by party - NA; seats by party - PMDB 7, PP 5, REDE 5, DEM 4, PSDB 4, PSDC 4, PSL 4, PT 4, PDT 2, PHS 2, PPS 2, PSB 2, PTB 2, Podemos 1, PR 1, PRB 1, PROS 1, PRP 1, PSC 1, SD 1 Â Â Â  |
| | Chamber of Deputies - percent of vote by party - NA; seats by party - PT 56, PSL 52, PP 37, PMDB 34, PSDC 34, PR 33, PSB 32, PRB 30, DEM 29, PSDB 29, PDT 28, SD 13, Podemos 11, PSOL 10, PTB 10, PCdoB 9, NOVO 8, PPS 8, PROS 8, PSC 8, Avante 7, PHS 6, Patriota 5, PRP 4, PV 4, PMN 3, PTC 2, DC 1, PPL 1, REDE 1 |
