CIA - The World Factbook 2000 -- Telephone system

| Country | Telephone system |
| | *international:* connected to Central American Microwave System; satellite earth stations - 2 Intelsat (Atlantic Ocean); two submarine cables (1999) |
| **Cote d'Ivoire** | well-developed by African standards but operating well below capacity |
| | *domestic:* open-wire lines and microwave radio relay; 90% digitalized |
| | *international:* satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean); 2 coaxial submarine cables (June 1999) |
| **Croatia** | *domestic:* reconstruction plan calls for replacement of all analog circuits with digital and enlarging the network; a backup will be included in the plan for the main trunk |
| | *international:* digital international service is provided through the main switch in Zagreb; Croatia participates in the TEL project which consists of two fiber-optic trunk connections with Slovenia and a fiber-optic trunk line from Rijeka to Split and Dubrovnik; Croatia is also investing in ADRIA 1, a joint fiber-optic project with Germany, Albania, and Greece (2000) |
| **Cuba** | *domestic:* principal trunk system, end to end of country, is coaxial cable; fiber-optic distribution in Havana and on Isla de la Juventud; 2 microwave radio relay installations (one is old, US-built; the other newer, Soviet-built); both analog and digital mobile cellular service established |
| | *international:* satellite earth station - 1 Intersputnik (Atlantic Ocean region) |
| **Cyprus** | excellent in both the Greek Cypriot and Turkish Cypriot areas |
| | *domestic:* open wire, fiber-optic cable, and microwave radio relay |
| | *international:* tropospheric scatter; 3 coaxial and 5 fiber-optic submarine cables; satellite earth stations - 3 Intelsat (1 Atlantic Ocean and 2 Indian Ocean), 2 Eutelsat, 2 Intersputnik, and 1 Arabsat |
| **Czech Republic** | *domestic:* 70% of exchanges now digital; existing copper subscriber systems now being enhanced with Asymmetric Digital Subscriber Line (ADSL) equipment to accommodate Internet and other digital signals; trunk systems include fiber-optic cable and microwave radio relay |
| | *international:* satellite earth stations - 2 Intersputnik (Atlantic and Indian Ocean regions), 1 Intelsat, 1 Eutelsat |
| **Denmark** | excellent telephone and telegraph services |
| | *domestic:* buried and submarine cables and microwave radio relay form trunk network, 4 cellular radio communications systems |
| | *international:* 18 submarine fiber-optic cables linking Denmark with Norway, Sweden, Russia, Poland, Germany, Netherlands, UK, Faroe Islands, Iceland, and Canada; satellite earth stations - 6 Intelsat, 10 Eutelsat, 1 Orion, 1 Inmarsat (Blaavand-Atlantic-East); note - the Nordic countries (Denmark, Finland, Iceland, Norway, and Sweden) share the Danish earth station and the Eik, Norway, station for world-wide Inmarsat access |
| **Djibouti** | telephone facilities in the city of Djibouti are adequate as are the microwave radio relay connections to outlying areas of the country |
| | *domestic:* microwave radio relay network |
| | *international:* submarine cable to Jiddah, Suez, Sicily, Marseilles, Colombo, and Singapore; satellite earth stations - 1 Intelsat (Indian Ocean) and 1 Arabsat; Medarabtel regional microwave radio relay telephone network |
| **Dominica** | *domestic:* fully automatic network |
| | *international:* microwave radio relay and SHF radiotelephone links to Martinique and Guadeloupe; VHF and UHF radiotelephone links to Saint Lucia |
| **Dominican Republic** | *domestic:* relatively efficient system based on islandwide microwave radio relay network |
| | *international:* 1 coaxial submarine cable; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Ecuador** | *domestic:* facilities generally inadequate and unreliable |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Egypt** | large system by Third World standards but inadequate for present requirements and undergoing extensive upgrading; Internet access available |
| | *domestic:* principal centers at Alexandria, Cairo, Al Mansurah, Ismailia, Suez, and Tanta are connected by coaxial cable and microwave radio relay |
| | *international:* satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean), 1 Arabsat, and 1 Inmarsat; 5 coaxial submarine cables; tropospheric scatter to Sudan; microwave radio relay to Israel; a participant in Medarabtel and a signatory to Project Oxygen (a global submarine fiber-optic cable system) |
| **El Salvador** | *domestic:* nationwide microwave radio relay system |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean); connected to Central American Microwave System |
| **Equatorial Guinea** | poor system with adequate government services |
| | *domestic:* NA |
| | *international:* international communications from Bata and Malabo to African and European countries; satellite earth station - 1 Intelsat (Indian Ocean) |
| **Eritrea** | *domestic:* very inadequate; most telephones are in Asmara; government is seeking international tenders to improve the system |
| | *international:* NA |
| **Estonia** | foreign investment in the form of joint business ventures greatly improved telephone service; Internet services available throughout most of the country; about 150,000 unfilled subscriber requests |
| | *domestic:* local - the Ministry of Transport and Communications is expanding cellular telephone services to form rural networks; intercity - highly developed fiber-optic backbone (double loop) system presently serving at least 16 major cities (1998) |
| | *international:* fiber-optic cables to Finland, Sweden, Latvia, and Russia provide worldwide packet switched service; two international switches are located in Tallinn |
| **Ethiopia** | open wire and microwave radio relay system adequate for government use |
| | *domestic:* open wire; microwave radio relay; radio communication in the HF, VHF, and UHF frequencies; two domestic satellites provide the national trunk service |
| | *international:* open wire to Sudan and Djibouti; microwave radio relay to Kenya and Djibouti; satellite earth stations - 3 Intelsat (1 Atlantic Ocean and 2 Pacific Ocean) |
| **Falkland Islands (Islas Malvinas)** | *domestic:* government-operated radiotelephone and private VHF/CB radiotelephone networks provide effective service to almost all points on both islands |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) with links through London to other countries |
| **Faroe Islands** | good international communications; good domestic facilities |
| | *domestic:* digitalization was to have been completed in 1998 |
| | *international:* satellite earth stations - 1 Orion; 1 fiber-optic submarine cable linking the Faroe Islands with Denmark and Iceland |
| **Fiji** | modern local, interisland, and international (wire/radio integrated) public and special-purpose telephone, telegraph, and teleprinter facilities; regional radio communications center |
| | *domestic:* NA |
| | *international:* access to important cable links between US and Canada as well as between NZ and Australia; satellite earth station - 1 Intelsat (Pacific Ocean) |
| **Finland** | modern system with excellent service |
| | *domestic:* cable, microwave radio relay, and an extensive cellular net take provide of domestic needs |
| | *international:* 1 submarine cable; satellite earth stations - access to Intelsat transmission service via a Swedish satellite earth station, 1 Inmarsat (Atlantic and Indian Ocean regions); note - Finland shares the Inmarsat earth station with the other Nordic countries (Denmark, Iceland, Norway, and Sweden) |
| **France** | highly developed |
| | *domestic:* extensive cable and microwave radio relay; extensive introduction of fiber-optic cable; domestic satellite system |
| | *international:* satellite earth stations - 2 Intelsat (with total of 5 antennas - 2 for Indian Ocean and 3 for Atlantic Ocean), NA Eutelsat, 1 Inmarsat (Atlantic Ocean region); HF radiotelephone communications with more than 20 countries |
| **French Guiana** | *domestic:* fair open wire and microwave radio relay system |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **French Polynesia** | *domestic:* NA |
| | *international:* satellite earth station - 1 Intelsat (Pacific Ocean) |
| **Gabon** | *domestic:* adequate system of cable, microwave radio relay, tropospheric scatter, radiotelephone communication stations, and a domestic satellite system with 12 earth stations |
| | *international:* satellite earth stations - 3 Intelsat (Atlantic Ocean) |
| **Gambia, The** | *domestic:* adequate network of microwave radio relay and open wire |
| | *international:* microwave radio relay links to Senegal and Guinea-Bissau; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Gaza Strip** | *domestic:* rudimentary telephone services provided by an open wire system |
| | *international:* NA |
| **Georgia** | *domestic:* local - T'bilisi and K'ut'aisi have cellular telephone networks with about 10,000 customers total; urban areas 20 telephones/100 people; rural areas 4 telephones/100 people; intercity - a fiber-optic line connects T'bilisi to K'ut'aisi (Georgia's second largest city); nationwide pager service |
| | *international:* Georgia and Russia are working on a fiber-optic line between P'ot'i and Sochi (Russia); present international service is available by microwave, landline, and satellite through the Moscow switch; international electronic mail and telex service available |
| **Germany** | Germany has one of the world's most technologically advanced telecommunications systems; as a result of intensive capital expenditures since reunification, the formerly backward system of the eastern part of the country has been modernized and integrated with that of the western part |
| | *domestic:* Germany is served by an extensive system of automatic telephone exchanges connected by modern networks of fiber-optic cable, coaxial cable, microwave radio relay, and a domestic satellite system; cellular telephone service is widely available and includes roaming service to many foreign countries |
| | *international:* satellite earth stations - 14 Intelsat (12 Atlantic Ocean and 2 Indian Ocean), 1 Eutelsat, 1 Inmarsat (Atlantic Ocean region), 2 Intersputnik (1 Atlantic Ocean region and 1 Indian Ocean region); 7 submarine cable connections; 2 HF radiotelephone communication centers; tropospheric scatter links |
| **Ghana** | poor to fair system; Internet accessible; many rural communities not yet connected; expansion of services is underway |
| | *domestic:* primarily microwave radio relay; wireless local loop has been installed |
| | *international:* satellite earth stations - 4 Intelsat (Atlantic Ocean); microwave radio relay link to Panaftel system connects Ghana to its neighbors |
| **Gibraltar** | adequate, automatic domestic system and adequate international facilities |
| | *domestic:* automatic exchange facilities |
| | *international:* radiotelephone; microwave radio relay; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Greece** | adequate, modern networks reach all areas; microwave radio relay carries most traffic; extensive open-wire network; submarine cables to off-shore islands |
| | *domestic:* microwave radio relay, open wire, and submarine cable |
| | *international:* tropospheric scatter; 8 submarine cables; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), 1 Eutelsat, and 1 Inmarsat (Indian Ocean region) |
| **Greenland** | adequate domestic and international service provided by cables and microwave radio relay; totally digitalized in 1995 |
| | *domestic:* microwave radio relay |
| | *international:* 2 coaxial submarine cables; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Grenada** | automatic, islandwide telephone system |
| | *domestic:* interisland VHF and UHF radiotelephone links |
| | *international:* new SHF radiotelephone links to Trinidad and Tobago and Saint Vincent; VHF and UHF radio links to Trinidad |
| **Guadeloupe** | domestic facilities inadequate |
| | *domestic:* NA |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean); microwave radio relay to Antigua and Barbuda, Dominica, and Martinique |
| **Guam** | *domestic:* NA |
| | *international:* satellite earth stations - 2 Intelsat (Pacific Ocean); submarine cables to US and Japan |
| **Guatemala** | fairly modern network centered in the city of Guatemala |
| | *domestic:* NA |
| | *international:* connected to Central American Microwave System; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Guernsey** | *domestic:* NA |
| | *international:* 1 submarine cable |
| **Guinea** | poor to fair system of open-wire lines, small radiotelephone communication stations, and new microwave radio relay system |
| | *domestic:* microwave radio relay and radiotelephone communication |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Guinea-Bissau** | small system |
| | *domestic:* combination of microwave radio relay, open-wire lines, radiotelephone, and cellular communications |
| | *international:* NA |
| **Guyana** | fair system for long-distance calling |
| | *domestic:* microwave radio relay network for trunk lines |
| | *international:* tropospheric scatter to Trinidad; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Haiti** | domestic facilities barely adequate; international facilities slightly better |
| | *domestic:* coaxial cable and microwave radio relay trunk service |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Holy See (Vatican City)** | automatic exchange |
| | *domestic:* tied into Italian system |
| | *international:* uses Italian system |
| **Honduras** | inadequate system |
| | *domestic:* NA |
| | *international:* satellite earth stations - 2 Intelsat (Atlantic Ocean); connected to Central American Microwave System |
| **Hong Kong** | modern facilities provide excellent domestic and international services |
| | *domestic:* microwave radio relay links and extensive fiber-optic network |
| | *international:* satellite earth stations - 3 Intelsat (1 Pacific Ocean and 2 Indian Ocean); coaxial cable to Guangzhou, China; access to 5 international submarine cables providing connections to ASEAN member nations, Japan, Taiwan, Australia, Middle East, and Western Europe |
| **Hungary** | the telephone system has been modernized and is capable of satisfying all requests for telecommunication service |
| | *domestic:* the system is digitalized and highly automated; trunk services are carried by fiber-optic cable and digital microwave radio relay; a program for fiber-optic subscriber connections was initiated in 1996; heavy use is made of mobile cellular telephones |
| | *international:* Hungary has fiber-optic cable connections with all neighboring countries; the international switch is in Budapest; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean regions), 1 Inmarsat, 1 very small aperture terminal (VSAT) system of ground terminals |
| **Iceland** | adequate domestic service |
| | *domestic:* the trunk network consists of coaxial and fiber-optic cables and microwave radio relay links |
| | *international:* satellite earth stations - 2 Intelsat (Atlantic Ocean), 1 Inmarsat (Atlantic and Indian Ocean regions); note - Iceland shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Norway, and Sweden) |
| **India** | mediocre service; local and long distance service provided throughout all regions of the country, with services primarily concentrated in the urban areas; major objective is to continue to expand and modernize long-distance network in order to keep pace with rapidly growing number of local subscriber lines; steady improvement is taking place with the recent admission of private and private-public investors, but demand for communication services is also growing rapidly |
| | *domestic:* local service is provided by microwave radio relay and coaxial cable, with open wire and obsolete electromechanical and manual switchboard systems still in use in rural areas; starting in the 1980s, a substantial amount of digital switch gear has been introduced for local and long-distance service; long-distance traffic is carried mostly by coaxial cable and low-capacity microwave radio relay; since 1985 significant trunk capacity has been added in the form of fiber-optic cable and a domestic satellite system with 254 earth stations; mobile cellular service is provided in four metropolitan cities |
| | *international:* satellite earth stations - 8 Intelsat (Indian Ocean) and 1 Inmarsat (Indian Ocean region); nine gateway exchanges operating from Mumbai (Bombay), New Delhi, Calcutta, Chennai (Madras), Jalandhar, Kanpur, Gaidhinagar, Hyderabad, and Ernakulam; 4 submarine cables - LOCOM linking Chennai (Madras) to Penang; Indo-UAE-Gulf cable linking Mumbai (Bombay) to Al Fujayrah, UAE; India-SEA-ME-WE-3, SEA-ME-WE-2 with landing sites at Cochin and Mumbai (Bombay); Fiber-Optic Link Around the Globe (FLAG) with landing site at Mumbai (Bombay) |
| **Indonesia** | domestic service fair, international service good |
| | *domestic:* interisland microwave system and HF radio police net; domestic satellite communications system |
| | *international:* satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) |
| **Iran** | inadequate but currently being modernized and expanded with the goal of not only improving the efficiency and increasing the volume of the urban service but also bringing telephone service to several thousand villages, not presently connected |
| | *domestic:* as a result of heavy investing in the telephone system since 1994, the number of long distance channels in the microwave radio relay trunk has grown substantially; many villages have been brought into the net; the number of main lines in the urban systems have approximately doubled; and thousands of mobile cellular subscribers are being served; moreover, the technical level of the system has been raised by the installation of thousands of digital switches |
| | *international:* HF radio and microwave radio relay to Turkey, Azerbaijan, Pakistan, Afghanistan, Turkmenistan, Syria, Kuwait, Tajikistan, and Uzbekistan; submarine fiber-optic cable to UAE with access to Fiber-Optic Link Around the Globe (FLAG); Trans Asia Europe (TAE) fiber-optic line runs from Azerbaijan through the northern portion of Iran to Turkmenistan with expansion to Georgia and Azerbaijan; satellite earth stations - 9 Intelsat and 4 Inmarsat; Internet service available but limited to electronic mail to promote Iranian culture |
| **Iraq** | reconstitution of damaged telecommunication facilities began after the Gulf war; most damaged facilities have been rebuilt |
| | *domestic:* the network consists of coaxial cables and microwave radio relay links |
| | *international:* satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), 1 Intersputnik (Atlantic Ocean region) and 1 Arabsat (inoperative); coaxial cable and microwave radio relay to Jordan, Kuwait, Syria, and Turkey; Kuwait line is probably nonoperational |
| **Ireland** | modern digital system using cable and microwave radio relay |
| | *domestic:* microwave radio relay |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Israel** | most highly developed system in the Middle East although not the largest |
| | *domestic:* good system of coaxial cable and microwave radio relay; all systems are digital |
| | *international:* 3 submarine cables; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean) |
| **Italy** | modern, well-developed, fast; fully automated telephone, telex, and data services |
