FIELD LISTING :: IMPORTS - COMMODITIES

| Country | IMPORTS - COMMODITIES(%) |
| **Central African Republic** | food, textiles, petroleum products, machinery, electrical equipment, motor vehicles, chemicals, pharmaceuticals |
| **Chad** | machinery and transportation equipment, industrial goods, foodstuffs, textiles |
| **Chile** | petroleum and petroleum products, chemicals, electrical and telecommunications equipment, industrial machinery, vehicles, natural gas |
| **China** | electrical and other machinery, oil and mineral fuels; nuclear reactor, boiler, and machinery components; optical and medical equipment, metal ores, motor vehicles; soybeans |
| **Christmas Island** | consumer goods |
| **Cocos (Keeling) Islands** | foodstuffs |
| **Colombia** | industrial equipment, transportation equipment, consumer goods, chemicals, paper products, fuels, electricity |
| **Comoros** | rice and other foodstuffs, consumer goods, petroleum products, cement and construction materials, transport equipment |
| **Congo, Democratic Republic of the** | foodstuffs, mining and other machinery, transport equipment, fuels |
| **Congo, Republic of the** | capital equipment, construction materials, foodstuffs |
| **Cook Islands** | foodstuffs, textiles, fuels, timber, capital goods |
| **Costa Rica** | raw materials, consumer goods, capital equipment, petroleum, construction materials |
| **Cote d'Ivoire** | fuel, capital equipment, foodstuffs |
| **Croatia** | machinery, transport and electrical equipment; chemicals, fuels and lubricants; foodstuffs |
| **Cuba** | petroleum, food, machinery and equipment, chemicals |
| **Curacao** | crude petroleum, food, manufactures |
| **Cyprus** | consumer goods, petroleum and lubricants, machinery, transport equipment |
| **Czechia** | machinery and transport equipment, raw materials and fuels, chemicals |
| **Denmark** | machinery and equipment, raw materials and semimanufactures for industry, chemicals, grain and foodstuffs, consumer goods |
| **Djibouti** | foods, beverages, transport equipment, chemicals, petroleum products, clothing |
| **Dominica** | manufactured goods, machinery and equipment, food, chemicals |
| **Dominican Republic** | petroleum, foodstuffs, cotton and fabrics, chemicals and pharmaceuticals |
| **Ecuador** | industrial materials, fuels and lubricants, nondurable consumer goods |
| **Egypt** | machinery and equipment, foodstuffs, chemicals, wood products, fuels |
| **El Salvador** | raw materials, consumer goods, capital goods, fuels, foodstuffs, petroleum, electricity |
| **Equatorial Guinea** | petroleum sector equipment, other equipment, construction materials, vehicles |
| **Eritrea** | machinery, petroleum products, food, manufactured goods |
| **Estonia** | machinery and electrical equipment 28 %, mineral fuels 11%, food and food products 10%, vehicles 9%, chemical products 8%, metals 8% (2015 est.) |
| **Ethiopia** | machinery and aircraft (14%, by value), metal and metal products, (14%), electrical materials, (13%), petroleum products (12%), motor vehicles, (10%), chemicals and fertilizers (4%) |
| **European Union** | fuels and crude oil, machinery, vehicles, pharmaceuticals and other chemicals, precious gemstones, textiles, aircraft, plastics, metals, ships |
| **Falkland Islands (Islas Malvinas)** | fuel, food and drink, building materials, clothing |
| **Faroe Islands** | goods for household consumption, machinery and transport equipment, fuels, raw materials and semi-manufactures, cars |
| **Fiji** | manufactured goods, machinery and transport equipment, petroleum products, food, chemicals |
| **Finland** | foodstuffs, petroleum and petroleum products, chemicals, transport equipment, iron and steel, machinery, computers, electronic industry products, textile yarn and fabrics, grains |
| **France** | machinery and equipment, vehicles, crude oil, aircraft, plastics, chemicals |
| **French Polynesia** | fuels, foodstuffs, machinery and equipment |
| **Gabon** | machinery and equipment, foodstuffs, chemicals, construction materials |
| **Gambia, The** | foodstuffs, manufactures, fuel, machinery and transport equipment |
| **Gaza Strip** | food, consumer goods, fuel |
| **Georgia** | fuels, vehicles, machinery and parts, grain and other foods, pharmaceuticals |
| **Germany** | machinery, data processing equipment, vehicles, chemicals, oil and gas, metals, electric equipment, pharmaceuticals, foodstuffs, agricultural products |
| **Ghana** | capital equipment, refined petroleum, foodstuffs |
| **Gibraltar** | fuels, manufactured goods, foodstuffs |
| **Greece** | machinery, transport equipment, fuels, chemicals |
| **Greenland** | machinery and transport equipment, manufactured goods, food, petroleum products |
| **Grenada** | food, manufactured goods, machinery, chemicals, fuel |
| **Guam** | petroleum and petroleum products, food, manufactured goods |
| **Guatemala** | fuels, machinery and transport equipment, construction materials, grain, fertilizers, electricity, mineral products, chemical products, plastic materials and products |
| **Guernsey** | coal, gasoline, oil, machinery, and equipment |
| **Guinea-Bissau** | foodstuffs, machinery and transport equipment, petroleum products |
| **Guinea** | petroleum products, metals, machinery, transport equipment, textiles, grain and other foodstuffs |
| **Guyana** | manufactures, machinery, petroleum, food |
| **Haiti** | food, manufactured goods, machinery and transport equipment, fuels, raw materials |
| **Honduras** | communications equipment, machinery and transport, industrial raw materials, chemical products, fuels, foodstuffs |
| **Hong Kong** | raw materials and semi-manufactures, consumer goods, capital goods, foodstuffs, fuel (most is reexported) |
| **Hungary** | machinery and equipment 45.4%, other manufactures 34.3%, fuels and electricity 12.6%, food products 5.3%, raw materials 2.5% (2012) |
| **Iceland** | machinery and equipment, petroleum products, foodstuffs, textiles |
| **India** | crude oil, precious stones, machinery, chemicals, fertilizer, plastics, iron and steel |
| **Indonesia** | mineral fuels, boilers, machinery, and mechanical parts, electric machinery, iron and steel, foodstuffs |
| **Iran** | industrial supplies, capital goods, foodstuffs and other consumer goods, technical services |
| **Iraq** | food, medicine, manufactures |
| **Ireland** | data processing equipment, other machinery and equipment, chemicals, petroleum and petroleum products, textiles, clothing |
| **Isle of Man** | timber, fertilizers, fish |
| **Israel** | raw materials, military equipment, investment goods, rough diamonds, fuels, grain, consumer goods |
| **Italy** | engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, tobacco |
| **Jamaica** | food and other consumer goods, industrial supplies, fuel, parts and accessories of capital goods, machinery and transport equipment, construction materials |
| **Japan** | petroleum 16.1%; liquid natural gas 9.1%; clothing 3.8%; semiconductors 3.3%; coal 2.4%; audio and visual apparatus 1.4% (2014 est.) |
| **Jersey** | machinery and transport equipment, manufactured goods, foodstuffs, mineral fuels, chemicals |
| **Jordan** | crude oil, refined petroleum products, machinery, transport equipment, iron, cereals |
| **Kazakhstan** | machinery and equipment, metal products, foodstuffs |
| **Kenya** | machinery and transportation equipment, petroleum products, motor vehicles, iron and steel, resins and plastics |
| **Kiribati** | food, machinery and equipment, miscellaneous manufactured goods, fuel |
| **Korea, North** | petroleum, coking coal, machinery and equipment, textiles, grain |
| **Korea, South** | crude oil/petroleum products, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemical, textiles |
| **Kosovo** | foodstuffs, livestock, wood, petroleum, chemicals, machinery, minerals, textiles, stone, ceramic and glass products, electrical equipment |
| **Kuwait** | food, construction materials, vehicles and parts, clothing |
| **Kyrgyzstan** | oil and gas, machinery and equipment, chemicals, foodstuffs |
| **Laos** | machinery and equipment, vehicles, fuel, consumer goods |
| **Latvia** | machinery and equipment, consumer goods, chemicals, fuels, vehicles |
| **Lebanon** | petroleum products, cars, medicinal products, clothing, meat and live animals, consumer goods, paper, textile fabrics, tobacco, electrical machinery and equipment, chemicals |
| **Lesotho** | food; building materials, vehicles, machinery, medicines, petroleum products |
| **Liberia** | fuels, chemicals, machinery, transportation equipment, manufactured goods; foodstuffs |
| **Libya** | machinery, semi-finished goods, food, transport equipment, consumer products |
| **Liechtenstein** | agricultural products, raw materials, energy products, machinery, metal goods, textiles, foodstuffs, motor vehicles |
| **Lithuania** | oil, natural gas, machinery and equipment, transport equipment, chemicals, textiles and clothing, metals |
| **Luxembourg** | commercial aircraft, minerals, chemicals, metals, foodstuffs, luxury consumer goods |
| **Macau** | raw materials and semi-manufactured goods, consumer goods (foodstuffs, beverages, tobacco, garments and footwear, motor vehicles), capital goods, mineral fuels and oils |
| **Macedonia** | machinery and equipment, automobiles, chemicals, fuels, food products |
| **Madagascar** | capital goods, petroleum, consumer goods, food |
| **Malawi** | food, petroleum products, semi-manufactures, consumer goods, transportation equipment |
| **Malaysia** | electronics, machinery, petroleum products, plastics, vehicles, iron and steel products, chemicals |
| **Maldives** | petroleum products, clothing, intermediate and capital goods |
| **Mali** | petroleum, machinery and equipment, construction materials, foodstuffs, textiles |
| **Malta** | mineral fuels, oils and products; electrical machinery; aircraft/spacecraft and parts thereof; machinery and mechanical appliances; plastic and other semi-manufactured goods; vehicles and parts |
| **Marshall Islands** | foodstuffs, machinery and equipment, fuels, beverages, tobacco |
| **Mauritania** | machinery and equipment, petroleum products, capital goods, foodstuffs, consumer goods |
| **Mauritius** | manufactured goods, capital equipment, foodstuffs, petroleum products, chemicals |
| **Mexico** | metalworking machines, steel mill products, agricultural machinery, electrical equipment, automobile parts for assembly and repair, aircraft, aircraft parts |
| **Micronesia, Federated States of** | food, beverages, clothing, computers, household electronics, appliances, manufactured goods, automobiles, machinery and equipment, furniture, tools |
| **Moldova** | mineral products and fuel, machinery and equipment, chemicals, textiles |
| **Mongolia** | machinery and equipment, fuel, cars, food products, industrial consumer goods, chemicals, building materials, cigarettes and tobacco, appliances, soap and detergent |
| **Montserrat** | machinery and transportation equipment, foodstuffs, manufactured goods, fuels, lubricants |
| **Morocco** | crude petroleum, textile fabric, telecommunications equipment, wheat, gas and electricity, transistors, plastics |
| **Mozambique** | machinery and equipment, vehicles, fuel, chemicals, metal products, foodstuffs, textiles |
| **Namibia** | foodstuffs; petroleum products and fuel, machinery and equipment, chemicals |
| **Nauru** | food, fuel, manufactures, building materials, machinery |
| **Nepal** | petroleum products, machinery and equipment, gold, electrical goods, medicine |
| **Netherlands** | machinery and transport equipment, chemicals, fuels, foodstuffs, clothing |
| **New Caledonia** | machinery and equipment, fuels, chemicals, foodstuffs |
| **New Zealand** | petroleum and products, mechanical machinery, vehicles and parts, electrical machinery, textiles |
| **Nicaragua** | consumer goods, machinery and equipment, raw materials, petroleum products |
| **Nigeria** | machinery, chemicals, transport equipment, manufactured goods, food and live animals |
| **Niger** | foodstuffs, machinery, vehicles and parts, petroleum, cereals |
| **Niue** | food, live animals, manufactured goods, machinery, fuels, lubricants, chemicals, drugs |
| **Norfolk Island** | NA |
| **Northern Mariana Islands** | food, construction equipment and materials, petroleum products |
| **Norway** | machinery and equipment, chemicals, metals, foodstuffs |
| **Oman** | machinery and transport equipment, manufactured goods, food, livestock, lubricants |
| **Pakistan** | petroleum, petroleum products, machinery, plastics, transportation equipment, edible oils, paper and paperboard, iron and steel, tea |
| **Palau** | machinery and equipment, fuels, metals; foodstuffs |
| **Panama** | fuels, machinery, vehicles, iron and steel rods, pharmaceuticals |
| **Papua New Guinea** | machinery and transport equipment, manufactured goods, food, fuels, chemicals |
| **Paraguay** | road vehicles, consumer goods, tobacco, petroleum products, electrical machinery, tractors, chemicals, vehicle parts |
| **Peru** | petroleum and petroleum products, chemicals, plastics, machinery, vehicles, TV sets, power shovels, front-end loaders, telephones and telecommunication equipment, iron and steel, wheat, corn, soybean products, paper, cotton, vaccines and medicines |
| **Philippines** | electronic products, mineral fuels, machinery and transport equipment, iron and steel, textile fabrics, grains, chemicals, plastic |
| **Pitcairn Islands** | fuel oil, machinery, building materials, flour, sugar, other foodstuffs |
| **Poland** | machinery and transport equipment 38%, intermediate manufactured goods 21%, chemicals 15%, minerals, fuels, lubricants, and related materials 9% (2011 est.) |
| **Portugal** | agricultural products, chemical products, vehicles and other transport material, optical and precision instruments, computer accessories and parts, semiconductors and related devices, oil products, base metals, food products, textile materials |
| **Puerto Rico** | chemicals, machinery and equipment, clothing, food, fish, petroleum products |
| **Qatar** | machinery and transport equipment, food, chemicals |
| **Romania** | machinery and equipment, other manufactured goods, chemicals, agricultural products and foodstuffs, fuels and minerals, metals and metal products, raw materials |
| **Russia** | machinery, vehicles, pharmaceutical products, plastic, semi-finished metal products, meat, fruits and nuts, optical and medical instruments, iron, steel |
| **Rwanda** | foodstuffs, machinery and equipment, steel, petroleum products, cement and construction material |
| **Saint Helena, Ascension, and Tristan da Cunha** | food, beverages, tobacco, fuel oils, animal feed, building materials, motor vehicles and parts, machinery and parts |
| **Saint Kitts and Nevis** | machinery, manufactures, food, fuels |
| **Saint Lucia** | food, manufactured goods, machinery and transportation equipment, chemicals, fuels |
| **Saint Martin** | crude petroleum, food, manufactured items |
| **Saint Pierre and Miquelon** | meat, clothing, fuel, electrical equipment, machinery, building materials |
| **Saint Vincent and the Grenadines** | foodstuffs, machinery and equipment, chemicals and fertilizers, minerals and fuels |
| **Samoa** | machinery and equipment, industrial supplies, foodstuffs |
| **San Marino** | wide variety of consumer manufactures, food, energy |
| **Sao Tome and Principe** | machinery and electrical equipment, food products, petroleum products |
| **Saudi Arabia** | machinery and equipment, foodstuffs, chemicals, motor vehicles, textiles |
| **Senegal** | food and beverages, capital goods, fuels |
| **Serbia** | machinery and transport equipment, fuels and lubricants, manufactured goods, chemicals, food and live animals, raw materials |
| **Seychelles** | machinery and equipment, foodstuffs, petroleum products, chemicals, other manufactured goods |
| **Sierra Leone** | foodstuffs, machinery and equipment, fuels and lubricants, chemicals |
| **Singapore** | machinery and equipment, mineral fuels, chemicals, foodstuffs, consumer goods |
| **Slovakia** | machinery and electrical equipment 20%, vehicles and related parts 14%, nuclear reactors and furnaces 12%, fuel and mineral oils 9% (2015 est.) |
| **Slovenia** | machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food |
| **Solomon Islands** | food, plant and equipment, manufactured goods, fuels, chemicals |
| **Somalia** | manufactures, petroleum products, foodstuffs, construction materials, qat |
| **South Africa** | machinery and equipment, chemicals, petroleum products, scientific instruments, foodstuffs |
| **Spain** | machinery and equipment, fuels, chemicals, semi-finished goods, foodstuffs, consumer goods, measuring and medical control instruments |
| **Sri Lanka** | petroleum, textiles, machinery and transportation equipment, building materials, mineral products, foodstuffs |
| **Sudan** | foodstuffs, manufactured goods, refinery and transport equipment, medicines, chemicals, textiles, wheat |
| **Suriname** | capital equipment, petroleum, foodstuffs, cotton, consumer goods |
| **Swaziland** | motor vehicles, machinery, transport equipment, foodstuffs, petroleum products, chemicals |
| **Sweden** | machinery, petroleum and petroleum products, chemicals, motor vehicles, iron and steel; foodstuffs, clothing |
| **Switzerland** | machinery, chemicals, vehicles, metals; agricultural products, textiles |
| **Syria** | machinery and transport equipment, electric power machinery, food and livestock, metal and metal products, chemicals and chemical products, plastics, yarn, paper |
| **Taiwan** | oil/petroleum, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemicals, textiles |
| **Tajikistan** | petroleum products, aluminum oxide, machinery and equipment, foodstuffs |
| **Tanzania** | consumer goods, machinery and transportation equipment, industrial raw materials, crude oil |
| **Thailand** | machinery and parts, crude oil, electrical machinery and parts, chemicals, iron & steel and product, electronic integrated circuit, automobile’s parts, jewelry including silver bars and gold, computers and parts, electrical household appliances, soybean, soybean meal, wheat, cotton, dairy products |
| **Timor-Leste** | food, gasoline, kerosene, machinery |
| **Togo** | machinery and equipment, foodstuffs, petroleum products |
| **Tokelau** | foodstuffs, building materials, fuel |
| **Tonga** | foodstuffs, machinery and transport equipment, fuels, chemicals |
| **Trinidad and Tobago** | mineral fuels, lubricants, machinery, transportation equipment, manufactured goods, food, chemicals, live animals |
| **Tunisia** | textiles, machinery and equipment, hydrocarbons, chemicals, foodstuffs |
| **Turkey** | machinery, chemicals, semi-finished goods, fuels, transport equipment |
| **Turkmenistan** | machinery and equipment, chemicals, foodstuffs |
| **Turks and Caicos Islands** | food and beverages, tobacco, clothing, manufactures, construction materials |
| **Tuvalu** | food, animals, mineral fuels, machinery, manufactured goods |
| **Uganda** | capital equipment, vehicles, petroleum, medical supplies; cereals |
| **Ukraine** | energy, machinery and equipment, chemicals |
| **United Arab Emirates** | machinery and transport equipment, chemicals, food |
| **United Kingdom** | manufactured goods, machinery, fuels; foodstuffs |
| **United States** | agricultural products 4.9%, industrial supplies 32.9% (crude oil 8.2%), capital goods 30.4% (computers, telecommunications equipment, motor vehicle parts, office machines, electric power machinery), consumer goods 31.8% (automobiles, clothing, medicines, furniture, toys) (2008 est.) |
| **Uruguay** | refined oil, crude oil, passenger and other transportation vehicles, vehicle parts, cellular phones |
| **Uzbekistan** | machinery and equipment, foodstuffs, chemicals, ferrous and nonferrous metals |
| **Vanuatu** | machinery and equipment, foodstuffs, fuels |
| **Venezuela** | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, petroleum products, pharmaceuticals, chemicals, iron and steel products |
| **Vietnam** | machinery and equipment, petroleum products, steel products, raw materials for the clothing and shoe industries, electronics, plastics, automobiles |
| **Virgin Islands** | foodstuffs, consumer goods, building materials |
| **Wallis and Futuna** | chemicals, machinery, consumer goods |
| **West Bank** | food, consumer goods, construction materials, petroleum, chemicals |
| **Western Sahara** | fuel for fishing fleet, foodstuffs |
| **World** | the whole range of industrial and agricultural goods and services |
| | *top ten - share of world trade:* see listing for exports |
| **Yemen** | food and live animals, machinery and equipment, chemicals |
| **Zambia** | machinery, transportation equipment, petroleum products, electricity, fertilizer, foodstuffs, clothing |
| **Zimbabwe** | machinery and transport equipment, other manufactures, chemicals, fuels, food products |
