CIA - The World Factbook -- Field Listing :: Sanitation facility access   

This entry provides information about access to improved or unimproved sanitation facilities available to segments of the population of a country. improved sanitation - use of any of the following facilities: flush or pour-flush to a piped sewer system, septic tank or pit latrine; ventilated improved pit (VIP) latrine; pit latrine with slab; or a composting toilet. unimproved sanitation - use of any of the following facilities: flush or pour-flush not piped to a sewer system, septic tank or pit latrine; pit latrine without a slab or open pit; bucket; hanging toilet or hanging latrine; shared facilities of any type; no facilities; or bush or field.

| Country | Sanitation facility access(% of population) |
| **Cyprus** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Czech Republic** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 97% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 3% of population |
| | *total:* 2% of population |
| **Denmark** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Djibouti** | *improved:* |
| | *urban:* 63% of population |
| | *rural:* 10% of population |
| | *total:* 56% of population |
| | *unimproved:* |
| | *urban:* 37% of population |
| | *rural:* 90% of population |
| | *total:* 44% of population |
| **Dominica** | *improved:* |
| | *urban:* 80% of population |
| | *rural:* 84% of population |
| | *total:* 81% of population |
| | *unimproved:* |
| | *urban:* 20% of population |
| | *rural:* 16% of population |
| | *total:* 19% of population |
| **Dominican Republic** | *improved:* |
| | *urban:* 87% of population |
| | *rural:* 74% of population |
| | *total:* 83% of population |
| | *unimproved:* |
| | *urban:* 13% of population |
| | *rural:* 26% of population |
| | *total:* 17% of population |
| **Ecuador** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 84% of population |
| | *total:* 92% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 16% of population |
| | *total:* 8% of population |
| **Egypt** | *improved:* |
| | *urban:* 97% of population |
| | *rural:* 92% of population |
| | *total:* 94% of population |
| | *unimproved:* |
| | *urban:* 3% of population |
| | *rural:* 8% of population |
| | *total:* 6% of population |
| **El Salvador** | *improved:* |
| | *urban:* 89% of population |
| | *rural:* 83% of population |
| | *total:* 87% of population |
| | *unimproved:* |
| | *urban:* 11% of population |
| | *rural:* 17% of population |
| | *total:* 13% of population |
| **Eritrea** | *improved:* |
| | *urban:* 52% of population |
| | *rural:* 4% of population |
| | *total:* 14% of population |
| | *unimproved:* |
| | *urban:* 48% of population |
| | *rural:* 96% of population |
| | *total:* 86% of population |
| **Estonia** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 94% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 6% of population |
| | *total:* 5% of population |
| **Ethiopia** | *improved:* |
| | *urban:* 29% of population |
| | *rural:* 8% of population |
| | *total:* 12% of population |
| | *unimproved:* |
| | *urban:* 71% of population |
| | *rural:* 92% of population |
| | *total:* 88% of population |
| **Finland** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **France** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **French Polynesia** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 97% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 3% of population |
| | *total:* 2% of population |
| **Gabon** | *improved:* |
| | *urban:* 33% of population |
| | *rural:* 30% of population |
| | *total:* 33% of population |
| | *unimproved:* |
| | *urban:* 67% of population |
| | *rural:* 70% of population |
| | *total:* 67% of population |
| **Gambia, The** | *improved:* |
| | *urban:* 68% of population |
| | *rural:* 65% of population |
| | *total:* 67% of population |
| | *unimproved:* |
| | *urban:* 32% of population |
| | *rural:* 35% of population |
| | *total:* 33% of population |
| **Georgia** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 93% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 7% of population |
| | *total:* 5% of population |
| **Germany** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Ghana** | *improved:* |
| | *urban:* 18% of population |
| | *rural:* 7% of population |
| | *total:* 13% of population |
| | *unimproved:* |
| | *urban:* 82% of population |
| | *rural:* 93% of population |
| | *total:* 87% of population |
| **Greece** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 97% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 3% of population |
| | *total:* 2% of population |
| **Grenada** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 97% of population |
| | *total:* 97% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 3% of population |
| | *total:* 3% of population |
| **Guam** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 98% of population |
| | *total:* 99% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 2% of population |
| | *total:* 1% of population |
| **Guatemala** | *improved:* |
| | *urban:* 89% of population |
| | *rural:* 73% of population |
| | *total:* 81% of population |
| | *unimproved:* |
| | *urban:* 11% of population |
| | *rural:* 27% of population |
| | *total:* 19% of population |
| **Guinea** | *improved:* |
| | *urban:* 34% of population |
| | *rural:* 11% of population |
| | *total:* 19% of population |
| | *unimproved:* |
| | *urban:* 66% of population |
| | *rural:* 89% of population |
| | *total:* 81% of population |
| **Guinea-Bissau** | *improved:* |
| | *urban:* 49% of population |
| | *rural:* 9% of population |
| | *total:* 21% of population |
| | *unimproved:* |
| | *urban:* 51% of population |
| | *rural:* 91% of population |
| | *total:* 79% of population |
| **Guyana** | *improved:* |
| | *urban:* 85% of population |
| | *rural:* 80% of population |
| | *total:* 81% of population |
| | *unimproved:* |
| | *urban:* 15% of population |
| | *rural:* 20% of population |
| | *total:* 19% of population |
| **Haiti** | *improved:* |
| | *urban:* 24% of population |
| | *rural:* 10% of population |
| | *total:* 17% of population |
| | *unimproved:* |
| | *urban:* 76% of population |
| | *rural:* 90% of population |
| | *total:* 83% of population |
| **Honduras** | *improved:* |
| | *urban:* 80% of population |
| | *rural:* 62% of population |
| | *total:* 71% of population |
| | *unimproved:* |
| | *urban:* 20% of population |
| | *rural:* 38% of population |
| | *total:* 29% of population |
| **Hungary** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Iceland** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **India** | *improved:* |
| | *urban:* 54% of population |
| | *rural:* 21% of population |
| | *total:* 31% of population |
| | *unimproved:* |
| | *urban:* 46% of population |
| | *rural:* 79% of population |
| | *total:* 69% of population |
| **Indonesia** | *improved:* |
| | *urban:* 67% of population |
| | *rural:* 36% of population |
| | *total:* 52% of population |
| | *unimproved:* |
| | *urban:* 33% of population |
| | *rural:* 64% of population |
| | *total:* 48% of population |
| **Iran** | *improved:* |
| | *urban:* 86% of population |
| | *rural:* 78% of population |
| | *total:* 83% of population |
| | *unimproved:* |
| | *urban:* 14% of population |
| | *rural:* 22% of population |
| | *total:* 17% of population |
| **Iraq** | *improved:* |
| | *urban:* 76% of population |
| | *rural:* 66% of population |
| | *total:* 73% of population |
| | *unimproved:* |
| | *urban:* 24% of population |
| | *rural:* 34% of population |
| | *total:* 27% of population |
| **Ireland** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 98% of population |
| | *total:* 99% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 2% of population |
| | *total:* 1% of population |
| **Israel** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Jamaica** | *improved:* |
| | *urban:* 82% of population |
| | *rural:* 84% of population |
| | *total:* 83% of population |
| | *unimproved:* |
| | *urban:* 18% of population |
| | *rural:* 16% of population |
| | *total:* 17% of population |
| **Japan** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Jordan** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 97% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 3% of population |
| | *total:* 2% of population |
| **Kazakhstan** | *improved:* |
| | *urban:* 97% of population |
| | *rural:* 98% of population |
| | *total:* 97% of population |
| | *unimproved:* |
| | *urban:* 3% of population |
| | *rural:* 2% of population |
| | *total:* 3% of population |
| **Kenya** | *improved:* |
| | *urban:* 27% of population |
| | *rural:* 32% of population |
| | *total:* 31% of population |
| | *unimproved:* |
| | *urban:* 73% of population |
| | *rural:* 68% of population |
| | *total:* 69% of population |
| **Kiribati** | *improved:* |
| | *urban:* 47% of population |
| | *rural:* 22% of population |
| | *total:* 33% of population |
| | *unimproved:* |
| | *urban:* 53% of population |
| | *rural:* 78% of population |
| | *total:* 67% of population |
| **Korea, North** | *improved:* |
| | *urban:* 58% of population |
| | *rural:* 60% of population |
| | *total:* 59% of population |
| | *unimproved:* |
| | *urban:* 42% of population |
| | *rural:* 40% of population |
| | *total:* 41% of population |
| **Korea, South** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Kuwait** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Kyrgyzstan** | *improved:* |
| | *urban:* 94% of population |
| | *rural:* 93% of population |
| | *total:* 93% of population |
| | *unimproved:* |
| | *urban:* 6% of population |
| | *rural:* 7% of population |
| | *total:* 7% of population |
| **Laos** | *improved:* |
| | *urban:* 86% of population |
| | *rural:* 38% of population |
| | *total:* 53% of population |
| | *unimproved:* |
| | *urban:* 14% of population |
| | *rural:* 62% of population |
| | *total:* 47% of population |
| **Latvia** | *improved:* |
| | *urban:* 82% of population |
| | *rural:* 71% of population |
| | *total:* 78% of population |
| | *unimproved:* |
| | *urban:* 18% of population |
| | *rural:* 29% of population |
| | *total:* 22% of population |
| **Lebanon** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 87% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 13% of population |
| | *total:* 2% of population |
| **Lesotho** | *improved:* |
| | *urban:* 40% of population |
| | *rural:* 25% of population |
| | *total:* 29% of population |
| | *unimproved:* |
| | *urban:* 60% of population |
| | *rural:* 75% of population |
| | *total:* 71% of population |
| **Liberia** | *improved:* |
| | *urban:* 25% of population |
| | *rural:* 4% of population |
| | *total:* 17% of population |
| | *unimproved:* |
| | *urban:* 75% of population |
| | *rural:* 96% of population |
| | *total:* 83% of population |
| **Libya** | *improved:* |
| | *urban:* 97% of population |
| | *rural:* 96% of population |
| | *total:* 97% of population |
| | *unimproved:* |
| | *urban:* 3% of population |
| | *rural:* 4% of population |
| | *total:* 3% of population |
| **Luxembourg** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Macedonia** | *improved:* |
| | *urban:* 92% of population |
| | *rural:* 82% of population |
| | *total:* 89% of population |
| | *unimproved:* |
| | *urban:* 8% of population |
| | *rural:* 18% of population |
| | *total:* 11% of population |
| **Madagascar** | *improved:* |
| | *urban:* 15% of population |
| | *rural:* 10% of population |
| | *total:* 11% of population |
| | *unimproved:* |
| | *urban:* 85% of population |
| | *rural:* 90% of population |
| | *total:* 89% of population |
| **Malawi** | *improved:* |
| | *urban:* 51% of population |
| | *rural:* 57% of population |
| | *total:* 56% of population |
| | *unimproved:* |
| | *urban:* 49% of population |
| | *rural:* 43% of population |
| | *total:* 44% of population |
| **Malaysia** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 95% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 5% of population |
| | *total:* 4% of population |
| **Maldives** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 96% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 4% of population |
| | *total:* 2% of population |
| **Mali** | *improved:* |
| | *urban:* 54% of population |
| | *rural:* 32% of population |
| | *total:* 36% of population |
| | *unimproved:* |
| | *urban:* 46% of population |
| | *rural:* 68% of population |
| | *total:* 54% of population |
| **Malta** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Marshall Islands** | *improved:* |
| | *urban:* 83% of population |
| | *rural:* 53% of population |
| | *total:* 73% of population |
| | *unimproved:* |
| | *urban:* 17% of population |
| | *rural:* 47% of population |
| | *total:* 27% of population |
| **Mauritania** | *improved:* |
| | *urban:* 50% of population |
| | *rural:* 9% of population |
| | *total:* 26% of population |
| | *unimproved:* |
| | *urban:* 50% of population |
| | *rural:* 91% of population |
| | *total:* 74% of population |
| **Mauritius** | *improved:* |
| | *urban:* 93% of population |
| | *rural:* 90% of population |
| | *total:* 91% of population |
| | *unimproved:* |
| | *urban:* 7% of population |
| | *rural:* 10% of population |
| | *total:* 9% of population |
| **Mexico** | *improved:* |
| | *urban:* 90% of population |
| | *rural:* 68% of population |
| | *total:* 85% of population |
| | *unimproved:* |
| | *urban:* 10% of population |
| | *rural:* 32% of population |
| | *total:* 15% of population |
| **Micronesia, Federated States of** | *improved:* |
| | *urban:* 59% of population |
| | *rural:* 16% of population |
| | *total:* 26% of population |
| | *unimproved:* |
| | *urban:* 41% of population |
| | *rural:* 84% of population |
| | *total:* 74% of population |
| **Moldova** | *improved:* |
| | *urban:* 85% of population |
| | *rural:* 74% of population |
| | *total:* 79% of population |
| | *unimproved:* |
| | *urban:* 15% of population |
| | *rural:* 26% of population |
| | *total:* 21% of population |
| **Monaco** | *improved:* |
| | *urban:* 100% of population |
| | *total:* 100% of population |
| **Mongolia** | *improved:* |
| | *urban:* 64% of population |
| | *rural:* 32% of population |
| | *total:* 50% of population |
| | *unimproved:* |
| | *urban:* 36% of population |
| | *rural:* 68% of population |
| | *total:* 50% of population |
| **Montenegro** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 86% of population |
| | *total:* 92% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 14% of population |
| | *total:* 8% of population |
| **Montserrat** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 96% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 4% of population |
| | *total:* 4% of population |
| **Morocco** | *improved:* |
| | *urban:* 83% of population |
| | *rural:* 52% of population |
| | *total:* 69% of population |
| | *unimproved:* |
| | *urban:* 17% of population |
| | *rural:* 48% of population |
| | *total:* 31% of population |
| **Mozambique** | *improved:* |
| | *urban:* 38% of population |
| | *rural:* 4% of population |
| | *total:* 17% of population |
| | *unimproved:* |
| | *urban:* 62% of population |
| | *rural:* 96% of population |
| | *total:* 83% of population |
| **Namibia** | *improved:* |
| | *urban:* 60% of population |
| | *rural:* 17% of population |
| | *total:* 33% of population |
| | *unimproved:* |
| | *urban:* 40% of population |
| | *rural:* 83% of population |
| | *total:* 67% of population |
| **Nauru** | *improved:* |
| | *urban:* 50% of population |
| | *total:* 50% of population |
| | *unimproved:* |
| | *urban:* 50% of population |
| | *total:* 50% of population |
| **Nepal** | *improved:* |
| | *urban:* 51% of population |
| | *rural:* 27% of population |
| | *total:* 31% of population |
| | *unimproved:* |
| | *urban:* 49% of population |
| | *rural:* 73% of population |
| | *total:* 69% of population |
| **Netherlands** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Nicaragua** | *improved:* |
| | *urban:* 63% of population |
| | *rural:* 37% of population |
| | *total:* 52% of population |
| | *unimproved:* |
| | *urban:* 37% of population |
| | *rural:* 63% of population |
| | *total:* 48% of population |
| **Niger** | *improved:* |
| | *urban:* 34% of population |
| | *rural:* 4% of population |
| | *total:* 9% of population |
| | *unimproved:* |
| | *urban:* 66% of population |
| | *rural:* 96% of population |
| | *total:* 91% of population |
| **Nigeria** | *improved:* |
| | *urban:* 36% of population |
| | *rural:* 28% of population |
| | *total:* 32% of population |
| | *unimproved:* |
| | *urban:* 67% of population |
| | *rural:* 72% of population |
| | *total:* 68% of population |
| **Niue** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Northern Mariana Islands** | *improved:* |
| | *urban:* 92% of population |
| | *rural:* 93% of population |
| | *total:* 92% of population |
| | *unimproved:* |
| | *urban:* 8% of population |
| | *rural:* 7% of population |
| | *total:* 8% of population |
| **Norway** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Oman** | *improved:* |
| | *urban:* 97% of population |
| | *rural:* 61% of population |
| | *total:* 87% of population |
| | *unimproved:* |
| | *urban:* 3% of population |
| | *rural:* 39% of population |
| | *total:* 13% of population |
| **Pakistan** | *improved:* |
| | *urban:* 72% of population |
| | *rural:* 29% of population |
| | *total:* 45% of population |
| | *unimproved:* |
| | *urban:* 28% of population |
| | *rural:* 71% of population |
| | *total:* 55% of population |
| **Palau** | *improved:* |
| | *urban:* 92% of population |
| | *rural:* 52% of population |
| | *total:* 80% of population |
| | *unimproved:* |
| | *urban:* 8% of population |
| | *rural:* 48% of population |
| | *total:* 20% of population |
| **Panama** | *improved:* |
| | *urban:* 75% of population |
| | *rural:* 51% of population |
| | *total:* 69% of population |
| | *unimproved:* |
| | *urban:* 25% of population |
| | *rural:* 49% of population |
| | *total:* 31% of population |
| **Papua New Guinea** | *improved:* |
| | *urban:* 71% of population |
| | *rural:* 41% of population |
| | *total:* 45% of population |
| | *unimproved:* |
| | *urban:* 29% of population |
| | *rural:* 59% of population |
| | *total:* 55% of population |
| **Paraguay** | *improved:* |
| | *urban:* 90% of population |
| | *rural:* 40% of population |
| | *total:* 70% of population |
| | *unimproved:* |
| | *urban:* 10% of population |
| | *rural:* 60% of population |
| | *total:* 30% of population |
| **Peru** | *improved:* |
| | *urban:* 81% of population |
| | *rural:* 36% of population |
| | *total:* 68% of population |
