CIA - The World Factbook --  Physicians density   

This entry gives the number of medical doctors (physicians), including generalist and specialist medical practitioners, per 1,000 of the population. Medical doctors are defined as doctors that study, diagnose, treat, and prevent illness, disease, injury, and other physical and mental impairments in humans through the application of modern medicine. They also plan, supervise, and evaluate care and treatment plans by other health care providers. The World Health Organization estimates that fewer than 2.3 health workers (physicians, nurses, and midwives only) per 1,000 would be insufficient to achieve coverage of primary healthcare needs.

| Rank | country | (physicians/1,000 population) | Date of Information |
| 179 | Eritrea | 0.05 | 2004 |
| 180 | Papua New Guinea | 0.05 | 2008 |
| 181 | Lesotho | 0.05 | 2003 |
| 182 | Central African Republic | 0.05 | 2009 |
| 183 | Burkina Faso | 0.05 | 2010 |
| 184 | Chad | 0.04 | 2006 |
| 185 | Somalia | 0.04 | 2006 |
| 186 | Mozambique | 0.03 | 2008 |
| 187 | Burundi | 0.03 | 2004 |
| 188 | Ethiopia | 0.03 | 2009 |
| 189 | Sierra Leone | 0.02 | 2010 |
| 190 | Niger | 0.02 | 2008 |
| 191 | Malawi | 0.02 | 2008 |
| 192 | Liberia | 0.01 | 2008 |
| 193 | Tanzania | 0.01 | 2006 |


