CIA - The World Factbook --  Debt - external   

This entry gives the total public and private debt owed to nonresidents repayable in internationally accepted currencies, goods, or services. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Debt - external | Date of Information |
| 170 | Sao Tome and Principe | $ 318,000,000 | 2002 |
| 171 | Saint Kitts and Nevis | $ 314,000,000 | 2004 |
| 172 | Saint Lucia | $ 257,000,000 | 2004 |
| 173 | Comoros | $ 232,000,000 | 2000 est. |
| 174 | Dominica | $ 213,000,000 | 2004 |
| 175 | Samoa | $ 177,000,000 | 2004 |
| 176 | Solomon Islands | $ 166,000,000 | 2004 |
| 177 | Bermuda | $ 160,000,000 | FY99/00 |
| 178 | Cook Islands | $ 141,000,000 | 1996 est. |
| 179 | Fiji | $ 127,000,000 | 2004 est. |
| 180 | Marshall Islands | $ 87,000,000 | 2008 est. |
| 181 | Vanuatu | $ 81,200,000 | 2004 |
| 182 | Tonga | $ 80,700,000 | 2004 |
| 183 | New Caledonia | $ 79,000,000 | 1998 est. |
| 184 | Cayman Islands | $ 70,000,000 | 1996 |
| 185 | Faroe Islands | $ 68,100,000 | 2006 |
| 186 | Micronesia, Federated States of | $ 60,800,000 | FY05 est. |
| 187 | Greenland | $ 58,000,000 | 2009 |
| 188 | British Virgin Islands | $ 36,100,000 | 1997 |
| 189 | Nauru | $ 33,300,000 | |
| 190 | Kiribati | $ 10,000,000 | 1999 est. |
| 191 | Montserrat | $ 8,900,000 | 1997 |
| 192 | Anguilla | $ 8,800,000 | 1998 |
| 193 | Wallis and Futuna | $ 3,670,000 | 2004 |
| 194 | Niue | $ 418,000 | 2002 est. |
| 195 | Brunei | $ 0 | 2005 |
| 196 | Liechtenstein | $ 0 | 2001 |
| 197 | Palau | $ 0 | FY99/00 |
| 198 | Macau | $ 0 | 2009 |
