CIA - The World Factbook --  Debt - external   

This entry gives the total public and private debt owed to nonresidents repayable in internationally accepted currencies, goods, or services. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Debt - external | Date of Information |
| 56 | Pakistan | $ 56,120,000,000 | 31 December 2010 est. |
| 57 | Bulgaria | $ 53,480,000,000 | 30 June 2011 est. |
| 58 | Iraq | $ 52,580,000,000 | 31 December 2010 est. |
| 59 | Malta | $ 48,790,000,000 | 30 June 2011 |
| 60 | Kuwait | $ 45,430,000,000 | 31 December 2010 est. |
| 61 | Peru | $ 42,270,000,000 | 30 June 2011 est. |
| 62 | Latvia | $ 42,070,000,000 | 30 June 2011 est. |
| 63 | Sudan | $ 37,700,000,000 | 31 December 2010 est. |
| 64 | Lithuania | $ 35,840,000,000 | 30 June 2011 est. |
| 65 | Egypt | $ 34,910,000,000 | 30 June 2011 est. |
| 66 | Serbia | $ 33,600,000,000 | 31 December 2010 est. |
| 67 | Belarus | $ 33,100,000,000 | 30 June 2011 est. |
| 68 | Vietnam | $ 32,840,000,000 | 31 December 2010 est. |
| 69 | Lebanon | $ 30,450,000,000 | 31 December 2010 est. |
| 70 | Morocco | $ 30,190,000,000 | 30 June 2011 est. |
| 71 | Bangladesh | $ 24,600,000,000 | 31 December 2010 est. |
| 72 | Estonia | $ 24,220,000,000 | 30 June 2011 est. |
| 73 | Tunisia | $ 23,090,000,000 | 30 June 2011 est. |
| 74 | Singapore | $ 21,820,000,000 | 31 December 2010 est. |
| 75 | Sri Lanka | $ 19,780,000,000 | 31 December 2010 est. |
| 76 | Cuba | $ 19,750,000,000 | 31 December 2010 est. |
| 77 | Angola | $ 18,110,000,000 | 31 December 2010 est. |
| 78 | Monaco | $ 18,000,000,000 | 2000 est. |
| 79 | Jordan | $ 17,460,000,000 | 30 June 2011 est. |
| 80 | Guatemala | $ 15,750,000,000 | 31 December 2010 est. |
| 81 | Bahrain | $ 14,580,000,000 | 31 December 2010 est. |
| 82 | Iran | $ 14,340,000,000 | 31 December 2010 est. |
| 83 | Ecuador | $ 14,320,000,000 | 30 June 2011 est. |
| 84 | Uruguay | $ 13,950,000,000 | 30 June 2011 est. |
| 85 | Congo, Democratic Republic of the | $ 13,500,000,000 | 2009 est. |
| 86 | Dominican Republic | $ 13,240,000,000 | 31 December 2010 est. |
| 87 | Panama | $ 13,220,000,000 | 31 December 2010 est. |
| 88 | Jamaica | $ 12,570,000,000 | 31 December 2010 est. |
| 89 | Korea, North | $ 12,500,000,000 | 2001 est. |
| 90 | El Salvador | $ 11,920,000,000 | 30 June 2011 est. |
| 91 | Cote d'Ivoire | $ 11,520,000,000 | 31 December 2010 est. |
| 92 | Georgia | $ 10,500,000,000 | 30 June 2011 |
| 93 | Bosnia and Herzegovina | $ 9,692,000,000 | 31 December 2010 est. |
| 94 | Costa Rica | $ 9,239,000,000 | 30 June 2011 est. |
| 95 | Nigeria | $ 9,160,000,000 | 31 December 2010 est. |
| 96 | Kenya | $ 8,465,000,000 | 31 December 2010 est. |
| 97 | Tanzania | $ 8,259,000,000 | 31 December 2010 est. |
| 98 | Burma | $ 7,993,000,000 | 31 December 2010 est. |
| 99 | Oman | $ 7,921,000,000 | 31 December 2010 est. |
| 100 | Syria | $ 7,636,000,000 | 31 December 2010 est. |
| 101 | Armenia | $ 6,965,000,000 | 30 June 2011 |
| 102 | Ghana | $ 6,795,000,000 | 31 December 2010 est. |
| 103 | Yemen | $ 6,586,000,000 | 31 December 2010 est. |
| 104 | Libya | $ 6,396,000,000 | 31 December 2010 est. |
| 105 | Bolivia | $ 6,164,000,000 | 31 December 2010 est. |
| 106 | Macedonia | $ 5,704,000,000 | 31 December 2010 est. |
| 107 | Ethiopia | $ 5,593,000,000 | 31 December 2010 est. |
| 108 | Zimbabwe | $ 5,204,000,000 | 31 December 2010 est. |
| 109 | Moldova | $ 5,056,000,000 | 30 June 2011 est. |
| 110 | Congo, Republic of the | $ 5,000,000,000 | 2000 est. |
| 111 | Mozambique | $ 4,810,000,000 | 31 December 2010 est. |
| 112 | Albania | $ 4,752,000,000 | 31 December 2010 est. |
| 113 | Nicaragua | $ 4,739,000,000 | 31 December 2010 est. |
| 114 | Mauritius | $ 4,695,000,000 | 31 December 2010 est. |
| 115 | Laos | $ 4,635,000,000 | 31 December 2010 est. |
| 116 | Paraguay | $ 4,545,000,000 | 31 December 2010 est. |
| 117 | Nepal | $ 4,500,000,000 | 2009 |
| 118 | Cambodia | $ 4,431,000,000 | 31 December 2010 est. |
| 119 | Algeria | $ 4,344,000,000 | 31 December 2010 est. |
| 120 | Trinidad and Tobago | $ 4,289,000,000 | 31 December 2010 est. |
| 121 | Uzbekistan | $ 4,221,000,000 | 31 December 2010 est. |
| 122 | Azerbaijan | $ 3,934,000,000 | 31 December 2010 est. |
| 123 | Senegal | $ 3,858,000,000 | 31 December 2010 est. |
| 124 | Honduras | $ 3,748,000,000 | 31 December 2010 est. |
| 125 | Kyrgyzstan | $ 3,738,000,000 | 30 June 2010 |
| 126 | Zambia | $ 3,461,000,000 | 31 December 2010 est. |
| 127 | Cameroon | $ 3,123,000,000 | 31 December 2010 est. |
| 128 | Namibia | $ 3,101,000,000 | 31 December 2010 est. |
| 129 | Mali | $ 3,024,000,000 | 31 December 2010 est. |
| 130 | Somalia | $ 3,000,000,000 | 2001 est. |
| 131 | Uganda | $ 2,938,000,000 | 31 December 2010 est. |
| 132 | Benin | $ 2,894,000,000 | 31 December 2009 est. |
| 133 | Guinea | $ 2,843,000,000 | 31 December 2010 est. |
| 134 | Afghanistan | $ 2,700,000,000 | FY08/09 |
| 135 | Botswana | $ 2,499,000,000 | 31 December 2010 est. |
| 136 | Mauritania | $ 2,344,000,000 | 31 December 2010 est. |
| 137 | Madagascar | $ 2,265,000,000 | 31 December 2010 est. |
| 138 | Gabon | $ 2,247,000,000 | 31 December 2010 est. |
| 139 | Burkina Faso | $ 2,050,000,000 | 31 December 2010 est. |
| 140 | Tajikistan | $ 1,988,000,000 | 31 December 2010 est. |
| 141 | Mongolia | $ 1,860,000,000 | 2009 |
| 142 | Chad | $ 1,743,000,000 | 31 December 2009 est. |
| 143 | Liberia | $ 1,660,000,000 | 31 December 2009 est. |
| 144 | Papua New Guinea | $ 1,622,000,000 | 31 December 2010 est. |
| 145 | Sierra Leone | $ 1,610,000,000 | 2003 est. |
| 146 | Seychelles | $ 1,526,000,000 | 31 December 2010 est. |
| 147 | Malawi | $ 1,269,000,000 | 31 December 2010 est. |
| 148 | Burundi | $ 1,200,000,000 | 2003 |
| 149 | Eritrea | $ 1,048,000,000 | 31 December 2010 est. |
| 150 | West Bank | $ 1,040,000,000 | 2010 est. |
| 151 | Belize | $ 1,010,000,000 | 2009 est. |
| 152 | Niger | $ 990,900,000 | 31 December 2009 est. |
| 153 | Maldives | $ 943,000,000 | 2010 est. |
| 154 | Guinea-Bissau | $ 941,500,000 | 2000 est. |
| 155 | Bhutan | $ 836,000,000 | 2009 |
| 156 | Guyana | $ 804,300,000 | 30 September 2008 |
| 157 | Equatorial Guinea | $ 794,700,000 | 31 December 2010 est. |
| 158 | Barbados | $ 668,000,000 | 2003 |
| 159 | Lesotho | $ 666,200,000 | 31 December 2010 est. |
| 160 | Montenegro | $ 650,000,000 | 2006 |
| 161 | Gambia, The | $ 572,000,000 | 31 December 2010 est. |
| 162 | Turkmenistan | $ 517,700,000 | 31 December 2010 est. |
| 163 | Suriname | $ 504,300,000 | 2005 est. |
| 164 | Haiti | $ 504,100,000 | 31 December 2010 est. |
| 165 | Aruba | $ 478,600,000 | 2005 est. |
| 166 | Swaziland | $ 445,600,000 | 31 December 2010 est. |
| 167 | Djibouti | $ 428,000,000 | 2006 |
| 168 | Central African Republic | $ 402,800,000 | 31 December 2010 est. |
| 169 | Saint Lucia | $ 366,000,000 | 31 December 2010 est. |
| 170 | Antigua and Barbuda | $ 359,800,000 | June 2006 |
| 171 | Grenada | $ 347,000,000 | 2004 |
| 172 | Bahamas, The | $ 342,600,000 | 2004 est. |
| 173 | Cape Verde | $ 325,000,000 | 2002 |
| 174 | Comoros | $ 279,300,000 | 31 December 2009 est. |
| 175 | Saint Vincent and the Grenadines | $ 272,400,000 | 31 December 2010 est. |
| 176 | Samoa | $ 235,500,000 | 31 December 2009 est. |
| 177 | Saint Kitts and Nevis | $ 215,800,000 | 31 December 2010 est. |
| 178 | Dominica | $ 213,000,000 | 2004 |
| 179 | Sao Tome and Principe | $ 185,900,000 | 31 December 2009 est. |
| 180 | Solomon Islands | $ 166,000,000 | 2004 |
| 181 | Bermuda | $ 160,000,000 | FY99/00 |
| 182 | Cook Islands | $ 141,000,000 | 1996 est. |
| 183 | Fiji | $ 127,000,000 | 2004 est. |
| 184 | Tonga | $ 104,500,000 | 31 December 2009 est. |
| 185 | Marshall Islands | $ 87,000,000 | 2008 est. |
| 186 | Vanuatu | $ 81,200,000 | 2004 |
| 187 | New Caledonia | $ 79,000,000 | 1998 est. |
| 188 | Cayman Islands | $ 70,000,000 | 1996 |
| 189 | Faroe Islands | $ 68,100,000 | 2006 |
| 190 | Micronesia, Federated States of | $ 60,800,000 | FY05 est. |
| 191 | Greenland | $ 58,000,000 | 2009 |
| 192 | British Virgin Islands | $ 36,100,000 | 1997 |
| 193 | Nauru | $ 33,300,000 | 2004 est. |
| 194 | Kiribati | $ 10,000,000 | 1999 est. |
| 195 | Montserrat | $ 8,900,000 | 1997 |
| 196 | Anguilla | $ 8,800,000 | 1998 |
| 197 | Wallis and Futuna | $ 3,670,000 | 2004 |
| 198 | Niue | $ 418,000 | 2002 est. |
| 199 | Brunei | $ 0 | 2005 |
| 200 | Palau | $ 0 | FY99/00 |
| 201 | Macau | $ 0 | 2010 |
| 202 | Liechtenstein | $ 0 | 2001 |
