CIA - The World Factbook --  DEBT - EXTERNAL

Debt - external compares the total public and private debt owed to nonresidents repayable in foreign currency, goods, or services. These figures are calculated on an exchange rate basis.

| Rank | Country | DEBT - EXTERNAL | Date of Information |
| 132 | Algeria | $5,088,000,000 | 31 December 2016 est. |
| 133 | Syria | $5,085,000,000 | 31 December 2016 est. |
| 134 | Korea, North | $5,000,000,000 | 2013 est. |
| 135 | Congo, Republic of the | $4,721,000,000 | 31 December 2016 est. |
| 136 | Barbados | $4,490,000,000 | 2010 est. |
| 137 | Nepal | $4,321,000,000 | 31 December 2016 est. |
| 138 | Mali | $3,981,000,000 | 31 December 2016 est. |
| 139 | Mauritania | $3,899,000,000 | 31 December 2016 est. |
| 140 | Madagascar | $3,425,000,000 | 31 December 2016 est. |
| 141 | Libya | $3,116,000,000 | 31 December 2016 est. |
| 142 | Niger | $2,926,000,000 | 31 December 2016 est. |
| 143 | Burkina Faso | $2,880,000,000 | 31 December 2016 est. |
| 144 | Seychelles | $2,651,000,000 | 31 December 2016 est. |
| 145 | Rwanda | $2,611,000,000 | 31 December 2016 est. |
| 146 | Benin | $2,476,000,000 | 31 December 2016 est. |
| 147 | Bermuda | $2,435,000,000 | 2015 est. |
| 148 | Botswana | $2,421,000,000 | 31 December 2016 est. |
| 149 | Bhutan | $2,355,000,000 | 31 December 2016 est. |
| 150 | Haiti | $2,170,000,000 | 31 December 2016 est. |
| 151 | Malawi | $1,985,000,000 | 31 December 2016 est. |
| 152 | Cabo Verde | $1,688,000,000 | 31 December 2016 est. |
| 153 | West Bank | $1,662,000,000 | 31 March 2016 est. |
| 154 | Suriname | $1,625,000,000 | 31 December 2016 est. |
| 155 | Montenegro | $1,576,000,000 | 31 December 2014 est. |
| 156 | Guyana | $1,542,000,000 | 31 December 2016 est. |
| 157 | Djibouti | $1,519,000,000 | 31 December 2016 est. |
| 158 | Sierra Leone | $1,503,000,000 | 31 December 2016 est. |
| 159 | Guinea | $1,462,000,000 | 31 December 2016 est. |
| 160 | Kosovo | $1,400,000,000 | 2016 est. |
| 161 | Belize | $1,338,000,000 | 31 December 2016 est. |
| 162 | Chad | $1,281,000,000 | 31 December 2016 est. |
| 163 | Afghanistan | $1,280,000,000 | FY10/11 |
| 164 | Togo | $1,220,000,000 | 31 December 2016 est. |
| 165 | Guinea-Bissau | $1,095,000,000 | 31 December 2010 est. |
| 166 | Equatorial Guinea | $1,074,000,000 | 31 December 2016 est. |
| 167 | Liberia | $938,900,000 | 31 December 2016 est. |
| 168 | Lesotho | $921,300,000 | 31 December 2016 est. |
| 169 | Eritrea | $875,600,000 | 31 December 2016 est. |
| 170 | Fiji | $696,400,000 | 31 December 2016 est. |
| 171 | Maldives | $693,700,000 | 2015 est. |
| 172 | Aruba | $693,200,000 | 31 December 2014 est. |
| 173 | Central African Republic | $691,500,000 | 31 December 2016 est. |
| 174 | Grenada | $679,000,000 | 2013 est. |
| 175 | Burundi | $622,400,000 | 31 December 2016 est. |
| 176 | Gambia, The | $571,200,000 | 31 December 2016 est. |
| 177 | Saint Lucia | $523,200,000 | 31 December 2016 est. |
| 178 | Solomon Islands | $491,500,000 | 31 December 2013 est. |
| 179 | Swaziland | $468,900,000 | 31 December 2016 est. |
| 180 | Samoa | $447,200,000 | 31 December 2013 est. |
| 181 | Antigua and Barbuda | $441,200,000 | 31 December 2012 |
| 182 | Turkmenistan | $425,300,000 | 31 December 2016 est. |
| 183 | Faroe Islands | $387,600,000 | 2012 |
| 184 | Saint Vincent and the Grenadines | $330,800,000 | 31 December 2016 est. |
| 185 | Timor-Leste | $311,500,000 | 31 December 2014 est. |
| 186 | Sao Tome and Principe | $308,500,000 | 31 December 2016 est. |
| 187 | Dominica | $288,600,000 | 31 December 2016 est. |
| 188 | Tonga | $198,200,000 | 31 December 2016 est. |
| 189 | Saint Kitts and Nevis | $187,900,000 | 31 December 2016 est. |
| 190 | Vanuatu | $182,500,000 | 31 December 2016 est. |
| 191 | Cook Islands | $141,000,000 | 1996 est. |
| 192 | Comoros | $132,000,000 | 31 December 2016 est. |
| 193 | New Caledonia | $112,000,000 | 31 December 2013 est. |
| 194 | Marshall Islands | $97,960,000 | 2013 est. |
| 195 | Micronesia, Federated States of | $93,600,000 | 2013 est. |
| 196 | Anguilla | $41,040,000 | 31 December 2013 |
| 197 | Greenland | $36,400,000 | 2010 |
| 198 | British Virgin Islands | $36,100,000 | 1997 |
| 199 | Nauru | $33,300,000 | 2004 est. |
| 200 | Kiribati | $13,600,000 | 2013 est. |
| 201 | Montserrat | $8,900,000 | 1997 |
| 202 | Wallis and Futuna | $3,670,000 | 2004 |
| 203 | Niue | $418,000 | 2002 est. |
| 204 | Macau | $0 | 31 December 2013 |
| 205 | Andorra | $0 | 2016 |
| 206 | Liechtenstein | $0 | 2015 est. |
| 207 | Brunei | $0 | 2014 |


