CIA - The World Factbook --  Debt - external   

Debt - external compares the total public and private debt owed to nonresidents repayable in foreign currency, goods, or services. These figures are calculated on an exchange rate basis.

| Rank | country | Debt - external | Date of Information |
| 128 | Kyrgyzstan | $ 3,859,000,000 | 31 December 2013 est. |
| 129 | Cameroon | $ 3,455,000,000 | 31 December 2013 est. |
| 130 | Gabon | $ 3,433,000,000 | 31 December 2013 est. |
| 131 | Madagascar | $ 3,361,000,000 | 31 December 2013 est. |
| 132 | Mali | $ 3,349,000,000 | 31 December 2013 est. |
| 133 | Congo, Republic of the | $ 3,274,000,000 | 31 December 2013 est. |
| 134 | Mauritania | $ 3,233,000,000 | 31 December 2013 est. |
| 135 | Albania | $ 3,213,000,000 | 31 December 2013 est. |
| 136 | Somalia | $ 3,050,000,000 | 31 December 2011 est. |
| 137 | Korea, North | $ 3,000,000,000 | 2012 est. |
| 138 | Mauritius | $ 2,894,000,000 | 31 December 2013 est. |
| 139 | Burkina Faso | $ 2,863,000,000 | 31 December 2013 est. |
| 140 | Guinea | $ 2,584,000,000 | 31 December 2012 est. |
| 141 | Botswana | $ 2,416,000,000 | 31 December 2013 est. |
| 142 | Tajikistan | $ 2,162,000,000 | 31 December 2013 est. |
| 143 | Equatorial Guinea | $ 2,104,000,000 | 31 December 2013 est. |
| 144 | Guyana | $ 1,846,000,000 | 31 December 2011 est. |
| 145 | Chad | $ 1,828,000,000 | 31 December 2013 est. |
| 146 | Seychelles | $ 1,719,000,000 | 31 December 2013 est. |
| 147 | Montenegro | $ 1,700,000,000 | 2012 est. |
| 148 | Rwanda | $ 1,656,000,000 | 31 December 2013 est. |
| 149 | Malawi | $ 1,556,000,000 | 31 December 2013 est. |
| 150 | Niger | $ 1,556,000,000 | 31 December 2013 est. |
| 151 | Bermuda | $ 1,400,000,000 | 2012 est. |
| 152 | Sierra Leone | $ 1,331,000,000 | 31 December 2013 est. |
| 153 | Cabo Verde | $ 1,328,000,000 | 31 December 2013 est. |
| 154 | Afghanistan | $ 1,280,000,000 | FY10/11 |
| 155 | Bhutan | $ 1,275,000,000 | 2011 |
| 156 | Benin | $ 1,236,000,000 | 31 December 2013 est. |
| 157 | Belarus | $ 1,204,000,000 | 31 December 2013 est. |
| 158 | Haiti | $ 1,118,000,000 | 31 December 2013 est. |
| 159 | Guinea-Bissau | $ 1,095,000,000 | 31 December 2010 est. |
| 160 | Eritrea | $ 1,094,000,000 | 31 December 2013 est. |
| 161 | Belize | $ 1,048,000,000 | 31 December 2013 est. |
| 162 | Maldives | $ 890,800,000 | 2012 est. |
| 163 | Faroe Islands | $ 888,800,000 | 2010 |
| 164 | Suriname | $ 860,000,000 | 31 December 2013 est. |
| 165 | Djibouti | $ 821,600,000 | 31 December 2013 est. |
| 166 | Lesotho | $ 794,000,000 | 31 December 2013 est. |
| 167 | Fiji | $ 779,900,000 | 31 December 2013 est. |
| 168 | Togo | $ 719,000,000 | 31 December 2013 est. |
| 169 | Grenada | $ 679,000,000 | 2013 est. |
| 170 | Burundi | $ 677,200,000 | 31 December 2013 est. |
| 171 | Central African Republic | $ 634,200,000 | 31 December 2013 est. |
| 172 | Swaziland | $ 609,500,000 | 31 December 2013 est. |
| 173 | Aruba | $ 533,400,000 | 2005 est. |
| 174 | Gambia, The | $ 517,700,000 | 31 December 2013 est. |
| 175 | Kosovo | $ 448,200,000 | 2013 est. |
| 176 | Saint Lucia | $ 446,400,000 | 31 December 2013 est. |
| 177 | Antigua and Barbuda | $ 441,200,000 | 31 December 2012 |
| 178 | Liberia | $ 438,100,000 | 31 December 2013 est. |
| 179 | Turkmenistan | $ 428,900,000 | 31 December 2012 est. |
| 180 | Sao Tome and Principe | $ 406,800,000 | 31 December 2013 est. |
| 181 | Samoa | $ 368,300,000 | 31 December 2011 est. |
| 182 | Vanuatu | $ 307,700,000 | 31 December 2011 est. |
| 183 | Dominica | $ 274,900,000 | 31 December 2013 est. |
| 184 | Solomon Islands | $ 255,500,000 | 31 December 2011 est. |
| 185 | Saint Vincent and the Grenadines | $ 255,300,000 | 31 December 2013 est. |
| 186 | Tonga | $ 215,800,000 | 31 December 2013 est. |
| 187 | Saint Kitts and Nevis | $ 158,900,000 | 31 December 2013 est. |
| 188 | Comoros | $ 142,900,000 | 31 December 2013 est. |
| 189 | Cook Islands | $ 141,000,000 | 1996 est. |
| 190 | Marshall Islands | $ 87,000,000 | 2008 est. |
| 191 | New Caledonia | $ 79,000,000 | 1998 est. |
| 192 | Micronesia, Federated States of | $ 60,800,000 | FY05 est. |
| 193 | Greenland | $ 36,400,000 | 2010 |
| 194 | British Virgin Islands | $ 36,100,000 | 1997 |
| 195 | Nauru | $ 33,300,000 | 2004 est. |
| 196 | Kiribati | $ 10,000,000 | 1999 est. |
| 197 | Montserrat | $ 8,900,000 | 1997 |
| 198 | Anguilla | $ 8,800,000 | 1998 |
| 199 | Wallis and Futuna | $ 3,670,000 | 2004 |
| 200 | Niue | $ 418,000 | 2002 est. |
| 201 | Liechtenstein | $ 0 | 2001 |
| 202 | Brunei | $ 0 | 2005 |
| 203 | Palau | $ 0 | FY99/00 |
| 204 | Macau | $ 0 | 31 December 2013 |


