CIA - The World Factbook --  Debt - external   

This entry gives the total public and private debt owed to nonresidents repayable in foreign currency, goods, or services. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Debt - external | Date of Information |
| 65 | Estonia | $ 26,840,000,000 | 31 December 2008 |
| 66 | Serbia | $ 26,240,000,000 | 2007 est. |
| 67 | Vietnam | $ 25,890,000,000 | 31 December 2008 est. |
| 68 | Singapore | $ 25,520,000,000 | 31 December 2008 est. |
| 69 | Bangladesh | $ 22,830,000,000 | 31 December 2008 est. |
| 70 | Iran | $ 21,060,000,000 | 31 December 2008 est. |
| 71 | Tunisia | $ 20,810,000,000 | 31 December 2008 |
| 72 | Morocco | $ 20,120,000,000 | 31 December 2008 est. |
| 73 | Cuba | $ 19,040,000,000 | 31 December 2008 est. |
| 74 | Ecuador | $ 18,110,000,000 | 31 December 2008 |
| 75 | Monaco | $ 18,000,000,000 | 2000 est. |
| 76 | Sri Lanka | $ 16,780,000,000 | 31 December 2008 est. |
| 77 | Belarus | $ 15,150,000,000 | 31 December 2008 |
| 78 | Angola | $ 14,090,000,000 | 31 December 2008 est. |
| 79 | Cote d'Ivoire | $ 14,050,000,000 | 31 December 2008 est. |
| 80 | Korea, North | $ 12,500,000,000 | 2001 est. |
| 81 | Dominican Republic | $ 11,420,000,000 | 31 December 2008 est. |
| 82 | Panama | $ 11,260,000,000 | 31 December 2008 est. |
| 83 | Uruguay | $ 10,730,000,000 | 31 December 2008 |
| 84 | El Salvador | $ 10,690,000,000 | 31 December 2008 |
| 85 | Jamaica | $ 10,650,000,000 | 31 December 2008 est. |
| 86 | Bahrain | $ 10,330,000,000 | 31 December 2008 est. |
| 87 | Congo, Democratic Republic of the | $ 10,000,000,000 | 2007 est. |
| 88 | Nigeria | $ 9,996,000,000 | 31 December 2008 est. |
| 89 | Costa Rica | $ 9,249,000,000 | 31 December 2008 |
| 90 | Afghanistan | $ 8,000,000,000 | 2004 |
| 91 | Burma | $ 7,946,000,000 | 31 December 2008 est. |
| 92 | Kenya | $ 7,855,000,000 | 31 December 2008 est. |
| 93 | Georgia | $ 7,711,000,000 | 31 December 2008 |
| 94 | Oman | $ 7,680,000,000 | 31 December 2008 est. |
| 95 | Bosnia and Herzegovina | $ 7,388,000,000 | 31 December 2008 est. |
| 96 | Syria | $ 7,167,000,000 | 31 December 2008 est. |
| 97 | Jordan | $ 6,794,000,000 | 31 December 2008 est. |
| 98 | Guatemala | $ 6,500,000,000 | 31 December 2008 est. |
| 99 | Libya | $ 6,223,000,000 | 31 December 2008 est. |
| 100 | Tanzania | $ 6,195,000,000 | 31 December 2008 est. |
| 101 | Yemen | $ 5,977,000,000 | 31 December 2008 est. |
| 102 | Bolivia | $ 5,931,000,000 | 31 December 2008 |
| 103 | Zimbabwe | $ 5,669,000,000 | 31 December 2008 est. |
| 104 | Mauritius | $ 5,077,000,000 | 31 December 2008 est. |
| 105 | Ghana | $ 5,055,000,000 | 31 December 2008 est. |
| 106 | Congo, Republic of the | $ 5,000,000,000 | 2000 est. |
| 107 | Macedonia | $ 4,667,000,000 | 31 December 2008 est. |
| 108 | Nicaragua | $ 4,596,000,000 | 31 December 2008 est. |
| 109 | Cambodia | $ 4,127,000,000 | 31 December 2008 est. |
| 110 | Moldova | $ 4,125,000,000 | 31 December 2008 |
| 111 | Uzbekistan | $ 4,022,000,000 | 31 December 2008 est. |
| 112 | Mozambique | $ 3,826,000,000 | 31 December 2008 est. |
| 113 | Algeria | $ 3,753,000,000 | 31 December 2008 est. |
| 114 | Paraguay | $ 3,507,000,000 | 31 December 2008 |
| 115 | Kyrgyzstan | $ 3,467,000,000 | 31 December 2008 |
| 116 | Armenia | $ 3,449,000,000 | 31 December 2008 |
| 117 | Trinidad and Tobago | $ 3,289,000,000 | 31 December 2008 est. |
| 118 | Nepal | $ 3,285,000,000 | 2008 |
| 119 | Guinea | $ 3,222,000,000 | 31 December 2008 est. |
| 120 | Honduras | $ 3,209,000,000 | 31 December 2008 est. |
| 121 | Liberia | $ 3,200,000,000 | 2005 est. |
| 122 | Laos | $ 3,179,000,000 | 2006 |
| 123 | Ethiopia | $ 3,155,000,000 | 31 December 2008 est. |
| 124 | Zambia | $ 3,095,000,000 | 31 December 2008 est. |
| 125 | Iceland | $ 3,073,000,000 | 2002 |
| 126 | Cameroon | $ 3,066,000,000 | 31 December 2008 est. |
| 127 | Somalia | $ 3,000,000,000 | 2001 est. |
| 128 | Gabon | $ 2,986,000,000 | 31 December 2008 est. |
| 129 | Mali | $ 2,800,000,000 | 2002 |
| 130 | Netherlands Antilles | $ 2,680,000,000 | 2004 |
| 131 | Azerbaijan | $ 2,635,000,000 | 31 December 2008 est. |
| 132 | Senegal | $ 2,627,000,000 | 31 December 2008 est. |
| 133 | Papua New Guinea | $ 2,511,000,000 | 31 December 2008 est. |
| 134 | Niger | $ 2,100,000,000 | 2003 est. |
| 135 | Madagascar | $ 2,023,000,000 | 31 December 2008 est. |
| 136 | Togo | $ 2,000,000,000 | 2005 |
| 137 | Uganda | $ 1,835,000,000 | 31 December 2008 est. |
| 138 | Haiti | $ 1,817,000,000 | 31 December 2008 est. |
| 139 | Burkina Faso | $ 1,665,000,000 | 31 December 2008 est. |
| 140 | Sierra Leone | $ 1,610,000,000 | 2003 est. |
| 141 | Chad | $ 1,600,000,000 | 2005 est. |
| 142 | Mongolia | $ 1,600,000,000 | 2008 |
| 143 | Albania | $ 1,550,000,000 | 2004 |
| 144 | Tajikistan | $ 1,503,000,000 | 31 December 2008 est. |
| 145 | Seychelles | $ 1,422,000,000 | 31 December 2008 est. |
| 146 | Rwanda | $ 1,400,000,000 | 2004 est. |
| 147 | Turkmenistan | $ 1,400,000,000 | 2004 est. |
| 148 | Gaza Strip | $ 1,300,000,000 | 2007 est. |
| 149 | West Bank | $ 1,300,000,000 | 2007 est. |
| 150 | Benin | $ 1,200,000,000 | 2007 |
| 151 | Burundi | $ 1,200,000,000 | 2003 |
| 152 | Central African Republic | $ 1,153,000,000 | 2007 est. |
| 153 | Malawi | $ 1,005,000,000 | 31 December 2008 est. |
| 154 | Belize | $ 954,100,000 | 2008 est. |
| 155 | Guinea-Bissau | $ 941,500,000 | 2000 est. |
| 156 | Namibia | $ 807,300,000 | 31 December 2008 est. |
| 157 | Guyana | $ 804,300,000 | 30 September 2008 |
| 158 | Bhutan | $ 713,300,000 | 2006 |
| 159 | Barbados | $ 668,000,000 | 2003 |
| 160 | Montenegro | $ 650,000,000 | 2006 |
| 161 | Gambia, The | $ 628,800,000 | 2003 est. |
| 162 | Lesotho | $ 619,000,000 | 31 December 2008 est. |
| 163 | Swaziland | $ 554,000,000 | 31 December 2008 est. |
| 164 | Suriname | $ 504,300,000 | 2005 est. |
| 165 | Aruba | $ 478,600,000 | 2005 est. |
| 166 | Maldives | $ 477,000,000 | 2008 est. |
| 167 | Djibouti | $ 428,000,000 | 2006 |
| 168 | Botswana | $ 409,000,000 | 31 December 2008 est. |
| 169 | Antigua and Barbuda | $ 359,800,000 | June 2006 |
| 170 | Grenada | $ 347,000,000 | 2004 |
| 171 | Bahamas, The | $ 342,600,000 | 2004 est. |
| 172 | Cape Verde | $ 325,000,000 | 2002 |
| 173 | Sao Tome and Principe | $ 318,000,000 | 2002 |
| 174 | Saint Kitts and Nevis | $ 314,000,000 | 2004 |
| 175 | Eritrea | $ 311,000,000 | 2000 est. |
| 176 | Saint Lucia | $ 257,000,000 | 2004 |
| 177 | Comoros | $ 232,000,000 | 2000 est. |
| 178 | Saint Vincent and the Grenadines | $ 223,000,000 | 2004 |
| 179 | Dominica | $ 213,000,000 | 2004 |
| 180 | Equatorial Guinea | $ 190,000,000 | 31 December 2008 est. |
| 181 | Malta | $ 188,800,000 | 2005 |
| 182 | Samoa | $ 177,000,000 | 2004 |
| 183 | Solomon Islands | $ 166,000,000 | 2004 |
| 184 | Bermuda | $ 160,000,000 | FY99/00 |
| 185 | Cook Islands | $ 141,000,000 | 1996 est. |
| 186 | Fiji | $ 127,000,000 | 2004 est. |
| 187 | Marshall Islands | $ 87,000,000 | 2008 est. |
| 188 | Vanuatu | $ 81,200,000 | 2004 |
| 189 | Tonga | $ 80,700,000 | 2004 |
| 190 | New Caledonia | $ 79,000,000 | 1998 est. |
| 191 | Cayman Islands | $ 70,000,000 | 1996 |
| 192 | Faroe Islands | $ 64,000,000 | 1999 |
| 193 | Micronesia, Federated States of | $ 60,800,000 | FY05 est. |
| 194 | British Virgin Islands | $ 36,100,000 | 1997 |
| 195 | Nauru | $ 33,300,000 | |
| 196 | Greenland | $ 25,000,000 | 1999 |
| 197 | Kiribati | $ 10,000,000 | 1999 est. |
| 198 | Montserrat | $ 8,900,000 | 1997 |
| 199 | Anguilla | $ 8,800,000 | 1998 |
| 200 | Wallis and Futuna | $ 3,670,000 | 2004 |
| 201 | Niue | $ 418,000 | 2002 est. |
| 202 | Brunei | $ 0 | 2005 |
| 203 | Liechtenstein | $ 0 | 2001 |
| 204 | Palau | $ 0 | FY99/00 |
| 205 | Macau | $ 0 | 2006 |
