CIA - The World Factbook --  GDP (PURCHASING POWER PARITY)

GDP (purchasing power parity) compares the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at purchasing power parity (PPP) exchange rates is the sum value of all goods and services produced in the country valued at prices prevailing in the United States.

| Rank | Country | GDP (PURCHASING POWER PARITY) | Date of Information |
| 64 | Uzbekistan | $205,700,000,000 | 2016 est. |
| 65 | Angola | $187,300,000,000 | 2016 est. |
| 66 | Oman | $184,800,000,000 | 2016 est. |
| 67 | Ecuador | $183,600,000,000 | 2016 est. |
| 68 | Ethiopia | $177,500,000,000 | 2016 est. |
| 69 | New Zealand | $177,000,000,000 | 2016 est. |
| 70 | Sudan | $176,100,000,000 | 2016 est. |
| 71 | Belarus | $171,000,000,000 | 2016 est. |
| 72 | Slovakia | $170,100,000,000 | 2016 est. |
| 73 | Azerbaijan | $165,500,000,000 | 2016 est. |
| 74 | Dominican Republic | $161,800,000,000 | 2016 est. |
| 75 | Kenya | $152,800,000,000 | 2016 est. |
| 76 | Tanzania | $149,800,000,000 | 2016 est. |
| 77 | Bulgaria | $144,600,000,000 | 2016 est. |
| 78 | Cuba | $132,900,000,000 | 2016 est. |
| 79 | Guatemala | $131,700,000,000 | 2016 est. |
| 80 | Puerto Rico | $131,000,000,000 | 2016 est. |
| 81 | Tunisia | $130,600,000,000 | 2016 est. |
| 82 | Ghana | $121,700,000,000 | 2016 est. |
| 83 | Serbia | $101,800,000,000 | 2016 est. |
| 84 | Turkmenistan | $95,530,000,000 | 2016 est. |
| 85 | Croatia | $95,060,000,000 | 2016 est. |
| 86 | Panama | $92,950,000,000 | 2016 est. |
| 87 | Cote d'Ivoire | $87,800,000,000 | 2016 est. |
| 88 | Lithuania | $86,050,000,000 | 2016 est. |
| 89 | Jordan | $85,650,000,000 | 2016 est. |
| 90 | Lebanon | $85,160,000,000 | 2016 est. |
| 91 | Uganda | $84,980,000,000 | 2016 est. |
| 92 | Costa Rica | $80,700,000,000 | 2016 est. |
| 93 | Bolivia | $78,660,000,000 | 2016 est. |
| 94 | Cameroon | $76,950,000,000 | 2016 est. |
| 95 | Uruguay | $74,920,000,000 | 2016 est. |
| 96 | Nepal | $71,530,000,000 | 2016 est. |
| 97 | Yemen | $69,190,000,000 | 2016 est. |
| 98 | Bahrain | $66,900,000,000 | 2016 est. |
| 99 | Slovenia | $66,230,000,000 | 2016 est. |
| 100 | Congo, Democratic Republic of the | $65,040,000,000 | 2016 est. |
| 101 | Zambia | $64,870,000,000 | 2016 est. |
| 102 | Paraguay | $64,410,000,000 | 2016 est. |
| 103 | Afghanistan | $64,080,000,000 | 2016 est. |
| 104 | Macau | $62,570,000,000 | 2016 est. |
| 105 | Luxembourg | $59,930,000,000 | 2016 est. |
| 106 | Cambodia | $58,950,000,000 | 2016 est. |
| 107 | Libya | $55,410,000,000 | 2016 est. |
| 108 | El Salvador | $54,790,000,000 | 2016 est. |
| 109 | Latvia | $50,620,000,000 | 2016 est. |
| 110 | Syria | $50,280,000,000 | 2015 est. |
| 111 | Trinidad and Tobago | $43,550,000,000 | 2016 est. |
| 112 | Honduras | $43,170,000,000 | 2016 est. |
| 113 | Bosnia and Herzegovina | $42,230,000,000 | 2016 est. |
| 114 | Laos | $40,900,000,000 | 2016 est. |
| 115 | Senegal | $39,690,000,000 | 2016 est. |
| 116 | Estonia | $38,450,000,000 | 2016 est. |
| 117 | Mali | $38,110,000,000 | 2016 est. |
| 118 | Madagascar | $37,490,000,000 | 2016 est. |
| 119 | Georgia | $37,170,000,000 | 2016 est. |
| 120 | Mongolia | $37,000,000,000 | 2016 est. |
| 121 | Botswana | $36,710,000,000 | 2016 est. |
| 122 | Gabon | $35,850,000,000 | 2016 est. |
| 123 | Mozambique | $34,940,000,000 | 2016 est. |
| 124 | Albania | $34,160,000,000 | 2016 est. |
| 125 | Nicaragua | $33,550,000,000 | 2016 est. |
| 126 | Burkina Faso | $32,830,000,000 | 2016 est. |
| 127 | Brunei | $32,540,000,000 | 2016 est. |
| 128 | Equatorial Guinea | $31,720,000,000 | 2016 est. |
| 129 | Macedonia | $30,270,000,000 | 2016 est. |
| 130 | Congo, Republic of the | $29,780,000,000 | 2016 est. |
| 131 | Cyprus | $29,670,000,000 | 2016 est. |
| 132 | Chad | $28,990,000,000 | 2016 est. |
| 133 | Zimbabwe | $28,570,000,000 | 2016 est. |
| 134 | Papua New Guinea | $28,010,000,000 | 2016 est. |
| 135 | Tajikistan | $26,030,000,000 | 2016 est. |
| 136 | Namibia | $25,960,000,000 | 2016 est. |
| 137 | Mauritius | $25,890,000,000 | 2016 est. |
| 138 | Armenia | $25,780,000,000 | 2016 est. |
| 139 | Jamaica | $25,390,000,000 | 2016 est. |
| 140 | Benin | $23,590,000,000 | 2016 est. |
| 141 | Rwanda | $22,790,000,000 | 2016 est. |
| 142 | Kyrgyzstan | $21,500,000,000 | 2016 est. |
| 143 | West Bank | $21,220,000,000 | 2014 est. |
| 144 | Malawi | $21,140,000,000 | 2016 est. |
| 145 | South Sudan | $20,710,000,000 | 2016 est. |
| 146 | Niger | $20,140,000,000 | 2016 est. |
| 147 | Haiti | $19,350,000,000 | 2016 est. |
| 148 | Moldova | $18,920,000,000 | 2016 est. |
| 149 | Kosovo | $18,440,000,000 | 2016 est. |
| 150 | Malta | $17,300,000,000 | 2016 est. |
| 151 | Iceland | $16,520,000,000 | 2016 est. |
| 152 | Mauritania | $16,420,000,000 | 2016 est. |
| 153 | Guinea | $16,000,000,000 | 2016 est. |
| 154 | Togo | $11,640,000,000 | 2016 est. |
| 155 | Swaziland | $11,070,000,000 | 2016 est. |
| 156 | New Caledonia | $10,770,000,000 | 2015 est. |
| 157 | Sierra Leone | $10,760,000,000 | 2016 est. |
| 158 | Montenegro | $10,360,000,000 | 2016 est. |
| 159 | Eritrea | $9,169,000,000 | 2016 est. |
| 160 | Bahamas, The | $9,043,000,000 | 2016 est. |
| 161 | Fiji | $8,298,000,000 | 2016 est. |
| 162 | Suriname | $7,887,000,000 | 2016 est. |
| 163 | Burundi | $7,851,000,000 | 2016 est. |
| 164 | Monaco | $7,672,000,000 | 2015 est. |
| 165 | Isle of Man | $7,428,000,000 | 2014 est. |
| 166 | Lesotho | $6,976,000,000 | 2016 est. |
| 167 | Bhutan | $6,509,000,000 | 2016 est. |
| 168 | Guyana | $6,046,000,000 | 2016 est. |
| 169 | Maldives | $5,501,000,000 | 2016 est. |
| 170 | French Polynesia | $5,490,000,000 | 2015 est. |
| 171 | Bermuda | $5,198,000,000 | 2013 est. |
| 172 | Jersey | $5,080,000,000 | 2015 est. |
| 173 | Liechtenstein | $4,978,000,000 | 2014 est. |
| 174 | Timor-Leste | $4,975,000,000 | 2016 est. |
| 175 | Guam | $4,882,000,000 | 2013 est. |
| 176 | Barbados | $4,794,000,000 | 2016 est. |
| 177 | Somalia | $4,719,000,000 | 2016 est. |
| 178 | Virgin Islands | $3,792,000,000 | 2013 est. |
| 179 | Liberia | $3,762,000,000 | 2016 est. |
| 180 | Cabo Verde | $3,540,000,000 | 2016 est. |
| 181 | Guernsey | $3,465,000,000 | 2015 est. |
| 182 | Gambia, The | $3,427,000,000 | 2016 est. |
| 183 | Djibouti | $3,345,000,000 | 2016 est. |
| 184 | Andorra | $3,327,000,000 | 2015 est. |
| 185 | Central African Republic | $3,186,000,000 | 2016 est. |
| 186 | Curacao | $3,128,000,000 | 2012 est. |
| 187 | Belize | $3,090,000,000 | 2016 est. |
| 188 | Guinea-Bissau | $2,878,000,000 | 2016 est. |
| 189 | Seychelles | $2,596,000,000 | 2016 est. |
| 190 | Aruba | $2,516,000,000 | 2009 est. |
| 191 | Cayman Islands | $2,507,000,000 | 2014 est. |
| 192 | Antigua and Barbuda | $2,271,000,000 | 2016 est. |
| 193 | Greenland | $2,173,000,000 | 2015 est. |
| 194 | Saint Lucia | $2,055,000,000 | 2016 est. |
| 195 | Gibraltar | $2,044,000,000 | 2014 est. |
| 196 | San Marino | $2,024,000,000 | 2016 est. |
| 197 | Faroe Islands | $2,001,000,000 | 2014 est. |
| 198 | Grenada | $1,512,000,000 | 2016 est. |
| 199 | Saint Kitts and Nevis | $1,459,000,000 | 2016 est. |
| 200 | Comoros | $1,259,000,000 | 2016 est. |
| 201 | Saint Vincent and the Grenadines | $1,241,000,000 | 2016 est. |
| 202 | Solomon Islands | $1,185,000,000 | 2016 est. |
| 203 | Samoa | $1,082,000,000 | 2016 est. |
| 204 | Western Sahara | $906,500,000 | 2007 est. |
| 205 | Dominica | $805,000,000 | 2016 est. |
| 206 | Vanuatu | $723,000,000 | 2016 est. |
| 207 | American Samoa | $711,000,000 | 2013 est. |
| 208 | Northern Mariana Islands | $682,000,000 | 2013 est. |
| 209 | Sao Tome and Principe | $638,000,000 | 2016 est. |
| 210 | Turks and Caicos Islands | $632,000,000 | 2007 est. |
| 211 | Tonga | $563,000,000 | 2016 est. |
| 212 | Saint Martin | $561,500,000 | 2005 est. |
| 213 | British Virgin Islands | $500,000,000 | 2010 est. |
| 214 | Sint Maarten | $365,800,000 | 2014 est. |
| 215 | Micronesia, Federated States of | $331,000,000 | 2016 est. |
| 216 | Falkland Islands (Islas Malvinas) | $281,800,000 | 2012 est. |
| 217 | Palau | $277,000,000 | 2016 est. |
| 218 | Cook Islands | $244,100,000 | 2010 est. |
| 219 | Saint Pierre and Miquelon | $215,300,000 | 2006 est. |
| 220 | Kiribati | $212,000,000 | 2016 est. |
| 221 | Marshall Islands | $181,000,000 | 2016 est. |
| 222 | Anguilla | $175,400,000 | 2009 est. |
| 223 | Nauru | $151,000,000 | 2016 est. |
| 224 | Wallis and Futuna | $60,000,000 | 2004 est. |
| 225 | Montserrat | $43,780,000 | 2006 est. |
| 226 | Tuvalu | $39,000,000 | 2016 est. |
| 227 | Saint Helena, Ascension, and Tristan da Cunha | $31,100,000 | FY09/10 est. |
| 228 | Niue | $10,010,000 | 2003 est. |
| 229 | Tokelau | $1,500,000 | 1993 est. |


