CIA -- The World Factbook -- Electricity - imports

| Country | Electricity - imports |
| **Virgin Islands** | 0 kWh (1999) |
| **West Bank** | NA kWh |
| **Western Sahara** | 0 kWh (1999) |
| **Yemen** | 0 kWh (1999) |
| **Yugoslavia** | 1.923 billion kWh (1999) |
| **Zambia** | 419 million kWh (1999) |
| **Zimbabwe** | 1.564 billion kWh (1999) |
| **Taiwan** | 0 kWh (1999) |


